"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.2379682	0.4176653	0.8413511	0.6375469	1.0109099	0.0677345	0.9393703	0.6903363	0.0371371	0.6723244	0.0500426	0.5342646	0.0426353	0.0490197	0.0152680	0.1461641	0.6039661	0.8184354	0.0723128	0.0031807	0.0555627	0.2339842	0.1474718	0.2212447	0.1249822	0.9199640	0.7491008	0.4537277	0.2654383	0.7603396	0.3700129	0.0259007	0.3178321	0.1600710	0.9722131	1.0360523	1.1190813	0.1749400	0.0938726	0.9909786	0.0791092	0.9711573	0.9537422	0.8060765	0.9255568	0.9717256	0.9330968	0.8848329	0.6568422	0.2817289	1.0005103	1.0124500	0.5552674	0.2743824	0.7919141	0.5210812	0.3557568	0.4100444	0.1496004	0.4154713	0.0270237	0.5019445	1.0872337	0.7081958	0.7473718	0.4589512	0.5394857	0.6312533	0.6811456	0.0246983	0.2893323	0.0393218	0.0674522	0.0814930	0.6599102	0.9909249	0.0262779	0.1384313	0.2340333	0.0423937	0.5230841	0.1539363	0.9748512	0.2595956	0.8725537	0.2912558	0.1840869	0.0774003	0.0400302	1.0338407	1.0222609	0.6829905	0.9820209	0.6987433	0.8344248	1.0122511	0.4198219	0.9632301	0.8794575	0.9681243
50.0	0.0476741	0.4395628	0.7960049	0.4873897	0.9829277	0.0719824	1.0086528	0.6346473	0.0184262	0.7177518	0.0178628	0.6187263	0.0546769	0.0476884	0.0324494	0.1513354	0.4958155	0.8160320	0.0998896	0.0027042	0.0439383	0.2505551	0.1794228	0.1689703	0.1613968	1.0418842	0.6288645	0.4600446	0.2110935	0.7981613	0.3270875	0.0334383	0.3504633	0.1785055	0.9540389	0.9629376	1.0426311	0.1651120	0.0824545	0.9805671	0.0648243	1.0125320	0.9669331	0.7811251	1.0198157	1.0527961	0.9635369	0.8566309	0.6647295	0.2461246	0.8999343	1.0054667	0.6176079	0.3118429	0.7023010	0.5438025	0.4394354	0.4296365	0.1287553	0.3614437	0.0082749	0.4805167	1.0120065	0.7170984	0.8550345	0.4602564	0.5368154	0.6592617	0.7264560	0.0254293	0.2592933	0.0334014	0.0762663	0.0869102	0.7036440	1.0773889	0.0223409	0.1046077	0.2258867	0.0291769	0.5770224	0.1961334	0.9497428	0.2889226	0.9149255	0.3600931	0.2146860	0.0813149	0.0497241	0.9440085	1.0693400	0.6585215	0.9267837	0.6347705	0.7590719	1.0205570	0.4656998	1.1030191	0.9221595	0.9795264
100.0	0.0123994	0.3550329	0.7321372	0.5107429	0.9949693	0.0565389	0.9860937	0.5803531	0.0132208	0.6704082	0.0206691	0.5438090	0.0364294	0.0172843	0.0160561	0.1432651	0.5119616	0.7463329	0.1055453	0.0012062	0.0733873	0.2602790	0.1368563	0.1787082	0.1708394	1.0585665	0.6019815	0.4783481	0.2231024	0.7999727	0.2898722	0.0201291	0.3781482	0.1692543	1.0384250	0.9214353	0.9770768	0.1414231	0.0876405	1.0807007	0.0710485	1.0153259	1.0115290	0.8110835	0.9887113	0.9160815	0.9634548	0.8507067	0.7046004	0.2032265	0.8897178	1.0187576	0.6573432	0.3472113	0.8077077	0.4768173	0.3410423	0.4049893	0.1072225	0.3267139	0.0071052	0.4032765	1.0691256	0.6310006	0.8643282	0.4538680	0.5710364	0.6740745	0.6826412	0.0492364	0.2692640	0.0225904	0.0471157	0.0805224	0.7145429	1.0630571	0.0153391	0.1705401	0.2302081	0.0313764	0.5504368	0.1840174	0.9211958	0.2568165	0.9313087	0.3384891	0.2037856	0.0764284	0.0313302	0.9394912	0.9392797	0.6932118	1.0540101	0.6059109	0.7909775	0.8799220	0.3904466	1.0111569	0.9464812	1.0530156
150.0	0.0009402	0.3832845	0.7342223	0.4311276	0.9834017	0.0570065	1.0169539	0.5624737	0.0160000	0.6666430	0.0335602	0.5388121	0.0474085	0.0299699	0.0067037	0.1701466	0.4685489	0.7651654	0.0744831	0.0064246	0.0683521	0.2401453	0.2450874	0.1739709	0.2001774	0.9781279	0.7301372	0.4546330	0.2571071	0.7950685	0.2488415	0.0313835	0.3503466	0.1630027	1.0371021	0.9910578	0.9833709	0.1331289	0.0870428	1.0113904	0.0740571	1.0635370	0.9947979	0.7503328	0.9331912	1.0304120	0.8662005	0.9317009	0.6260766	0.2524025	0.9652913	1.0131762	0.7042056	0.4041484	0.7416252	0.6035185	0.3194193	0.3395419	0.1386691	0.4443252	0.0147713	0.4299766	0.9336015	0.6942062	0.8082822	0.4364279	0.5191891	0.7342372	0.6815169	0.0368079	0.2478020	0.0416388	0.0415847	0.0982282	0.6317613	0.9923015	0.0350842	0.1303428	0.2299889	0.0374662	0.5213795	0.1970908	1.0498244	0.2245333	0.8743606	0.3216925	0.1741469	0.1175233	0.0716173	0.8936981	0.9902575	0.7255289	1.0263035	0.5467584	0.7693948	0.9310809	0.4646521	1.0097379	0.9225579	0.9715599
200.0	0.0022769	0.4364424	0.7639874	0.4590797	1.0724519	0.0483485	1.0769132	0.6299249	0.0124333	0.6951789	0.0262041	0.4983933	0.0442907	0.0196765	0.0163828	0.1298675	0.5841834	0.8118879	0.0870678	0.0021579	0.0650233	0.2186336	0.2055800	0.2039313	0.1680247	0.9673897	0.7310005	0.4192505	0.2906277	0.6998256	0.2999593	0.0356788	0.3820043	0.1594552	1.0296283	0.9155001	1.0406551	0.1464111	0.0798312	0.9603099	0.0496944	1.0989639	0.9694930	0.7509274	0.8615763	0.9266921	0.8779104	0.8741798	0.6166695	0.2194389	0.9809378	0.9799353	0.7152162	0.4077495	0.7194051	0.7697138	0.3680917	0.3645462	0.1574096	0.4221188	0.0256123	0.4189040	0.9174068	0.6908984	0.7973353	0.4864396	0.5207449	0.6371222	0.6527837	0.0408259	0.2185166	0.0336435	0.0504376	0.1160893	0.5430235	0.9972402	0.0297038	0.1575982	0.3094639	0.0333746	0.6101267	0.1474198	1.0547313	0.2315769	0.9013944	0.3510902	0.2335445	0.0871044	0.0613883	0.9385014	0.9867735	0.7309412	1.0082857	0.7131473	0.6377587	0.9286506	0.4292598	1.0853786	0.8588777	1.0627354
250.0	0.0002571	0.4535256	0.8205400	0.4479291	0.9912451	0.0491805	0.9813124	0.6592591	0.0124311	0.7589871	0.0220689	0.5123436	0.0518675	0.0124756	0.0183099	0.1247773	0.5242348	0.7934180	0.0750770	0.0016007	0.0594610	0.2284881	0.1585080	0.1658305	0.1759130	1.0163262	0.7897632	0.5098691	0.2691148	0.6856924	0.3114841	0.0442757	0.3646754	0.1450606	1.0627522	0.8995889	1.0259637	0.1427262	0.0749466	0.9131639	0.0774443	0.9372060	1.0133951	0.7994749	0.9951036	1.0732888	0.9602377	0.9991094	0.6474289	0.2541090	0.9663265	0.9898498	0.6998048	0.3990975	0.7605615	0.5255902	0.3477630	0.3726501	0.1172937	0.4456024	0.0299122	0.3947643	0.9346526	0.6597715	0.8415800	0.4532741	0.5322390	0.6827110	0.6952621	0.0395570	0.2114269	0.0255286	0.0642885	0.1012433	0.5737715	0.9540197	0.0279388	0.1560459	0.3373735	0.0363525	0.6701810	0.1512758	1.0576587	0.2290317	0.9096034	0.3348494	0.2100626	0.0674160	0.0678462	0.9737884	1.0404057	0.6826184	0.9706531	0.6048374	0.6572440	0.9112441	0.4309451	1.0621530	0.8122496	1.1005331
300.0	0.0000000	0.4186191	0.8098570	0.4855528	0.9896404	0.0587380	0.9611755	0.6056699	0.0105695	0.7512051	0.0176168	0.4532724	0.0809922	0.0198878	0.0048715	0.1415917	0.5665998	0.8069330	0.1028620	0.0047473	0.0589867	0.2527639	0.1411309	0.1673554	0.1859758	1.0061532	0.6742647	0.5581266	0.2908583	0.7212506	0.3165675	0.0310815	0.3306957	0.1556492	1.0276036	0.9372492	0.9617379	0.1643543	0.0740771	0.9667812	0.0913784	1.0021074	1.0489743	0.8749968	1.0111498	0.9981993	1.0201433	0.8374177	0.5348409	0.2807678	0.9509821	1.0031029	0.6793582	0.4109346	0.7748805	0.5723429	0.3200557	0.4548125	0.1306854	0.3878101	0.0192693	0.4198433	0.8955693	0.6191597	0.8478567	0.5137437	0.5150211	0.6928377	0.7155729	0.0378339	0.2830581	0.0427180	0.0649616	0.0873193	0.5550342	0.9983469	0.0335750	0.1556448	0.2387297	0.0364234	0.5821516	0.1613157	0.9807973	0.2522545	0.8624745	0.3381070	0.1651088	0.0893097	0.0646364	0.9623887	0.9791975	0.7682558	0.9496117	0.5827755	0.7005380	0.9631145	0.4231775	1.0706841	0.8818700	1.0069163
350.0	0.0000000	0.4248413	0.7416677	0.5656283	0.8373974	0.0537162	0.8908939	0.6341698	0.0270072	0.6607026	0.0285312	0.5030049	0.0561913	0.0291322	0.0079740	0.1230020	0.5114911	0.7800545	0.1142413	0.0081554	0.0516286	0.2482658	0.2309213	0.1842746	0.1888723	1.0593744	0.6582965	0.4884947	0.2287838	0.7492387	0.3690427	0.0237374	0.3193010	0.1656719	1.0038163	0.9391090	0.9925325	0.1346022	0.0975273	0.8795779	0.0664474	0.9481943	1.0745605	0.7913242	1.0417532	1.0292093	0.8766718	0.9397950	0.6243345	0.2513865	0.9520263	1.0775257	0.7186485	0.3142463	0.8413819	0.5512109	0.3583527	0.3490923	0.1244675	0.3961264	0.0259167	0.4239326	0.9019723	0.7040875	0.8065526	0.5572869	0.5191590	0.5902563	0.7502667	0.0320897	0.2975139	0.0352231	0.0710051	0.1085410	0.6061220	0.9811703	0.0266629	0.1370799	0.2748228	0.0477202	0.6314148	0.1769220	1.0679360	0.2469678	0.9555371	0.3163124	0.2042207	0.1216923	0.0695640	0.9722887	0.9858013	0.6574448	1.0799200	0.6181589	0.7257426	0.9842455	0.3877328	0.9959033	0.8985022	0.9103168
400.0	0.0000000	0.3897630	0.8038878	0.5514918	0.9184254	0.0609209	0.9697589	0.6753053	0.0401196	0.7293972	0.0159822	0.5623655	0.0541363	0.0528147	0.0066795	0.1569800	0.5158564	0.7325139	0.1173209	0.0054173	0.0765097	0.2210115	0.1229813	0.1373647	0.1435059	1.0047434	0.7615719	0.5145300	0.2941029	0.7440769	0.3495030	0.0256893	0.3174555	0.1816582	1.0569763	1.0563282	0.9996644	0.1344797	0.0785037	0.9736331	0.0773098	1.0026145	1.0716191	0.8209291	0.9139581	1.0015519	0.8789078	0.8549249	0.6289288	0.1883481	0.9423407	1.1101082	0.7001917	0.3445948	0.7898653	0.6034721	0.3125036	0.3799287	0.1178844	0.3619666	0.0298818	0.3946063	0.9863522	0.7627365	0.7298075	0.4917174	0.5157824	0.6030978	0.7877049	0.0450966	0.2308098	0.0194235	0.0591691	0.1303156	0.5450272	1.0579910	0.0172719	0.1259807	0.2940398	0.0438521	0.5818428	0.2008960	1.0830317	0.2644073	1.0209018	0.3467157	0.2032963	0.0579844	0.0688312	1.0124248	1.0162026	0.6839241	1.0724614	0.6795191	0.7166534	0.9247056	0.4465448	1.0742236	0.8493751	1.0707228
