"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.2628594	0.3785490	0.7902750	0.5953956	1.0277002	0.0512835	1.0160709	0.6547104	0.0237272	0.7652086	0.0223297	0.5282427	0.0399681	0.0269294	0.0143210	0.1516057	0.5269887	0.7659169	0.0656731	0.0102516	0.0499322	0.2521383	0.2220916	0.2008339	0.2192365	0.9944009	0.7677298	0.4970756	0.2827076	0.6633316	0.3344493	0.0282923	0.3278211	0.1709075	0.9381303	1.0306871	1.0350975	0.1636409	0.0917835	0.9623609	0.0707925	1.0349144	1.0372010	0.7943712	0.9226654	1.0205767	0.8806543	0.8893805	0.6105034	0.2627561	0.8965914	0.8406868	0.6695890	0.2887739	0.7880683	0.5593317	0.3810339	0.4000704	0.1360309	0.4171470	0.0228860	0.4509487	0.9886347	0.7508292	0.7353155	0.5300370	0.5882804	0.5926812	0.7183238	0.0213308	0.2635261	0.0318034	0.0550615	0.1121026	0.7019374	0.9283687	0.0413070	0.1318643	0.1901008	0.0388649	0.5435979	0.1580899	0.9764952	0.2140974	0.9125927	0.3074476	0.2481606	0.1355034	0.0540850	0.8984627	0.9756016	0.6473171	1.0175024	0.6601069	0.6896339	1.0061302	0.4201105	0.9259152	0.8007974	1.0995479
50.0	0.1965050	0.3639049	0.9888697	0.8120319	1.0323741	0.0441087	0.9374903	0.5012786	0.4251194	0.7743025	0.0158181	0.5247355	0.0520416	0.0164434	0.0112405	0.1062129	0.7509848	0.7320502	0.0675953	0.0013960	0.1773739	0.2159657	0.0936679	0.5139608	0.1646169	1.0542173	0.7274480	0.5021551	0.2184801	0.7686329	0.3201610	0.0522473	0.2820057	0.1768134	1.0251963	0.6140154	1.0333568	0.1399346	0.0518524	0.6556527	0.4303496	0.8276394	0.6581658	0.7807743	0.9883460	1.0264261	0.9894307	0.8424678	0.5740961	0.2343503	0.3824562	0.9272223	0.5822489	0.4232165	0.8739409	0.5232216	0.4197644	0.3075999	0.3870088	0.3927411	0.0091132	0.3680202	0.9929319	0.7593045	0.4041829	0.5330631	0.7966722	0.7936895	0.7532074	0.0291992	0.2458629	0.0137916	0.0146490	0.0887513	0.2639438	0.9308839	0.3829728	0.1570588	0.2080994	0.0351411	0.6051104	0.1871490	1.0068652	0.2632285	0.8198016	0.2952354	0.2247535	0.1100683	0.0254521	0.9641259	1.0071465	0.7227611	0.9719086	0.6836395	0.7157440	1.0316601	0.3269630	1.0247973	0.8249038	0.8286401
100.0	0.2291538	0.3971984	0.9434204	0.8599087	0.9562787	0.0569614	0.9864052	0.4482273	0.5530221	0.7858666	0.0099821	0.5298790	0.0346498	0.0280681	0.0063598	0.1054779	0.7739252	0.6890161	0.0836323	0.0016175	0.1917411	0.1944353	0.0529419	0.5580715	0.1647118	0.9372487	0.6786745	0.4782508	0.1769120	0.7676717	0.2807741	0.0582269	0.2717490	0.1568629	0.9340435	0.5752222	0.9779967	0.1311897	0.0401455	0.5908544	0.4950270	0.7658099	0.5007967	0.7462820	0.9232268	0.9257719	0.9797994	0.8161279	0.6000589	0.2103580	0.1757949	1.0010403	0.6784966	0.4330957	0.9180064	0.5241349	0.3599050	0.3071910	0.4617507	0.3855746	0.0071454	0.4503336	0.9926077	0.6958221	0.3427125	0.6580541	0.9310938	0.8390733	0.7046190	0.0278827	0.2382355	0.0136257	0.0160297	0.0761667	0.1779430	0.8844019	0.4857607	0.1385600	0.2355988	0.0261661	0.6644055	0.1575459	0.9646884	0.2997079	0.8005650	0.3356184	0.2478123	0.1751241	0.0172954	1.0516974	0.9692962	0.8090715	1.0623825	0.5537943	0.7132590	0.9829000	0.2813385	0.9558868	0.8825138	0.7721348
150.0	0.2574878	0.3607315	0.9022993	0.7832675	0.9943492	0.0598187	0.9345713	0.5280177	0.5035077	0.7441417	0.0128429	0.5748966	0.0595329	0.0315352	0.0105742	0.1006399	0.7598448	0.7123894	0.0936385	0.0003429	0.2632209	0.2324279	0.0270628	0.6803282	0.2348232	1.0614136	0.6580522	0.4900265	0.1447447	0.7917930	0.2650766	0.0316587	0.3178722	0.2017654	0.9327504	0.5631793	0.9278909	0.1543599	0.0677810	0.5540689	0.4514396	0.7379759	0.4661762	0.6931188	0.9421019	0.8847768	0.9201869	0.8922536	0.5701180	0.1827182	0.0588901	1.0227099	0.6557335	0.4893558	0.8916625	0.5255951	0.4700434	0.3130060	0.5188362	0.4406984	0.0167335	0.4054900	0.9591220	0.7140884	0.2735767	0.8187775	0.9594238	0.7654117	0.6629351	0.0272717	0.3068891	0.0096206	0.0126573	0.0690066	0.1474896	0.8392090	0.5366555	0.1913756	0.2168214	0.0179048	0.6940637	0.1221285	0.9988722	0.3024245	0.8141161	0.2546285	0.2950067	0.1666490	0.0019560	1.0398247	1.0469575	0.7693361	1.0365100	0.5785135	0.6452856	1.0050894	0.3117482	0.9888724	0.8096755	0.6480540
200.0	0.2717109	0.3198806	0.9017116	0.8512251	0.9530820	0.0752344	0.9521629	0.4538907	0.5147568	0.7487550	0.0161772	0.6358642	0.0367826	0.0288516	0.0018672	0.1079578	0.7907054	0.7060317	0.1018701	0.0009288	0.2269798	0.2382642	0.0237697	0.7712278	0.1981658	1.0097025	0.7177267	0.4991556	0.1939443	0.6950086	0.2296794	0.0169877	0.3684197	0.1935297	0.8765016	0.5884678	0.9889674	0.1430765	0.0443277	0.5133181	0.4859402	0.7766718	0.4705999	0.6968576	0.9707635	0.8871030	0.9226283	0.8057257	0.5743758	0.2117607	0.0217408	0.9285640	0.5328314	0.4551645	0.9558754	0.5321151	0.4847016	0.3009508	0.5052816	0.4428675	0.0079249	0.3931685	0.8925270	0.6543231	0.1910362	0.9114765	0.9385771	0.8051755	0.6649901	0.0440661	0.2999986	0.0080643	0.0095949	0.0548206	0.1452056	0.8662232	0.5221832	0.1569585	0.2653653	0.0303771	0.6924169	0.1284423	0.9365669	0.3641534	0.8157348	0.2842386	0.2251682	0.1570041	0.0012293	1.0442543	1.1081198	0.8252393	1.0089997	0.5482363	0.6411627	0.9588135	0.3103496	1.0079756	0.8208207	0.6919860
250.0	0.2339739	0.3182391	0.9660346	0.8957216	0.9087666	0.0736776	0.9725859	0.4806197	0.5132133	0.6720910	0.0117519	0.5059378	0.0491852	0.0251090	0.0106775	0.0966441	0.7993930	0.6743910	0.1106985	0.0010878	0.2197966	0.2185230	0.0306168	0.7287838	0.2225869	1.0437699	0.7153322	0.4549076	0.1777810	0.6919984	0.2260290	0.0242889	0.3207026	0.1787069	0.9199231	0.4949146	0.9498149	0.1446781	0.0406026	0.4846326	0.5124391	0.6453696	0.4316099	0.6362213	0.9264951	0.9387438	0.9124442	0.8255502	0.6063779	0.2319736	0.0083636	1.0303184	0.5248287	0.3621436	1.0089297	0.6126977	0.4942290	0.2348957	0.4632354	0.3769372	0.0101964	0.3489131	0.9100336	0.6021931	0.1967025	0.9276209	0.8533880	0.8282985	0.7419162	0.0388284	0.2555614	0.0055245	0.0163546	0.0543760	0.1350153	0.9669863	0.5238136	0.1205233	0.2404789	0.0431675	0.7893909	0.1341892	0.9123938	0.4061617	0.7796170	0.3168873	0.2289577	0.1683467	0.0003326	1.0925347	1.1410646	0.7374701	0.9777696	0.5417153	0.6206567	1.0158160	0.3339192	1.0016497	0.8497165	0.6764238
300.0	0.2534329	0.3237007	0.9350162	0.8610368	0.9236547	0.0723988	1.0130121	0.4637886	0.4863836	0.6657084	0.0194848	0.5693401	0.0424001	0.0259504	0.0182071	0.1209317	0.7715554	0.7237424	0.0994913	0.0012572	0.2036436	0.2120050	0.0295556	0.7480582	0.1930918	0.9788748	0.7513532	0.5306778	0.1878213	0.6858836	0.2103065	0.0215371	0.3036977	0.1501731	0.9195149	0.4838427	0.9087389	0.1685155	0.0849848	0.4542146	0.5165008	0.7136123	0.3785724	0.6552438	0.9690793	1.0066162	0.9261060	0.7475760	0.5541326	0.2381824	0.0028487	1.0180372	0.6096540	0.3948097	0.9254837	0.4117986	0.4281642	0.2570217	0.5093199	0.3828617	0.0112431	0.3017684	1.0875772	0.7269458	0.1923143	0.9309616	0.8139295	0.8236520	0.6861279	0.0259279	0.2521696	0.0096104	0.0185490	0.0542896	0.1408953	0.9336483	0.5191020	0.1266899	0.2511717	0.0402160	0.7598191	0.1050589	0.9747944	0.4076481	0.7351540	0.2736675	0.2554775	0.1746658	0.0000000	0.9897523	0.9824763	0.7796380	0.9593514	0.6460582	0.6710710	1.0638008	0.3145668	1.0095787	0.7659415	0.6764099
350.0	0.2415239	0.3602668	1.0799811	0.8751122	0.8750077	0.0803690	0.9714412	0.4280856	0.5501245	0.6926701	0.0181290	0.6064175	0.0487293	0.0255561	0.0164455	0.1238512	0.8924552	0.7290824	0.1155307	0.0049237	0.1913245	0.1406234	0.0158314	0.7850046	0.2180537	1.0295693	0.7259540	0.5162614	0.1818839	0.7240774	0.2336947	0.0156893	0.3437272	0.1634689	1.0041275	0.5180059	0.9577246	0.1712972	0.0449010	0.4987165	0.4869942	0.6280768	0.4111125	0.6243882	1.0598013	0.9810496	1.0676479	0.8023505	0.5828412	0.2142472	0.0015009	1.0015790	0.7033168	0.3704104	0.8288291	0.3927374	0.4116374	0.2530540	0.5298183	0.3807453	0.0143888	0.3797889	1.0180584	0.7010018	0.1262428	0.8985738	0.8352095	0.8296630	0.6972008	0.0253162	0.2259592	0.0063590	0.0144591	0.0630375	0.1601178	0.9543907	0.5271324	0.1136043	0.2703113	0.0250789	0.6961364	0.1535841	0.9626350	0.3361294	0.7221266	0.2581705	0.2370349	0.1629634	0.0000575	0.9508491	1.0226758	0.7512394	0.9864937	0.5210718	0.6121959	1.0188503	0.3423988	1.0559406	0.7490150	0.7170849
400.0	0.2615035	0.3227647	1.0041930	0.8343740	0.7574852	0.0797769	0.9839574	0.4875930	0.5227908	0.6671657	0.0193038	0.5799559	0.0444525	0.0261412	0.0127084	0.1516910	0.7959239	0.7272627	0.1100047	0.0000000	0.2011922	0.1642582	0.0410488	0.7677672	0.2075342	0.9393348	0.7233592	0.5478557	0.1989985	0.8467873	0.1619915	0.0247527	0.3448639	0.1752572	0.9576316	0.5596214	0.9155891	0.1562367	0.0416330	0.5279066	0.4926913	0.6680755	0.4414718	0.5618407	1.0287706	0.9202895	1.0201763	0.7467236	0.6389383	0.2014498	0.0007415	0.9756448	0.7663442	0.3944250	0.8120175	0.4354717	0.3503363	0.2634665	0.5087325	0.3934413	0.0207670	0.3640675	1.0501906	0.6219825	0.1477703	0.9354552	0.8401252	0.8643538	0.6897750	0.0250528	0.2245759	0.0075211	0.0046087	0.0736347	0.1559842	0.9275079	0.5042578	0.1917911	0.2383109	0.0166563	0.6704035	0.1749048	0.9957073	0.3552823	0.8288290	0.2741862	0.2077071	0.1294397	0.0000758	0.9777795	1.0274456	0.7521994	0.9383069	0.5792236	0.6026356	0.9715038	0.3495079	0.9628892	0.8095296	0.6786526
