"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.2396844	0.3898083	0.8964923	0.5560086	0.9673899	0.0625736	0.9281974	0.6436850	0.0225420	0.6336937	0.0522003	0.6203084	0.0402642	0.0399770	0.0334704	0.1519515	0.5269250	0.8503963	0.0880043	0.0023493	0.0560211	0.2405493	0.1829820	0.2392139	0.1256479	0.9608988	0.7956371	0.4982575	0.2884993	0.7606288	0.3267071	0.0307918	0.3132509	0.1685145	1.0283055	1.0683759	1.0025084	0.1736919	0.1072355	0.9906518	0.0815539	0.9199476	0.8664069	0.8445831	1.0027561	0.9453211	0.8449691	0.8166478	0.6825337	0.2681505	1.0214931	1.0319323	0.6013423	0.3385332	0.9265140	0.5867632	0.3994833	0.4005858	0.1501640	0.3700363	0.0470995	0.5446627	1.0302071	0.7930000	0.8962325	0.4718706	0.5743065	0.6545458	0.7428721	0.0284509	0.2827091	0.0317395	0.0541459	0.1004026	0.5961626	1.0121174	0.0228017	0.1291868	0.2071571	0.0288066	0.5806435	0.1561014	1.1350243	0.2354059	0.9436899	0.2859867	0.1798514	0.0846893	0.0479914	0.8642287	1.1332806	0.6239074	0.9648957	0.7115659	0.7946433	1.0297698	0.3971376	0.9506895	0.8651332	0.9787940
50.0	0.1662186	0.4193731	0.7856643	0.5769287	0.9571525	0.0504862	1.0014161	0.5874420	0.0301634	0.7331800	0.0435348	0.6417784	0.0306130	0.0535513	0.0287290	0.0945162	0.5951954	0.7898228	0.1094115	0.0010058	0.0535853	0.2202506	0.1909754	0.1962727	0.1430293	0.9383403	0.6366218	0.4603731	0.2076431	0.8038454	0.3563628	0.0442395	0.3115499	0.1342698	1.0401213	1.1179197	1.1334845	0.1896204	0.1230957	1.0507542	0.0721054	1.0172626	0.9369708	0.7806861	0.9706071	1.0057474	0.8353481	0.8375430	0.6780637	0.2379557	0.8961702	0.9685592	0.6179956	0.3135792	0.7695458	0.5432655	0.3808557	0.3545340	0.1121642	0.3938149	0.0292584	0.5049999	1.0735880	0.8739727	0.8497605	0.3794920	0.4804116	0.7304727	0.7237921	0.0240455	0.3112398	0.0176823	0.0530562	0.0776725	0.6110526	0.9998731	0.0219028	0.1297131	0.2278730	0.0200669	0.5465848	0.1989712	1.1009737	0.2641311	0.9452799	0.3315231	0.1772751	0.0822664	0.0406113	0.9596001	1.1267371	0.6749356	0.9631383	0.7502919	0.8216471	1.0409054	0.4581087	1.0356786	0.9628984	0.9586713
100.0	0.0678970	0.3753890	0.7901595	0.5546515	1.0167047	0.0684931	0.9840065	0.5661969	0.0164447	0.7008276	0.0287848	0.5475561	0.0440860	0.0511126	0.0097339	0.1334063	0.5401231	0.8559695	0.0974350	0.0020601	0.0613264	0.1999934	0.1518996	0.1981881	0.1812901	0.9898248	0.5802593	0.4252833	0.2199289	0.7220205	0.3137090	0.0300107	0.3467524	0.1469969	1.0821921	1.0139952	1.0866967	0.1184829	0.1001489	1.0374692	0.0617868	0.9661725	0.9462034	0.7331125	0.9597715	1.0397910	0.8775709	0.9029344	0.6674696	0.2480018	0.9144851	0.9735291	0.6280502	0.3503598	0.7508071	0.5415652	0.3776658	0.4371564	0.0926117	0.3475322	0.0222119	0.4283834	1.0405591	0.7480781	0.8116071	0.4386867	0.5472637	0.6566818	0.7452188	0.0341686	0.2361712	0.0323635	0.0711097	0.0890318	0.6901538	0.9914356	0.0140345	0.1282598	0.2785652	0.0406304	0.5766259	0.1768378	0.9405766	0.2676309	0.9295629	0.3504026	0.1986217	0.1129065	0.0410673	0.9054398	1.0985983	0.6829457	0.9405509	0.6657341	0.7534062	0.9063428	0.4303447	1.1719299	0.9453218	1.0336652
150.0	0.0309829	0.3673918	0.7346082	0.4436022	1.0296857	0.0620894	1.0017880	0.5736568	0.0151585	0.6818987	0.0355644	0.5234457	0.0368516	0.0373955	0.0068379	0.1333794	0.5641714	0.7323932	0.0807251	0.0013548	0.0990067	0.2517040	0.1768567	0.1825133	0.1930264	1.0213628	0.6621924	0.3762872	0.2710693	0.7935088	0.3280051	0.0285856	0.4268107	0.1485881	1.1566141	0.9901085	0.9680801	0.1349695	0.0745194	1.0371850	0.0595043	0.9547428	0.9641591	0.7106254	1.0115267	1.0018265	0.8757771	0.9030059	0.7146266	0.2293441	0.9643289	1.0019626	0.6793881	0.3890713	0.7272962	0.5295342	0.3126779	0.3895298	0.1505362	0.4073383	0.0193652	0.3850326	1.0539355	0.6861300	0.8523389	0.4188061	0.5167640	0.6576748	0.6417340	0.0269271	0.2599811	0.0316482	0.0398080	0.1098224	0.6936222	1.0533079	0.0328478	0.1247103	0.1980972	0.0495964	0.5970746	0.1903757	0.9905276	0.2502024	0.9600325	0.2851094	0.2352515	0.0851582	0.0422266	0.8192237	1.0743183	0.7118476	0.9546189	0.5805172	0.7874584	0.9217613	0.3377740	0.9796520	0.8773992	1.0370193
200.0	0.0098757	0.4020463	0.6769759	0.4627760	1.0612667	0.0481067	0.9872546	0.6232168	0.0081150	0.6587928	0.0427356	0.4999238	0.0426730	0.0349304	0.0096434	0.1447161	0.5582732	0.7098118	0.0893662	0.0015512	0.0670265	0.1923656	0.1932767	0.2086005	0.1906833	0.9698100	0.8015612	0.4479273	0.2697673	0.6839982	0.2874706	0.0280181	0.3702419	0.1622229	1.0758525	0.9618486	0.9933409	0.1297064	0.0832892	0.9783106	0.0792434	1.0460180	0.8914614	0.7709714	0.9581336	0.9894147	0.9043910	0.9295482	0.6214267	0.2220879	0.9653052	1.0873973	0.6221549	0.4401505	0.7371754	0.5959362	0.3224565	0.3530473	0.1691978	0.3922186	0.0330184	0.4546017	0.8738785	0.6259762	0.8436257	0.4458593	0.5680247	0.7187122	0.7244456	0.0291760	0.2396341	0.0286488	0.0385186	0.1003454	0.6370544	0.9825803	0.0278144	0.1460395	0.2415143	0.0464160	0.5686026	0.1778400	0.9932420	0.2579523	0.9679470	0.3286817	0.2048485	0.0776800	0.0474866	0.9793562	1.0773652	0.6913509	1.0237915	0.6278451	0.6798164	0.9765555	0.4544392	1.1261100	0.8283516	1.0782209
250.0	0.0005226	0.4103130	0.7027183	0.4826681	1.0285473	0.0641542	1.0577847	0.6948061	0.0122275	0.6855262	0.0212250	0.4824239	0.0543919	0.0263347	0.0178471	0.1186249	0.5163895	0.7586133	0.0919151	0.0038011	0.0670030	0.1753076	0.1827811	0.1454666	0.1400881	1.0072311	0.7402239	0.4570546	0.2738767	0.6847441	0.2990599	0.0376915	0.4151910	0.2015935	1.0371106	0.8837400	1.0370193	0.1271339	0.0615552	0.9374637	0.0774255	0.9243870	1.0545940	0.7078496	0.9853360	1.0047010	0.9813149	0.9586852	0.6181417	0.2326999	0.9831575	1.0392122	0.7080172	0.3456736	0.7696689	0.6033818	0.3562742	0.3938633	0.1584724	0.4540774	0.0077684	0.4516792	0.9527881	0.6537146	0.7818372	0.4382138	0.6050097	0.6426425	0.6582999	0.0579700	0.2260223	0.0181840	0.0349618	0.1169197	0.5708655	0.9461170	0.0232165	0.1892500	0.2624822	0.0335833	0.5596800	0.1966903	1.1164829	0.2324372	0.9116587	0.2987935	0.2137520	0.0853934	0.0744425	0.9422277	1.0281507	0.6798107	0.9551682	0.6327368	0.6859423	0.9622134	0.4317389	1.0370728	0.7875728	1.1185892
300.0	0.0000000	0.4412203	0.7041469	0.5363550	1.0348263	0.0565257	1.0150969	0.6393573	0.0256160	0.7697456	0.0282011	0.5209049	0.0902543	0.0198435	0.0253254	0.1252416	0.5011121	0.7705031	0.0642735	0.0016404	0.0734016	0.1938323	0.1751908	0.1407481	0.2468620	1.0258453	0.7728648	0.5851652	0.2742198	0.6843997	0.2794752	0.0373547	0.3770606	0.1695347	1.0536586	0.9369009	1.0255606	0.1354825	0.0743887	0.9592872	0.0853672	1.0080983	1.0140721	0.7887595	1.1000574	1.0333799	1.0309442	0.9117607	0.5391491	0.2928905	1.0291210	1.0398922	0.6637468	0.4330436	0.8547250	0.4848801	0.3329250	0.4715004	0.1549729	0.4707622	0.0178403	0.4344848	1.0385962	0.6035398	0.8242183	0.5155111	0.5905058	0.6576475	0.7229579	0.0561435	0.2370872	0.0289994	0.0594593	0.1062594	0.5736661	0.8952215	0.0226496	0.1449563	0.3070043	0.0146476	0.6419285	0.1456191	1.0231343	0.2391986	0.8953419	0.3306784	0.1827990	0.1009812	0.0716380	0.9178630	0.9991763	0.7884894	0.9876937	0.5707142	0.6977088	0.9901500	0.4218204	0.9959598	0.7745681	1.0812027
350.0	0.0000000	0.4136673	0.7690484	0.6496098	1.0634708	0.0652082	1.0765069	0.6346246	0.0157341	0.7728857	0.0208062	0.4756448	0.0792110	0.0178187	0.0172271	0.1423756	0.4978322	0.7529730	0.1307532	0.0054814	0.0682497	0.2122433	0.1848918	0.1584722	0.2130718	0.9654324	0.6747930	0.4993267	0.2705233	0.7783817	0.2936966	0.0482240	0.3779605	0.1365062	1.0311110	0.9560485	0.9692833	0.1681048	0.0749369	0.9658733	0.0779427	1.0037762	1.0064398	0.8447848	1.0101824	1.0044939	1.0109802	0.9823080	0.6547877	0.2860294	0.9515571	1.0572926	0.7208022	0.3589962	0.8680124	0.5892769	0.3371389	0.4087256	0.1200207	0.3830819	0.0234760	0.4477778	0.9150145	0.6997203	0.7740058	0.5410461	0.5865432	0.6379944	0.7821263	0.0394061	0.2910068	0.0399835	0.0591431	0.0952482	0.5987582	0.9745827	0.0170305	0.1227854	0.2784679	0.0268238	0.5900789	0.1886404	1.1295626	0.2411793	0.8644616	0.3107531	0.1731777	0.1007412	0.0851334	1.0162707	1.0441325	0.7138401	1.0407665	0.6334223	0.7715567	0.9371846	0.4531192	0.9756758	0.8586005	0.9699998
400.0	0.0000000	0.4624103	0.7954412	0.5145312	1.0220671	0.0547204	0.9007166	0.6519510	0.0209534	0.7175475	0.0322267	0.5492418	0.0605091	0.0483313	0.0119000	0.1506572	0.4980262	0.8138853	0.0962177	0.0086635	0.0481068	0.2695773	0.1660928	0.1612514	0.2022505	0.9927322	0.7438813	0.4638904	0.2723350	0.7620314	0.3281198	0.0182991	0.3884960	0.1838556	1.0270020	1.0325623	0.9887233	0.1179111	0.0914821	1.0270500	0.0588867	0.9864692	1.1630981	0.8758704	0.9329073	1.0504935	0.9581601	0.9497348	0.6887126	0.2257800	0.9137626	1.1207509	0.7015906	0.3834113	0.8577623	0.5717458	0.3049918	0.3470012	0.1123796	0.3678264	0.0158592	0.4888458	0.9053064	0.7773956	0.7884113	0.5705354	0.5558303	0.6058026	0.8467427	0.0281928	0.2807250	0.0196021	0.0641564	0.1287572	0.5430120	0.9558351	0.0182537	0.1228938	0.2741629	0.0193323	0.5662248	0.2311159	1.1529820	0.2665843	1.0249220	0.3418490	0.1837395	0.0825523	0.0836490	1.0519449	1.0130622	0.7282940	1.0447104	0.6453638	0.7933184	0.8563059	0.4179213	1.0302091	0.8421763	0.9584076
