"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.9954096	0.1128447	0.6889871	0.6881702	0.4020489	0.6685363	0.6794737	0.0973489	0.9033266	0.3226413	0.8584820	0.8780521	0.7884116	0.5184248	0.9703571	0.2619318	0.5142215	0.6183624	0.3119189	0.9999510	0.3526416	0.0357610	1.0000000	0.5645967	0.0296376	0.0411574	0.2034737	1.0000000	0.7671019	1.0000000	0.6723143	1.0000000	0.1434409	1.0000000	0.7943025	0.4834204	0.6499112	0.7252685	0.6793415	0.4832982	0.0270809	0.3514995	0.4045648	0.9992082	0.9935138	0.0129128	0.1711874	0.7075462	0.6428389	0.7570045	0.3365996	0.9525608	0.1142656	0.7192398	0.8830655	0.1802944	0.5874753	0.7866763	0.9834872	0.8000421	0.8445495	0.9955917	0.5322524	0.3588297	0.3813396	0.7766566	0.4028590	0.3328451	0.9815759	0.2678039	0.2334681	0.2286896	0.2028375	0.5839074	0.5582018	0.1938318	0.0030112	0.6675524	0.7770199	0.2957444	0.4754650	0.3727052	0.7640933	0.2036795	0.5108874	0.9916233	0.3339599	0.7681598	0.6783336	0.8698097	0.5912867	0.5826342	0.7570408	1.0000000	0.9813061	1.0000000	0.4101318	1.0000000	1.0000000	1.0000000
50.0	0.9954096	0.1128447	0.6889871	0.6881702	0.4020489	0.6685363	0.6794738	0.0955764	0.8402084	0.3226413	0.8584820	0.8797303	0.7885326	0.5186257	0.9748615	0.2619318	0.5142215	0.6183624	0.3452088	0.9999510	0.3526416	0.0357610	1.0000000	0.5645967	0.0296376	0.0413553	0.2040317	1.0000000	0.7671019	1.0000000	0.6723143	1.0000000	0.1434409	1.0000000	0.7943025	0.4834204	0.6499112	0.7252685	0.6793415	0.4843911	0.0270809	0.3768779	0.3786130	0.9992082	0.9905857	0.0129128	0.2174768	0.8054559	0.6427596	0.7570045	0.3365996	0.9525608	0.1142656	0.7373047	0.8459260	0.1802944	0.5511180	0.7568549	0.9479153	0.7997954	0.8091514	0.9955917	0.5322524	0.3588297	0.3813396	0.7766566	0.4028589	0.3324825	0.9789943	0.2678039	0.2334681	0.2286896	0.2028375	0.5839073	0.5808399	0.1938318	0.0019649	0.6556710	0.1109602	0.1007364	0.4025260	0.2879923	0.7442638	0.1112572	0.5178404	0.9932724	0.3691721	0.6875529	0.5083269	0.9158183	0.5586259	0.5546741	0.7345085	1.0000000	0.9813061	1.0000000	0.4101317	1.0000000	1.0000000	1.0000000
100.0	0.9954096	0.1128447	0.6889871	0.6881702	0.4020489	0.6685363	0.6794738	0.0796953	0.5723616	0.3226413	0.8584820	0.9211317	0.7905109	0.5760773	0.9898582	0.2619318	0.5142215	0.6183624	0.4684117	0.9999510	0.3526416	0.0357610	1.0000000	0.5645967	0.0296376	0.0442503	0.2121908	1.0000000	0.7671019	1.0000000	0.6723143	1.0000000	0.1434409	1.0000000	0.7943025	0.4834204	0.6499112	0.7252685	0.6793415	0.4856773	0.0270809	0.4134509	0.3439808	0.9992082	0.9668279	0.0129128	0.3758823	0.9410701	0.6412352	0.7570045	0.3365996	0.9525608	0.1142656	0.7524388	0.6575387	0.1802944	0.4485753	0.7172741	0.8716960	0.7979667	0.7294355	0.9955917	0.5322524	0.3588297	0.3813396	0.7766566	0.4028589	0.3267509	0.9582238	0.2678039	0.2334681	0.2286896	0.2028375	0.5839073	0.6669776	0.1938318	0.0012538	0.6278890	0.0158454	0.0343128	0.2348057	0.1602679	0.6254669	0.0512788	0.5337328	0.9972133	0.5231567	0.5394723	0.1978490	0.9783756	0.3792788	0.4443751	0.6622741	1.0000000	0.9813061	1.0000000	0.4101317	1.0000000	1.0000000	1.0000000
150.0	0.9954096	0.1128447	0.6889871	0.6881702	0.4020489	0.6685363	0.6794738	0.0474978	0.2240984	0.3226413	0.8584820	0.9904328	0.7934277	0.6827660	0.9972017	0.2619318	0.5142215	0.6183624	0.6204769	0.9999510	0.3526416	0.0357610	1.0000000	0.5645967	0.0296379	0.0529323	0.2369955	1.0000000	0.7671019	1.0000000	0.6723143	1.0000000	0.1434409	1.0000000	0.7943025	0.4834204	0.6499112	0.7252685	0.6793415	0.4860720	0.0270809	0.4293961	0.3310508	0.9992082	0.8555529	0.0129128	0.5380963	0.9856459	0.6306484	0.7570045	0.3365997	0.9525608	0.1142656	0.7565355	0.5298072	0.1802944	0.3580942	0.7022392	0.8481754	0.7968022	0.6637357	0.9955917	0.5322524	0.3588297	0.3813396	0.7766566	0.4028589	0.3071621	0.8719441	0.2678039	0.2334681	0.2286896	0.2028375	0.5839073	0.7824545	0.1938318	0.0011920	0.5806586	0.0022628	0.0116876	0.1424901	0.1115084	0.3646136	0.0397241	0.5576002	0.9991169	0.7448443	0.4460901	0.0750612	0.9962216	0.1365947	0.3001977	0.6270732	1.0000000	0.9813061	1.0000000	0.4101317	1.0000000	1.0000000	1.0000000
200.0	0.9954096	0.1128447	0.6889871	0.6881702	0.4020489	0.6685363	0.6794738	0.0281149	0.0894969	0.3226413	0.8584820	0.9994130	0.7941148	0.7050610	0.9992602	0.2619318	0.5142215	0.6183624	0.7162073	0.9999510	0.3526416	0.0357610	1.0000000	0.5645967	0.0296388	0.0634533	0.2707848	1.0000000	0.7671019	1.0000000	0.6723143	1.0000000	0.1434409	1.0000000	0.7943025	0.4834204	0.6499112	0.7252685	0.6793415	0.4861663	0.0270809	0.4354157	0.3269584	0.9992082	0.6659774	0.0129128	0.6393867	0.9966092	0.5884581	0.7570045	0.3365997	0.9525608	0.1142656	0.7575726	0.4894118	0.1802944	0.3021044	0.6976528	0.8418445	0.7964618	0.5191243	0.9955917	0.5322524	0.3588297	0.3813396	0.7766566	0.4028589	0.2765305	0.7400354	0.2678039	0.2334681	0.2286896	0.2028375	0.5839073	0.8788779	0.1938318	0.0011890	0.4849857	0.0003231	0.0039810	0.1115360	0.0977765	0.1596951	0.0376396	0.7018299	0.9997372	0.8987173	0.2936501	0.0359370	0.9993854	0.0472989	0.1897511	0.6148872	1.0000000	0.9813061	1.0000000	0.4101317	1.0000000	1.0000000	1.0000000
250.0	0.9954096	0.1128447	0.6889871	0.6881702	0.4020489	0.6685363	0.6794738	0.0206255	0.0676656	0.3226413	0.8584820	0.9999674	0.7942343	0.7093598	0.9998051	0.2619318	0.5142215	0.6183624	0.7555235	0.9999510	0.3526416	0.0357610	1.0000000	0.5645967	0.0296404	0.0706151	0.2988477	1.0000000	0.7671019	1.0000000	0.6723143	1.0000000	0.1434409	1.0000000	0.7943025	0.4834204	0.6499112	0.7252685	0.6793415	0.4861882	0.0270809	0.4376686	0.3256745	0.9992082	0.5528627	0.0129128	0.6837513	0.9992017	0.5089633	0.7570045	0.3365997	0.9525608	0.1142656	0.7578349	0.4779829	0.1802944	0.2714604	0.6963618	0.8401418	0.7963672	0.2764795	0.9955917	0.5322524	0.3588297	0.3813396	0.7766566	0.4028589	0.2468275	0.6323013	0.2678039	0.2334681	0.2286896	0.2028375	0.5839073	0.9395337	0.1938318	0.0011888	0.3369180	0.0000461	0.0013560	0.1026654	0.0941807	0.0665203	0.0372640	0.8833606	0.9999227	0.9662529	0.1489941	0.0235969	0.9999008	0.0214075	0.1275682	0.6106746	1.0000000	0.9813061	1.0000000	0.4101317	1.0000000	1.0000000	1.0000000
300.0	0.9954096	0.1128447	0.6889871	0.6881702	0.4020489	0.6685363	0.6794738	0.0179730	0.0649967	0.3226413	0.8584820	0.9999982	0.7942550	0.7101885	0.9999487	0.2619318	0.5142215	0.6183624	0.7685674	0.9999510	0.3526416	0.0357610	1.0000000	0.5645967	0.0296421	0.0743149	0.3164856	1.0000000	0.7671019	1.0000000	0.6723143	1.0000000	0.1434409	1.0000000	0.7943025	0.4834204	0.6499112	0.7252685	0.6793415	0.4861932	0.0270809	0.4385115	0.3252719	0.9992082	0.5102188	0.0129128	0.6993796	0.9998121	0.4279707	0.7570045	0.3365997	0.9525608	0.1142656	0.7579012	0.4747880	0.1802944	0.2556480	0.6960194	0.8396838	0.7963409	0.1349961	0.9955917	0.5322524	0.3588297	0.3813396	0.7766566	0.4028589	0.2247538	0.5633539	0.2678039	0.2334681	0.2286896	0.2028375	0.5839073	0.9718674	0.1938318	0.0011888	0.1906290	0.0000066	0.0004619	0.1002518	0.0932580	0.0302950	0.0371964	0.9596138	0.9999773	0.9897824	0.0923880	0.0197055	0.9999840	0.0140846	0.0983868	0.6092183	1.0000000	0.9813061	1.0000000	0.4101317	1.0000000	1.0000000	1.0000000
350.0	0.9954096	0.1128447	0.6889871	0.6881702	0.4020489	0.6685363	0.6794738	0.0170475	0.0646977	0.3226413	0.8584820	0.9999999	0.7942586	0.7103483	0.9999865	0.2619318	0.5142215	0.6183624	0.7725038	0.9999510	0.3526416	0.0357610	1.0000000	0.5645967	0.0296432	0.0760214	0.3259765	1.0000000	0.7671019	1.0000000	0.6723143	1.0000000	0.1434409	1.0000000	0.7943025	0.4834204	0.6499112	0.7252685	0.6793415	0.4861944	0.0270809	0.4388268	0.3251456	0.9992082	0.4960685	0.0129128	0.7042563	0.9999558	0.3709423	0.7570045	0.3365997	0.9525608	0.1142656	0.7579179	0.4738959	0.1802944	0.2478054	0.6959327	0.8395606	0.7963336	0.0782593	0.9955917	0.5322524	0.3588297	0.3813396	0.7766566	0.4028589	0.2105959	0.5252940	0.2678039	0.2334681	0.2286896	0.2028375	0.5839073	0.9875033	0.1938318	0.0011888	0.0964935	0.0000009	0.0001573	0.0996068	0.0930225	0.0168455	0.0371842	0.9861941	0.9999933	0.9970752	0.0773175	0.0184783	0.9999974	0.0120269	0.0861498	0.6087149	1.0000000	0.9813061	1.0000000	0.4101317	1.0000000	1.0000000	1.0000000
400.0	0.9954096	0.1128447	0.6889871	0.6881702	0.4020489	0.6685363	0.6794738	0.0167253	0.0646652	0.3226413	0.8584820	1.0000000	0.7942592	0.7103791	0.9999965	0.2619318	0.5142215	0.6183624	0.7736496	0.9999510	0.3526416	0.0357610	1.0000000	0.5645967	0.0296438	0.0767702	0.3306237	1.0000000	0.7671019	1.0000000	0.6723143	1.0000000	0.1434409	1.0000000	0.7943025	0.4834204	0.6499112	0.7252685	0.6793415	0.4861947	0.0270809	0.4389448	0.3251059	0.9992082	0.4915259	0.0129128	0.7056750	0.9999896	0.3380947	0.7570045	0.3365997	0.9525608	0.1142656	0.7579222	0.4736469	0.1802944	0.2440338	0.6959114	0.8395275	0.7963316	0.0571019	0.9955917	0.5322524	0.3588297	0.3813396	0.7766566	0.4028589	0.2022874	0.5062668	0.2678039	0.2334681	0.2286896	0.2028375	0.5839073	0.9946225	0.1938318	0.0011888	0.0515839	0.0000001	0.0000536	0.0994355	0.0929625	0.0119522	0.0371820	0.9952866	0.9999980	0.9991921	0.0738207	0.0180913	0.9999996	0.0114502	0.0813803	0.6085408	1.0000000	0.9813061	1.0000000	0.4101317	1.0000000	1.0000000	1.0000000
