"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.9954096	0.1128447	0.6889871	0.6881702	0.4020489	0.6685363	0.6794738	0.0165534	0.0646612	0.3226413	0.8584820	1.0000000	0.7942593	0.7103864	1.0000000	0.2619318	0.5142215	0.6183624	0.7741180	0.9999510	0.3526416	0.0357610	1.0000000	0.5645967	0.0296444	0.0773136	0.3343706	1.0000000	0.7671019	1.0000000	0.6723143	1.0000000	0.1434409	1.0000000	0.7943025	0.4834204	0.6499112	0.7252685	0.6793415	0.4861947	0.0270809	0.4390152	0.3250879	0.9992082	0.4894068	0.0129128	0.7062163	1.0000000	0.3067169	0.7570045	0.3365997	0.9525608	0.1142656	0.7579236	0.4735505	0.1802944	0.2407978	0.6959048	0.8395153	0.7963308	0.0448948	0.9955917	0.5322524	0.3588297	0.3813396	0.7766566	0.4028589	0.1927515	0.4903423	0.2678039	0.2334681	0.2286896	0.2028375	0.5839073	0.9999996	0.1938318	0.0011888	0.0232560	0.0000000	0.0000000	0.0993738	0.0929420	0.0092355	0.0371815	1.0000000	1.0000000	0.9999999	0.0728412	0.0179130	1.0000000	0.0112262	0.0786494	0.6084489	1.0000000	0.9813061	1.0000000	0.4101317	1.0000000	1.0000000	1.0000000
0.0145322	0.9756177	0.8296404	0.0447943	0.0000000	0.8143368	0.2253158	0.0165534	0.5214622	0.9999992	1.0000000	1.0000000	1.0000000	0.9999990	0.9999989	0.5435948	0.5594446	0.5811363	0.4497348	0.0071073	0.1374932	0.0342516	1.0000000	0.5645967	0.0296377	0.0426404	0.2046278	1.0000000	0.6432961	1.0000000	0.6723143	1.0000000	0.1513234	1.0000000	0.0383267	0.4833990	0.5409634	0.7252685	0.5361094	0.4863059	0.0171292	0.3634358	0.3699956	0.0660334	0.4748490	0.0179031	0.5806054	1.0000000	0.9999995	1.0000000	0.1630116	0.9984764	0.0050956	0.3368295	0.4451509	0.9999969	0.3796739	0.2702680	0.5736260	0.7963308	0.4292937	0.9955912	0.5584984	0.3225180	0.3824416	0.7269982	0.5224675	0.3656568	0.8225908	0.3008364	0.2618898	0.3665197	0.3621093	0.6534475	0.5225105	0.2726180	0.0011888	0.6447651	0.9999990	0.0000000	0.5569999	0.4264199	0.6241273	0.0371815	0.5496501	1.0000000	0.3683893	0.4660484	0.0179131	1.0000000	0.4410673	0.2559258	0.6312926	1.0000000	0.9813061	1.0000000	0.4260224	1.0000000	1.0000000	1.0000000
0.0145322	0.9756177	0.8296404	0.0447943	0.0000000	0.8143368	0.2253158	0.0165535	0.9988813	0.9999992	1.0000000	1.0000000	1.0000000	0.9999990	1.0000000	0.5435948	0.5594446	0.5811363	0.1911668	0.0071073	0.1374932	0.0342516	1.0000000	0.5645967	0.0296391	0.0562887	0.2471259	1.0000000	0.6432961	1.0000000	0.6723143	1.0000000	0.1513234	1.0000000	0.0383267	0.4833990	0.5409634	0.7252685	0.5361094	0.4863058	0.0171292	0.3634344	0.3699966	0.0660334	0.9891730	0.0179031	0.0126663	1.0000000	0.9999995	1.0000000	0.1630116	0.9984764	0.0050956	0.3368295	0.3254379	0.9999969	0.3717329	0.3965542	0.5736260	0.7963308	0.6721869	0.9955912	0.5584984	0.3225180	0.3824416	0.7269982	0.5224675	0.3169112	0.8781860	0.3008364	0.2618898	0.3665197	0.3621093	0.6534475	0.9435779	0.2726180	0.0011888	0.5123297	0.0000001	0.9999996	0.4741847	0.6089571	0.4604016	0.0371815	0.7400037	0.4212839	0.5396643	0.4803729	0.0179131	1.0000000	0.4316583	0.6284612	0.6312926	1.0000000	0.9813061	1.0000000	0.4260224	1.0000000	1.0000000	1.0000000
0.0145322	0.9756177	0.8296404	0.0447943	0.0000000	0.8143368	0.2253158	0.6900915	0.9926950	0.9999992	1.0000000	1.0000000	1.0000000	0.9999990	0.9946667	0.5435948	0.5594446	0.5811363	0.3478802	0.0071073	0.6715628	0.0342516	1.0000000	0.5645967	0.0296375	0.0395792	0.1949441	1.0000000	0.6432961	1.0000000	0.6723143	1.0000000	0.1513234	1.0000000	0.0383267	0.4833990	0.5409634	0.7252685	0.5361094	0.4736621	0.0171292	0.8418425	0.4514011	0.0660334	0.9839091	0.0179031	0.1167015	0.6913462	0.9999995	0.0000000	0.2048620	1.0000000	0.5049466	0.0000730	0.9554385	0.9999969	0.4253298	0.2227500	0.5782785	0.8604934	0.8447864	0.9955912	0.5584984	0.3225180	0.3824416	0.7269982	0.5224675	0.3763892	0.9770696	0.3008364	0.2618898	0.3665197	0.3621093	0.6534475	0.5591640	0.2726180	0.0029993	0.6673002	0.7776243	0.2950667	0.4757994	0.3725386	0.7636864	0.2037047	0.5112311	0.9917202	0.3340970	0.7686998	0.6795961	0.8710387	0.5901974	0.5841162	0.7733345	1.0000000	0.9813061	1.0000000	0.4260224	1.0000000	1.0000000	1.0000000
0.0000009	0.9999432	0.8296477	0.0447943	0.0000000	0.8143525	0.2245709	0.6901025	0.9928802	0.9999997	1.0000000	1.0000000	1.0000000	0.9999998	1.0000000	0.5451258	0.5594446	0.5811274	0.3473158	0.0043425	0.1375174	0.0342516	1.0000000	0.5645967	0.0296375	0.0395773	0.1949455	1.0000000	0.6431117	1.0000000	0.6723143	1.0000000	0.1513351	1.0000000	0.0383280	0.4833990	0.5407753	0.7252685	0.5360496	0.4855144	0.0171292	0.2862541	0.4514144	0.0660396	0.9839099	0.0179032	0.1166950	0.6913355	0.9999966	0.9999999	0.1630148	0.9984760	0.0050957	0.3009268	0.4371611	0.9999828	0.4253305	0.2227494	0.5782803	0.8604971	0.8447827	0.9955912	0.5585426	0.3224533	0.3824427	0.7269169	0.5225702	0.3764501	0.9770648	0.3008896	0.2619558	0.3667653	0.3623780	0.6535421	0.5591673	0.2727499	0.0029994	0.6673032	0.7776173	0.2950744	0.4757956	0.3725402	0.7636907	0.2037044	0.5112277	0.9917192	0.3340955	0.7686939	0.6795829	0.8710261	0.5902081	0.5841228	0.7733406	1.0000000	0.9813061	1.0000000	0.4260279	1.0000000	1.0000000	1.0000000
0.9954096	0.1128447	0.6889871	0.6881702	0.4020489	0.6685363	0.6794738	0.0165548	0.4765033	0.3226413	0.8584820	0.9999995	0.6206277	0.7103806	0.6976841	0.2619318	0.5142215	0.6183624	0.3660122	0.9999510	0.6428258	0.0573395	1.0000000	0.5645967	0.0296378	0.0443881	0.2134419	1.0000000	0.7671019	1.0000000	0.6723143	1.0000000	0.1434409	1.0000000	0.7943025	0.4834204	0.6499112	0.7252685	0.6793415	0.4861947	0.0311210	0.9997902	0.3250885	0.9992082	0.7426154	0.0129128	0.5973811	0.9999995	0.4814945	0.0000006	0.3671651	1.0000000	0.6234669	0.3110169	0.9999851	0.1802944	0.5591398	0.8326782	0.8395160	0.7963308	0.4292451	0.9955917	0.5322524	0.3588297	0.3813396	0.7766566	0.4028589	0.3225463	0.8572517	0.2678039	0.2334681	0.2286896	0.2028375	0.5839073	0.5225577	0.1938318	0.0011888	0.6447625	0.9999706	0.0000019	0.5568969	0.4263560	0.6241248	0.0371815	0.5496500	1.0000000	0.3684165	0.4659853	0.0179209	1.0000000	0.4410666	0.2528985	0.6084499	1.0000000	0.9813061	1.0000000	0.4101317	1.0000000	1.0000000	1.0000000
0.9954096	0.1128447	0.6889871	0.6881702	0.4020489	0.6685363	0.6794738	0.0165535	0.4817713	0.3226413	0.8584820	0.9996742	0.6206275	0.7103862	0.9640497	0.2619318	0.5142215	0.6183624	0.5062112	0.9999510	0.6428260	0.0573403	1.0000000	0.5645967	0.0296394	0.0586685	0.2566563	1.0000000	0.7671019	1.0000000	0.6723143	1.0000000	0.1434409	1.0000000	0.7943025	0.4834204	0.6499112	0.7252685	0.6793415	0.4861945	0.0311211	0.9999879	0.3250888	0.9992082	0.9968875	0.0129128	0.2485188	1.0000000	0.6446964	0.0000000	0.3670872	1.0000000	0.6234693	0.3109839	0.9997306	0.1802944	0.5511349	0.8438046	0.8395153	0.7963308	0.6721955	0.9955917	0.5322524	0.3588297	0.3813396	0.7766566	0.4028589	0.2764644	0.9003340	0.2678039	0.2334681	0.2286896	0.2028375	0.5839073	0.8901423	0.1938318	0.0011888	0.5123297	0.0000001	0.9999996	0.4741847	0.6089571	0.4604016	0.0371815	0.7400037	0.4212836	0.5396643	0.4803729	0.0179131	1.0000000	0.4316583	0.6284612	0.6084489	1.0000000	0.9813061	1.0000000	0.4101317	1.0000000	1.0000000	1.0000000
0.0145317	0.9756830	0.8310857	0.0447943	0.0000000	0.7832758	0.2258169	0.6900850	0.9926945	0.9999994	1.0000000	1.0000000	1.0000000	0.9999991	0.9999990	0.5435911	0.5594446	0.5811363	0.3478823	0.0071010	0.3104036	0.0342516	1.0000000	0.5645967	0.0296373	0.0355140	0.1710094	1.0000000	0.0000000	1.0000000	0.6723148	1.0000000	0.4348778	1.0000000	0.0383264	0.4857405	0.8496692	0.7252685	0.1444701	0.9986064	0.0171292	0.2862621	0.4513924	0.0660322	0.9839086	0.4744023	0.1167056	0.6913531	0.9999999	1.0000000	0.1630109	0.9984764	0.0050956	0.9599411	0.4371609	0.9999995	0.4253297	0.2227505	0.5782780	0.8604913	0.8447887	0.9956393	0.6457617	0.5276893	0.3632334	0.0592784	0.9939757	0.8554420	0.9327929	1.0000000	0.7870416	1.0000000	1.0000000	0.9999999	0.5603670	0.9067870	0.0029992	0.6672983	0.7776288	0.2950617	0.4758018	0.3725375	0.7636837	0.2037048	0.5112320	0.9917200	0.3340980	0.7687036	0.6796046	0.8710468	0.5901905	0.5900135	0.8070078	1.0000000	0.9813061	1.0000000	0.4763606	1.0000000	1.0000000	1.0000000
0.0000009	0.9999432	0.9996982	0.0447943	1.0000000	0.4454553	0.2238410	0.0165536	0.5215550	0.9999997	0.9999985	1.0000000	1.0000000	0.9999979	1.0000000	0.5451258	0.9962704	0.5811274	0.0030004	0.0043425	0.6422639	0.4716013	1.0000000	0.5645967	0.0296377	0.0426365	0.2046225	1.0000000	0.6429294	1.0000000	0.6723143	1.0000000	0.1513507	1.0000000	0.8883154	0.4833976	0.5405892	0.7252685	0.8143670	0.4863063	0.3985934	0.7975091	0.1552980	0.9999168	0.8329160	0.0082047	0.6112966	0.9999999	0.5166824	0.3458669	0.5007208	0.9782101	0.4991004	0.9629225	0.9322825	0.1031583	0.7670500	0.8889411	0.9240324	0.7963308	0.4292831	0.9955912	0.5585960	0.3223933	0.3824452	0.7268305	0.5227157	0.3657826	0.8224972	0.3009469	0.2620330	0.3670231	0.3626827	0.6536522	0.5225192	0.2728974	0.0011888	0.6447646	0.9999944	0.0000003	0.5569812	0.4264091	0.6241266	0.0371815	0.5496501	1.0000000	0.3683944	0.4660367	0.0179139	1.0000000	0.4410671	0.2559317	0.6313327	1.0000000	0.9813061	1.0000000	0.4260615	1.0000000	1.0000000	1.0000000
0.0000009	0.9999432	0.9996982	0.0447943	1.0000000	0.4454553	0.2238410	0.0165549	0.9999493	0.9999997	0.9999985	0.9999994	0.9999999	0.9999948	0.7078688	0.5451258	0.9962704	0.5811274	0.1906175	0.0043425	0.6422639	0.4716013	1.0000000	0.5645967	0.0296391	0.0562843	0.2471381	1.0000000	0.6429294	1.0000000	0.6723143	1.0000000	0.1513507	1.0000000	0.8883154	0.4833976	0.5405892	0.7252685	0.8143670	0.4863059	0.3985934	0.7974989	0.1553026	0.9999168	0.9994847	0.0082047	0.4442683	1.0000000	0.6298382	0.3458669	0.5007208	0.9782101	0.4991004	0.9629225	0.8439686	0.1031583	0.7586681	0.8885238	0.9240325	0.7963308	0.6721984	0.9955912	0.5585960	0.3223933	0.3824452	0.7268305	0.5227157	0.3169955	0.8781180	0.3009469	0.2620330	0.3670231	0.3626827	0.6536522	0.9436990	0.2728974	0.0011888	0.5123847	0.0000005	0.9999973	0.4741653	0.6089549	0.4603968	0.0371815	0.7400073	0.4213227	0.5396770	0.4803729	0.0179131	1.0000000	0.4316567	0.6284589	0.6313327	1.0000000	0.9813061	1.0000000	0.4260615	1.0000000	1.0000000	1.0000000
