"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.9954096	0.1128447	0.6889871	0.6881702	0.4020489	0.6685363	0.6794737	0.0973499	0.9033185	0.3226413	0.8584820	0.8780500	0.7884113	0.5184248	0.9703279	0.2619318	0.5142215	0.6183624	0.3118893	0.9999510	0.3526416	0.0357610	1.0000000	0.5645967	0.0296376	0.0411553	0.2034526	1.0000000	0.7671019	1.0000000	0.6723143	1.0000000	0.1434409	1.0000000	0.7943025	0.4834204	0.6499112	0.7252685	0.6793415	0.4832873	0.0270809	0.3512135	0.4049257	0.9992082	0.9935232	0.0129128	0.1711304	0.7073331	0.6428481	0.7570045	0.3365994	0.9525608	0.1142655	0.7191510	0.8830311	0.1802944	0.5874678	0.7866586	0.9835343	0.8000423	0.8444690	0.9955917	0.5322524	0.3588297	0.3813396	0.7766566	0.4028593	0.3328621	0.9815977	0.2678039	0.2334681	0.2286896	0.2028376	0.5839074	0.5582415	0.1938318	0.0030125	0.6676494	0.7768145	0.2959611	0.4753689	0.3727330	0.7641831	0.2036747	0.5108319	0.9915972	0.3339183	0.7680167	0.6780676	0.8695742	0.5914418	0.5827629	0.7572543	1.0000000	0.9813061	1.0000000	0.4101319	1.0000000	1.0000000	1.0000000
50.0	0.8650512	0.1141544	0.6922763	0.6867578	0.4255039	0.6679194	0.6774710	0.1043017	0.9043206	0.3365444	0.8597127	0.8780546	0.7909663	0.5239816	0.9701393	0.2644446	0.5187898	0.6181864	0.3078037	0.9999478	0.3544769	0.0357886	1.0000000	0.5645967	0.0296376	0.0411597	0.2034694	1.0000000	0.7670841	1.0000000	0.6723143	1.0000000	0.1434409	1.0000000	0.7948022	0.4834204	0.6498936	0.7252685	0.6798802	0.4832990	0.0271797	0.3515424	0.4044029	0.9992134	0.9935292	0.0129031	0.1714283	0.7076775	0.6427796	0.7559934	0.3368439	0.9526181	0.1145366	0.7205997	0.8830707	0.1800354	0.5879437	0.7872148	0.9835209	0.7999747	0.8445545	0.9955917	0.5322525	0.3588295	0.3813396	0.7766565	0.4028592	0.3328437	0.9815785	0.2678041	0.2334681	0.2286901	0.2028379	0.5839076	0.5581979	0.1938320	0.0030099	0.6675791	0.7769766	0.2957818	0.4754548	0.3726934	0.7640837	0.2036809	0.5109121	0.9916220	0.3339541	0.7681535	0.6783743	0.8698683	0.5911923	0.5826231	0.7570424	1.0000000	0.9813061	1.0000000	0.4101318	1.0000000	1.0000000	1.0000000
100.0	0.7018625	0.1239556	0.7101294	0.6911232	0.5577877	0.6548080	0.6634392	0.1483582	0.9088403	0.4218001	0.8585913	0.8755707	0.8045536	0.5556374	0.9644932	0.2805670	0.5708645	0.6171904	0.2768177	0.9999200	0.3888693	0.0367566	1.0000000	0.5645967	0.0296376	0.0411631	0.2034828	1.0000000	0.7666034	1.0000000	0.6723143	1.0000000	0.1434424	1.0000000	0.8042599	0.4834198	0.6494369	0.7252685	0.6908716	0.4833237	0.0295202	0.3555702	0.3985440	0.9993047	0.9938300	0.0126823	0.1752248	0.7109051	0.6415599	0.7327420	0.3428128	0.9537461	0.1208625	0.7453946	0.8832551	0.1746965	0.5988562	0.7959217	0.9841560	0.7990522	0.8446234	0.9955917	0.5322575	0.3588126	0.3813396	0.7766393	0.4028731	0.3328372	0.9815622	0.2678155	0.2334723	0.2287389	0.2028765	0.5839315	0.5581632	0.1938530	0.0030078	0.6675228	0.7771068	0.2956380	0.4755240	0.3726618	0.7640039	0.2036858	0.5109764	0.9916418	0.3339829	0.7682634	0.6786203	0.8701041	0.5909920	0.5825108	0.7568723	1.0000000	0.9813061	1.0000000	0.4101319	1.0000000	1.0000000	1.0000000
150.0	0.5992990	0.1439885	0.7397648	0.6643239	0.7286972	0.6151923	0.6366425	0.2271793	0.9149442	0.5547165	0.8415030	0.8536727	0.7865473	0.5893966	0.9401284	0.3076135	0.6837834	0.6154781	0.2261387	0.9998463	0.4696452	0.0465905	1.0000000	0.5645967	0.0296376	0.0411652	0.2034917	1.0000000	0.7644771	1.0000000	0.6723143	1.0000000	0.1434576	1.0000000	0.8272075	0.4834174	0.6474844	0.7252685	0.7229973	0.4833540	0.0384090	0.3756625	0.3760389	0.9995038	0.9946062	0.0119480	0.1854333	0.7233091	0.6383053	0.6569735	0.3649196	0.9570017	0.1433157	0.8034536	0.8843790	0.1597031	0.6331224	0.8135012	0.9862091	0.7976980	0.8446807	0.9955916	0.5323083	0.3586554	0.3813399	0.7764764	0.4030440	0.3329103	0.9815404	0.2679238	0.2335138	0.2291922	0.2032580	0.5841599	0.5581389	0.1940589	0.0030060	0.6674777	0.7772114	0.2955225	0.4755795	0.3726366	0.7639398	0.2036897	0.5110279	0.9916577	0.3340060	0.7683516	0.6788177	0.8702933	0.5908313	0.5824210	0.7567397	1.0000000	0.9813061	1.0000000	0.4101361	1.0000000	1.0000000	1.0000000
200.0	0.5458345	0.1684132	0.7710944	0.5833301	0.8467942	0.5651147	0.6063457	0.3077400	0.9201116	0.6728112	0.8206891	0.7809561	0.6785184	0.5830096	0.8972379	0.3345643	0.7948548	0.6136892	0.1838677	0.9997316	0.5405928	0.0914998	1.0000000	0.5645967	0.0296376	0.0411630	0.2034875	1.0000000	0.7600661	1.0000000	0.6723143	1.0000000	0.1435158	1.0000000	0.8506898	0.4834130	0.6435585	0.7252685	0.7616443	0.4833448	0.0582123	0.4186138	0.3391482	0.9996895	0.9954209	0.0109083	0.1970153	0.7440344	0.6346331	0.5573419	0.4015435	0.9615326	0.1802615	0.8576741	0.8875520	0.1416734	0.6769335	0.8278566	0.9888437	0.7968933	0.8447302	0.9955916	0.5325003	0.3581160	0.3813422	0.7758992	0.4038249	0.3332262	0.9814943	0.2683078	0.2336704	0.2307667	0.2046655	0.5849761	0.5581308	0.1948120	0.0030047	0.6674415	0.7772953	0.2954298	0.4756241	0.3726165	0.7638883	0.2036928	0.5110693	0.9916704	0.3340245	0.7684224	0.6789761	0.8704450	0.5907024	0.5823520	0.7566576	1.0000000	0.9813061	1.0000000	0.4101634	1.0000000	1.0000000	1.0000000
250.0	0.5203144	0.1906846	0.7956072	0.4954487	0.9089774	0.5235913	0.5807623	0.3671680	0.9234303	0.7517836	0.8124251	0.6474634	0.5500352	0.5325452	0.8529955	0.3549787	0.8680918	0.6123335	0.1576254	0.9996082	0.5805723	0.1768657	1.0000000	0.5645967	0.0296376	0.0411515	0.2034504	1.0000000	0.7540209	1.0000000	0.6723143	1.0000000	0.1436463	1.0000000	0.8671519	0.4834085	0.6383277	0.7252685	0.7910780	0.4832776	0.0963083	0.4735512	0.3019751	0.9998112	0.9959929	0.0099566	0.2054860	0.7648082	0.6318725	0.4746945	0.4416560	0.9666031	0.2266645	0.8908585	0.8928115	0.1270735	0.7136848	0.8357706	0.9910164	0.7965537	0.8447728	0.9955915	0.5329252	0.3570431	0.3813497	0.7747057	0.4058695	0.3339471	0.9814052	0.2691025	0.2340183	0.2339689	0.2077013	0.5866796	0.5581436	0.1964204	0.0030036	0.6674125	0.7773627	0.2953554	0.4756600	0.3726004	0.7638470	0.2036953	0.5111025	0.9916806	0.3340394	0.7684792	0.6791032	0.8705668	0.5905989	0.5823055	0.7566645	1.0000000	0.9813061	1.0000000	0.4102544	1.0000000	1.0000000	1.0000000
300.0	0.5087426	0.2074869	0.8114232	0.4311697	0.9382287	0.4956864	0.5627831	0.4033928	0.9252204	0.7971314	0.8167836	0.4975586	0.4617753	0.4681578	0.8194548	0.3680435	0.9073450	0.6115056	0.1434764	0.9995070	0.5996562	0.2631128	1.0000000	0.5645967	0.0296376	0.0411257	0.2033566	1.0000000	0.7476683	1.0000000	0.6723143	1.0000000	0.1438545	1.0000000	0.8767959	0.4834053	0.6329685	0.7252685	0.8086421	0.4832229	0.1529009	0.5260522	0.2734997	0.9998788	0.9963231	0.0092708	0.2104161	0.7801890	0.6301960	0.4207136	0.4751602	0.9712780	0.2803144	0.9074559	0.8989581	0.1174111	0.7387251	0.8394583	0.9924386	0.7964289	0.8448079	0.9955914	0.5335962	0.3555350	0.3813656	0.7729494	0.4095787	0.3351034	0.9812695	0.2702722	0.2345722	0.2386159	0.2123676	0.5892123	0.5581760	0.1988659	0.0030027	0.6673892	0.7774168	0.2952956	0.4756888	0.3725876	0.7638138	0.2036972	0.5111291	0.9916888	0.3340513	0.7685248	0.6792052	0.8706645	0.5905158	0.5822846	0.7568081	1.0000000	0.9813061	1.0000000	0.4104544	1.0000000	1.0000000	1.0000000
350.0	0.5036692	0.2186100	0.8204567	0.3927111	0.9513493	0.4790019	0.5515944	0.4230901	0.9260881	0.8209921	0.8265470	0.3804758	0.4139595	0.4151683	0.7982004	0.3755158	0.9262135	0.6110664	0.1364309	0.9994387	0.6085457	0.3234627	1.0000000	0.5645967	0.0296376	0.0410853	0.2031935	1.0000000	0.7421204	1.0000000	0.6723143	1.0000000	0.1441171	1.0000000	0.8819342	0.4834033	0.6283929	0.7252685	0.8177195	0.4832128	0.2147573	0.5683542	0.2549351	0.9999128	0.9964944	0.0088424	0.2129537	0.7896903	0.6292992	0.3898719	0.4971777	0.9745711	0.3352730	0.9149251	0.9045923	0.1117073	0.7539273	0.8410642	0.9932539	0.7963854	0.8448360	0.9955914	0.5344342	0.3538756	0.3813909	0.7709098	0.4147486	0.3365649	0.9811018	0.2716312	0.2352711	0.2439458	0.2180309	0.5921893	0.5582203	0.2018003	0.0030020	0.6673706	0.7774603	0.2952477	0.4757119	0.3725773	0.7637871	0.2036988	0.5111505	0.9916954	0.3340609	0.7685614	0.6792871	0.8707428	0.5904491	0.5822899	0.7571128	1.0000000	0.9813061	1.0000000	0.4107836	1.0000000	1.0000000	1.0000000
400.0	0.5014970	0.2253201	0.8252193	0.3722421	0.9571061	0.4697580	0.5451884	0.4330468	0.9264826	0.8328750	0.8361676	0.3071537	0.3907822	0.3802056	0.7861356	0.3794646	0.9347685	0.6108536	0.1330990	0.9993986	0.6128899	0.3581717	1.0000000	0.5645967	0.0296376	0.0410347	0.2029684	1.0000000	0.7378868	1.0000000	0.6723143	1.0000000	0.1443950	1.0000000	0.8845255	0.4834022	0.6249703	0.7252685	0.8219402	0.4832278	0.2673719	0.5988819	0.2439985	0.9999289	0.9965775	0.0085983	0.2141741	0.7949342	0.6288575	0.3736286	0.5080231	0.9763069	0.3829162	0.9180913	0.9089222	0.1085709	0.7625213	0.8417492	0.9936841	0.7963705	0.8448579	0.9955913	0.5353120	0.3523575	0.3814234	0.7689220	0.4206533	0.3381157	0.9809260	0.2729564	0.2360110	0.2490767	0.2237954	0.5951344	0.5582670	0.2047537	0.0030014	0.6673556	0.7774951	0.2952092	0.4757305	0.3725690	0.7637657	0.2037001	0.5111676	0.9917007	0.3340686	0.7685908	0.6793528	0.8708058	0.5903956	0.5823170	0.7575589	1.0000000	0.9813061	1.0000000	0.4112214	1.0000000	1.0000000	1.0000000
450.0	0.5005832	0.2291027	0.8275953	0.3621307	0.9596003	0.4649251	0.5417312	0.4378330	0.9266555	0.8385719	0.8434405	0.2664971	0.3801475	0.3598222	0.7797639	0.3814344	0.9385231	0.6107564	0.1315806	0.9993771	0.6151615	0.3763131	1.0000000	0.5645967	0.0296376	0.0409812	0.2027065	1.0000000	0.7349676	1.0000000	0.6723143	1.0000000	0.1446522	1.0000000	0.8857879	0.4834016	0.6226509	0.7252685	0.8236949	0.4832467	0.3049068	0.6192500	0.2379771	0.9999360	0.9966162	0.0084680	0.2147397	0.7976247	0.6286524	0.3655168	0.5109288	0.9769228	0.4182992	0.9193885	0.9118425	0.1069260	0.7671520	0.8420415	0.9938987	0.7963653	0.8448748	0.9955913	0.5361141	0.3511572	0.3814588	0.7672295	0.4264327	0.3395546	0.9807642	0.2740859	0.2366930	0.2533893	0.2289139	0.5976890	0.5583086	0.2073484	0.0030009	0.6673436	0.7775231	0.2951783	0.4757454	0.3725624	0.7637486	0.2037011	0.5111814	0.9917049	0.3340747	0.7686144	0.6794055	0.8708562	0.5903527	0.5823576	0.7580891	1.0000000	0.9813061	1.0000000	0.4117156	1.0000000	1.0000000	1.0000000
