"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.0167581	0.9704870	0.1986017	0.0447943	0.0267712	0.8180454	0.0898984	0.0288196	0.5222239	0.9999990	0.9999354	1.0000000	1.0000000	0.9999985	0.9999990	0.2049517	0.8656287	0.5811405	0.7459961	0.0090355	0.0027672	0.8335070	1.0000000	0.5645967	0.0321049	0.4388200	0.0566463	1.0000000	0.6157881	0.0430495	0.9955113	1.0000000	0.1537998	1.0000000	0.0502562	0.4833975	0.5093259	0.7252685	0.9084267	0.4863427	0.0171292	0.3634828	0.3699415	0.1541459	0.1759430	0.0177301	0.2536772	0.5148015	0.8921914	0.9996551	0.1679980	0.9976077	0.0072560	0.1528126	0.2510643	0.7734614	0.2329698	0.1257876	0.6017414	0.9878358	0.9820327	0.9989189	0.2462941	0.3179780	0.3833616	0.6978877	0.5430124	0.4448735	0.8477813	0.3072894	0.1120430	0.4069448	0.4097366	0.6699465	0.5995273	0.2965542	0.0011888	0.6390253	0.6167531	0.0231087	0.3547825	0.8322863	0.6092745	0.0375894	0.0156861	0.9999995	0.1644118	0.3271144	0.2442048	0.9999794	0.4323384	0.1210062	0.0695209	1.0000000	0.9813061	0.3224570	0.1392027	1.0000000	1.0000000	1.0000000
0.6232202	0.1361971	0.9520937	0.6769692	0.1165031	0.8349049	0.6281987	0.3078539	0.7483181	0.7108129	0.9868245	0.9645594	0.9125325	0.7935679	0.3617565	0.0220166	0.3406699	0.5780353	0.5270353	0.9997180	0.1301513	0.2280596	1.0000000	0.5645967	0.0296371	0.0235105	0.1152674	1.0000000	0.7544238	1.0000000	0.5630023	1.0000000	0.0884310	1.0000000	0.4454582	0.8854819	0.6786574	0.8329527	0.5811425	0.4853503	0.9546764	0.0059645	0.5741381	0.9597154	0.9852815	0.1101252	0.1339280	0.6733809	0.6546415	0.9855341	0.1988562	0.9891677	0.0243018	0.5258264	0.8465926	0.2509740	0.4309134	0.4675442	0.9196240	0.9990842	0.9992421	0.9988868	0.5365293	0.1268849	0.3792901	0.9848373	0.4174030	0.2710926	0.9811224	0.2686694	0.5559681	0.2398030	0.2153961	0.5905564	0.5581549	0.2005193	0.8889693	0.6561186	0.7776288	0.2950617	0.4758018	0.3725375	0.7636837	0.7918261	0.5111391	0.2985563	0.0652914	0.9236360	0.6796046	0.0188367	0.9963500	0.5824088	0.7593366	0.7872927	0.9753842	1.0000000	0.4127777	1.0000000	1.0000000	1.0000000
0.2013897	0.5095997	0.9736828	0.9556489	0.0801811	0.8123195	0.6156824	0.6764906	0.9687290	0.8170451	0.9942633	0.9767001	0.9989428	0.0539789	0.7590596	0.0002773	0.5623974	0.4091719	0.3840642	0.9816204	0.6052776	0.0342867	0.5350545	0.4149357	0.6676225	0.0460803	0.1742238	1.0000000	0.7510952	0.9002860	0.6954276	1.0000000	0.1442396	1.0000000	0.6698322	0.9941235	0.9293195	0.8812111	0.6783790	0.4735619	0.0171338	0.8008957	0.1546740	0.8790492	0.9949458	0.3553664	0.1283108	0.6916292	0.7700083	0.0446162	0.6509376	0.9999178	0.5182492	0.2810308	0.5369628	0.5112418	0.8600252	0.3650914	0.6845201	0.8603759	0.8449083	0.9991447	0.5374112	0.3546477	0.3814421	0.7710272	0.4210400	0.3372695	0.9810205	0.0516400	0.7065701	0.2429072	0.2188850	0.5923580	0.5581928	0.2023298	0.0019353	0.9966942	0.7776173	0.2950744	0.4757956	0.3725402	0.7636907	0.2037044	0.4277629	0.9916517	0.3340955	0.7686939	0.7184007	0.8693354	0.5902750	0.5824808	0.7598706	0.3594137	0.7746970	1.0000000	0.4132541	0.8973985	1.0000000	0.3151433
0.1399129	0.4510630	0.9087921	0.5776058	0.0716905	0.8074111	0.1725309	0.8691109	0.9209604	0.6072548	0.2329846	0.9979807	0.6926543	0.9987826	0.9997863	0.3517160	0.5615070	0.8740389	0.3347959	0.9300362	0.2210442	0.0342518	1.0000000	0.9534047	0.0296381	0.0478663	0.2013612	1.0000000	0.6308940	0.4530559	0.8534278	1.0000000	0.0010127	1.0000000	0.1485182	0.4834207	0.7408396	0.7252685	0.5768578	0.0001470	0.0171318	0.5827053	0.3982271	0.7367235	0.9689633	0.0678881	0.0915384	0.9973237	0.7794572	0.3528216	0.2675044	0.9587724	0.3852585	0.6515176	0.5256710	0.5407404	0.3428654	0.2808653	0.6515920	0.7966519	0.6709447	0.9955917	0.9729963	0.0948921	0.3895460	0.5925242	0.0579479	0.2757286	0.8609743	0.3047760	0.0385957	0.0387595	0.3831337	0.6609202	0.9252556	0.6786525	0.1379449	0.5852048	0.0690750	0.4172728	0.6747970	0.9969298	0.3322540	0.0371819	0.6321991	0.9563769	0.7442546	0.4799127	0.0179237	0.9893489	0.2332684	0.5317208	0.9975467	1.0000000	0.9813061	1.0000000	0.6210331	0.1008533	1.0000000	1.0000000
0.3053696	0.3439721	0.9655422	0.0448367	0.0920090	0.4316652	0.4589372	0.6314392	0.9746036	0.9690979	0.9890800	0.9742631	0.9934701	0.7769359	0.2832873	0.1086403	0.6873441	0.5987628	0.4190663	0.9959536	0.0020885	0.0210242	0.3040321	0.2956750	0.0296384	0.0227961	0.0948891	1.0000000	0.7083896	0.1994024	0.9794099	0.6469749	0.0220166	0.8399248	0.1945148	0.9213041	0.6270082	0.7740450	0.5689049	0.4854140	0.0171383	0.0320722	0.4500876	0.9009725	0.9847067	0.1345081	0.1301544	0.0865610	0.7498560	0.9920064	0.7714756	0.3070041	0.0187023	0.6017555	0.8112581	0.4751447	0.4280025	0.3000649	0.6173244	0.9981212	0.9984814	0.9989829	0.5471365	0.3150368	0.3799366	0.8884433	0.4662551	0.4391626	0.9795704	0.2800244	0.2430353	0.2857092	0.1912667	0.1555282	0.5586119	0.2270113	0.6578303	0.9988396	0.7776268	0.2950639	0.4758007	0.3725380	0.7636849	0.2037048	0.5111354	0.6895748	0.0025267	0.7687019	0.6796008	0.8710432	0.5901936	0.5832635	0.7666455	1.0000000	0.9813061	1.0000000	0.4193348	1.0000000	0.5866934	1.0000000
0.0145316	0.9756977	0.6744735	0.0447943	0.0022808	0.7791236	0.1711156	0.7572829	0.9990943	0.8499138	0.6461797	0.3862429	1.0000000	0.9999990	0.9999995	0.5451876	0.8078538	0.5811363	0.2405006	0.0071001	0.1513493	0.0342516	1.0000000	0.5645967	0.0296371	0.0260001	0.1931632	0.7147423	0.5504035	1.0000000	0.6721558	1.0000000	0.1611722	0.5343179	0.0383566	0.2509304	0.4512462	0.5802961	0.0846569	0.0001481	0.0171292	0.1844266	0.5562234	0.0660595	0.9887425	0.0254823	0.0256759	0.1447957	0.9964384	0.9999994	0.1631835	0.9671202	0.0051487	0.1807106	0.7120446	0.9811834	0.3672694	0.2891652	0.5754460	0.8817251	0.6921470	0.9806487	0.5933086	0.2906394	0.1847664	0.6775641	0.8574451	0.0706008	0.9743014	0.3456999	0.3259973	0.5163201	0.1536104	0.7110438	0.7004480	0.3586758	0.0030064	0.8366533	0.3328140	0.7037111	0.3767851	0.5311572	0.7787371	0.0454533	0.3603214	0.8101027	0.3655060	0.5098316	0.7851876	0.1016271	0.9350010	0.9750488	0.9825038	1.0000000	0.9813061	1.0000000	0.3779982	0.3549399	1.0000000	1.0000000
0.8459563	0.1343305	0.0175984	0.0646683	0.1684315	0.7925881	0.6551733	0.3570083	0.9074306	0.4145510	0.9376720	0.9595113	0.8511130	0.6839006	0.9977205	0.0474273	0.1552213	0.2175233	0.5335170	0.9999099	0.0371126	0.0342516	0.6400912	0.7869607	0.0297415	0.1092157	0.3358311	1.0000000	0.7611619	1.0000000	0.3567319	1.0000000	0.1437309	1.0000000	0.4584093	0.4804113	0.9524848	0.7063778	0.8651743	0.0863958	0.0297105	0.2927404	0.5760423	0.9995360	0.9868996	0.0154227	0.1417528	0.6933085	0.6868019	0.9638781	0.2210430	0.9818097	0.0377869	0.4055747	0.9469896	0.3283695	0.7388623	0.5873330	0.9068856	0.8530181	0.8448264	0.9955288	0.5027460	0.5792458	0.3812101	0.7846550	0.2360140	0.0372236	0.9813159	0.2692141	0.2341493	0.1317603	0.2086098	0.5870663	0.5580830	0.7424905	0.0019396	0.9946576	0.7776343	0.2950557	0.4758046	0.7841270	0.7636803	0.2037050	0.5112378	0.0931602	0.0209962	0.7687081	0.6796148	0.8710566	0.8986165	0.5538447	0.7093468	0.0643140	0.0542608	0.8197855	0.3684911	1.0000000	1.0000000	1.0000000
0.8255171	0.1378205	0.8840459	0.0609770	0.1625033	0.7948155	0.6510722	0.1541636	0.9016783	0.1402458	0.9814755	0.9311463	0.8408213	0.6452003	0.5899588	0.2960187	0.1593860	0.6172214	0.5549920	0.9999364	0.1462207	0.0342524	1.0000000	0.5645967	0.3091025	0.3129629	0.4505070	1.0000000	0.7601330	0.9398419	0.9259747	0.9987501	0.0389619	1.0000000	0.4408709	0.4809672	0.9716080	0.7097486	0.5950271	0.0001053	0.0172837	0.3563048	0.3838129	0.9859314	0.9771560	0.0155748	0.2054318	0.7921226	0.6857481	0.8449576	0.1627025	0.7148212	0.5303865	0.0841608	0.8785795	0.1717507	0.4317515	0.8401159	0.9492267	0.9953241	0.9991969	0.9960062	0.4415668	0.3570457	0.3813836	0.7742479	0.4108735	0.4120864	0.9985346	0.2691534	0.2343378	0.2347216	0.0387616	0.5876015	0.5496321	0.1973836	0.2974494	0.6517005	0.8290205	0.2149954	0.4914501	0.3591463	0.7298567	0.1731504	0.5318725	0.9970784	0.0646980	0.7952867	0.7286791	0.9504813	0.5161528	0.3728636	0.4691641	1.0000000	0.9813061	0.0731211	0.8883500	1.0000000	1.0000000	1.0000000
0.9338304	0.0537707	0.8091250	0.1110149	0.2106785	0.8330171	0.5852309	0.8172944	0.4983827	0.3724069	0.9749164	0.9979207	0.0060474	0.7209293	0.9999331	0.3838579	0.1675933	0.7060919	0.5306983	0.9999378	0.1566075	0.9656208	0.6786235	0.6723991	0.5701511	0.0099476	0.2258926	0.3503699	0.8469513	1.0000000	0.3708024	1.0000000	0.0042591	0.1975061	0.8109602	0.0493186	0.5855259	0.3448364	0.6146822	0.0000800	0.0176718	0.3767022	0.3602943	0.9957216	0.9632259	0.2935029	0.5264873	0.0925715	0.6588354	0.9382176	0.1272994	0.5599253	0.0499076	0.1656455	0.8579072	0.1393722	0.4269522	0.4004898	0.5086122	0.9129804	0.9799348	0.5572107	0.5117400	0.7037824	0.3796153	0.9411711	0.3061068	0.0776397	0.9111655	0.7599998	0.1627249	0.1714450	0.1397052	0.6269273	0.5290278	0.1076301	0.0011909	0.6444275	0.9551635	0.0522944	0.5401584	0.4045946	0.6447962	0.0603568	0.5742212	0.9999980	0.3678544	0.9574472	0.3388710	0.9995844	0.4428633	0.3234270	0.7493948	0.6637212	0.9462032	1.0000000	0.3973306	0.1144873	0.3574147	1.0000000
0.9954096	0.1128447	0.6889660	0.6881702	0.4020489	0.3155023	0.6237428	0.0973332	0.9184075	0.1373410	0.8584820	0.0107422	0.6216255	0.1537037	0.7904685	0.6391250	0.5142215	0.6183624	0.3120591	0.9999621	0.6865192	0.3759515	1.0000000	0.8610976	0.0296370	0.0099688	0.2107827	0.4452664	0.3828184	1.0000000	0.2304200	1.0000000	0.1979466	0.2432639	0.1868766	0.0194132	0.4493546	0.4112587	0.3962646	0.0004173	0.2631708	0.6022797	0.4034261	0.9908111	0.9934748	0.0010756	0.4806313	0.2215016	0.6428048	0.0622246	0.3646679	0.3085693	0.6231340	0.6867074	0.9762812	0.1802944	0.5874977	0.9315477	0.9925992	0.7345711	0.8448941	0.1414503	0.5103224	0.2470052	0.3946478	0.5507741	0.6807266	0.5760990	0.7554207	0.9997223	0.1975501	0.8206399	0.5316607	0.9972367	0.0591782	0.7146640	0.0029993	0.6673016	0.7776212	0.2950701	0.4757977	0.4188998	0.8927907	0.1761828	0.7039220	0.9999779	0.3340963	0.7686971	0.6795902	0.8710331	0.5902022	0.5802088	0.7379084	1.0000000	0.9860512	1.0000000	0.5239148	1.0000000	1.0000000	1.0000000
