"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.6470285	0.0641139	0.5304748	0.3266830	0.1985848	0.4405454	0.6381033	0.0628546	0.5035362	0.1696212	0.5135547	0.4849857	0.5717805	0.2728655	0.6427522	0.0133202	0.0357904	0.5080174	0.3458821	0.6985319	0.1992614	0.0011790	0.4832191	0.4121426	0.1317499	0.2468756	0.1159126	0.4969792	0.5328774	0.3008198	0.6503080	0.5737788	0.1378395	0.8062687	0.6604109	0.3057843	0.5404919	0.4019904	0.4660700	0.3458365	0.0497081	0.1733405	0.3360668	0.5425016	0.6326406	0.0020978	0.2848651	0.5485497	0.3838646	0.3558143	0.0977157	0.6269960	0.0156850	0.4554211	0.3011574	0.0627190	0.4262908	0.4560529	0.5249094	0.5166579	0.6869644	0.6405814	0.3595452	0.4680507	0.2423672	0.4666015	0.3676939	0.1963549	0.7351577	0.1259244	0.0855379	0.1211387	0.0574300	0.3474970	0.4406381	0.0760571	0.2439257	0.5818434	0.4001135	0.1387439	0.2392394	0.1429864	0.5174361	0.0380234	0.0386440	0.4113702	0.1484766	0.5160754	0.3580250	0.6274004	0.2557470	0.5799578	0.4050333	0.6874588	0.7604196	0.4662004	0.1578955	0.6503484	0.5709067	0.5018878
0.6849886	0.0619990	0.4543303	0.5367706	0.2274256	0.6907136	0.6002369	0.0801469	0.3512395	0.1958619	0.3886629	0.2511289	0.4936586	0.3649308	0.3943854	0.1829997	0.2577122	0.3831653	0.2863650	0.7057829	0.1731050	0.1606913	0.6135542	0.3436022	0.5135145	0.0030166	0.0730408	0.6460697	0.5023180	0.4159273	0.4687583	0.7081391	0.0472195	0.6770888	0.6328775	0.3000430	0.6492048	0.6673711	0.1204858	0.3384127	0.5050527	0.3618702	0.1568477	0.7750581	0.7377251	0.0109429	0.0579126	0.4710221	0.4204921	0.4735324	0.1707019	0.1698356	0.2464722	0.6258526	0.5790334	0.1247767	0.3828198	0.5251944	0.6093369	0.7134305	0.4807010	0.7183530	0.5750152	0.0597970	0.2826791	0.5371351	0.3495238	0.3557284	0.5795781	0.1934471	0.1776278	0.1863944	0.1181660	0.3984673	0.3930833	0.5125192	0.0100924	0.4978882	0.6023765	0.1884184	0.4480635	0.2020946	0.6026387	0.0894607	0.3377373	0.5647604	0.0441038	0.5039245	0.5209102	0.6592664	0.4011700	0.3400126	0.5761951	0.7619215	0.6623053	0.5176132	0.6209622	0.2951572	0.7510333	0.5520812
0.5909048	0.0464099	0.5389818	0.5880713	0.3500904	0.5806265	0.3590876	0.1066620	0.6116690	0.1687048	0.5406081	0.7018879	0.4540820	0.3197916	0.4327223	0.1679034	0.2832844	0.3218675	0.1316301	0.5803814	0.2713361	0.0042798	0.6881041	0.3771595	0.1052257	0.0053603	0.0563850	0.6736002	0.5192655	0.6673125	0.7124903	0.5973053	0.1064741	0.6537629	0.4976756	0.4206642	0.5547084	0.5400057	0.3327621	0.1183437	0.0180139	0.0569118	0.3508558	0.5332824	0.6577480	0.3553176	0.3681147	0.6007859	0.2242983	0.4276651	0.3048478	0.3354162	0.1070605	0.7100035	0.3691993	0.0707519	0.3036252	0.3639658	0.6825631	0.6529842	0.4424715	0.7034743	0.4354084	0.3890619	0.1340195	0.5538429	0.5149647	0.0700565	0.6725263	0.2527799	0.2182163	0.2368013	0.2351200	0.3349086	0.3439075	0.2287367	0.4471303	0.4521133	0.1785805	0.4523549	0.3202503	0.3386425	0.3702903	0.0007241	0.2599225	0.4674411	0.2606944	0.4478034	0.1473402	0.4970489	0.5316940	0.5636354	0.4040078	0.5450953	0.6529633	0.6466756	0.2168365	0.4233817	0.1737868	0.5872849
0.5139766	0.0283227	0.3482692	0.5562104	0.2256267	0.4894705	0.2868982	0.1300527	0.7129724	0.2129449	0.5359204	0.3694153	0.1094994	0.1389067	0.6464260	0.0050954	0.1651653	0.2792919	0.2267909	0.7060267	0.1630973	0.0005560	0.5525761	0.3465595	0.0765935	0.0663243	0.1491829	0.6294946	0.6543185	0.7261921	0.5465883	0.6285252	0.0113925	0.6575176	0.5378603	0.2849970	0.4341887	0.5086343	0.1776592	0.3511851	0.0050212	0.3008416	0.0533514	0.6736714	0.5944093	0.0105098	0.1082062	0.4411226	0.4930299	0.3848976	0.2287815	0.5185786	0.0396385	0.4725220	0.5937877	0.0551760	0.4542554	0.4300097	0.6242218	0.5623063	0.6526097	0.6655374	0.3560407	0.0733017	0.0835385	0.4666570	0.1156176	0.1789081	0.6615202	0.1828877	0.4879219	0.1060036	0.0631900	0.3608391	0.3155987	0.0763888	0.0040159	0.4621346	0.5103971	0.2057102	0.2690915	0.3769894	0.5003255	0.2545135	0.3109603	0.6286490	0.3044528	0.4272247	0.3825703	0.5026946	0.1782013	0.5004385	0.4660268	0.5303498	0.5399146	0.7349430	0.2024751	0.6977976	0.6559640	0.6193647
0.5676632	0.0521956	0.5166885	0.2857486	0.1787006	0.3258821	0.1457641	0.0727798	0.4010774	0.1504506	0.5614482	0.5995212	0.2538273	0.3540325	0.5765202	0.2463002	0.4756023	0.3477109	0.3175889	0.6688092	0.1684026	0.0001094	0.3616589	0.3694076	0.0019220	0.0155885	0.1425755	0.6150507	0.6360293	0.7112863	0.4790225	0.3324269	0.1936776	0.6757648	0.5833880	0.4520186	0.3123740	0.4515267	0.3937645	0.3906942	0.0079830	0.0882047	0.3656196	0.6548868	0.6678217	0.0021825	0.0453544	0.4378836	0.4368990	0.5125338	0.3767616	0.3779299	0.0220008	0.5428565	0.5601370	0.1054229	0.3585216	0.2685723	0.5224781	0.4753691	0.4699516	0.5863798	0.3172522	0.4354755	0.5913948	0.6747615	0.0673690	0.0104768	0.6287482	0.0602464	0.3160675	0.0409971	0.0714575	0.3308779	0.2916350	0.0488591	0.0215872	0.5108175	0.4675107	0.2469193	0.2570988	0.2028609	0.5341673	0.1866956	0.2635651	0.5572447	0.1505988	0.4116763	0.4659511	0.4692467	0.6254626	0.5117231	0.3702209	0.6528909	0.6278444	0.6534372	0.1425155	0.6633687	0.1958205	0.7126551
0.6453966	0.1008019	0.4924449	0.2553760	0.1739557	0.6806188	0.4831048	0.0647973	0.4493263	0.2030747	0.5123117	0.6884239	0.3790681	0.3298462	0.6751597	0.0297044	0.2316868	0.2930740	0.4903742	0.6756755	0.1583187	0.0014661	0.7022847	0.6038057	0.1099804	0.0308613	0.1324642	0.6037563	0.5143817	0.2790817	0.6543346	0.6435529	0.0049273	0.6118238	0.4283951	0.3172298	0.3247891	0.5163790	0.0554922	0.2988547	0.3488086	0.2635800	0.1955015	0.7546045	0.5152611	0.1045472	0.4082689	0.5573238	0.2923287	0.5246230	0.1005009	0.5253850	0.0377722	0.5671931	0.7066567	0.1770626	0.3859040	0.6740489	0.4063993	0.6443575	0.6185907	0.6549369	0.6542087	0.0880008	0.0619290	0.4768903	0.2329869	0.0514010	0.5999753	0.1476486	0.0876985	0.1595305	0.1847152	0.3739654	0.2185978	0.2640542	0.0001348	0.7398291	0.6402572	0.0556949	0.4824493	0.2366762	0.5493852	0.0400113	0.1678126	0.7749773	0.1981847	0.5134035	0.3664992	0.6201310	0.1043532	0.1723494	0.4625314	0.5496742	0.6610096	0.6267330	0.5086547	0.5193823	0.8353957	0.2863058
0.6091421	0.0985420	0.1501945	0.4629879	0.1489101	0.0044574	0.1086580	0.0732136	0.2237498	0.1521751	0.2969969	0.0908576	0.3990848	0.0213067	0.6187556	0.3939675	0.1776792	0.4978260	0.6028977	0.7310324	0.0521720	0.0004152	0.6434485	0.3613963	0.0003884	0.0752860	0.0955825	0.5325783	0.5359156	0.6903120	0.2107932	0.7709822	0.0772673	0.2132265	0.3483859	0.0031662	0.1305998	0.2257408	0.2397014	0.2335626	0.1173743	0.0830787	0.1983409	0.7696534	0.6990349	0.3705022	0.2398363	0.5961237	0.4654834	0.2815814	0.0597758	0.6501032	0.2746570	0.2410779	0.4313286	0.1620962	0.4884543	0.6930806	0.6216934	0.5972874	0.7509861	0.0545623	0.2975479	0.0583503	0.2920830	0.4659874	0.4147385	0.1111286	0.5555424	0.6440105	0.2219805	0.0753826	0.0824896	0.5591398	0.2896019	0.1345629	0.2310201	0.5461120	0.2259981	0.5753705	0.2178655	0.2754157	0.5335210	0.0087774	0.1307861	0.6484729	0.0920789	0.2344718	0.0856658	0.2390935	0.6619198	0.4088149	0.3865709	0.6144529	0.6289455	0.5231034	0.4258928	0.6840871	0.6226172	0.5811432
0.7596303	0.0322286	0.5181710	0.3479967	0.2554396	0.3679867	0.5429748	0.1040772	0.6435323	0.2662736	0.4951424	0.2482321	0.1084601	0.3626554	0.5419910	0.1310140	0.0490144	0.3577824	0.5004680	0.6681738	0.2734291	0.0011096	0.5017650	0.3495528	0.2946579	0.2145314	0.1380690	0.3857251	0.4620188	0.5861733	0.2208400	0.3183239	0.0657599	0.7244832	0.5281497	0.3263307	0.4764352	0.4093761	0.4776066	0.2445878	0.0097810	0.0867397	0.2311430	0.6533861	0.5921711	0.0205077	0.0658253	0.4872368	0.4117274	0.5221213	0.0813690	0.6381672	0.0298531	0.1557567	0.4747403	0.1641548	0.5644705	0.5506051	0.7376868	0.5404742	0.5353914	0.7781764	0.2708861	0.0818194	0.5951832	0.5085408	0.4548543	0.3794336	0.5334455	0.1347548	0.1074905	0.2912928	0.4260398	0.3389935	0.3855702	0.1982234	0.3263973	0.3909767	0.4817464	0.0985257	0.2738751	0.3207348	0.4042930	0.1009913	0.3904396	0.7416155	0.1092622	0.4354190	0.5166981	0.7658938	0.4935376	0.3392712	0.4394026	0.6521969	0.6270205	0.6473344	0.5735833	0.8556659	0.6338734	0.6667038
0.6599964	0.0789625	0.6055728	0.1157536	0.2023535	0.6536501	0.5196904	0.0521693	0.5386346	0.2518731	0.7870809	0.4510134	0.6491621	0.2565198	0.6605374	0.1339257	0.5363436	0.3885827	0.3289168	0.7497458	0.1433974	0.0013226	0.4225365	0.5217875	0.0124643	0.2692837	0.2308852	0.4300038	0.4290887	0.5717990	0.5672251	0.7373561	0.0827872	0.7898677	0.5830275	0.6795589	0.4710112	0.4329769	0.6665004	0.2369277	0.0923311	0.2553919	0.1510210	0.7059045	0.8035228	0.1153893	0.2791731	0.5078541	0.4171799	0.3585023	0.4886943	0.5998233	0.2891729	0.1652662	0.5635796	0.2044083	0.3018175	0.4871289	0.5884319	0.7910909	0.5600175	0.6612843	0.2769520	0.1815181	0.4137670	0.5284878	0.3284252	0.0400881	0.5987774	0.0968889	0.0473715	0.2673181	0.1350041	0.4904771	0.4121959	0.2567396	0.0015998	0.4692982	0.2977803	0.2776042	0.1439169	0.1967179	0.5990916	0.0308163	0.3754173	0.5586282	0.2039590	0.3794135	0.1297672	0.4954980	0.4305899	0.2624074	0.6195398	0.8128778	0.6605069	0.3367128	0.1245925	0.6395892	0.6192560	0.5688106
0.5868943	0.0796325	0.2384121	0.5663613	0.2973446	0.4073088	0.3200141	0.0881450	0.7098217	0.2643378	0.4091196	0.3263367	0.2517678	0.1817180	0.5679570	0.0607996	0.3393890	0.3105503	0.1711800	0.6373255	0.2835433	0.2330982	0.6096128	0.4163627	0.0005907	0.2213663	0.1532855	0.5724335	0.5148758	0.6942295	0.1338334	0.6297013	0.0441424	0.7252827	0.4781522	0.4044606	0.5596093	0.3785151	0.5755166	0.2280266	0.2276027	0.0725394	0.0304312	0.5878194	0.7242414	0.1838781	0.0926512	0.4706689	0.2226024	0.2801984	0.0667330	0.6833501	0.1875497	0.5442925	0.4054141	0.1242238	0.4526521	0.6920190	0.6032238	0.5310617	0.7459480	0.6490244	0.4685022	0.1140551	0.2154119	0.5798553	0.0888671	0.1044368	0.6017960	0.1933792	0.0958718	0.0686967	0.0323638	0.3819706	0.1858616	0.2802463	0.1578687	0.4132998	0.6018129	0.1567787	0.5239095	0.1624228	0.5713838	0.1553459	0.3571090	0.6703375	0.1960511	0.5720892	0.5607796	0.6148142	0.3287151	0.4614674	0.4513249	0.8031428	0.7066625	0.4897169	0.3156266	0.5856788	0.6152852	0.5599444
