"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.9729910	0.0978612	0.6604567	0.7178410	0.3737378	0.6528464	0.6713050	0.0288122	0.0626762	0.2689620	0.8755985	1.0683983	0.8698088	0.7213673	0.9678513	0.2403218	0.4719309	0.6065260	0.7791750	0.9453462	0.3437218	0.0546610	1.0372803	0.4961933	0.0234636	0.0693097	0.3064402	1.0056807	0.7776268	1.0990998	0.7079393	1.0210543	0.1268293	1.0369538	0.8628224	0.4883255	0.7094833	0.6458352	0.7106179	0.4765798	0.0530019	0.5030658	0.4039042	1.0318164	0.5156181	0.0139787	0.7970516	0.9343231	0.3199691	0.7518551	0.3510252	0.9923384	0.1325123	0.7611999	0.4866422	0.2152392	0.2851444	0.7703997	0.9111539	0.8091616	0.0615902	1.0725750	0.5485108	0.3158854	0.4306643	0.8449987	0.3853713	0.2148209	0.4821058	0.2410626	0.2514692	0.3180354	0.2772485	0.6939539	0.9283936	0.2446216	0.0026144	0.0206474	0.0000000	0.0000000	0.1369730	0.0986292	0.0209369	0.0597372	1.0146580	1.1335615	0.9823327	0.0628140	0.0338073	1.0276880	0.0206004	0.1230545	0.6193116	1.0075915	0.9603608	1.0902514	0.4048490	1.0628280	1.1165453	0.9319799
0.0325273	1.0912585	0.9035483	0.0483434	0.0000000	0.9677227	0.2114135	0.0468756	0.6331866	0.9760251	1.0318272	0.9781175	1.0801629	1.1165221	0.9489569	0.5977865	0.5968226	0.6298756	0.4667382	0.0351856	0.1649747	0.0306299	0.9906993	0.5786490	0.0420252	0.0728151	0.2227802	1.0889428	0.6598432	0.9897332	0.6702397	0.9383526	0.1546678	1.0571114	0.0473522	0.4352474	0.4133386	0.6821711	0.5621674	0.5413431	0.0134267	0.3680835	0.3763355	0.0477779	0.4751148	0.0418362	0.5020173	1.0396223	0.9551285	0.9968285	0.1774610	0.9044309	0.0071336	0.2837168	0.4569663	1.0472451	0.3826453	0.2595123	0.6984259	0.7900239	0.4788307	0.9959121	0.4956579	0.3496075	0.4150569	0.7729723	0.5322607	0.2707133	0.7803303	0.3345017	0.2922590	0.4057453	0.3358671	0.7166076	0.5477194	0.2966528	0.0057521	0.6857810	1.0097412	0.0000000	0.5624415	0.4573178	0.6586190	0.0536913	0.5866072	0.9848134	0.4574115	0.4764932	0.0092361	1.0047309	0.4825555	0.3094055	0.4549029	1.0549194	1.0283961	0.9765331	0.4019252	0.9797138	0.9334319	1.0157938
0.0105183	0.9822626	0.7668933	0.0279527	0.0000000	0.8198731	0.2244856	0.0360350	1.0789561	1.0188117	1.0561076	1.0512858	1.1772472	1.0178250	0.9743586	0.5019901	0.5513989	0.5739172	0.2002332	0.0128231	0.1313034	0.0253499	1.0936671	0.6528323	0.0311634	0.0638625	0.2131103	0.9685038	0.6498730	1.0314928	0.7147624	1.0662775	0.1405800	1.0164830	0.0368600	0.5843895	0.4893674	0.8031007	0.5295417	0.5492103	0.0138686	0.3941526	0.3089046	0.0654369	1.0206094	0.0149675	0.0128636	0.9955938	1.0172535	0.9679307	0.1929839	1.0406023	0.0086319	0.3441341	0.3862479	0.9778112	0.3902318	0.4486414	0.5237759	0.8334663	0.7606970	0.9000551	0.5652484	0.3114557	0.4165136	0.6981214	0.5102175	0.3768707	0.8463442	0.4231666	0.2581712	0.3728130	0.3262248	0.6084945	0.9892075	0.2931948	0.0079768	0.4904653	0.0000000	0.9609814	0.5363676	0.6496645	0.5280999	0.0542620	0.7303688	0.4795806	0.5463689	0.3990872	0.0333433	0.9392381	0.4290635	0.6024797	0.6809738	1.0015302	0.8851762	0.9273872	0.3388280	0.9816826	1.0432808	0.9344149
0.0296248	1.0281629	0.8748451	0.0390641	0.0000000	0.8217473	0.2506355	0.8275825	1.1237649	1.0502197	1.0717001	0.9766866	0.9977942	1.0386542	1.0544886	0.5816301	0.5691902	0.6033833	0.2960096	0.0106584	0.6502335	0.0262142	0.8823088	0.5784058	0.0177600	0.0596501	0.2075713	0.9413388	0.7437899	1.0470555	0.6353859	0.9358137	0.1316066	0.9547659	0.0498362	0.4383382	0.5627850	0.7566926	0.5750917	0.4842484	0.0195101	0.7483835	0.5610964	0.0429896	0.9490315	0.0286073	0.1057115	0.6158096	1.0555452	0.0000000	0.2467322	0.9761100	0.5004469	0.0006035	1.0245210	1.0662657	0.4830350	0.2444862	0.5846016	0.9103709	0.8238430	1.0792785	0.6639568	0.3547940	0.4517018	0.7256500	0.3807270	0.3210240	1.0996545	0.3245813	0.2720202	0.2494927	0.2512442	0.5620764	0.5992448	0.1883038	0.0070916	0.7125911	0.7123860	0.3469026	0.4119920	0.4012115	0.9253271	0.1978022	0.5624910	1.0957131	0.3308077	0.8608982	0.6606345	0.7606353	0.7554997	0.6301017	0.8790689	0.9721950	0.8897534	1.0120601	0.4578229	1.0040494	1.0375387	1.1012585
0.0000000	0.9862356	0.8037409	0.0572981	0.0000000	0.7747819	0.1868836	0.7990669	1.0802266	0.9863038	1.0747144	0.9137606	1.0612721	1.1317893	0.9904152	0.4625365	0.5228203	0.5308316	0.3940589	0.0141960	0.1459212	0.0390529	0.9420407	0.6004039	0.0387291	0.0414161	0.2114983	1.0386107	0.6694471	1.0272627	0.7052801	1.0466452	0.1670959	1.0621200	0.0179365	0.5995424	0.5223144	0.7159826	0.5115164	0.4779387	0.0164043	0.1901123	0.5656386	0.0647855	0.9767919	0.0255030	0.0656353	0.6193114	1.0063880	1.0399364	0.2027462	1.0298047	0.0058315	0.3051703	0.4709449	1.0234441	0.5203009	0.2825269	0.5745830	0.9443426	0.8958418	1.0764381	0.5924296	0.2776858	0.3842522	0.6987803	0.4709631	0.4259084	0.9618158	0.3034325	0.2709401	0.3321333	0.3373909	0.6161983	0.5687869	0.2264553	0.0037084	0.7466968	0.7272944	0.3886191	0.4621401	0.4429452	0.7816843	0.2023462	0.5516719	1.0704354	0.3343239	0.7049551	0.5855370	0.6608396	0.6752447	0.6979677	0.9058717	0.9990365	1.0839448	0.9671694	0.4847594	0.9916319	1.0881599	1.0521872
1.0995119	0.1139021	0.7743218	0.5891317	0.3141346	0.7863314	0.7384181	0.0110260	0.4419533	0.2646012	0.8723223	0.9666310	0.6077705	0.7457729	0.8847983	0.2422711	0.4340216	0.6320294	0.4180181	0.9535521	0.5893477	0.0453787	0.9717394	0.5081477	0.0323177	0.0643682	0.2316596	1.0936235	0.8021517	0.9545606	0.7693096	1.0286761	0.1535215	0.9316933	0.6815937	0.5313774	0.7349452	0.7189978	0.6590983	0.5433754	0.0329827	0.9592065	0.3761251	0.9836756	0.7700670	0.0083680	0.6575486	0.9730345	0.4684447	0.0000000	0.4163509	1.0174651	0.6006219	0.2619155	1.0311841	0.1663953	0.5211470	0.7936128	0.8221154	0.8292566	0.4627809	0.9965212	0.4734171	0.4427873	0.3402367	0.7903696	0.3157500	0.2483759	0.9193731	0.3352651	0.1717967	0.2029113	0.1656263	0.5343110	0.5466072	0.1707416	0.0034185	0.7224113	1.0382253	0.0000000	0.4507922	0.4687050	0.5949401	0.0419460	0.6218318	0.9333533	0.3737429	0.4834304	0.0224299	1.0066797	0.4046847	0.2826552	0.5910705	1.1048809	0.9479061	0.9769324	0.4201122	0.9769204	1.0450856	1.0160051
0.9825154	0.1044973	0.6622057	0.5039902	0.4267669	0.7471392	0.7288879	0.0081548	0.4800762	0.3837447	0.9412903	1.0525359	0.5353418	0.7602573	1.0142348	0.3086484	0.5287734	0.5810528	0.5279547	0.9409319	0.6229166	0.0529649	1.1212967	0.5610533	0.0265321	0.0666249	0.3175702	1.0193267	0.7502100	0.9748444	0.6566583	1.0088570	0.1338987	0.9050028	0.7855100	0.5582600	0.5729857	0.7603598	0.7193916	0.5758828	0.0151420	1.0314256	0.3288797	1.0554580	1.0303646	0.0191759	0.2264003	1.0408356	0.5312665	0.0000000	0.3716724	1.1517458	0.6926914	0.3002285	0.9553936	0.2067850	0.5062720	0.8957842	0.8520352	0.8200379	0.6026684	0.9642262	0.4263384	0.4508286	0.4044908	0.8245594	0.3380434	0.2505304	0.8106578	0.3235635	0.2246302	0.2681034	0.2274477	0.6430436	0.8782949	0.2362642	0.0024242	0.5204005	0.0000000	1.0374517	0.4974704	0.6531988	0.4249153	0.0282058	0.7486950	0.4822367	0.6331204	0.5369813	0.0084581	1.0662901	0.4317766	0.5723516	0.5325734	1.0005826	0.9265546	0.9626501	0.3926427	0.9643534	1.0148698	1.0041116
0.0170294	0.9278713	0.8548509	0.0456099	0.0000000	0.8274480	0.2317416	0.7341192	0.9748746	1.1151679	1.0580658	1.0659504	1.0282346	1.1130795	1.0330316	0.6032687	0.5811594	0.6369835	0.3533455	0.0199665	0.3254394	0.0438770	1.0524160	0.5828202	0.0477565	0.0339533	0.1639733	0.9652880	0.0000000	1.1447877	0.7010263	0.9741154	0.4151650	0.8955345	0.0430280	0.4995602	0.8349628	0.7384860	0.0943302	1.0327140	0.0316488	0.2969514	0.4915818	0.0656796	0.9667112	0.6130643	0.1461873	0.6693377	1.0755522	0.9946265	0.1580623	1.0470920	0.0048663	0.9681909	0.4815985	1.1524254	0.4507667	0.2696143	0.5303628	0.8133610	0.9091687	1.0570197	0.7081089	0.5552096	0.3324376	0.0563012	1.0143797	0.8445468	0.8473459	1.0432443	0.8635190	1.0774410	0.9315186	0.9993478	0.5696155	0.8978862	0.0005614	0.5918161	0.7854534	0.2418180	0.5239300	0.3726446	0.8643438	0.2782266	0.5516633	1.0344712	0.3381820	0.8896026	0.8499599	0.8556122	0.5381528	0.5715278	0.7385754	0.9628582	0.9533330	1.0255668	0.5350608	1.0990770	0.9606021	0.9819581
0.0000000	1.0269755	1.0411020	0.0502001	0.8676745	0.4453470	0.2147929	0.0236208	0.5064432	1.1039434	1.0739818	0.9901934	1.0426385	1.0208349	1.0051240	0.5498236	1.0934560	0.5154579	0.0110220	0.0100694	0.6547369	0.4564856	1.0981515	0.6019405	0.0469662	0.0316591	0.2396070	0.9837030	0.7152621	1.0533403	0.7504531	0.9981224	0.1453982	1.0409420	0.9646765	0.4757677	0.5537013	0.7262374	0.8278859	0.5838738	0.4312446	0.8530546	0.1902544	0.9489745	0.9068973	0.0126430	0.5958507	1.0494215	0.4682485	0.3980821	0.4422281	1.0319903	0.5189959	1.1138252	0.9131671	0.1290012	0.7717943	0.8813434	0.9077948	0.7050480	0.5087401	1.1091029	0.5190520	0.3587135	0.3825078	0.8189814	0.4839518	0.3189261	0.7714229	0.2834700	0.3105007	0.3021237	0.3887233	0.7165909	0.5266429	0.2782806	0.0001429	0.7105846	0.9702118	0.0000000	0.5813220	0.4426429	0.6085460	0.0574137	0.5687145	1.0743992	0.3621295	0.4600122	0.0104436	0.9890630	0.4847576	0.2684302	0.6135745	0.9782071	1.0214776	1.0846589	0.4372743	1.0188255	1.0827297	1.0260005
0.0000000	1.0841945	1.0661595	0.0381523	1.1229111	0.5304092	0.1966072	0.0251426	1.0636840	0.8935808	0.9890416	1.0262025	1.0830151	0.9730312	0.6993057	0.6316455	0.9981216	0.6461969	0.1938343	0.0036703	0.6868643	0.5509892	1.0284114	0.5737039	0.0364979	0.0745395	0.2872600	1.0291171	0.7005030	0.9748730	0.6664338	0.9206945	0.1611002	1.0572444	1.0387163	0.4755414	0.4974671	0.6943212	0.8122917	0.5308149	0.4456861	0.6759692	0.1823437	1.0234298	0.9605333	0.0178143	0.4582958	1.0207429	0.6914364	0.3700972	0.4508581	1.0280060	0.5516368	0.9967239	0.7715878	0.1212483	0.7732435	1.0115418	0.8899279	0.7401325	0.7433569	1.0056152	0.6079328	0.3103586	0.3864294	0.6794281	0.4893089	0.3309497	0.8827125	0.3449130	0.2397984	0.3903766	0.4270333	0.7603860	0.9824351	0.2763356	0.0056538	0.4606307	0.0000000	1.0017667	0.3838376	0.6147767	0.4660067	0.0450540	0.6925634	0.4651531	0.5238155	0.4800345	0.0239240	0.9977058	0.4770611	0.6203834	0.7590306	1.1134245	1.0063925	1.0550696	0.5061031	0.9655390	0.9454603	0.9779683
