"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	1.0271022	0.1087116	0.6501443	0.6527369	0.4293271	0.7626055	0.6633825	0.1073532	0.8777648	0.3573614	0.9028706	0.7634814	0.8182740	0.4520209	0.9509951	0.2748809	0.4710551	0.5981299	0.3154141	1.0486760	0.3988175	0.0251270	1.0754496	0.5909510	0.0484028	0.0447296	0.2456538	0.9933702	0.7801934	1.1057690	0.7056859	1.0217845	0.1474980	1.1345944	0.7149894	0.5444448	0.5931270	0.6689131	0.7106890	0.4791178	0.0419977	0.3758715	0.3859452	1.0186395	0.9661187	0.0132098	0.2332419	0.7971954	0.6513630	0.7360320	0.2946950	0.8898730	0.1299462	0.7511083	0.8923786	0.1309103	0.5607105	0.8085310	0.8644256	0.8335219	0.9535634	1.0058867	0.5679830	0.4150445	0.3368214	0.7747352	0.4408681	0.3705837	0.9342836	0.3238612	0.2523701	0.2320090	0.1916497	0.4937678	0.5724609	0.2257526	0.0035985	0.7199495	0.7437106	0.2401812	0.4696066	0.4340802	0.7682860	0.1745798	0.5095435	1.0667485	0.3493124	0.7140957	0.7224174	1.0450771	0.5217277	0.4452483	0.7990712	0.9791462	1.0498692	0.9312283	0.3618546	1.1157420	1.0517558	1.0365492
50.0	0.9206916	0.0862590	0.6489701	0.7292779	0.3853324	0.6894059	0.6890310	0.1067947	0.9534283	0.3360444	0.8072481	0.7686980	0.8218785	0.4863985	0.9202704	0.2651362	0.4824480	0.6227316	0.3197371	0.9244171	0.3775193	0.0513679	0.9879820	0.6106671	0.0570282	0.0552784	0.2512242	1.0722358	0.7769786	1.0644648	0.6602713	1.0114931	0.1630897	1.1260332	0.7131876	0.5120895	0.5048081	0.6766237	0.7040514	0.4970849	0.0295796	0.3557420	0.3552610	1.0983489	0.9727495	0.0317460	0.2151471	0.8296861	0.6000969	0.7539627	0.3112587	0.8808052	0.1050775	0.7814611	1.0211632	0.1747239	0.5389058	0.7577399	0.9194822	0.8002437	0.8656269	0.9841591	0.5735518	0.4332733	0.3556226	0.6712991	0.4213874	0.3084020	1.0785137	0.2469853	0.2226881	0.2309322	0.2135916	0.5251316	0.5469973	0.1970503	0.0034061	0.6967614	0.8503743	0.2866959	0.4764308	0.3536188	0.7638833	0.1852176	0.5131478	1.0392990	0.3115432	0.7990370	0.6632860	0.9768995	0.5241059	0.5329478	0.7425764	1.0267788	1.0127674	0.9334649	0.3590327	1.1128377	1.0091092	1.0648822
100.0	0.6977736	0.0900054	0.6678007	0.7677195	0.5235509	0.6331428	0.6891097	0.1444060	0.8886033	0.3818364	0.8244046	0.8714108	0.8481002	0.5267382	0.9297852	0.2807984	0.5430749	0.6566583	0.3187312	0.8510543	0.4168943	0.0404770	1.0153075	0.5888914	0.0296724	0.0407989	0.2011609	1.1866715	0.7794731	1.0782491	0.6911538	0.9466329	0.1489871	0.9083850	0.7431956	0.5102488	0.5881980	0.7936507	0.6711467	0.4697945	0.0267462	0.3974066	0.3328806	1.0693606	0.9674368	0.0294898	0.2740744	0.7633359	0.6589797	0.7164515	0.3277229	0.9714907	0.1121260	0.7830912	0.9557045	0.1816300	0.5502881	0.9296357	0.9870729	0.7153170	0.8519493	1.0383330	0.5672288	0.4284654	0.3414958	0.7504199	0.4255229	0.3437542	0.9426421	0.2067207	0.2129148	0.2415551	0.1711570	0.5908544	0.5312472	0.2197076	0.0011807	0.6644876	0.7943155	0.2693932	0.4636587	0.3245572	0.7620090	0.2362720	0.6098461	0.9930857	0.3149344	0.8326196	0.7384666	0.9834678	0.5614183	0.5361221	0.7269068	1.0028174	1.0213137	0.9976974	0.4165719	1.1288520	1.0339215	0.9638802
150.0	0.5065448	0.1001668	0.7886976	0.6106567	0.5820831	0.6563957	0.6386053	0.2497296	0.9234125	0.5901095	0.9042342	0.7002952	0.9516614	0.6247032	1.0258658	0.3433681	0.6993817	0.5666291	0.2263689	0.9836749	0.4616915	0.0381044	1.0371802	0.5750247	0.0460672	0.0459956	0.1859439	1.0483023	0.8365244	0.9338288	0.6630526	1.0139396	0.1346935	0.8423905	0.8674400	0.5165337	0.6080327	0.7232544	0.6570328	0.4692426	0.0222341	0.3213803	0.3192287	1.0373092	1.0437399	0.0251936	0.2401283	0.6956723	0.7480312	0.5748139	0.3978688	0.8876049	0.1303344	0.8101281	0.9208054	0.1415117	0.6253013	0.8945398	0.9644183	0.7750652	0.9364190	1.0815875	0.5539984	0.4330735	0.3990150	0.7916306	0.3873202	0.3491455	0.9359699	0.1958156	0.2078635	0.2075802	0.1989016	0.5659512	0.5394959	0.1913724	0.0086966	0.6346642	0.7844345	0.2857542	0.4448219	0.4084064	0.8264416	0.2842623	0.5805161	1.0061630	0.3143749	0.8553402	0.7744943	0.9617844	0.5407447	0.5749162	0.7534385	0.8548321	1.0237592	1.0391293	0.3720163	1.0948913	0.9735023	1.0013850
200.0	0.5706654	0.1375249	0.7420073	0.4638613	0.8210095	0.5132392	0.5571078	0.4254423	0.8306541	0.7441600	0.8882379	0.7023056	0.7466390	0.5839079	0.8952887	0.4724761	0.8440033	0.5507203	0.1814817	0.9504790	0.5541859	0.0796194	0.9729084	0.5637293	0.0375841	0.0609016	0.1812754	0.9748717	0.7692086	0.9355137	0.6576009	1.0692966	0.1535019	0.9166619	0.8000045	0.5451238	0.5998830	0.7661848	0.6535765	0.4814466	0.0549433	0.3666207	0.3466719	1.0408838	1.0497323	0.0221418	0.1945230	0.7705660	0.7461749	0.5646096	0.4585696	0.9493188	0.1359622	0.8213199	0.8869608	0.1565592	0.6764156	0.8569140	0.9067410	0.7511867	0.9719524	0.9820929	0.4994519	0.4386523	0.4252061	0.7948072	0.3991913	0.3036924	0.8906989	0.2238940	0.2297138	0.2128070	0.1977362	0.5644293	0.5562164	0.1695023	0.0091742	0.6519012	0.8146277	0.3415430	0.4271781	0.3886243	0.8319048	0.2172157	0.5561061	1.0473117	0.3300468	0.8099941	0.6776731	0.9053215	0.5763109	0.6291945	0.7470998	0.9828640	1.0038362	1.0322796	0.3662034	1.0422146	0.9543528	1.0201645
250.0	0.5449828	0.2032132	0.7566148	0.4854266	0.8117663	0.5438671	0.5456133	0.3878868	0.9788458	0.6510295	0.8878942	0.6339051	0.6388877	0.5169198	0.8763825	0.4109241	0.8638162	0.5773469	0.1816415	0.9251733	0.6314789	0.1481048	1.0101603	0.5450205	0.0193831	0.0470729	0.1786510	1.0389309	0.7123912	0.9765908	0.6730073	0.9549364	0.1738729	0.9684255	1.0181173	0.4498187	0.5939001	0.6947024	0.7696071	0.4748764	0.0834992	0.3963275	0.3107910	0.9714516	0.9958731	0.0149573	0.2016860	0.7588249	0.6621535	0.4538142	0.5157680	0.8947597	0.2094098	0.8321387	0.8490830	0.1325759	0.7274893	0.8192453	0.8732567	0.6650906	0.8920066	0.9609947	0.5446149	0.3881552	0.4419980	0.8532828	0.4140489	0.2662344	0.9511463	0.2712559	0.2109403	0.2312745	0.1746436	0.5652125	0.5512164	0.1788800	0.0134119	0.5891726	0.7475645	0.3071746	0.4333081	0.3734873	0.7626698	0.2239073	0.4983268	0.9338009	0.3165858	0.8003812	0.6440716	0.8755450	0.6706893	0.5803232	0.7426861	1.0352305	0.9524937	0.9314288	0.4167513	0.9891486	0.9710964	1.0848035
300.0	0.5105139	0.2465842	0.7259189	0.4153765	0.7966672	0.4844309	0.5965860	0.3397181	0.9385567	0.8497034	0.8219814	0.4911531	0.4777506	0.4717505	0.8070152	0.4259641	0.9570905	0.6366824	0.1478147	0.9960195	0.6561184	0.3128421	0.9678741	0.5925543	0.0181813	0.0622589	0.1862990	1.0781549	0.6860828	1.0455605	0.6955269	1.0621189	0.1557740	1.0249741	0.9074139	0.5282265	0.6107004	0.7848702	0.8071138	0.4588731	0.1499364	0.4739968	0.2705314	0.9361067	1.0481817	0.0115637	0.1477259	0.7895793	0.6344658	0.4431060	0.5667809	0.9440257	0.2947332	0.8269319	0.7722487	0.1121302	0.7403983	0.7378031	1.0050401	0.8280614	0.8868066	1.0055323	0.5961964	0.3532767	0.4355439	0.8156535	0.4441656	0.3434518	1.0184994	0.3223384	0.2045798	0.2781269	0.2545294	0.5828554	0.5333168	0.2279662	0.0095208	0.5947534	0.7580527	0.2850386	0.4848907	0.2775720	0.7229445	0.1863354	0.5813494	0.9972353	0.3376999	0.7512180	0.6681156	0.8913698	0.6185683	0.5557550	0.8533949	0.9946630	1.0232898	1.0078884	0.4215455	1.0136007	0.9353435	1.0019479
350.0	0.5033687	0.2499123	0.7282669	0.3723904	0.9443819	0.4704658	0.5586346	0.3613714	1.0515253	0.7797242	0.9246398	0.4345999	0.4830685	0.4564539	0.8621708	0.4571160	0.9430444	0.5733185	0.1510191	0.9991573	0.6421570	0.3470307	1.0200416	0.5240955	0.0243926	0.0405804	0.1992037	1.1009336	0.6401093	0.9404727	0.6598776	0.9726502	0.1728079	1.0072028	0.8899590	0.4876815	0.6289089	0.7282512	0.8199302	0.4763418	0.1850529	0.5033963	0.2719414	0.9095377	0.9389988	0.0183745	0.1663981	0.8690219	0.7159546	0.4483597	0.5159312	0.9631310	0.3352937	0.7893195	0.8652400	0.0912044	0.7576627	0.8391501	1.0368084	0.7421161	0.8304737	1.0915474	0.5855636	0.3674357	0.4571560	0.7995515	0.4674957	0.3381382	1.0328199	0.2985196	0.1991001	0.3534306	0.2978359	0.5927873	0.6138721	0.2125786	0.0036943	0.6049203	0.7692402	0.2639271	0.4874237	0.2647699	0.8682367	0.1928341	0.4939771	1.0589431	0.3948071	0.7820064	0.7118614	0.8755331	0.5959468	0.5845486	0.7401175	1.0870261	1.0129476	0.9865619	0.4530297	0.9587502	1.0990058	0.9748643
400.0	0.4535555	0.1961819	0.8298023	0.3386947	0.9110740	0.5183771	0.5556635	0.4775355	0.9898877	0.8783958	0.9811050	0.3679008	0.4586623	0.3928026	0.8570546	0.4057953	0.8889069	0.6296354	0.1180284	1.0398366	0.6488271	0.4091952	0.9509862	0.5494576	0.0266181	0.0442541	0.1974562	1.0308185	0.6575629	0.9794634	0.6880885	1.0090954	0.1503759	1.0279158	0.9044790	0.5273706	0.6429488	0.7086151	0.8174277	0.4998401	0.2101459	0.5596572	0.2377297	1.0542080	0.9304691	0.0135218	0.2372965	0.8447104	0.7071816	0.4182576	0.5451476	0.7880057	0.3460136	0.8000692	0.9051500	0.1107631	0.7750556	0.8111253	1.1337954	0.6774598	0.8781161	1.0403863	0.5632090	0.3355303	0.4029391	0.7496617	0.4847759	0.3082912	1.0379227	0.3361334	0.2476997	0.3495202	0.2796109	0.6547904	0.5572657	0.2585426	0.0020345	0.5807288	0.7555618	0.2726858	0.5130851	0.3444951	0.8511588	0.1841985	0.5242480	0.9828328	0.3286659	0.8147427	0.7211151	0.8698796	0.6966827	0.5440530	0.8041607	1.0313218	1.0683805	0.9910836	0.4293471	0.9532907	1.0648276	0.9045967
