"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.5118314	0.2378863	0.8171635	0.3367075	0.9601166	0.4406861	0.5660029	0.3938201	0.9592953	0.8790796	0.8047928	0.3028102	0.4048453	0.3823501	0.8070741	0.4098779	0.8167927	0.6231355	0.1712725	1.0849883	0.6338204	0.3650140	0.9457785	0.5369595	0.0255763	0.0682438	0.1747361	1.0067222	0.8421343	1.1383866	0.6918385	1.0005824	0.1173506	1.0047242	0.9829537	0.5055238	0.6110233	0.6975497	0.8487613	0.5696029	0.3547474	0.6271002	0.2012519	0.9908366	1.0243965	0.0017267	0.2266056	0.8393316	0.5968785	0.3673348	0.5017931	0.9376086	0.4545329	0.9077599	0.9085181	0.1177677	0.7836041	0.8564722	0.9537133	0.8201462	0.8408574	1.1012736	0.5742014	0.3866307	0.3497796	0.7363388	0.4204016	0.3941313	0.8726930	0.3191829	0.2906530	0.2466645	0.2042745	0.6799915	0.5528530	0.1948437	0.0047418	0.7907916	0.9514163	0.2230522	0.5381714	0.3744506	0.8366402	0.2734592	0.4934875	1.0024142	0.3066891	0.8155659	0.7350367	0.9385561	0.5647480	0.6198796	0.7472627	0.9789478	1.0311848	0.9222733	0.4828927	0.9470111	0.9441256	0.9941383
0.9785849	0.0533451	0.6957990	0.5353187	0.3333170	0.7576391	0.7251780	0.0617297	0.9645055	0.3552997	0.8957666	0.8445437	0.8358486	0.5054838	1.1457522	0.2332019	0.4574900	0.5747757	0.3374649	1.1460672	0.3871970	0.0501252	0.9656239	0.6380834	0.0264504	0.0460157	0.1607472	1.0105836	0.6280297	0.8709575	0.6356857	0.9708427	0.1470164	1.0837813	0.7647665	0.4622232	0.6187682	0.8050627	0.6159613	0.5312731	0.0239921	0.2900795	0.3715895	0.9985358	1.0066436	0.0156152	0.2043865	0.6067366	0.7136519	0.7446121	0.3184700	1.0091224	0.1089198	0.7123679	0.8873152	0.2456173	0.5417867	0.7607973	0.9862224	0.8012809	0.8410524	1.0575894	0.6356090	0.3163555	0.4144921	0.7824728	0.4442929	0.4371922	1.0374366	0.3088122	0.2932502	0.3716169	0.3025466	0.5822635	0.6241821	0.2758422	0.0000000	0.6715176	0.8624283	0.2500769	0.5462565	0.5071787	0.8131865	0.3421878	0.5470460	0.8732061	0.3593420	0.8194077	0.7826606	0.9242254	0.5750451	0.5933617	0.6863323	1.0873485	1.0045930	1.0219178	0.4031401	0.9160027	1.0878182	1.0377162
0.8712597	0.1227761	0.3478428	0.6625094	0.4629438	0.7355939	0.6709951	0.1478531	0.9969978	0.3854773	0.8118574	0.8587184	0.8938751	0.5496543	0.8849070	0.3646672	0.6094614	0.6588977	0.2771207	0.9020375	0.4132723	0.0369583	1.0338073	0.6740460	0.0425475	0.0309868	0.1593999	1.0226172	0.7056958	0.9512686	0.6349895	1.0206526	0.2190739	1.0191277	0.7439002	0.4246006	0.6844402	0.7319796	0.7603419	0.4433176	0.0424322	0.3367282	0.4546832	1.1440449	0.9913828	0.0147118	0.1542284	0.6492994	0.6336077	0.7522250	0.2779951	1.0231540	0.1150750	0.6760708	0.9417325	0.1677830	0.5352743	0.8038096	0.9935620	0.8374486	0.9178738	1.1180126	0.5296844	0.3004494	0.3862240	0.7959154	0.5338892	0.3835142	0.9783503	0.2909108	0.2803862	0.2824626	0.2928681	0.6441363	0.5431240	0.2400496	0.0109370	0.6790765	0.7751572	0.3898841	0.5056527	0.5076070	0.8312828	0.1985525	0.4991812	0.9920766	0.2945987	0.7232103	0.7438973	0.7004938	0.6652991	0.6286193	0.7819225	1.0072976	1.0667489	0.9772645	0.3681933	1.0920229	1.0185058	1.0472490
1.0031366	0.1046009	0.7419588	0.3105327	0.3920411	0.6376763	0.6709484	0.1282100	0.8635943	0.2851384	0.9060109	0.7908239	0.8229182	0.4695392	1.0088459	0.2450476	0.4471491	0.6046771	0.3627276	1.1974797	0.3121918	0.0488910	1.0463149	0.5887083	0.0236346	0.0371054	0.2749431	1.0297743	0.6863326	0.9121447	0.6292335	0.9266768	0.1605784	1.0914158	0.6573348	0.4899131	0.6435391	0.7886183	0.6886099	0.4075742	0.0324662	0.4236765	0.5426317	0.9108522	0.9665095	0.0102262	0.1775926	0.6883007	0.7019510	0.7004532	0.2944556	0.9366008	0.1291065	0.6900865	0.8903885	0.2039503	0.5485360	0.7820171	1.0383977	0.7714139	0.8048391	0.9981433	0.5696569	0.2882160	0.4002997	0.8077379	0.4533845	0.3729186	0.9476753	0.2307749	0.2292391	0.3459833	0.2413061	0.6440995	0.6817233	0.2502293	0.0110163	0.6660754	0.7336945	0.3741730	0.4505222	0.3066051	0.8084353	0.2391368	0.4179189	1.0775564	0.3718805	0.8239427	0.6143719	0.8284588	0.6335355	0.6183436	0.7629920	1.0691588	0.8593550	1.1124082	0.4145679	1.0022539	0.9181319	1.0818825
0.8958364	0.1414340	0.7583173	0.1762809	0.2231085	0.6729092	0.7106178	0.1401501	0.9048105	0.4275709	0.9558182	0.9705311	0.8207179	0.6092206	1.0278409	0.2693790	0.2187483	0.6226838	0.3948576	1.0689735	0.2137169	0.0382723	0.9629116	0.5323636	0.0402311	0.0329959	0.2613755	1.0173482	0.7801115	1.0219550	0.6892982	0.9542083	0.1684566	1.0716350	0.5847754	0.4870662	0.6972777	0.7344101	0.6471595	0.4635353	0.0126440	0.2622244	0.4687426	0.9730406	1.0334198	0.0048779	0.1325598	0.6517091	0.6814956	0.9842054	0.3157679	1.0164579	0.0643688	0.4900683	0.8983072	0.3179773	0.4997577	0.7213625	0.9676631	0.8346831	0.7956757	1.1068058	0.5537581	0.3286387	0.3919462	0.7937984	0.4795196	0.3532331	0.9806576	0.3198485	0.2400082	0.2987133	0.2552298	0.5965965	0.5546876	0.1894257	0.0055259	0.7556676	0.7638635	0.3357770	0.5588428	0.4863954	0.7284572	0.2437084	0.4877312	1.0434935	0.3246089	0.8092235	0.7479345	0.8672062	0.5880222	0.5798898	0.7538250	0.9771933	1.0703326	0.9951278	0.4187046	1.0043558	1.0836060	1.1256131
1.0720453	0.1125285	0.7566037	0.6438453	0.4359836	0.3735588	0.7991911	0.1135002	0.8797766	0.2849991	0.8205855	0.9409747	0.7581605	0.5524050	0.9923781	0.3135835	0.4557826	0.6526026	0.3669646	0.9999785	0.3886842	0.0653575	1.1081470	0.5276436	0.0446829	0.0585761	0.2508752	0.9964347	0.8198336	1.0415993	0.6822550	0.9953342	0.1295037	1.1397791	0.8652649	0.4233038	0.5927967	0.7168867	0.7527028	0.5347083	0.0547016	0.3575031	0.4169641	0.9448212	1.0769987	0.0208261	0.1653599	0.7392836	0.6732290	0.8501843	0.3577288	0.9944377	0.1175845	0.7244219	0.8635767	0.1856747	0.6088129	0.8000478	1.0565841	0.7156696	0.8933033	0.9879108	0.4977108	0.4318514	0.4037369	0.8455961	0.4015221	0.3416054	0.8783648	0.2425532	0.2361628	0.2220956	0.1870808	0.6388758	0.5699067	0.2409183	0.0029183	0.6425063	0.7530342	0.3087305	0.4439137	0.3605495	0.7233421	0.1376203	0.5016158	0.9692395	0.3307708	0.7866590	0.6138913	0.9038512	0.6379261	0.5526152	0.6517368	1.0166183	0.9114392	1.0340264	0.4045233	0.9156296	1.1005180	1.0938788
1.0411902	0.1097689	0.7300188	0.8057863	0.5426124	0.5311251	0.3720876	0.0969328	0.8633630	0.3620165	0.8275471	0.5883218	0.8063135	0.4856263	0.9995897	0.3133113	0.5839880	0.6797589	0.3016933	0.9575288	0.4686612	0.0678252	1.0474125	0.6256748	0.0383714	0.0396807	0.1981500	0.9089121	0.6960048	0.9841208	0.6447909	1.0395818	0.1817665	0.9674969	0.9864605	0.4433034	0.5691497	0.8385907	0.7503515	0.4512606	0.0693915	0.4164069	0.3361051	1.0162826	1.1040297	0.0142008	0.1571626	0.8347470	0.6847555	0.5664894	0.3859912	0.9932621	0.1980543	0.7666290	0.9612655	0.2186764	0.6031520	0.8301959	0.9141468	0.7657864	0.8029709	0.9907558	0.5638893	0.3426758	0.4008462	0.8049586	0.4764130	0.3730830	1.0052324	0.3514121	0.3006406	0.3126002	0.3201757	0.6500715	0.4928144	0.2315533	0.0067614	0.6608822	0.7954539	0.2924022	0.5670273	0.4395664	0.8172625	0.2007191	0.5246484	1.0538269	0.3832142	0.8485904	0.7765356	0.7749941	0.5078749	0.5305204	0.8198842	1.0099463	1.0455176	0.9027513	0.4167913	0.9835110	0.9796983	0.9713324
0.9466592	0.1107283	0.7189383	0.5317889	0.4397632	0.6419206	0.6567979	0.0540292	0.8423520	0.3549267	0.9088124	0.9249862	0.8169254	0.5809763	1.0328244	0.2171158	0.4484072	0.6630664	0.3342421	1.0851219	0.2662587	0.0353020	0.9704442	0.5318606	0.0379126	0.0424365	0.3110150	0.9694191	0.7364290	0.8822504	0.7148766	0.9917620	0.1478277	0.9780980	0.7166909	0.4703084	0.6864723	0.7705479	0.6160225	0.4853753	0.0388068	0.3221070	0.4901290	1.0632347	0.9088855	0.0136216	0.2056257	0.6915609	0.6202513	0.8657433	0.3569672	1.0372424	0.0901589	0.6611200	0.8247189	0.2211532	0.5309112	0.8368410	1.0648492	0.8455533	0.9263931	1.0291160	0.4474901	0.3844236	0.3622204	0.7100247	0.4560185	0.2906650	0.9649519	0.2483965	0.2734304	0.2348374	0.2308786	0.5823022	0.5253146	0.1788966	0.0177036	0.6526429	0.8413418	0.2822693	0.5388596	0.3724439	0.7520300	0.2780479	0.5166025	0.9969218	0.3156888	0.8692795	0.7371884	0.9103567	0.6071966	0.6239116	0.7612710	0.9413147	0.9401540	1.0092134	0.4098817	0.9568665	1.0068517	1.0392352
0.9647940	0.1218407	0.7762040	0.7065392	0.4085722	0.6246498	0.7421648	0.0919666	0.5014469	0.3903501	0.8349661	0.9089503	0.7805789	0.5280695	0.9160377	0.2670602	0.5674280	0.5759560	0.2813312	1.0917414	0.4174888	0.0519486	0.8656231	0.5318906	0.0261862	0.0811043	0.1535195	1.0070326	0.7665685	1.0780388	0.5373699	0.9976192	0.1600040	1.0755148	0.8845568	0.5856531	0.6645593	0.7494500	0.6627521	0.5092354	0.0236100	0.3539235	0.4595978	0.9390354	0.9666942	0.0068559	0.1689018	0.6467943	0.6445613	0.6730668	0.3027329	0.9070053	0.1385624	0.7759520	0.8958856	0.2232571	0.6325679	0.8572523	0.9250729	0.8278743	0.7713867	1.0621038	0.5126710	0.4093714	0.3222344	0.8560309	0.4744860	0.3156698	1.0866789	0.3106695	0.2215835	0.2567276	0.1785153	0.6428837	0.6028890	0.1874250	0.0109801	0.6793565	0.7520014	0.3564848	0.4392791	0.3680390	0.8276266	0.1693550	0.4480422	0.9862164	0.4117324	0.8314380	0.6333987	0.9347449	0.5957025	0.5695304	0.7237567	1.0799882	1.0047224	1.0006211	0.4329173	1.0719681	0.9669699	1.0006581
0.9665228	0.1428828	0.7805451	0.7079940	0.3999816	0.6284797	0.7247729	0.1288802	0.9920499	0.1489188	0.7747571	0.8528177	0.8129097	0.5032061	0.9509909	0.2375601	0.5845746	0.6183131	0.3261870	1.0145506	0.3642050	0.0327044	0.9104017	0.6010213	0.0339715	0.0730152	0.2568251	1.1001509	0.8491842	1.0976032	0.5699039	0.9192219	0.1982427	1.0601934	0.8664570	0.4586847	0.6815052	0.7415090	0.7254817	0.4605648	0.0587754	0.3176588	0.4695272	0.9589430	1.0018674	0.0165167	0.1805280	0.7243789	0.6045859	0.7154129	0.3749484	1.0549896	0.0996562	0.8249580	0.8257227	0.1900254	0.5982486	0.7542030	0.9093179	0.8783155	0.8887135	1.0272250	0.5264162	0.3556998	0.3939702	0.7571477	0.3341668	0.3218306	1.0349130	0.2918810	0.1844873	0.2731301	0.1735382	0.5151688	0.6184469	0.2147947	0.0012388	0.6715725	0.7494417	0.3286201	0.4334613	0.3898423	0.7527420	0.1604813	0.5299003	1.0739778	0.3367468	0.6604835	0.5679223	0.7823866	0.5837576	0.5683226	0.8394525	1.0124512	0.9205165	0.9391468	0.4550272	0.9335170	1.0029662	0.9366927
