"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	1.0493423	0.1268193	0.6443763	0.7545864	0.5619766	0.5269440	0.6453730	0.1100995	0.8375520	0.3940664	0.7130363	0.8975363	0.8388570	0.5782009	0.9590319	0.2605981	0.5373198	0.5773111	0.2801486	0.9520682	0.4246525	0.0302206	1.0045292	0.4864939	0.0296403	0.0405412	0.1995677	1.0077324	0.7949859	0.9357784	0.6543861	1.0293130	0.1499951	0.9887241	0.8942323	0.4657400	0.6882676	0.7412291	0.7052414	0.4794940	0.0433292	0.3727343	0.3696170	1.0346017	0.9823635	0.0116356	0.1823832	0.7559912	0.6171932	0.6754174	0.2665128	0.9204633	0.1497328	0.7106883	0.9144393	0.1362248	0.6274484	0.8143771	1.0505586	0.7840034	0.7754489	1.0332084	0.5411813	0.4253790	0.3499312	0.7942278	0.3691214	0.3728051	0.9607256	0.3083398	0.2471707	0.1967309	0.1483378	0.5580485	0.5783515	0.1946777	0.0039946	0.6715726	0.7718648	0.2374578	0.5414213	0.3940120	0.6944968	0.2109515	0.4545932	0.9768813	0.3084733	0.7743173	0.7476209	0.9364506	0.5473555	0.5476372	0.7102679	0.9496262	1.0247803	0.9525854	0.4582345	0.9935991	1.0843551	0.9993368
50.0	0.9696530	0.1400073	0.1710938	0.6621027	0.1844378	0.6358579	0.3985945	0.1516616	0.8397029	0.3835314	0.8121940	0.8576490	0.7820913	0.4882984	1.0203728	0.1665306	0.8033488	0.6101370	0.5751988	1.0078430	0.1490289	0.5989826	1.0128472	0.5426357	0.0287628	0.0549443	0.0699043	0.9905871	0.7631021	0.2893886	0.7673141	1.0198891	0.1209355	0.9867466	0.8087755	0.4563773	0.6741191	0.7290508	0.8906079	0.4373722	0.0272358	0.3999851	0.3728471	1.0872577	1.0081881	0.0141854	0.1472944	0.4369595	0.6129501	0.6740532	0.2933359	1.0000510	0.0931108	0.5631602	0.7791835	0.1733075	0.5890006	0.7385899	1.0031730	1.0350111	0.9354110	0.9879463	0.5520543	0.3528195	0.3461050	0.8336162	0.2869344	0.3180071	0.9531001	0.2762517	0.1136932	0.1825758	0.1319674	0.5235337	0.5368586	0.2100549	0.0028282	0.6399408	0.5779909	0.0844153	0.4738337	0.7269093	0.6779084	0.1419736	0.1768817	1.0292592	0.1724665	0.7113246	0.6729017	0.9617384	0.4740441	0.4824661	0.7052838	0.9671644	1.0111747	0.3882188	0.3087158	1.0237388	0.9850440	1.0405965
100.0	0.8223436	0.1115417	0.2199629	0.1692346	0.0618320	0.6969784	0.3738495	0.1092591	0.8021454	0.4766795	0.9216188	0.9187959	0.8473693	0.6770701	1.0970779	0.1388195	0.5184194	0.5947175	0.7515770	0.9793582	0.0331594	0.9136576	0.9857723	0.5816638	0.0136801	0.0875168	0.0364729	1.0496916	0.7593354	0.1115574	0.8366040	0.9764782	0.0720263	0.9468861	0.5619656	0.4237028	0.6878971	0.7368220	0.9735862	0.4445213	0.0269365	0.4391946	0.3666642	0.9446590	0.9116563	0.0098403	0.2032462	0.4626836	0.6092572	0.8400894	0.2780819	0.8793335	0.0522504	0.3293183	0.6937173	0.3101034	0.4840128	0.5967106	0.8097054	0.9777291	1.0225559	1.0180711	0.5081869	0.3446948	0.3617739	0.8419282	0.3394540	0.2984363	0.9818607	0.2359506	0.0613986	0.2435214	0.1276638	0.4642587	0.5868777	0.1882129	0.0015193	0.7367462	0.5930825	0.0373216	0.5311173	0.8694948	0.6361090	0.0820507	0.0671364	0.9889611	0.1105984	0.7184539	0.6385898	0.9472507	0.5107361	0.4120286	0.5995633	0.9439162	1.0035468	0.3326459	0.2724895	1.0441661	0.9758145	1.0486166
150.0	0.4061760	0.1393466	0.3044413	0.0689769	0.0369547	0.7544645	0.3189753	0.0765981	0.5341345	0.4278039	0.9804902	1.0281610	0.7929296	0.7643343	0.9723351	0.1234214	0.4438652	0.6073385	0.7685581	0.9877781	0.0136459	0.8416529	1.0214555	0.5787299	0.0300914	0.2271052	0.0402849	1.0208014	0.6709988	0.0503488	0.9835198	1.1052587	0.1206328	1.0303762	0.2902484	0.5080414	0.5970957	0.8068864	0.9396679	0.4260214	0.0346932	0.4018848	0.3213272	0.8668186	0.7000228	0.0173104	0.2106550	0.4794377	0.7087438	0.8970765	0.2390724	0.9863063	0.0293579	0.2199923	0.5583527	0.4912010	0.3303260	0.3141125	0.6938898	0.9416138	1.0916712	0.9591237	0.3231276	0.3043784	0.3804125	0.7837993	0.3676565	0.3619737	0.9432988	0.2195498	0.0726730	0.2403659	0.1682420	0.4939230	0.6193514	0.1822283	0.0019785	0.6249089	0.5709528	0.0278782	0.3662222	0.8670260	0.6255398	0.0586871	0.0532233	1.0601148	0.1639134	0.6938353	0.4943558	0.9964378	0.5037472	0.2944949	0.5182859	0.9667731	0.8617499	0.3288670	0.2346690	0.9228716	0.9038191	0.9868892
200.0	0.1712913	0.1642649	0.2772501	0.0478905	0.0311172	0.8165291	0.3206199	0.0681512	0.4228431	0.6025971	0.9432143	1.0213447	0.8944746	0.9092624	1.0879884	0.1336283	0.6320270	0.6077587	0.8809707	0.9964749	0.0130125	0.8544654	1.0280920	0.6011288	0.0231189	0.2809942	0.0519840	0.9645062	0.7081006	0.0480358	1.0343707	1.0680094	0.1196977	0.9501346	0.1587472	0.5412361	0.6020661	0.7104159	0.8955418	0.5071665	0.0373038	0.3913059	0.3832742	0.5974124	0.4874523	0.0244857	0.2145278	0.5361910	0.8126307	0.9409481	0.2463181	1.0334588	0.0199416	0.1647397	0.4101419	0.6015895	0.2715803	0.2286786	0.6118601	0.9680276	1.0284362	0.9395582	0.2770625	0.3741591	0.3655473	0.7727490	0.4080828	0.3512995	0.9256105	0.2741702	0.0747259	0.2443224	0.2695456	0.5470335	0.5746258	0.1992203	0.0084434	0.6202370	0.5845656	0.0356668	0.3569515	0.7516714	0.5997633	0.0313855	0.0279863	1.0140428	0.1629195	0.5091547	0.3401958	1.0501879	0.4306849	0.2187660	0.3752060	0.9746257	0.9574191	0.3137736	0.1739039	0.9136079	0.9591421	0.9506387
250.0	0.0764727	0.2710539	0.2726870	0.0477776	0.0219863	0.7425273	0.2266348	0.0487221	0.4756105	0.8775522	1.0905860	0.9790706	0.9898261	0.9335503	1.0831357	0.1609035	0.8789809	0.5150457	0.8219852	1.0269823	0.0010234	0.8098670	1.0416492	0.5745346	0.0382223	0.3597750	0.0355957	0.9575927	0.7073328	0.0423432	0.9353609	0.9619089	0.1287449	1.0507997	0.1031606	0.5410864	0.5987760	0.7009205	0.9579715	0.4634342	0.0124911	0.3628540	0.3393799	0.3770659	0.3204237	0.0213660	0.2302124	0.4946837	0.7962131	1.0135671	0.1951771	0.9613269	0.0102703	0.1719260	0.2664156	0.6840412	0.2314244	0.0983787	0.6162462	0.9212089	0.9717750	1.0241747	0.2951603	0.3812861	0.3786900	0.6930115	0.3863867	0.3661898	0.8949145	0.3451117	0.0783381	0.2505460	0.1809456	0.5914628	0.5326126	0.2134358	0.0045450	0.6738553	0.6885827	0.0388537	0.3863160	0.8485065	0.5659389	0.0616629	0.0208923	0.9328529	0.1346110	0.3668382	0.2847848	1.0229678	0.4292579	0.2086821	0.2252715	0.9109833	1.0331211	0.3371101	0.1527313	1.0708724	0.9961469	0.9734824
300.0	0.0388589	0.4460515	0.2055149	0.0429407	0.0278703	0.7738734	0.1614543	0.0548149	0.4885066	0.9463450	1.1258958	1.0905365	1.0288239	0.9010883	1.0370739	0.1728749	0.8513085	0.5169873	0.7148100	0.9256412	0.0021749	0.8650191	1.0248196	0.4708147	0.0323870	0.3746876	0.0444478	0.9471894	0.7423050	0.0322886	1.0289502	1.0014257	0.1489642	0.9669303	0.0770297	0.4445602	0.6080090	0.6945672	0.9569333	0.4883744	0.0088969	0.3855819	0.3233933	0.2941317	0.2401260	0.0177224	0.2413899	0.4506303	0.8312876	1.0404350	0.1773003	0.9675955	0.0044105	0.1841526	0.2230770	0.7759394	0.1877632	0.1246263	0.6177136	0.9624869	0.9832646	1.0756541	0.2584666	0.3970923	0.3485524	0.7813020	0.3641094	0.3689155	0.8534610	0.2906298	0.0843852	0.1930102	0.1962518	0.5838508	0.5582412	0.1813381	0.0016166	0.6024288	0.5841036	0.0287861	0.3311889	0.8833180	0.5823913	0.0502972	0.0080759	0.9487018	0.1658712	0.3202421	0.2410280	1.0691808	0.4109869	0.1468223	0.2038856	0.8978557	1.0660985	0.3271568	0.1471773	1.0304662	0.9898461	0.9818348
350.0	0.0185140	0.7190564	0.2110879	0.0333602	0.0198931	0.8108722	0.0918649	0.0368900	0.5007308	1.0003684	0.9830158	1.0576185	1.1235180	1.0495559	1.0492960	0.1442331	0.8787739	0.5785577	0.7450222	0.6479832	0.0033420	0.8755181	0.9362070	0.5314933	0.0199656	0.3934910	0.0499224	0.9599627	0.6590535	0.0222172	0.9329894	0.9371214	0.1485727	0.9510792	0.0730262	0.4915344	0.5794788	0.7602352	0.9196872	0.4815650	0.0165710	0.3585277	0.3326766	0.2145995	0.1376538	0.0103834	0.2490593	0.5279409	0.8912596	1.0048037	0.1958904	1.0424479	0.0056705	0.1613078	0.2027906	0.6589958	0.2333399	0.1145065	0.6007666	0.9978914	0.9333850	0.9923260	0.2300319	0.4429749	0.3398044	0.7356582	0.4117168	0.3880471	0.8193275	0.2682939	0.1030553	0.2390656	0.2691247	0.6056992	0.5417352	0.2652959	0.0016683	0.6379227	0.6107985	0.0157527	0.3504960	0.7872674	0.5428115	0.0519573	0.0181590	0.9826452	0.1543330	0.2680138	0.2344365	1.0263606	0.4512389	0.1279505	0.1187433	0.9862251	1.0105671	0.3396844	0.1448620	0.9638818	0.9832007	0.9974476
400.0	0.0153411	0.9152443	0.1944966	0.0293640	0.0284097	0.8325106	0.0827728	0.0232061	0.4629812	0.9384314	0.9979585	1.0554695	1.0349117	0.9489483	1.0391670	0.2150598	0.8482108	0.5864350	0.7545406	0.3036283	0.0023563	0.8268173	1.0003164	0.5485237	0.0528320	0.4815859	0.0453676	0.9613471	0.6221129	0.0288600	1.0228286	0.9104943	0.1401324	0.9635161	0.0532724	0.5177485	0.5083059	0.7475757	0.9852142	0.4552904	0.0117225	0.3107934	0.3717247	0.1789076	0.1471176	0.0091528	0.2577577	0.4793684	0.8474439	1.0114663	0.2080692	0.9827776	0.0046358	0.1344896	0.1945700	0.7010539	0.2358023	0.1069725	0.6240848	0.9846656	0.8899726	1.0388300	0.2304617	0.3318041	0.4124329	0.6734740	0.4177789	0.3862877	0.8695624	0.3327886	0.0819730	0.3228374	0.3190808	0.6230630	0.5194895	0.2178060	0.0000550	0.5913121	0.6376358	0.0175317	0.2881205	0.7686626	0.5995532	0.0424324	0.0264865	0.9689024	0.1639610	0.2224865	0.2362609	1.0301630	0.4729942	0.1090198	0.0731459	0.9405844	1.0374637	0.3021572	0.1396166	0.9492863	1.0587343	1.0800547
