"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.8355834	0.0124986	0.9999460	0.6754631	0.2137053	0.0000000	0.2310681	0.1606065	0.5036603	0.8410489	0.7912022	0.7053680	0.6660603	0.5636560	0.5637198	0.0539840	0.8489713	0.1734248	0.9985888	0.1270327	0.9044336	1.0000000	0.9968388	0.6474192	0.5213272	0.5926155	0.2366514	0.9962275	1.0000000	0.4475855	0.4355286	0.0546069	0.4323153	0.0578816	0.8690818	0.1856387	0.3885313	0.0572022	0.6561440	1.0000000	0.4936285	0.9999999	0.4191994	0.0859129	0.5553702	0.5379452	0.9966016	0.0603874	0.4208593	0.1628681	0.7006673	0.2141155	0.9992592	0.0000000	0.0303436	0.9868500	0.9606081	0.8501036	0.5923720	0.2492325	0.0959557	0.1289258	0.9916059	0.1308011	1.0000000	0.7187072	0.9999633	0.9641284	1.0000000	0.9999955	0.0621939	0.2031962	1.0000000	1.0000000	0.2135257	0.9934896	0.8518719	1.0000000	1.0000000	0.3180463	0.0907162	0.0007269	1.0000000	0.9894594	0.0182555	0.5662471	0.4579137	1.0000000	0.0738150	0.0438330	0.9992831	1.0000000	0.8697593	0.8691202	0.9044325	1.0000000	1.0000000	0.0953935	0.0208542	1.0000000
0.4447724	0.0355928	0.9996754	0.3343608	0.3272733	0.7777816	0.2310681	0.4361949	0.5032524	0.4698184	0.7910903	0.7052727	0.6664760	0.5639185	0.5639643	0.0537168	0.6464160	0.9999999	0.9996194	0.5290349	0.7322115	1.0000000	0.9968388	0.6475438	0.5213870	0.5924824	0.2113440	0.9962228	0.9997865	0.4973483	0.4355322	0.0546095	0.1620975	0.0550626	0.0016993	0.6973875	0.1122652	0.0572087	0.4738394	0.0000000	0.0000000	0.9999999	0.4190796	0.0859129	0.5664847	0.2097151	0.9966002	0.0604045	0.4215062	0.5094397	0.8299900	0.6665263	0.9992590	0.9993632	0.0303325	0.9868710	0.9491773	0.8020415	0.9560104	0.4872857	1.0000000	0.5578355	0.4713750	0.1308124	1.0000000	0.7187080	0.9999633	0.9641283	1.0000000	0.9999955	0.0881066	0.2490604	1.0000000	1.0000000	0.3932839	0.9934896	0.0003342	0.2408607	1.0000000	0.2788576	0.9989727	0.0013895	0.6860295	0.9894594	0.0184900	0.2691869	0.4549593	0.4530414	0.9036006	0.0438449	0.9973091	1.0000000	0.2483378	0.1455657	0.0284793	1.0000000	1.0000000	0.2199563	0.9350865	0.3223499
0.4447717	0.5328373	0.9996754	0.3343539	0.3272763	0.7777958	0.2310681	0.4362014	0.3674179	0.4104425	0.7463040	0.6713943	0.8044472	0.6612607	0.6494358	0.0537167	0.6463315	1.0000000	0.9996194	0.5290356	0.0000000	1.0000000	0.9968374	0.6909776	0.5416553	0.5462072	0.2118786	0.9940869	0.9997866	0.4973481	0.4355322	0.0546095	0.1620924	0.0550622	0.0146007	0.6975630	0.1122301	0.0625547	0.9815609	0.0000000	0.9999997	0.9999998	0.1583836	0.0859129	0.5619530	0.8847229	0.9957880	0.0721844	0.7189490	0.5035581	0.8756576	0.8280194	0.9992590	0.9993632	0.0303325	0.9868711	0.9491427	0.0263729	0.0898325	0.0000154	0.2696152	1.0000000	0.0184467	0.1351189	1.0000000	0.7194121	0.9999633	0.9641283	1.0000000	0.9999955	1.0000000	0.2491685	1.0000000	1.0000000	0.4797842	0.9934896	0.9406324	0.0200059	1.0000000	0.0960419	0.9989726	0.1424789	0.6860425	0.9894594	0.0184900	0.2691954	0.4549600	0.4530291	0.9036336	0.0526384	0.9873476	1.0000000	0.0488532	0.0360880	0.0181096	1.0000000	1.0000000	0.9993634	0.9350865	0.3223499
0.5965006	0.0132345	0.9998590	0.4924543	0.2685460	0.6157367	0.2310681	0.2955220	0.5037286	0.4700432	0.7912208	0.2146772	0.6659915	0.5636125	0.3598233	0.0542026	0.7622769	0.5472552	0.9987807	0.3363328	0.9827692	1.0000000	0.9968388	0.9487121	0.6401062	0.2342301	0.3534598	0.6169320	1.0000000	0.0287118	0.4355256	0.0546069	0.7654486	0.0599243	0.1611806	0.0708644	0.6726012	0.0571996	0.9132530	0.5777036	0.9686638	0.9999999	0.4191986	0.0859129	0.5474885	0.8453576	0.9966020	0.0603805	0.4207510	0.4960893	0.7006130	0.0323176	0.0000000	0.0000000	0.0303529	0.9868330	0.9999855	0.8662057	0.5487033	0.2155680	0.1030303	0.4134223	0.7956957	0.4644624	1.0000000	0.0088384	0.0562101	0.0088858	1.0000000	0.9999955	0.0550157	0.2011498	1.0000000	1.0000000	0.1567779	0.9934896	0.9380298	0.3908051	1.0000000	0.3269419	0.0907162	0.0005938	0.6413269	0.9894594	0.5318085	0.7357069	0.9828462	1.0000000	0.0738150	0.0438282	0.9981951	1.0000000	0.4656681	0.3502602	0.1126223	1.0000000	1.0000000	0.0743600	0.0208542	1.0000000
0.5371878	0.0186699	0.9998103	0.4340654	0.2894171	0.6788998	0.2310681	0.3466981	1.0000000	0.8755781	0.8740081	0.7943628	0.2971410	0.3452109	0.3601485	0.0537268	0.7233221	0.6916326	0.9990435	0.4066813	0.8609561	1.0000000	0.9968405	0.5486577	0.4693911	0.7046315	0.4750325	0.9985568	1.0000000	0.0286282	0.4355320	0.0546069	0.1716733	0.0551733	0.2815785	0.6687671	0.1194287	0.0526540	0.4720550	0.5568151	0.9768018	0.9999999	0.4191885	0.0859129	0.5345855	0.2069873	0.9976658	0.0440542	0.0000000	0.4960910	0.0805091	0.0323176	0.9992592	0.0000000	0.0303329	0.9868703	0.9999855	0.8398236	0.5488442	0.2103056	0.1066113	0.4386885	0.9878916	0.1221166	1.0000000	0.7181609	0.9999633	0.9641284	1.0000000	0.9999955	0.0671643	0.2428639	1.0000000	1.0000000	0.2067206	0.9934896	0.9387223	0.3877266	1.0000000	0.3112395	0.0907162	0.0008316	0.6487820	0.9894594	0.6141224	0.7501611	0.9857677	1.0000000	0.0738150	0.0340333	0.9992214	1.0000000	0.4616283	0.3457572	0.1095180	1.0000000	1.0000000	0.1134254	0.0208542	1.0000000
0.5740817	0.0135274	0.9998430	0.4711055	0.2760211	0.6391963	0.2310681	0.3139508	1.0000000	0.6815182	0.8740083	0.3548266	0.2971401	0.3452108	0.1603124	0.0542016	0.7490883	0.5983184	0.9988609	0.3621151	0.9818429	1.0000000	0.9968405	0.9378784	0.6366661	0.2538610	0.3627679	0.7110600	0.9991327	0.4976236	0.4355256	0.0546174	0.7634401	0.0599163	0.0011631	0.0710989	0.6714684	0.0526526	0.4732921	0.5499929	0.9999997	0.9999999	0.4191982	0.0859129	0.5345887	0.2088768	0.9976662	0.0440494	0.0000000	0.8714089	0.0805091	0.5677042	0.0000000	0.9993629	0.0303528	0.9868330	0.9492412	0.8660308	0.5536032	0.2084030	0.1075179	0.4337014	0.7951351	0.2528318	1.0000000	0.0075928	0.0562101	0.0088858	1.0000000	0.9999955	0.0550897	0.2011526	1.0000000	1.0000000	0.1558246	0.9934896	0.9406324	0.0215935	1.0000000	0.3268551	0.9989727	0.0005951	0.6429170	0.9894594	0.0184899	0.2441129	0.4516637	0.4886806	0.7663419	0.0340279	0.9970907	1.0000000	0.0490408	0.0361195	0.0181096	1.0000000	1.0000000	0.0745495	0.9350864	0.3223500
0.4447725	0.0159777	0.9996754	0.3343608	0.3272733	0.7777814	0.2310681	0.4361949	0.5037048	0.4700327	0.7912149	0.2146690	0.6660135	0.5636265	0.3598365	0.0541954	0.6465761	0.9999999	0.9996194	0.5290349	0.9648381	1.0000000	0.9968388	0.9487001	0.6400599	0.2342264	0.3821753	0.6171166	0.9997865	0.4973483	0.4355257	0.0546095	0.7534079	0.0598726	0.0009525	0.0724504	0.6652617	0.0571974	0.9215110	0.0000000	0.9999998	0.9999999	0.4191945	0.0859129	0.5473180	0.8508060	0.9966023	0.0603746	0.4207895	0.8714070	0.7006320	0.5677042	0.0000000	0.9993632	0.0303526	0.9868334	0.9492412	0.8627662	0.8856016	0.0000154	0.2696152	0.5329796	0.0184523	0.4644799	1.0000000	0.0088378	0.0562157	0.0088858	1.0000000	0.9999955	0.0564873	0.2011699	1.0000000	1.0000000	0.1617070	0.9934896	0.9406324	0.0200064	1.0000000	0.3252131	0.9989727	0.0006194	0.6860294	0.9894594	0.0184900	0.2691868	0.4549593	0.4530415	0.9036004	0.0438242	0.9931401	1.0000000	0.0488537	0.0360880	0.0181096	1.0000000	1.0000000	0.0782114	0.9350865	0.3223499
0.8599930	0.0107712	0.9999502	0.6896510	0.2102318	0.3786331	0.2310681	0.1523036	0.0000000	0.3423938	0.2061598	0.0021795	1.0000000	1.0000000	0.5922506	0.0542189	0.8379404	0.1459075	0.9985488	0.1124554	0.9946680	1.0000000	0.9968317	0.9504699	0.6406598	0.2308483	0.2709195	0.5989571	0.9650775	0.5043436	0.4355269	0.0550735	0.7958868	0.0600509	0.0579030	0.0671432	0.6905217	0.8025082	0.7917603	0.9985360	0.9814074	0.9999828	0.4192010	0.0859129	0.5462404	0.7365977	0.8848805	0.4387261	0.3222428	0.8714071	0.6267011	0.5677022	0.0000000	0.9993492	0.0303535	0.9868318	0.9492412	0.8684139	0.4756627	0.2489270	0.0561135	0.1246265	0.7982647	0.9999727	1.0000000	0.4907388	0.0562100	0.0088858	1.0000000	0.9999955	0.0540885	0.2011027	1.0000000	1.0000000	0.1523056	0.9934896	0.9391128	0.0357966	1.0000000	0.3280047	0.9989726	0.0005781	0.6896242	0.9894594	0.0184897	0.1856277	0.4341870	0.6006699	0.1577858	0.5528419	0.2384950	1.0000000	0.0515040	0.0366160	0.0181107	1.0000000	1.0000000	0.0720539	0.9350839	0.3223572
0.5261672	0.0075339	0.9997987	0.4225891	0.2936640	0.6909247	0.2310681	0.3569849	0.3113466	0.7425139	0.7223949	0.6561040	0.8576011	0.7080342	0.6852326	0.0537254	0.7147361	0.7221370	0.9991082	0.4204936	0.8587773	1.0000000	0.9968417	0.7111673	0.5508150	0.5251134	0.4876962	0.9926436	0.9995029	0.4974889	0.4355321	0.0546129	0.1703714	0.0551578	0.0025659	0.6727767	0.1184029	0.0499275	0.9910502	0.5392284	0.9999998	0.9999999	0.4192026	0.0859129	0.5583387	0.8892634	0.9990417	0.0000000	0.9224805	0.5031118	0.8830464	0.8911372	0.9992587	0.9993631	0.0303328	0.9868704	0.9491373	0.8392808	0.5518072	0.2052265	0.1095433	0.4512121	0.9875306	0.1372967	1.0000000	0.7178895	0.9999633	0.9641283	1.0000000	0.9999955	0.0000000	0.2436923	1.0000000	1.0000000	0.0036522	0.9934896	0.9406324	0.0208446	1.0000000	0.3530163	0.9989727	0.0001843	0.6514568	0.9894594	0.0184899	0.2539643	0.4531197	0.4740167	0.8365169	0.0226942	0.9992540	1.0000000	0.0489500	0.0361041	0.0181096	1.0000000	1.0000000	0.0339629	0.9350865	0.3223499
0.8348696	0.0125560	0.9999459	0.6750630	0.2138040	0.3970865	0.2310681	0.1608446	0.5034327	0.8410130	0.7918021	0.7053148	0.6662906	0.5638015	0.5638518	0.0537737	0.8352906	0.1742562	0.9985616	0.1274794	0.9022126	1.0000000	1.0000000	0.6477648	0.5214875	0.5922360	0.2139480	0.9962144	0.9748618	0.5024382	0.4355322	0.0549318	0.2171879	0.0556973	0.0073140	0.5384770	0.1576872	0.0000000	0.4796577	1.0000000	0.0000000	1.0000000	0.4191994	0.0859129	0.5659693	0.2187323	0.9966111	0.0602456	0.4212205	0.5094617	0.8298867	0.6663587	0.9992345	0.9993536	0.0303348	0.9868666	0.9491774	0.8496035	0.7791073	0.9914011	0.5212066	0.1290569	0.9915230	0.1308074	1.0000000	0.7187005	0.9999633	0.9641252	1.0000000	0.9999955	0.0624286	0.2232460	1.0000000	1.0000000	0.2315957	0.9934896	0.0003337	0.2408612	1.0000000	0.3168821	0.9989831	0.0007295	0.6819977	0.9894594	0.0184897	0.1902552	0.4365161	0.5897545	0.1853753	0.0437356	0.9973316	1.0000000	0.2483787	0.1455695	0.0284805	1.0000000	1.0000000	0.0961805	0.9350847	0.3223548
