"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.5442242	0.0184367	0.9998171	0.4411706	0.2868133	0.6714544	0.2310681	0.3403612	0.5036196	0.7847811	0.7911940	0.7053611	0.6660908	0.5636749	0.5637378	0.0537276	0.7281901	0.6726899	0.9990038	0.3979710	0.8622062	1.0000000	0.9968388	0.6474541	0.5213591	0.5925944	0.4801200	0.9962260	0.9993907	0.4975331	0.4355320	0.0546143	0.1724616	0.0551821	0.0022708	0.6664376	0.1200148	0.0572053	0.9224769	0.5676315	0.9999997	0.9999999	0.4191891	0.0859129	0.5472998	0.8514260	0.9966011	0.0603920	0.4209384	0.5094783	0.8297826	0.6661935	0.9992586	0.9993630	0.0303329	0.9868702	0.9491775	0.8401369	0.5427240	0.2131241	0.1043138	0.4306466	0.9880920	0.1308019	1.0000000	0.7187075	0.9999633	0.9641283	1.0000000	0.9999955	0.0670085	0.2423421	1.0000000	1.0000000	0.2044375	0.9934896	0.9406324	0.0210971	1.0000000	0.3114686	0.9989727	0.0008280	0.6473573	0.9894594	0.0184899	0.2503435	0.4526117	0.4792984	0.8135511	0.0438398	0.9931691	1.0000000	0.0489803	0.0361092	0.0181096	1.0000000	1.0000000	0.1127954	0.9350865	0.3223500
50.0	0.1984871	0.0197735	0.9997249	0.3730178	0.3108907	0.7211708	0.2310681	0.3990941	0.5036136	0.7847777	0.7911925	0.7053594	0.6660960	0.5636786	0.5637422	0.0537275	0.7260517	0.6727070	0.9990038	0.3979712	0.8622032	1.0000000	0.9968388	0.6474447	0.5213505	0.5925968	0.4801185	0.9962264	0.9994215	0.4975282	0.4355320	0.0546143	0.1720025	0.0551816	0.0022471	0.6666267	0.1199746	0.0572045	0.9224817	0.5675930	0.9999997	0.9999999	0.4191890	0.0859129	0.5473001	0.8514295	0.9966012	0.0603915	0.4209434	0.5094777	0.8297860	0.6661988	0.9992586	0.9993630	0.0303329	0.9868702	0.9491775	0.8401358	0.5427264	0.2131220	0.1043156	0.4306540	0.9880917	0.1308019	1.0000000	0.7187074	0.9999633	0.9641283	1.0000000	0.9999955	0.0670090	0.2424240	1.0000000	1.0000000	0.2044375	0.9934896	0.9406324	0.0210477	1.0000000	0.3114691	0.9989727	0.0008280	0.6489987	0.9894594	0.0184899	0.2512347	0.4527779	0.4780938	0.8184541	0.0438380	0.9931703	1.0000000	0.0489795	0.0361091	0.0181096	1.0000000	1.0000000	0.1127952	0.9350865	0.3223500
100.0	0.0723913	0.0242222	0.9987198	0.1974275	0.3724142	0.8457686	0.2310681	0.5314786	0.5036095	0.7847656	0.7911909	0.7053579	0.6661018	0.5636825	0.5637460	0.0537272	0.6994245	0.6727770	0.9990038	0.3979767	0.8621871	1.0000000	0.9968388	0.6474398	0.5213442	0.5925970	0.4801412	0.9962267	0.9996369	0.4974757	0.4355320	0.0546137	0.1674440	0.0551755	0.0020182	0.6680829	0.1196232	0.0572041	0.9224852	0.5672751	0.9999997	0.9999999	0.4191864	0.0859129	0.5473002	0.8514327	0.9966013	0.0603916	0.4209461	0.5094772	0.8297883	0.6662024	0.9992587	0.9993630	0.0303329	0.9868702	0.9491775	0.8401347	0.5427387	0.2131113	0.1043279	0.4306968	0.9880911	0.1308020	1.0000000	0.7187074	0.9999633	0.9641283	1.0000000	0.9999955	0.0670096	0.2424927	1.0000000	1.0000000	0.2044388	0.9934896	0.9406324	0.0205926	1.0000000	0.3114688	0.9989727	0.0008281	0.6744453	0.9894594	0.0184900	0.2601166	0.4541283	0.4662383	0.8595888	0.0438369	0.9931695	1.0000000	0.0489734	0.0361075	0.0181096	1.0000000	1.0000000	0.1127964	0.9350865	0.3223500
150.0	0.0264023	0.0284474	0.9896146	0.0773560	0.4089621	0.9329461	0.2310685	0.5983880	0.5036070	0.7847210	0.7911895	0.7053568	0.6661069	0.5636857	0.5637488	0.0537262	0.6360020	0.6730660	0.9990040	0.3980026	0.8621225	1.0000000	0.9968388	0.6474377	0.5213401	0.5925966	0.4802325	0.9962268	0.9998340	0.4973775	0.4355320	0.0546120	0.1597922	0.0551464	0.0016570	0.6748100	0.1179327	0.0572039	0.9224873	0.5667714	0.9999997	0.9999999	0.4191774	0.0859129	0.5473002	0.8514352	0.9966013	0.0603918	0.4209471	0.5094769	0.8297897	0.6662044	0.9992587	0.9993631	0.0303329	0.9868703	0.9491775	0.8401304	0.5427901	0.2130670	0.1043738	0.4308657	0.9880885	0.1308022	1.0000000	0.7187074	0.9999633	0.9641283	1.0000000	0.9999955	0.0670118	0.2427704	1.0000000	1.0000000	0.2044412	0.9934896	0.9406324	0.0199306	1.0000000	0.3114681	0.9989727	0.0008281	0.7602048	0.9894594	0.0184900	0.2753793	0.4558370	0.4465655	0.9086294	0.0438364	0.9931616	1.0000000	0.0489465	0.0361012	0.0181096	1.0000000	1.0000000	0.1127987	0.9350865	0.3223500
200.0	0.0096293	0.0307383	0.9081198	0.0304017	0.4214993	0.9732189	0.2310724	0.6186702	0.5036057	0.7846451	0.7911885	0.7053560	0.6661107	0.5636881	0.5637507	0.0537237	0.5656113	0.6736111	0.9990044	0.3980871	0.8620252	1.0000000	0.9968388	0.6474371	0.5213378	0.5925965	0.4803408	0.9962268	0.9999184	0.4972897	0.4355320	0.0546101	0.1535931	0.0550918	0.0013768	0.6875340	0.1146936	0.0572039	0.9224885	0.5663738	0.9999997	0.9999999	0.4191621	0.0859129	0.5473003	0.8514368	0.9966013	0.0603921	0.4209472	0.5094767	0.8297903	0.6662054	0.9992588	0.9993631	0.0303328	0.9868704	0.9491775	0.8401181	0.5428834	0.2129869	0.1044437	0.4311450	0.9880829	0.1308023	1.0000000	0.7187074	0.9999633	0.9641283	1.0000000	0.9999955	0.0670182	0.2437457	1.0000000	1.0000000	0.2044482	0.9934896	0.9406324	0.0194611	1.0000000	0.3114659	0.9989727	0.0008281	0.8734093	0.9894594	0.0184900	0.2879425	0.4568799	0.4308519	0.9359998	0.0438362	0.9931470	1.0000000	0.0488999	0.0360918	0.0181096	1.0000000	1.0000000	0.1128054	0.9350865	0.3223500
250.0	0.0035120	0.0316993	0.5811071	0.0161987	0.4251247	0.9895650	0.2311284	0.6240283	0.5036052	0.7845644	0.7911879	0.7053556	0.6661133	0.5636897	0.5637518	0.0537197	0.5131614	0.6742538	0.9990053	0.3982544	0.8619464	1.0000000	0.9968388	0.6474369	0.5213366	0.5925967	0.4803735	0.9962268	0.9999481	0.4972336	0.4355320	0.0546088	0.1499590	0.0550298	0.0012135	0.7024659	0.1109233	0.0572039	0.9224890	0.5661364	0.9999998	0.9999999	0.4191454	0.0859129	0.5473003	0.8514379	0.9966013	0.0603923	0.4209469	0.5094766	0.8297906	0.6662058	0.9992589	0.9993632	0.0303327	0.9868706	0.9491775	0.8400994	0.5429892	0.2128967	0.1045099	0.4314305	0.9880755	0.1308025	1.0000000	0.7187074	0.9999633	0.9641283	1.0000000	0.9999955	0.0670278	0.2457324	1.0000000	1.0000000	0.2044651	0.9934896	0.9406324	0.0192083	1.0000000	0.3114604	0.9989727	0.0008282	0.9476052	0.9894594	0.0184900	0.2952943	0.4573700	0.4217761	0.9479220	0.0438362	0.9931311	1.0000000	0.0488504	0.0360833	0.0181096	1.0000000	1.0000000	0.1128220	0.9350865	0.3223499
300.0	0.0012809	0.0320625	0.2786425	0.0123973	0.4261247	0.9959601	0.2319888	0.6253996	0.5036052	0.7844990	0.7911875	0.7053553	0.6661148	0.5636906	0.5637524	0.0537149	0.4814751	0.6748248	0.9990064	0.3984848	0.8619119	1.0000000	0.9968388	0.6474368	0.5213361	0.5925970	0.4803128	0.9962268	0.9999584	0.4972032	0.4355320	0.0546080	0.1481438	0.0549770	0.0011300	0.7158438	0.1076253	0.0572040	0.9224891	0.5660118	0.9999998	0.9999999	0.4191321	0.0859129	0.5473003	0.8514384	0.9966013	0.0603925	0.4209466	0.5094765	0.8297906	0.6662058	0.9992590	0.9993632	0.0303325	0.9868710	0.9491775	0.8400812	0.5430809	0.2128194	0.1045584	0.4316522	0.9880684	0.1308025	1.0000000	0.7187074	0.9999633	0.9641283	1.0000000	0.9999955	0.0670369	0.2485454	1.0000000	1.0000000	0.2044924	0.9934896	0.9406324	0.0190874	1.0000000	0.3114512	0.9989727	0.0008283	0.9798481	0.9894594	0.0184900	0.2989172	0.4575800	0.4173050	0.9527382	0.0438363	0.9931182	1.0000000	0.0488101	0.0360774	0.0181096	1.0000000	1.0000000	0.1128487	0.9350865	0.3223499
350.0	0.0004672	0.0321965	0.1649582	0.0114401	0.4263973	0.9984384	0.2455676	0.6257484	0.5036053	0.7844542	0.7911873	0.7053552	0.6661156	0.5636910	0.5637526	0.0537104	0.4644730	0.6752435	0.9990076	0.3987320	0.8619148	1.0000000	0.9968388	0.6474366	0.5213358	0.5925972	0.4802011	0.9962268	0.9999622	0.4971882	0.4355320	0.0546077	0.1473148	0.0549394	0.0010905	0.7259991	0.1052068	0.0572041	0.9224890	0.5659511	0.9999998	0.9999999	0.4191235	0.0859129	0.5473003	0.8514387	0.9966012	0.0603927	0.4209462	0.5094765	0.8297906	0.6662057	0.9992591	0.9993632	0.0303323	0.9868713	0.9491775	0.8400697	0.5431486	0.2127635	0.1045889	0.4317971	0.9880631	0.1308026	1.0000000	0.7187074	0.9999633	0.9641283	1.0000000	0.9999955	0.0670424	0.2516570	1.0000000	1.0000000	0.2045231	0.9934896	0.9406324	0.0190330	1.0000000	0.3114405	0.9989727	0.0008285	0.9914079	0.9894594	0.0184900	0.3005413	0.4576667	0.4152876	0.9546428	0.0438364	0.9931092	1.0000000	0.0487821	0.0360739	0.0181096	1.0000000	1.0000000	0.1128792	0.9350865	0.3223499
400.0	0.0001704	0.0322468	0.1321868	0.0112065	0.4264714	0.9993966	0.3903832	0.6258369	0.5036055	0.7844269	0.7911872	0.7053552	0.6661159	0.5636911	0.5637527	0.0537068	0.4559973	0.6755081	0.9990086	0.3989532	0.8619365	1.0000000	0.9968388	0.6474364	0.5213356	0.5925974	0.4800854	0.9962268	0.9999636	0.4971812	0.4355321	0.0546075	0.1469563	0.0549156	0.0010727	0.7329060	0.1036292	0.0572041	0.9224889	0.5659229	0.9999998	0.9999999	0.4191186	0.0859129	0.5473004	0.8514387	0.9966012	0.0603928	0.4209459	0.5094765	0.8297905	0.6662055	0.9992591	0.9993632	0.0303321	0.9868716	0.9491775	0.8400659	0.5431936	0.2127275	0.1046062	0.4318809	0.9880600	0.1308026	1.0000000	0.7187074	0.9999633	0.9641283	1.0000000	0.9999955	0.0670440	0.2545282	1.0000000	1.0000000	0.2045485	0.9934896	0.9406324	0.0190095	1.0000000	0.3114312	0.9989727	0.0008287	0.9952234	0.9894594	0.0184900	0.3012300	0.4577016	0.4144246	0.9553921	0.0438365	0.9931037	1.0000000	0.0487647	0.0360720	0.0181096	1.0000000	1.0000000	0.1129048	0.9350865	0.3223499
