"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.5442184	0.0184374	0.9998171	0.4411680	0.2868139	0.6714465	0.2310681	0.3403636	0.5036256	0.7847824	0.7911936	0.7053618	0.6660937	0.5636789	0.5637357	0.0537279	0.7283620	0.6726835	0.9990038	0.3979779	0.8622087	1.0000000	0.9968388	0.6474618	0.5213677	0.5925861	0.4801207	0.9962257	0.9993906	0.4975334	0.4355320	0.0546143	0.1724872	0.0551828	0.0022728	0.6662675	0.1200953	0.0572063	0.9224724	0.5676398	0.9999997	0.9999999	0.4191891	0.0859129	0.5472994	0.8514248	0.9966010	0.0603942	0.4209327	0.5094785	0.8297786	0.6661864	0.9992586	0.9993630	0.0303329	0.9868702	0.9491775	0.8401376	0.5427227	0.2131252	0.1043129	0.4306430	0.9880920	0.1308021	1.0000000	0.7187077	0.9999633	0.9641283	1.0000000	0.9999955	0.0670081	0.2422389	1.0000000	1.0000000	0.2044413	0.9934896	0.9406324	0.0210994	1.0000000	0.3114636	0.9989727	0.0008281	0.6473590	0.9894594	0.0184899	0.2503343	0.4526102	0.4793150	0.8134164	0.0438416	0.9931685	1.0000000	0.0489818	0.0361093	0.0181096	1.0000000	1.0000000	0.1128078	0.9350865	0.3223500
50.0	0.5114618	0.0158995	0.9478141	0.4569377	0.2906225	0.6747818	0.1580323	0.4391445	0.4890488	0.7711870	0.7965712	0.7042822	0.6611313	0.5164817	0.5870898	0.0351693	0.7325417	0.6837710	0.9991704	0.4367683	0.8532822	0.9654334	0.9176417	0.6468034	0.5066852	0.6019696	0.2617618	0.9962743	0.9420673	0.3880058	0.5435714	0.0279654	0.2766683	0.0360046	0.0017948	0.6085967	0.1628831	0.0407707	0.9387393	0.4658244	0.9999997	0.8736820	0.4203168	0.0564001	0.5727093	0.8424550	0.9981992	0.1334630	0.6257096	0.4806887	0.8703935	0.7362062	0.9683512	0.9994325	0.0181761	0.9879267	0.8537125	0.8311458	0.5515433	0.1630775	0.1080151	0.4273483	0.9825809	0.0898172	0.9976344	0.7924971	0.9873958	0.9606791	0.7892567	0.9876071	0.0564047	0.2306232	1.0000000	1.0000000	0.1982525	0.9875655	0.9445021	0.0210958	0.6522421	0.2620630	0.9527194	0.0110146	0.5887286	0.9892989	0.0095747	0.2896445	0.2973924	0.4792383	0.8746422	0.0423806	0.8361383	1.0000000	0.0361271	0.2609408	0.1663203	0.9276589	0.9223026	0.1734915	0.9275223	0.3223486
100.0	0.4698096	0.0115967	0.9047347	0.4511402	0.3106196	0.6945862	0.0773766	0.5314842	0.4388159	0.7008215	0.8008472	0.7000139	0.6631815	0.4549875	0.6107555	0.0172035	0.7349563	0.7496488	0.9995782	0.4825456	0.8181535	0.9344379	0.8380391	0.6292340	0.4870268	0.6770015	0.1398163	0.9967093	0.9101236	0.2869955	0.6421451	0.0125482	0.3678086	0.0164764	0.0011821	0.4430308	0.2467124	0.1028905	0.9632395	0.3411942	0.9999997	0.7561948	0.4262569	0.0392669	0.6044361	0.8460200	0.9993353	0.2203088	0.7312909	0.4638670	0.9219338	0.8277615	0.9416427	0.9996475	0.0072378	0.9922271	0.7612324	0.8199133	0.5782248	0.1006562	0.1281797	0.4589399	0.9744801	0.0556295	0.9948163	0.8497489	0.9701869	0.9551885	0.5983020	0.9733936	0.0457684	0.2040448	1.0000000	1.0000000	0.1706680	0.9834101	0.9484844	0.0210510	0.4146142	0.2076692	0.9222239	0.0222496	0.5207888	0.9877665	0.0032127	0.3188269	0.2001049	0.4779430	0.9349123	0.0856462	0.6942297	1.0000000	0.0203413	0.4588673	0.3241253	0.8805853	0.8568161	0.2388250	0.9201418	0.3223267
150.0	0.4352289	0.0078965	0.8876080	0.4242473	0.3386218	0.7265664	0.0333059	0.5831967	0.3952311	0.5959809	0.7954103	0.6912508	0.6839751	0.4197742	0.6354974	0.0086071	0.7287734	0.8380271	0.9998332	0.5191244	0.7780206	0.9193072	0.7987053	0.5705738	0.4692062	0.7880369	0.0839691	0.9977571	0.9021564	0.2417039	0.6861852	0.0069234	0.3901066	0.0065760	0.0007750	0.3048444	0.3302526	0.2517623	0.9778169	0.3012639	0.9999961	0.7033316	0.4340783	0.0366411	0.6243768	0.8558356	0.9997051	0.2721945	0.7541613	0.4578172	0.9523811	0.8866238	0.9302842	0.9998239	0.0024966	0.9963211	0.7160742	0.8090639	0.6188001	0.0578493	0.1537106	0.4906251	0.9650295	0.0423472	0.9931280	0.8836081	0.9581643	0.9504067	0.5131022	0.9652723	0.0422162	0.1727541	1.0000000	1.0000000	0.1361690	0.9820387	0.9505092	0.0208955	0.3378447	0.1839776	0.9117961	0.0283895	0.4819356	0.9854419	0.0010593	0.3313304	0.1698918	0.4736385	0.9650075	0.1697406	0.5881599	1.0000000	0.0105517	0.5441255	0.4070058	0.8646857	0.8302569	0.2718972	0.9165897	0.3222693
200.0	0.4057648	0.0056531	0.8819237	0.3919073	0.3644762	0.7610324	0.0133821	0.6148472	0.3715223	0.5111609	0.7748634	0.6814669	0.7148436	0.4077027	0.6582156	0.0051477	0.7134830	0.9041255	0.9999414	0.5504788	0.7652221	0.9125553	0.7825264	0.4964531	0.4460485	0.8760024	0.0636366	0.9987115	0.9005928	0.2244626	0.7025700	0.0048854	0.3912800	0.0024273	0.0005459	0.2302865	0.3870216	0.3882478	0.9829466	0.3126640	0.9999656	0.6836943	0.4401284	0.0375215	0.6347162	0.8628448	0.9997923	0.2989190	0.7572832	0.4558174	0.9666298	0.9165948	0.9261984	0.9999213	0.0008001	0.9985732	0.6971585	0.7986914	0.6523044	0.0339419	0.1656049	0.5061052	0.9564610	0.0386554	0.9922841	0.9058813	0.9511679	0.9471938	0.4810190	0.9614216	0.0431104	0.1484233	1.0000000	1.0000000	0.1138407	0.9816620	0.9513672	0.0206419	0.3170242	0.1795128	0.9084997	0.0311873	0.4656597	0.9834872	0.0004488	0.3386975	0.1617050	0.4668444	0.9786491	0.2505970	0.4355505	1.0000000	0.0054781	0.5750331	0.4430713	0.8598054	0.8212979	0.2859436	0.9151613	0.3221961
250.0	0.3825803	0.0047390	0.8801508	0.3613017	0.3850993	0.7927602	0.0051509	0.6371843	0.3612391	0.4646089	0.7408117	0.6739057	0.7435798	0.4074184	0.6737550	0.0038505	0.6916746	0.9411168	0.9999807	0.5752513	0.7734937	0.9096008	0.7763937	0.4378709	0.4151455	0.9311793	0.0573836	0.9992780	0.9003634	0.2182053	0.7081995	0.0041364	0.3895725	0.0008521	0.0004278	0.1958504	0.4173857	0.4755628	0.9834860	0.3297865	0.9998815	0.6770301	0.4437060	0.0384116	0.6396318	0.8659431	0.9997917	0.3138466	0.7570283	0.4551868	0.9725800	0.9301702	0.9248257	0.9999668	0.0002453	0.9995149	0.6896626	0.7921538	0.6682816	0.0233060	0.1654762	0.5103125	0.9521309	0.0383302	0.9918959	0.9191797	0.9474307	0.9453818	0.4697510	0.9597484	0.0445496	0.1347105	1.0000000	1.0000000	0.1064553	0.9815664	0.9517009	0.0203573	0.3117691	0.1817197	0.9074519	0.0323709	0.4627756	0.9822602	0.0002881	0.3446859	0.1596727	0.4592792	0.9851552	0.3084011	0.2898292	1.0000000	0.0030474	0.5854594	0.4574386	0.8583388	0.8185143	0.2921994	0.9146320	0.3221306
300.0	0.3665073	0.0045906	0.8795858	0.3357830	0.4003489	0.8190927	0.0019253	0.6535331	0.3573844	0.4456911	0.7038387	0.6692698	0.7645734	0.4108662	0.6822580	0.0033803	0.6668876	0.9572963	0.9999938	0.5922316	0.7865050	0.9083139	0.7741657	0.4010488	0.3814308	0.9622416	0.0555592	0.9995582	0.9003669	0.2159431	0.7100576	0.0038580	0.3882232	0.0002890	0.0003727	0.1809577	0.4312409	0.5264359	0.9827055	0.3413426	0.9997615	0.6748847	0.4455136	0.0388706	0.6418688	0.8667233	0.9997580	0.3252364	0.7564327	0.4549960	0.9748986	0.9359143	0.9243794	0.9999864	0.0000730	0.9998495	0.6867563	0.7905025	0.6716093	0.0198380	0.1617418	0.5091919	0.9514333	0.0388956	0.9917253	0.9269247	0.9455301	0.9444761	0.4659258	0.9590572	0.0447457	0.1284420	1.0000000	1.0000000	0.1065937	0.9815432	0.9518222	0.0200958	0.3104886	0.1847472	0.9071124	0.0328555	0.4671114	0.9816092	0.0002473	0.3498505	0.1592660	0.4522625	0.9885742	0.3455030	0.1951286	1.0000000	0.0019250	0.5888521	0.4628776	0.8579003	0.8176872	0.2954230	0.9144449	0.3220829
350.0	0.3567069	0.0046534	0.8793822	0.3167955	0.4108452	0.8389541	0.0007046	0.6648915	0.3561250	0.4404567	0.6722918	0.6668444	0.7777687	0.4143703	0.6862198	0.0032129	0.6424427	0.9618837	0.9999981	0.6023046	0.7964715	0.9077539	0.7733739	0.3804019	0.3510897	0.9787229	0.0550540	0.9996868	0.9003955	0.2151115	0.7106577	0.0037536	0.3874105	0.0000956	0.0003518	0.1748136	0.4367856	0.5596437	0.9818781	0.3476767	0.9996420	0.6742174	0.4463398	0.0390610	0.6428581	0.8666012	0.9997075	0.3364610	0.7558632	0.4549414	0.9757570	0.9382306	0.9242368	0.9999943	0.0000213	0.9999563	0.6856381	0.7919049	0.6695248	0.0193949	0.1584629	0.5066525	0.9524274	0.0394938	0.9916524	0.9321597	0.9445932	0.9440602	0.4646502	0.9587810	0.0439384	0.1259307	1.0000000	1.0000000	0.1071273	0.9815376	0.9518617	0.0198834	0.3101824	0.1870578	0.9070006	0.0330469	0.4747394	0.9812983	0.0002372	0.3540819	0.1592589	0.4464587	0.9905222	0.3704545	0.1429736	1.0000000	0.0014125	0.5899342	0.4648699	0.8577693	0.8174479	0.2969439	0.9143809	0.3220523
400.0	0.3514808	0.0046406	0.8792940	0.3041453	0.4175215	0.8526183	0.0002539	0.6721362	0.3558120	0.4403504	0.6481762	0.6657198	0.7852448	0.4168713	0.6878397	0.0031539	0.6208244	0.9613625	0.9999994	0.6074211	0.8022585	0.9075102	0.7730950	0.3694866	0.3274665	0.9871586	0.0549554	0.9997446	0.9004174	0.2147965	0.7108491	0.0037142	0.3869380	0.0000311	0.0003484	0.1724392	0.4386872	0.5861629	0.9812668	0.3508514	0.9995398	0.6740148	0.4466927	0.0391316	0.6432828	0.8662810	0.9996494	0.3478746	0.7553180	0.4549276	0.9760577	0.9391152	0.9241917	0.9999974	0.0000061	0.9999879	0.6852087	0.7942093	0.6663275	0.0198730	0.1564086	0.5044738	0.9537670	0.0399078	0.9916218	0.9365297	0.9441412	0.9438808	0.4642290	0.9586731	0.0428592	0.1250078	1.0000000	1.0000000	0.1054871	0.9815363	0.9518711	0.0197247	0.3101099	0.1886423	0.9069632	0.0331157	0.4830303	0.9811597	0.0002347	0.3572982	0.1593274	0.4420615	0.9916796	0.3899126	0.1154635	1.0000000	0.0011762	0.5902750	0.4655832	0.8577302	0.8173798	0.2972401	0.9143595	0.3220344
