"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.8534494	0.8395415	0.9999491	0.9979090	0.2111958	0.0337726	0.2310681	0.4450406	0.3969939	0.8214788	0.7575693	0.8229014	0.7749383	0.3726952	0.4573890	0.0542529	0.9793572	0.1528661	0.2095268	0.2230532	0.9966753	1.0000000	0.9968378	0.5398941	0.4083640	0.7152864	0.1812390	0.9997009	0.1893434	0.9554395	0.4355584	0.6699132	0.8709641	0.0603316	0.1084669	0.0597894	0.7297592	0.0609229	0.8161662	0.9759271	0.9924203	0.9999951	0.0012074	0.0382816	0.5579425	0.7632739	0.9960103	0.0690003	0.6362060	0.7404098	0.7763072	0.5648806	0.2176842	0.7269459	0.0303548	0.9868294	0.0171665	0.8687801	0.4763322	0.0000173	0.0575571	0.1331377	0.9590515	0.1199435	1.0000000	0.7191498	0.9773371	0.0934637	1.0000000	0.9999968	0.0539360	0.2010133	1.0000000	1.0000000	0.1512384	0.9934896	0.9510349	0.2569982	1.0000000	0.3281745	0.9965570	0.0005756	0.9623573	0.9999988	0.7609875	0.1842779	0.2668135	0.2043896	0.0738150	0.7180013	0.4954910	1.0000000	0.4997570	0.1640838	0.3694559	1.0000000	1.0000000	0.7893106	0.9676861	0.4993300
0.8121644	0.7980120	0.9999414	0.6611915	0.2173157	0.4145345	0.2310681	0.9023566	0.0975102	0.2077165	0.1314234	0.0387435	0.9887287	0.9174237	0.5801310	0.4165003	0.9144152	0.2010653	0.1055581	0.5855688	0.9922993	1.0000000	0.9968317	0.9998738	0.6556726	0.0214595	0.4826953	0.0957798	0.1173079	0.4539437	0.4152143	0.9921233	0.8560315	0.6749359	0.3133579	0.0610761	0.7224897	0.8226047	0.8248468	0.8714157	1.0000000	0.9985489	0.0863891	0.0859129	0.5447870	0.7721223	0.8117279	0.4578027	0.3215993	0.3718390	0.6260050	0.7069395	0.0000488	0.2151890	0.9891613	0.3840581	0.9491640	0.8679788	0.4866456	0.2456879	0.0657568	0.0045465	0.7979960	0.4139539	1.0000000	0.5080339	0.0562101	0.0088858	0.7983649	0.9999899	0.0218968	0.5402628	1.0000000	0.8916563	0.8103665	0.9957866	0.9406324	0.0009975	1.0000000	0.3506577	0.7441314	0.0002336	0.6754052	0.9894594	0.0611623	0.9003397	0.9609954	0.8979259	0.1910851	0.5736059	0.0903814	1.0000000	0.0478474	0.0359536	0.0181095	1.0000000	1.0000000	0.0354825	0.3597816	0.9706076
0.9909165	0.0076062	0.9999667	0.9624122	0.1435702	0.0735974	0.2310681	0.1189174	0.2654516	0.3757530	0.4779020	0.1165496	0.8968755	0.7492894	0.5052745	0.0541698	0.8489938	0.0109223	0.1526863	0.2774453	0.9940054	1.0000000	0.9968317	0.2036603	0.2186926	0.0251181	0.2919024	0.5172890	0.2394144	0.8573887	0.4721824	0.7890067	0.6969617	0.0596106	0.1293508	0.0014581	0.6278463	0.7177187	0.3643872	0.9999850	0.0482475	0.9975026	0.4192026	0.0120351	0.5585678	0.0827917	0.9739756	0.0898178	0.2610517	0.8088238	0.9146337	0.4817828	0.0001366	0.6421041	0.0303514	0.9844025	0.8931000	0.8682924	0.7803384	0.7376037	0.0844675	0.0727456	0.9995934	0.7678681	1.0000000	0.0144062	0.0562100	0.0088858	1.0000000	0.9999955	0.0149447	0.2012869	1.0000000	0.7123455	0.0089076	0.9915136	0.1697081	0.0124076	1.0000000	0.3521763	0.9993815	0.0002048	0.2822115	0.9292026	0.0972410	0.2302999	0.4178924	0.9237754	0.0738166	0.5287241	0.0596545	0.9426663	0.0481920	0.0359894	0.0181095	1.0000000	1.0000000	0.9423839	0.7947468	0.2064627
0.7657839	0.0113212	0.9999995	0.6307001	0.3409647	0.4525311	0.2310681	0.2187970	0.1584203	0.7503970	0.6235129	0.0668740	0.9662274	0.8546390	0.5669199	0.2168368	0.8464516	0.2599959	0.1180804	0.3510302	0.9999960	0.7811471	0.9869155	0.4840485	0.4308464	0.0446825	0.1278816	0.7879642	0.1806429	0.9427900	0.6037160	0.9353189	0.9490486	0.0605843	0.0064529	0.0540794	0.7643012	0.1092186	0.9332583	0.7827486	1.0000000	0.9999851	0.1373923	0.1752989	0.5480671	0.8582123	0.9920786	0.1202643	0.4496902	0.7802414	0.7136981	0.8587270	0.0000983	0.5440442	0.0303561	0.9868271	0.9491398	0.9152658	0.9319788	0.2415618	0.0744037	0.2431108	0.7976763	0.9225520	1.0000000	0.9719768	0.0562100	0.0088858	1.0000000	0.9999968	0.0536853	0.1954601	1.0000000	1.0000000	0.9833614	0.9934896	0.9531941	0.0006308	0.7262702	0.0498020	0.9893669	0.0005435	0.2779387	0.9604833	0.0202600	0.3951008	0.7474949	0.6852075	0.9655277	0.1018945	0.8852380	1.0000000	0.2965208	0.0359536	0.7316270	1.0000000	0.5735820	0.2469041	0.6963567	0.7030927
0.7860408	0.0134994	0.9999357	0.6523210	0.0161234	0.3220689	0.2310681	0.1799474	0.9670686	0.9022355	0.5787202	0.9022221	0.0171478	0.3551470	0.2009656	0.0541888	0.9500270	0.2335522	0.1497841	0.1604952	0.8851944	1.0000000	0.9968322	0.4764562	0.4260786	0.7983045	0.2971290	0.9992792	0.2683184	0.9795882	0.4355568	0.6702924	0.7339461	0.0597857	0.0001015	0.0111378	0.6606691	0.1624095	0.4540070	0.9025298	1.0000000	0.9998518	0.1076459	0.0859129	0.5350874	0.1805577	0.9981200	0.1505187	0.0198589	0.8263736	0.1342377	0.5089266	0.2176800	0.7264334	0.0303522	0.9868342	0.9493251	0.9429455	0.2181955	0.2466996	0.0630909	0.1730261	0.9399457	0.1150164	1.0000000	0.7366389	0.9712942	0.7771810	1.0000000	0.9999960	0.0642925	0.2011831	1.0000000	0.6716242	0.0999593	0.9600419	0.9406324	0.0044314	1.0000000	0.3152370	0.9989497	0.0007698	0.7282280	0.9894594	0.0189767	0.2572411	0.6050892	0.6862355	0.4283849	0.1415062	0.7260993	0.3270802	0.0478816	0.0359558	0.6304668	0.0029875	1.0000000	0.8655066	0.8456263	0.5184209
0.4312550	0.4205512	0.9996456	0.3192109	0.3331296	0.1581945	0.2310682	0.4494955	0.5037287	0.7179979	0.7912209	0.2146772	0.6659914	0.5636124	0.6805444	0.4993264	0.9351749	0.2057600	0.2044337	0.9198570	0.9840576	1.0000000	0.9968388	0.0388436	0.0799695	0.0112541	0.6271407	0.0957778	0.2663775	0.9801551	0.1784248	0.6812465	0.5136689	0.7562733	0.0006135	0.0291302	0.4730464	0.0571996	0.9208772	0.6598144	0.9990556	0.9999949	0.0462447	0.0181522	0.5274823	0.8670083	0.9966020	0.0603804	0.4207510	0.8259253	0.9059230	0.5080758	0.0003624	0.7199959	0.8155513	0.3759164	0.9493260	0.8719150	0.9127177	0.0000209	0.0896427	0.3457966	0.7968873	0.4644623	1.0000000	0.0088384	0.0562100	0.8563534	0.7177183	0.9999853	0.0549136	0.1974247	1.0000000	1.0000000	0.3211434	0.9965779	0.9405564	0.1602059	0.7497173	0.2718037	0.9993520	0.0005921	0.6721541	0.9827691	0.1094385	0.2139417	0.1869490	0.8208650	0.0740814	0.0438282	0.9964455	1.0000000	0.1404653	0.0747043	0.0196134	1.0000000	0.8532314	0.0741023	0.8440924	0.5206349
0.8481770	0.0075341	0.9999954	0.8532190	0.0031156	0.1207892	0.2310681	0.0597142	0.5254376	0.8792526	0.4766766	0.5129763	0.4367872	0.3892778	0.3801834	0.4204358	0.4396441	0.1590811	0.1056484	0.4286897	0.9465782	1.0000000	0.2031671	0.9617215	0.6581808	0.2075258	0.2285534	0.4015133	0.2291892	0.9801434	0.2263480	0.7504571	0.8623037	0.6039293	0.0322161	0.0070250	0.9883229	0.9559297	0.7723885	0.9998945	0.2000778	0.9994543	0.4192026	0.0859129	0.4894131	0.7134841	0.8248934	0.5008720	0.2819733	0.7352644	0.6027145	0.8857392	0.2173503	0.6691297	0.7185883	0.4812792	0.0001113	0.9316681	0.7280078	0.2569582	0.4039517	0.0049395	0.9999877	0.1683940	0.0657230	0.9999967	0.9711070	0.0930199	1.0000000	0.9999955	0.0018057	0.2006832	0.4249667	1.0000000	0.8896653	0.9934896	0.6113434	0.2591142	1.0000000	0.8097670	0.6221035	0.0486180	0.8735844	0.9986574	0.7619760	0.2305252	0.5052876	0.8681306	0.0738587	0.6164038	0.4497465	1.0000000	0.2754965	0.1667597	0.0327609	0.6927244	1.0000000	0.1921387	0.7900092	0.5742160
0.8384513	0.0081267	0.9999464	0.6943250	0.5941501	0.1193504	0.1141256	0.1597702	0.5760162	0.9836618	0.8092691	0.5212302	0.2169829	0.4157756	0.3521603	0.5152020	0.9254540	0.1694991	0.1576966	0.4139333	0.9445778	0.2457621	0.4782857	0.0804813	0.0986351	0.0486633	0.5510332	0.0959739	0.2385235	0.9312980	0.1767275	0.7813085	0.8629968	0.6199331	0.0464041	0.0604716	0.7258780	0.0557724	0.8526452	0.7214975	0.9999994	0.9999971	0.1521193	0.0859129	0.4849405	0.8934453	0.9968764	0.0562798	0.3203258	0.7288947	0.6489926	0.9106777	0.2172836	0.6506189	0.8794905	0.1799428	0.9491360	0.8587000	0.5085489	0.2370140	0.0815015	0.2959479	0.9503077	0.1658714	1.0000000	0.9999792	0.9710785	0.0929527	1.0000000	0.9999955	0.0288542	0.1900725	1.0000000	1.0000000	0.4166729	0.9966491	0.9824587	0.0258372	0.6101413	0.6518445	0.9470061	0.0026182	0.8823288	0.9999974	0.0190541	0.3167028	0.7280239	0.4571385	0.0738556	0.6088200	0.1024623	1.0000000	0.0496321	0.0362256	0.0181098	0.4406616	1.0000000	0.0380641	0.9774434	0.5880252
0.7609169	0.0218953	0.9999295	0.6273371	0.2263534	0.4566672	0.0000000	0.1912654	0.1491413	0.3511337	0.1462853	0.0625318	0.9704900	0.5514099	0.5636254	0.7247944	0.9219955	0.2665450	0.0354060	0.1794359	0.7348900	1.0000000	0.9968317	0.9998563	0.6556675	0.0225899	0.2895530	0.0957805	0.1916175	0.7027621	0.2362582	0.9150450	0.8501834	0.6273282	0.4101220	0.0615966	0.7195822	0.8203353	0.4214145	0.9999021	0.1038605	0.0363423	0.4191783	0.0859129	0.4190258	0.4381551	0.8464821	0.4555144	0.5395618	0.5439599	0.7408580	0.3150299	0.0000014	0.0834491	0.6834517	0.4909931	0.9512120	0.8029629	0.7489942	0.4796558	0.0349792	0.0043099	0.9996217	0.9330122	1.0000000	0.6100860	0.0562100	0.5044007	1.0000000	0.9999955	0.0875449	0.2010348	1.0000000	1.0000000	0.3856900	0.9934896	0.3803539	0.4845521	1.0000000	0.0428118	0.1496426	0.0000252	0.1190313	0.9894594	0.6646686	0.9347793	0.9695309	0.9781005	0.2036918	0.5711908	0.8206266	0.1215034	0.5789322	0.4851862	0.2708025	1.0000000	1.0000000	0.2164824	0.0173308	0.9980089
0.7106680	0.0145872	0.9999473	0.5903989	0.2369571	0.1952000	0.2310682	0.9637927	0.4327191	0.1538802	0.7701786	0.4599490	0.7385611	0.0098034	0.4027916	0.0542549	0.8484247	0.3387901	0.0916032	0.4869392	0.9814909	1.0000000	0.9968412	0.6407988	0.5180765	0.1391791	0.3448317	0.3841557	0.2299442	0.9720578	0.2655498	0.8127043	0.8769396	0.0603524	0.0210448	0.0592805	0.7326519	0.0509437	0.9612209	0.6036425	0.9997344	0.9999963	0.4191968	0.0859129	0.5505429	0.9668489	0.9979137	0.0321163	0.5519679	0.8029530	0.7434893	0.4728247	0.0000876	0.6247508	0.0303549	0.9868292	0.9494118	0.8659640	0.5373106	0.0000161	0.0982008	0.0415230	0.9995667	0.0212253	1.0000000	0.7253482	0.0562100	0.0088858	0.4653332	0.9999526	0.0551180	0.2010072	0.9965908	1.0000000	0.9066730	0.9934896	0.9406112	0.1285694	1.0000000	0.3268219	0.9938975	0.2948430	0.2665017	0.9653035	0.0194138	0.2735407	0.6354904	0.8027065	0.0748904	0.0589106	0.8093505	1.0000000	0.1067348	0.0575134	0.0186368	1.0000000	1.0000000	0.0746220	0.7769051	0.6175135
