"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.6475826	0.0177198	0.5702672	0.5335559	0.1613285	0.0000000	0.1330757	0.1210949	0.2984513	0.5891513	0.4956938	0.4885925	0.6208314	0.4257175	0.2577740	0.0410646	0.5297780	0.1111611	0.6231532	0.0823587	0.5082110	0.7428347	0.7247116	0.5038929	0.3443608	0.3616165	0.2166167	0.7420351	0.6067601	0.2104827	0.2655700	0.0231700	0.2071989	0.0351774	0.6293128	0.1981074	0.2569000	0.0666793	0.5090623	0.7150106	0.3286650	0.7648397	0.1969680	0.0715982	0.4363374	0.3181098	0.6960008	0.0303649	0.3436306	0.1111446	0.5455806	0.1616383	0.7192155	0.0000000	0.0467592	0.7201568	0.6516273	0.6210888	0.4375950	0.1603548	0.0456188	0.0880576	0.7316094	0.1034616	0.6413020	0.4100175	0.5949120	0.6275397	0.5632444	0.7300970	0.0467439	0.1467177	0.6583765	0.6125111	0.1236337	0.5369470	0.6190465	0.7695966	0.7433239	0.1639406	0.0743774	0.0006787	0.6578041	0.6058177	0.0036366	0.3681434	0.2962368	0.6082693	0.0455572	0.0102372	0.5508995	0.7610469	0.4621445	0.5195174	0.4796746	0.5787829	0.7247839	0.0840763	0.0287716	0.5160787
0.3110255	0.0103344	0.5476875	0.2357146	0.2620022	0.5566171	0.1206004	0.3645637	0.4151414	0.3922329	0.5067157	0.5124253	0.4191358	0.3455489	0.3738674	0.0464853	0.5312100	0.7488469	0.5906520	0.4360333	0.5093042	0.6020403	0.7746838	0.3941091	0.3416786	0.3362836	0.1544587	0.6869959	0.6416757	0.2904504	0.2709066	0.0344910	0.0927277	0.0635752	0.0017752	0.5238841	0.0691762	0.0285295	0.4290246	0.0000000	0.0000000	0.6140603	0.2416555	0.0732963	0.3088743	0.1196153	0.7487640	0.0482276	0.3117637	0.3458831	0.4435852	0.4307650	0.5965466	0.6880881	0.0288783	0.5972942	0.5684636	0.4395670	0.6099825	0.2136183	0.6598561	0.3316913	0.2468343	0.1267826	0.6762802	0.3834400	0.6593291	0.6088386	0.5889589	0.5942127	0.0624376	0.1880843	0.6636880	0.5517966	0.2093739	0.6506719	0.0062290	0.1504959	0.5607034	0.1897047	0.6655886	0.0057031	0.4698171	0.8129108	0.0155940	0.1493919	0.2695511	0.2829702	0.6025723	0.0492153	0.6066634	0.6235210	0.1605725	0.1246908	0.0143098	0.5787690	0.7013405	0.1627649	0.5561250	0.1848791
0.2293712	0.3110329	0.5914300	0.2341649	0.2758791	0.3846560	0.1411242	0.3139744	0.2843166	0.2402783	0.4477216	0.4560528	0.6240324	0.4376536	0.4253790	0.0474293	0.3992206	0.6741970	0.6144338	0.3432724	0.0000000	0.5690719	0.6154078	0.5208084	0.3735997	0.4004110	0.1163451	0.6580107	0.6706774	0.3871456	0.2429153	0.0391101	0.0876598	0.0530642	0.0122030	0.4261630	0.1053921	0.0250017	0.6265747	0.0000000	0.6906268	0.6172111	0.0983865	0.0615431	0.3136597	0.5423098	0.6241977	0.0537745	0.4417764	0.3331733	0.4351001	0.5001784	0.5966473	0.5252251	0.0153178	0.7228478	0.6207802	0.0230334	0.0561278	0.0001274	0.1967733	0.8077516	0.0115616	0.0718280	0.6189871	0.4365310	0.6425165	0.5430439	0.5645709	0.6838833	0.5923350	0.1282402	0.5998400	0.6021930	0.2780165	0.6217587	0.5818159	0.0155083	0.7031977	0.0710655	0.5928287	0.0585713	0.4842792	0.6538807	0.0171243	0.1669255	0.3172305	0.3121123	0.6106898	0.0407886	0.6894819	0.7024258	0.0554950	0.0202309	0.0094836	0.6249623	0.6611509	0.7575256	0.4848716	0.2595800
0.3799789	0.0095342	0.7265883	0.2491666	0.3097849	0.4046384	0.1465718	0.2180393	0.4125335	0.2889846	0.5967282	0.1395536	0.4511668	0.4110581	0.2739503	0.0188459	0.6162913	0.3721113	0.7803851	0.2556009	0.5938082	0.5646910	0.7279581	0.6237288	0.4217924	0.1566974	0.2206780	0.4888756	0.6563273	0.0129440	0.4258804	0.0541254	0.6034473	0.0402480	0.1151615	0.0611432	0.4552225	0.0472061	0.6534773	0.3420007	0.6471659	0.5633051	0.2103853	0.0362283	0.3473306	0.6795051	0.6298916	0.0427109	0.3239508	0.3679523	0.5060597	0.0129898	0.0000000	0.0000000	0.0091236	0.7169606	0.5639305	0.6725676	0.3776390	0.1800465	0.0728324	0.1968062	0.6116238	0.2289414	0.5662520	0.0094735	0.0493302	0.0136318	0.6414198	0.7565116	0.0596791	0.1279309	0.6681376	0.7370614	0.1893749	0.6876270	0.6317864	0.2970177	0.6933690	0.2039888	0.0647065	0.0092051	0.4891069	0.6848440	0.3186960	0.5097989	0.6786545	0.6163589	0.0865716	0.0274775	0.7235641	0.6619091	0.3299527	0.2592361	0.0581232	0.6681454	0.6214975	0.0652309	0.0112662	0.5027878
0.3796394	0.0175883	0.6463944	0.2532806	0.2247773	0.4348899	0.2094442	0.2976524	0.6541959	0.4975487	0.5191091	0.5790278	0.2044719	0.2148405	0.2543057	0.0667217	0.4908957	0.5091521	0.7009502	0.2817533	0.5790526	0.7397494	0.6445881	0.4012756	0.3152202	0.3754966	0.3066813	0.5740762	0.6368823	0.0403548	0.2415167	0.0447811	0.1215427	0.0646402	0.2372941	0.3767795	0.0793647	0.0700674	0.3704556	0.3637272	0.5579999	0.6291724	0.2802300	0.0553922	0.2589276	0.1563117	0.6585939	0.0245156	0.0000000	0.3337840	0.0468895	0.0239632	0.5985010	0.0000000	0.0301258	0.7200451	0.6406720	0.4667008	0.3518332	0.1861759	0.0590422	0.2719670	0.6405540	0.0881476	0.6057425	0.4541845	0.5856281	0.5935718	0.5361667	0.5724127	0.0444402	0.2088888	0.6071253	0.7075715	0.0975878	0.6042504	0.6277082	0.2516760	0.6493286	0.2092331	0.0634411	0.0035023	0.4666762	0.5825210	0.4428407	0.4803610	0.6994316	0.6365622	0.0227666	0.0190933	0.6704730	0.6140677	0.3417046	0.1699779	0.0425930	0.6168790	0.6628873	0.0727008	0.0117915	0.5273842
0.5340649	0.0188820	0.6213147	0.3465394	0.1547860	0.3432022	0.1060809	0.1797269	0.6633955	0.3992362	0.6075116	0.2727398	0.1864243	0.1821496	0.0980494	0.0607442	0.4678083	0.3330618	0.5889745	0.1566588	0.5175470	0.6663617	0.7653635	0.5953766	0.4367947	0.1668200	0.2232888	0.5683341	0.7311480	0.3332950	0.2781850	0.0708216	0.4368132	0.0515863	0.0082183	0.0340829	0.4345916	0.0194793	0.3817691	0.3633088	0.6606258	0.7418735	0.2559043	0.0872369	0.3427715	0.1436393	0.6125729	0.0390165	0.0000000	0.4661841	0.0756950	0.3054470	0.0000000	0.4958993	0.0344871	0.6810662	0.6206434	0.6526570	0.3326198	0.1368969	0.0730227	0.3143583	0.4416833	0.1811647	0.6806646	0.0047688	0.0800123	0.0023505	0.6901545	0.5896683	0.0204914	0.0941885	0.5207041	0.7913685	0.0908126	0.7026218	0.6729867	0.0301310	0.7101984	0.2376753	0.5640615	0.0009228	0.4177060	0.7407516	0.0144856	0.1624265	0.2185526	0.3859065	0.3204934	0.0228957	0.6509853	0.6112249	0.0215606	0.0296886	0.0143003	0.6930519	0.6629911	0.0412853	0.6746906	0.1651208
0.3948042	0.0205860	0.6752574	0.1999885	0.2052769	0.5962440	0.2013715	0.3165693	0.2687337	0.3303698	0.5030589	0.1267509	0.4425243	0.3705717	0.2422741	0.0548823	0.4983497	0.6127732	0.7611184	0.4431409	0.5201811	0.5807145	0.5902793	0.6983143	0.3996661	0.1438210	0.3163429	0.4506528	0.6124820	0.2567259	0.2598825	0.0404624	0.4347829	0.0430414	0.0021944	0.0545738	0.5048308	0.0404985	0.6739591	0.0000000	0.6601707	0.8322937	0.2773343	0.0443465	0.4235301	0.5306941	0.7334399	0.0427693	0.3099807	0.6967481	0.5674522	0.3414925	0.0000000	0.5898929	0.0350579	0.7203259	0.7658918	0.5720076	0.6343072	0.0003849	0.1664068	0.2807923	0.0103930	0.2858698	0.7495447	0.0028282	0.0551878	0.0088467	0.4828193	0.7355545	0.0398586	0.1439154	0.7035424	0.5932957	0.1502144	0.5688366	0.6378056	0.0084949	0.5570510	0.1550035	0.6515769	0.0020567	0.4275165	0.6361612	0.0201428	0.1183880	0.2761580	0.3570683	0.6001909	0.0469902	0.6742642	0.6513519	0.0302610	0.0215395	0.0045215	0.5486570	0.7541862	0.0631527	0.5798903	0.2241002
0.4842211	0.0030824	0.6666222	0.4089083	0.0799658	0.1443832	0.1518131	0.1112062	0.0000000	0.2089424	0.1766557	0.0061061	0.9081773	0.7088401	0.4968805	0.0397413	0.5501733	0.0752569	0.6571346	0.0413303	0.6248874	0.6057962	0.7366824	0.6121917	0.5427340	0.1539039	0.1875298	0.3932468	0.5596639	0.3872044	0.2693553	0.0741753	0.5399742	0.0430485	0.0251410	0.0436073	0.3526244	0.4964700	0.4711298	0.6320353	0.5730987	0.6611157	0.2315687	0.0751262	0.3521735	0.3271128	0.6532350	0.2907491	0.2209399	0.4791494	0.4640512	0.3175219	0.0000000	0.6802028	0.0222867	0.6185137	0.5808598	0.5174243	0.2931417	0.1348244	0.0219114	0.0811323	0.4297547	0.6775377	0.5645678	0.3158343	0.0580421	0.0069152	0.6851100	0.5170186	0.0282668	0.0916243	0.6661526	0.7431632	0.1287845	0.7114800	0.5652802	0.0246197	0.6261604	0.1964527	0.6971480	0.0117464	0.3701903	0.6728350	0.0195631	0.1115628	0.2960389	0.4646087	0.1027924	0.3443190	0.1747108	0.6379724	0.0399451	0.0283917	0.0097196	0.7825689	0.5676063	0.1154854	0.6205080	0.2522535
0.3848086	0.0021359	0.6468293	0.3679637	0.2085600	0.3636623	0.1804337	0.1643746	0.2333163	0.6100187	0.4709448	0.3810517	0.5554558	0.4319679	0.5364175	0.0203601	0.5031566	0.3523215	0.7116986	0.2226338	0.5419228	0.7669259	0.6179823	0.5087021	0.4062273	0.2916481	0.3050447	0.6444638	0.6106658	0.3047208	0.2834533	0.0456345	0.1453946	0.0414165	0.0055904	0.3819236	0.1259840	0.0553974	0.7919030	0.4280767	0.7724854	0.6479635	0.2706779	0.0649370	0.4185889	0.5525795	0.5520202	0.0000000	0.4939862	0.2884960	0.5123599	0.5853376	0.6734391	0.6346472	0.0171914	0.5956788	0.6223398	0.5400973	0.3655723	0.1656569	0.0615136	0.3316244	0.6770317	0.0823140	0.6282871	0.5305300	0.5421161	0.6446755	0.6565082	0.5939635	0.0000000	0.1536605	0.6641155	0.6124694	0.0049033	0.6922115	0.5051734	0.0174099	0.6087775	0.2002664	0.6465400	0.0042189	0.5340089	0.5595635	0.0130405	0.1562541	0.3557693	0.3686599	0.3994250	0.0116773	0.6721922	0.5269006	0.0392793	0.0368695	0.0097801	0.6384274	0.6431278	0.0439161	0.6107538	0.3231128
0.5813162	0.0078685	0.7771628	0.4248289	0.1474095	0.2196066	0.1511971	0.1085339	0.4382834	0.6653181	0.4983866	0.4139200	0.4102358	0.3038789	0.3593223	0.0403261	0.4618229	0.1704129	0.8093340	0.1108559	0.6290431	0.6576689	0.6167844	0.3754606	0.2978318	0.3681223	0.2639206	0.6761535	0.7525795	0.3107102	0.2300606	0.0226194	0.1536050	0.0410602	0.0032060	0.4564074	0.0673664	0.0000000	0.2395785	0.4663113	0.0000000	0.6449300	0.2301552	0.0395921	0.3696060	0.2378752	0.7715450	0.0325206	0.2345254	0.3454924	0.5126069	0.4333569	0.7130170	0.7072530	0.0135809	0.5820070	0.5836226	0.5070462	0.4003848	0.6200188	0.3331636	0.1558725	0.7564429	0.0932514	0.5992229	0.4827310	0.6760542	0.5714345	0.7551374	0.5833916	0.0522858	0.1432848	0.6061142	0.5378457	0.1131388	0.7427115	0.0107437	0.1472549	0.5709100	0.2482012	0.6584109	0.0000832	0.4201611	0.5832983	0.0119394	0.1389993	0.3294991	0.3563614	0.1952296	0.0214193	0.5572339	0.6977933	0.1003586	0.0768362	0.0504533	0.6228297	0.7034251	0.0767914	0.7113072	0.2275171
