"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.3593120	0.0060257	0.6176605	0.2587293	0.1905784	0.4763696	0.1640795	0.2135684	0.3361728	0.4790201	0.5432725	0.5400916	0.4027019	0.4031886	0.3779576	0.0554198	0.4621231	0.3636628	0.6851765	0.2718938	0.6270202	0.5908874	0.6421047	0.3868294	0.3660674	0.3720705	0.3691501	0.6514646	0.6616048	0.2675429	0.3527748	0.0418917	0.0958732	0.0492714	0.0019396	0.4270007	0.0768520	0.0465260	0.5782153	0.4739426	0.6709600	0.8083686	0.3084766	0.0781565	0.4105852	0.5522370	0.6644165	0.0493811	0.2672042	0.3044714	0.6188000	0.4710881	0.7199739	0.6945557	0.0245614	0.5058682	0.5428503	0.5652308	0.3672634	0.1850801	0.0706627	0.2642965	0.7073106	0.0804191	0.7676406	0.4206448	0.6432739	0.6638012	0.5731521	0.6915629	0.0389927	0.0985139	0.6820295	0.5962726	0.1525102	0.6837113	0.6542408	0.0070480	0.6601234	0.2438614	0.6069141	0.0066960	0.5267538	0.6222320	0.0108394	0.1413493	0.3202276	0.2497647	0.5600523	0.0456263	0.6367863	0.7400726	0.0224025	0.0318513	0.0038855	0.6318082	0.6969576	0.1310095	0.6777369	0.2359240
50.0	0.2094108	0.0157849	0.5339333	0.2721619	0.2128360	0.4386538	0.1295283	0.2028322	0.3508254	0.5346659	0.4398958	0.4140067	0.4928217	0.4825644	0.3711025	0.0520868	0.4374635	0.5482739	0.6556557	0.2505897	0.6149560	0.7532520	0.6181476	0.4366150	0.3578751	0.4199800	0.3033235	0.6681380	0.7582197	0.3252827	0.3870090	0.0144643	0.0876974	0.0511058	0.0077896	0.5624561	0.0776023	0.0410164	0.4882104	0.3048659	0.8018479	0.6946205	0.2891412	0.0593895	0.3148515	0.6076833	0.6883601	0.0239217	0.2447512	0.3407329	0.5552273	0.4755703	0.6635146	0.6775139	0.0269409	0.7298252	0.5221377	0.5588531	0.3325305	0.1313883	0.0706614	0.3164428	0.4908140	0.0557036	0.6377253	0.5663565	0.7446613	0.6231999	0.6168811	0.6306968	0.0277944	0.1215814	0.7398707	0.6673544	0.1315185	0.7351646	0.7144358	0.0255646	0.5965245	0.1860430	0.7898141	0.0013927	0.4578130	0.4892020	0.0223734	0.1404616	0.2265716	0.2528690	0.5807840	0.0392134	0.6378013	0.6333425	0.0215720	0.0294533	0.0057158	0.7562089	0.5730629	0.1135169	0.6386416	0.2328150
100.0	0.1628890	0.0137723	0.5519179	0.2198003	0.1794517	0.5390530	0.1310468	0.3464947	0.3744616	0.4642321	0.5903147	0.3633376	0.5145489	0.4523558	0.4447378	0.0806916	0.4777044	0.4947872	0.6597467	0.3099830	0.6383355	0.5728701	0.6350007	0.4623939	0.4269044	0.3536125	0.3338166	0.6577044	0.6083673	0.2949548	0.2741752	0.0329572	0.1041555	0.0803422	0.0016343	0.4859631	0.0590728	0.0439605	0.5599595	0.3311405	0.6226465	0.7303491	0.2884885	0.1137090	0.3812109	0.6101672	0.6542415	0.0480108	0.2184236	0.2951966	0.5331984	0.3843396	0.6061958	0.6918623	0.0301679	0.6758246	0.5945288	0.5339018	0.3154564	0.1189585	0.0693733	0.3684544	0.6629022	0.0747462	0.6984359	0.4901248	0.7119812	0.5613330	0.7120125	0.6151716	0.0443440	0.1465630	0.5723267	0.7542871	0.1300121	0.6630384	0.6005738	0.0253852	0.5401426	0.1710631	0.8792774	0.0027387	0.5079088	0.6456070	0.0081743	0.1334236	0.2882492	0.3177858	0.6098317	0.0842814	0.6629281	0.6255361	0.0245946	0.0393062	0.0213270	0.6192411	0.5749135	0.1155363	0.6494294	0.2318835
150.0	0.0650215	0.0155374	0.6126800	0.0825372	0.1649119	0.5484257	0.1531971	0.2993917	0.2320153	0.5086784	0.6258673	0.3938603	0.5675963	0.3936832	0.4460007	0.1171032	0.3861315	0.4283777	0.6682477	0.2702555	0.6889030	0.5713073	0.6005993	0.4133954	0.2779919	0.4031009	0.4673317	0.7000356	0.6998153	0.3351682	0.2780872	0.0178114	0.1326629	0.0414802	0.0014873	0.5406046	0.0509842	0.0474803	0.5427744	0.3608345	0.7293488	0.6742092	0.2770419	0.0793668	0.3141720	0.5938008	0.6885511	0.0253427	0.3146069	0.3062898	0.4897945	0.4875851	0.5882668	0.6042801	0.0148427	0.6918570	0.5703370	0.6491695	0.3032592	0.1440248	0.0677499	0.2853912	0.6300640	0.0644830	0.5763353	0.5060251	0.5893500	0.6577009	0.6172204	0.6576039	0.0310634	0.2043157	0.6449135	0.6717921	0.1283530	0.6921216	0.6185261	0.0090378	0.6080825	0.2323854	0.6774385	0.0043372	0.4420447	0.6218428	0.0194789	0.1333992	0.2729832	0.2509767	0.6763092	0.0439194	0.6443576	0.6120025	0.0353613	0.0318966	0.0175286	0.7251610	0.6063908	0.0743621	0.6110653	0.2134533
200.0	0.0535734	0.0079290	0.6016598	0.0556583	0.2093247	0.6535383	0.1649718	0.3878181	0.2249293	0.4257618	0.4745206	0.4565613	0.4492719	0.4014117	0.4426020	0.0582923	0.4073310	0.4121693	0.5455997	0.3993185	0.5485573	0.6216093	0.6305154	0.5072913	0.4145521	0.3919096	0.3041895	0.6501262	0.7551649	0.2799696	0.3169347	0.0294258	0.0857801	0.0179630	0.0006071	0.5099004	0.0603462	0.0485417	0.5757526	0.3955790	0.6852607	0.6204831	0.2999059	0.0528101	0.3965147	0.6793445	0.7145518	0.0469956	0.2390229	0.2962566	0.5121688	0.3339065	0.7270762	0.6868082	0.0324935	0.7489764	0.5309956	0.4630223	0.2945465	0.1424137	0.0350006	0.3745798	0.7370570	0.0862317	0.5996874	0.4541673	0.7358987	0.7245934	0.6841251	0.6526109	0.0468053	0.1645251	0.5522919	0.6964000	0.0836392	0.6112053	0.5965557	0.0087417	0.6092070	0.1850155	0.6740732	0.0034556	0.4221667	0.6532378	0.0141403	0.1186668	0.3221305	0.2883128	0.6206369	0.0327982	0.5377814	0.7798383	0.0405295	0.0181712	0.0050765	0.6727754	0.7209720	0.0499747	0.6254301	0.1981667
250.0	0.0302276	0.0118067	0.5543133	0.0340459	0.2814567	0.6419808	0.2023395	0.3544274	0.2395355	0.4616894	0.5984342	0.5834687	0.4624313	0.3978979	0.3639619	0.0516798	0.3875476	0.4599737	0.5076285	0.2662891	0.5982142	0.6472733	0.6753187	0.4251851	0.3621221	0.3345654	0.2259348	0.6882889	0.6190736	0.2241158	0.2827959	0.0425749	0.0996777	0.0352792	0.0007100	0.4618865	0.0741411	0.0310555	0.5734474	0.4732118	0.6545959	0.6568187	0.2222454	0.0566811	0.3898833	0.6059949	0.6259514	0.0275857	0.2964833	0.3035449	0.4481792	0.5487724	0.8367661	0.7018726	0.0108404	0.6115225	0.6034142	0.5150329	0.3130742	0.1780059	0.0572480	0.2548642	0.6120738	0.0682242	0.6072091	0.4481548	0.6459212	0.4961488	0.5904478	0.5565436	0.0304660	0.2096238	0.6022143	0.6776184	0.1236517	0.6586964	0.6340284	0.0505904	0.7142633	0.1535424	0.6227730	0.0060379	0.5163756	0.7103170	0.0145950	0.1656424	0.3137225	0.3055837	0.6584227	0.0564884	0.5774366	0.6819880	0.0395347	0.0165717	0.0125117	0.7228278	0.7317454	0.1129054	0.6888353	0.2248702
300.0	0.0075369	0.0178560	0.3753158	0.0141231	0.1647755	0.6526748	0.1898844	0.3439894	0.2704826	0.5141028	0.4990191	0.5339298	0.4636247	0.3678628	0.3487559	0.0422099	0.2830234	0.4577026	0.6437380	0.2750269	0.6185579	0.7344736	0.5869332	0.3845025	0.3961930	0.3230771	0.3084596	0.7642710	0.7015579	0.3183261	0.3099318	0.0350714	0.0601251	0.0304852	0.0037470	0.6083329	0.0787618	0.0353732	0.6665613	0.3860251	0.6713895	0.7182094	0.2508928	0.0546831	0.4226973	0.4835705	0.8831438	0.0328361	0.2755139	0.3471371	0.5180842	0.4397493	0.6402441	0.7263895	0.0229949	0.5849337	0.5416527	0.6163833	0.2999155	0.1857798	0.0823567	0.2423296	0.6187602	0.0960434	0.5152737	0.4564473	0.5261914	0.4981001	0.7020131	0.5348405	0.0731570	0.2126725	0.7035924	0.8046330	0.0899938	0.6403017	0.5548790	0.0068022	0.6772707	0.1612337	0.6502781	0.0020954	0.5926351	0.6585557	0.0321291	0.2157736	0.3336650	0.2908344	0.4993369	0.0532667	0.5387434	0.6871086	0.0293669	0.0347141	0.0210380	0.6486084	0.5813840	0.1267377	0.6422740	0.1532229
350.0	0.0028522	0.0272232	0.1410736	0.0064114	0.2402276	0.6336973	0.2056255	0.4196707	0.2486952	0.4776796	0.4169944	0.3905625	0.3992195	0.3595945	0.4042651	0.0855365	0.2910468	0.3261481	0.6571516	0.1953914	0.6770767	0.6926982	0.6373450	0.3998623	0.3011281	0.4770965	0.3306348	0.5858945	0.5305946	0.2410727	0.3159428	0.0590153	0.0464323	0.0793870	0.0023930	0.5708191	0.0379299	0.0129391	0.6514536	0.4114789	0.7415990	0.6960010	0.2121828	0.0479137	0.3531335	0.5788577	0.6735134	0.0178115	0.2261656	0.3504296	0.5036657	0.5217585	0.5353042	0.5898221	0.0276500	0.6040455	0.5981817	0.6555885	0.3387145	0.1468350	0.0686296	0.2677087	0.6858024	0.0868705	0.6597083	0.4844588	0.6109671	0.5984883	0.7148962	0.6512097	0.0620749	0.1959737	0.6331678	0.6612300	0.1064073	0.6519582	0.6278413	0.0115655	0.5639149	0.1844863	0.6357666	0.0026770	0.5952281	0.6291095	0.0176176	0.1694117	0.3771224	0.3018814	0.5479110	0.0159416	0.6689137	0.5970101	0.0462606	0.0236532	0.0495425	0.5809551	0.5473257	0.1082751	0.5394256	0.2062483
400.0	0.0030524	0.0280014	0.0982783	0.0031623	0.3371893	0.7060676	0.2448158	0.3271799	0.2819561	0.4666731	0.4939825	0.5217406	0.5099899	0.3847460	0.3308511	0.0446695	0.3639169	0.4699059	0.7467108	0.2254376	0.5873362	0.5813321	0.6167012	0.3137228	0.3857201	0.3717500	0.2696155	0.6165830	0.5642893	0.2837454	0.2352013	0.0522275	0.1108747	0.0231974	0.0042598	0.6166976	0.1029350	0.0355940	0.7345655	0.3080792	0.6620006	0.7686722	0.2546423	0.0911544	0.3298334	0.4893118	0.7250458	0.0606065	0.3010094	0.2703454	0.4450682	0.4212564	0.6477039	0.6293820	0.0160562	0.6660741	0.6747165	0.5997844	0.2847684	0.1056692	0.0830948	0.2183433	0.6855454	0.0833662	0.7301767	0.4643262	0.6354771	0.6705156	0.5781603	0.5737246	0.0646564	0.1687540	0.6266038	0.6557256	0.0949578	0.6839502	0.5667641	0.0128378	0.7133127	0.2637316	0.6749276	0.0003618	0.5470844	0.6461330	0.0129157	0.1686860	0.3077509	0.2037631	0.6072770	0.0227546	0.7353617	0.6821079	0.0533534	0.0314229	0.0139636	0.7217550	0.6455920	0.1000211	0.5634807	0.2359240
