"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.5536747	0.5879009	0.5779512	0.6576840	0.0935315	0.0239129	0.2039816	0.2957935	0.2562158	0.5334191	0.5175554	0.6427443	0.4315752	0.2715660	0.2389651	0.0720268	0.6443018	0.0910162	0.2193842	0.1862617	0.6391788	0.6863466	0.6821048	0.2813794	0.2687918	0.5401459	0.1628391	0.7107195	0.1657402	0.6398161	0.2763366	0.4338495	0.4978630	0.0793688	0.0951615	0.0324906	0.4154521	0.0264552	0.6711901	0.6359322	0.6199278	0.7030396	0.0006663	0.0152708	0.4271268	0.4661504	0.6652819	0.0554734	0.5062300	0.4928312	0.5011742	0.4072533	0.1175629	0.4811225	0.0363726	0.5270303	0.0155407	0.4755371	0.3473469	0.0001192	0.0335800	0.0944258	0.5944537	0.0695150	0.6990144	0.4123314	0.6861934	0.0804725	0.5957512	0.6813879	0.0561784	0.1301949	0.6543479	0.6025934	0.0526872	0.5648848	0.5852052	0.1770753	0.6299456	0.2616079	0.6938539	0.0011757	0.7748499	0.6477495	0.5357333	0.1682664	0.1706502	0.2081058	0.0470877	0.4796030	0.3551822	0.6636830	0.3963047	0.0978316	0.2906466	0.6751541	0.6196841	0.4418224	0.7175237	0.3226577
0.5841209	0.5459073	0.7558666	0.4113730	0.1003069	0.2511831	0.1696567	0.5241044	0.0700205	0.0817340	0.1031166	0.0226552	0.6336212	0.6511191	0.3509250	0.2762867	0.6414266	0.1262465	0.0471994	0.3773402	0.6340277	0.6229917	0.7455300	0.6134648	0.3730653	0.0112866	0.2701594	0.0821957	0.0816034	0.3122515	0.2621313	0.7036326	0.4854978	0.4750311	0.1771348	0.0620728	0.4754010	0.5919186	0.5305035	0.5337428	0.6258370	0.6968281	0.0700931	0.0361292	0.4193125	0.5406505	0.6771153	0.3245938	0.1991254	0.2475065	0.4107237	0.4876518	0.0002346	0.1255657	0.6518222	0.2885031	0.6795582	0.5483614	0.2633281	0.1467555	0.0393908	0.0023913	0.5654319	0.2622718	0.6949943	0.2668335	0.0496200	0.0064223	0.4777143	0.6690045	0.0075297	0.2965330	0.6905832	0.6170150	0.5038322	0.5728106	0.5635370	0.0000989	0.5537856	0.2633990	0.4466147	0.0002041	0.4851558	0.6540768	0.0721672	0.5581664	0.6312777	0.5810360	0.1051109	0.4580569	0.0432508	0.6248133	0.0244327	0.0277151	0.0157907	0.7867419	0.7743597	0.0183079	0.2274428	0.5621679
0.6417168	0.0052002	0.6522090	0.5908228	0.0906830	0.0810553	0.1137730	0.1621636	0.2084299	0.2720815	0.3498077	0.0931065	0.5814714	0.4330940	0.3165870	0.0250222	0.5729021	0.0190582	0.0890090	0.1413001	0.5444529	0.7111546	0.6168206	0.1227044	0.1654020	0.0114197	0.1935343	0.2890635	0.1470332	0.4547954	0.2712672	0.4689190	0.5881611	0.0684559	0.0369434	0.0019192	0.4107901	0.4889344	0.2498248	0.6930817	0.0267539	0.6696887	0.2982423	0.0108696	0.4153950	0.0585424	0.5470723	0.0278412	0.2474172	0.5826253	0.4935598	0.3603692	0.0070635	0.4352235	0.0157225	0.6403807	0.6756063	0.5872939	0.5064798	0.4963239	0.0537193	0.0294585	0.5530500	0.5657403	0.6532746	0.0266584	0.0606045	0.0001499	0.7174522	0.7476835	0.0121416	0.1278925	0.6051256	0.5251671	0.0180351	0.6800055	0.0865779	0.0103510	0.7226148	0.2647197	0.7417474	0.0001703	0.2136702	0.5995961	0.0847051	0.1567925	0.2475776	0.7417412	0.0495924	0.3947290	0.0840165	0.7900157	0.0349721	0.0386877	0.0067940	0.6439097	0.6485598	0.7418625	0.4619159	0.1852386
0.4825896	0.0097098	0.5924234	0.3404569	0.2182785	0.3716855	0.1528887	0.1686757	0.0850112	0.5673056	0.4791700	0.0677145	0.6048700	0.5602590	0.3883536	0.1537447	0.4864365	0.3036109	0.0931966	0.2649635	0.6515859	0.4164562	0.7335136	0.3548874	0.2254563	0.0423414	0.0873293	0.4955074	0.1313993	0.5726424	0.4427453	0.7417422	0.6664317	0.0354897	0.0080964	0.0394831	0.3863582	0.1741317	0.5802276	0.4518241	0.4941101	0.7591890	0.0634190	0.0873883	0.2847681	0.4737400	0.5640377	0.1071511	0.2337062	0.4661919	0.4377511	0.6063022	0.0000304	0.3726290	0.0237321	0.6061784	0.6329175	0.5946258	0.5952181	0.1927298	0.0562136	0.1985476	0.5528436	0.5249563	0.6508945	0.6346029	0.0348961	0.0073445	0.7440574	0.5873102	0.0181430	0.0779024	0.6056771	0.7004024	0.6680626	0.6439136	0.5548336	0.0010408	0.4656223	0.0619450	0.6233839	0.0013770	0.2014841	0.7291267	0.0211860	0.2519611	0.4458642	0.4394542	0.5103434	0.0862931	0.5567358	0.6632398	0.1608168	0.0303385	0.4839582	0.6197098	0.4486227	0.2473097	0.4383958	0.4556641
0.4901126	0.0261617	0.6837079	0.3680359	0.0190685	0.1970586	0.1649763	0.1253124	0.5709417	0.5083684	0.3104666	0.6156923	0.0091544	0.2395228	0.0991889	0.0323394	0.5356477	0.2053350	0.1032535	0.1139905	0.6092870	0.5638300	0.5748913	0.2740328	0.3107524	0.5171335	0.2151295	0.5877677	0.2171182	0.6120704	0.2481190	0.4169612	0.4231106	0.0350668	0.0008253	0.0093846	0.4322232	0.1117391	0.3415133	0.6258787	0.7458756	0.5682770	0.0749624	0.0637301	0.3517299	0.1652758	0.6804336	0.0982603	0.0271714	0.5728103	0.0589479	0.2971682	0.1463643	0.5563534	0.0219465	0.6110413	0.7328085	0.6012478	0.1839936	0.1591386	0.0238234	0.1297402	0.6623100	0.1013321	0.6531056	0.5081286	0.5582109	0.4298421	0.6288246	0.6391925	0.0437534	0.1301587	0.6801012	0.3892668	0.1097117	0.5676518	0.6139470	0.0011511	0.6422492	0.1627641	0.6108270	0.0027963	0.6003624	0.7618228	0.0168006	0.1545751	0.4251856	0.4783963	0.3135938	0.0962296	0.3245468	0.2212341	0.0300410	0.0160168	0.3824803	0.0030117	0.6840141	0.5501828	0.5217691	0.3953672
0.3222104	0.3311320	0.6089293	0.3011443	0.2022906	0.0828803	0.1895245	0.2740065	0.3098347	0.4615130	0.5124495	0.1544699	0.5025955	0.4004226	0.4986500	0.3163805	0.5298839	0.1495334	0.2159349	0.4482295	0.7110792	0.6119850	0.6606033	0.0193298	0.0761249	0.0116935	0.5179869	0.0408676	0.1682415	0.6233364	0.1105487	0.4053509	0.3703372	0.5329223	0.0003168	0.0239590	0.2999020	0.0266474	0.5931839	0.3842786	0.5729028	0.7279113	0.0070131	0.0145733	0.3150895	0.6091306	0.6695725	0.0482101	0.2685803	0.6120644	0.6681821	0.3535218	0.0033563	0.4248255	0.5875303	0.2578804	0.5505465	0.5317223	0.5595395	0.0000975	0.0728414	0.1975419	0.5208893	0.1903043	0.6395917	0.0095374	0.0407480	0.6600068	0.5870127	0.6271954	0.0508488	0.2023010	0.6595780	0.6944820	0.2298873	0.6473539	0.6736032	0.0875181	0.5339875	0.1950479	0.7189665	0.0029712	0.5360194	0.7426997	0.0798841	0.1295846	0.1029812	0.5435471	0.0414771	0.0657506	0.6476959	0.6399332	0.0593413	0.0401851	0.0122614	0.7095472	0.5544663	0.0604023	0.5217538	0.3346986
0.5387896	0.0006903	0.6814762	0.5449845	0.0009577	0.1130348	0.1246170	0.0459418	0.3662619	0.5525154	0.4203197	0.3570773	0.3566087	0.2189966	0.2470740	0.3631150	0.2911553	0.1704940	0.0585935	0.2250930	0.5717203	0.6133924	0.1341426	0.5552351	0.4124791	0.0951457	0.1608739	0.3858015	0.2258889	0.7920739	0.1349445	0.6067278	0.5200846	0.3457189	0.0321630	0.0031256	0.6103698	0.6578914	0.4808899	0.6016489	0.1417671	0.5825454	0.2538116	0.0524584	0.2720720	0.4081973	0.6383378	0.3347578	0.1934569	0.4150616	0.3770977	0.5499901	0.1478987	0.4418758	0.4793454	0.2879631	0.0003685	0.6372391	0.4520591	0.1820576	0.1953355	0.0052379	0.5536957	0.1138457	0.0449086	0.6999594	0.5552727	0.1150894	0.6350851	0.6825278	0.0021396	0.1204294	0.3206375	0.6797007	0.5986664	0.6349166	0.3410596	0.1988758	0.5769097	0.5849347	0.3592795	0.0686668	0.5974632	0.5542724	0.4793181	0.2098888	0.3487229	0.5626485	0.0512981	0.5318822	0.2586386	0.6104986	0.1865564	0.1645550	0.0159657	0.4812440	0.7433128	0.0924045	0.4385537	0.4322834
0.5817168	0.0012935	0.5980571	0.3767100	0.4329287	0.1508259	0.0585198	0.1318725	0.3380906	0.7833665	0.4918396	0.2953383	0.1148416	0.2579046	0.1795781	0.3953686	0.7611389	0.1559477	0.1149142	0.2068545	0.6159449	0.1909765	0.2410105	0.0665832	0.0864592	0.0067555	0.3671917	0.0335480	0.1554324	0.7565675	0.1071336	0.5042401	0.5916224	0.4479821	0.0249821	0.0410861	0.4631791	0.0465249	0.5225221	0.3642942	0.6184226	0.7545068	0.1292332	0.0574623	0.3843612	0.5815547	0.5982917	0.0270465	0.2875159	0.4680847	0.4646410	0.5948314	0.1298851	0.5113840	0.6003535	0.1161794	0.6524539	0.4937609	0.3345546	0.1230709	0.0477080	0.1800533	0.6622193	0.1336473	0.6678300	0.5557201	0.6502531	0.0624513	0.5924517	0.6497460	0.0227882	0.1525091	0.6956628	0.6290869	0.2717660	0.6196812	0.6497670	0.0105006	0.3457216	0.4771434	0.7261011	0.0015505	0.6655503	0.6359614	0.0087060	0.1851745	0.4936619	0.2494287	0.0376468	0.3572785	0.0372564	0.5919787	0.0313882	0.0385087	0.0081292	0.3315734	0.6600321	0.0493711	0.6094834	0.2914285
0.4287194	0.0051248	0.7109605	0.4150815	0.2259420	0.3038329	0.0029045	0.1743392	0.1138334	0.2949437	0.1302463	0.0316469	0.6376211	0.4302075	0.3782801	0.4583803	0.6777824	0.2372234	0.0252588	0.0794719	0.4984592	0.8095333	0.7264451	0.7619159	0.5213640	0.0159888	0.2191685	0.0860797	0.1094792	0.4975430	0.1128737	0.5230954	0.5412260	0.3269666	0.3703582	0.0327850	0.4177172	0.5308433	0.2937391	0.6556386	0.0404827	0.0261640	0.3458156	0.0721578	0.3027791	0.2465559	0.5106319	0.2598572	0.4156074	0.3227785	0.4332869	0.1959276	0.0008748	0.0998933	0.3266177	0.4381140	0.6724250	0.5086923	0.4169447	0.3382583	0.0265747	0.0046354	0.7085982	0.5615936	0.8168074	0.4254644	0.0419910	0.2533669	0.6046699	0.5641301	0.0644055	0.1871899	0.7372039	0.6437217	0.2274923	0.7465609	0.1816086	0.2824194	0.6556968	0.0292139	0.1426080	0.0000214	0.0964080	0.6913863	0.4229984	0.5955893	0.5989810	0.5909809	0.1542341	0.3405804	0.5663431	0.0760679	0.3255201	0.3145281	0.1393012	0.4881986	0.5811390	0.1133860	0.0095684	0.6929827
0.5040538	0.0146676	0.8249324	0.3702351	0.1369989	0.0991188	0.1367689	0.6412501	0.3567495	0.0920017	0.4766106	0.2855890	0.3822013	0.0067881	0.2437103	0.0272083	0.4721330	0.3724519	0.0383605	0.3554207	0.6468445	0.6548695	0.6482601	0.4243437	0.2919231	0.1262884	0.1681501	0.3402565	0.0494242	0.7182924	0.1331266	0.5909584	0.6040017	0.0099153	0.0212319	0.0455522	0.5681190	0.0620417	0.5805504	0.4281448	0.5464520	0.6664996	0.2656770	0.0545102	0.2856125	0.8069233	0.5872086	0.0275546	0.3832031	0.5770628	0.4266056	0.2963333	0.0008131	0.5076582	0.0249309	0.6054125	0.6597557	0.6104381	0.3230345	0.0003392	0.0495562	0.0419447	0.5870608	0.0068682	0.6357332	0.3934240	0.0667417	0.0036256	0.3841175	0.5377636	0.0522394	0.1111301	0.5697613	0.7297937	0.6448208	0.5971856	0.7141113	0.1227917	0.7283426	0.2168155	0.5503556	0.2669244	0.1686625	0.6979207	0.0051522	0.1673632	0.3209913	0.4993854	0.0462082	0.0261108	0.5194964	0.6684012	0.0935103	0.0604803	0.0185883	0.6890590	0.6460751	0.0567808	0.5732729	0.4007187
