"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.4843608	0.0205408	1.0665130	0.4263104	0.3365117	0.7078876	0.2304852	0.3321512	0.4005074	0.7495347	0.8657219	0.7669755	0.7802343	0.5843308	0.6134492	0.0469798	0.6463779	0.6506967	0.9495254	0.4100990	0.8411270	0.9825881	0.9716510	0.6537588	0.6045063	0.6829452	0.4432758	1.0278496	0.9716250	0.4753290	0.5290904	0.0468087	0.1719449	0.0531498	0.0055044	0.6242889	0.1197561	0.0430529	0.9141171	0.5849091	1.0161263	0.9956413	0.3857823	0.0886632	0.5596134	0.7942933	0.9536462	0.0621862	0.4917112	0.4972285	0.8822472	0.7584811	0.9224716	0.9836694	0.0238284	1.0450827	0.8599554	0.8235596	0.6022457	0.2004398	0.1151285	0.4417378	0.9699125	0.1345146	0.8681545	0.7235595	0.9672219	0.9225835	1.0161437	1.0367938	0.1106031	0.2238315	0.9315022	0.9234016	0.2613432	0.9336568	0.9019071	0.0133885	0.9869879	0.2965496	1.0067622	0.0015755	0.7142401	0.9921869	0.0234150	0.2204140	0.4598736	0.4424074	0.8971409	0.0363529	0.9528195	0.9792362	0.0567675	0.0483724	0.0177041	1.0104645	0.9819301	0.2141901	0.9753076	0.3803812
50.0	0.5315722	0.0331065	0.9561600	0.4654377	0.3443323	0.4656149	0.2348837	0.3487132	0.4313833	0.7246730	0.7860477	0.7942471	0.8166726	0.6067354	0.6906386	0.0474978	0.6802834	0.6696495	0.9773112	0.4143795	0.8545971	1.0239970	1.0374553	0.5339378	0.5657605	0.7250297	0.4680361	0.9898711	1.0098825	0.4966575	0.4596935	0.0268741	0.1834362	0.0587520	0.0066829	0.6335168	0.0954057	0.0625684	0.8872281	0.6832060	0.9799008	0.9706928	0.4389036	0.0714777	0.5506714	0.8791571	0.9571457	0.0876816	0.4202425	0.4531840	0.8762472	0.7139963	1.0834964	0.6936351	0.0340795	1.0546964	0.9055515	0.7754569	0.6025757	0.2390356	0.1277431	0.4023573	1.0362546	0.1066336	1.0035921	0.6693871	1.0504848	1.0121868	1.0045287	1.0732632	0.0917611	0.2450506	1.0947596	0.9978860	0.3354689	0.9197245	0.9946231	0.0300973	0.9492109	0.2517791	1.0061457	0.0035139	0.7074626	1.0167692	0.0123097	0.3088728	0.5452282	0.4847660	0.9050097	0.0437107	0.8524259	0.9968162	0.0440236	0.0278825	0.0152111	0.9946915	0.9894353	0.2587056	0.9020667	0.3721084
100.0	0.5702717	0.0244551	0.9121481	0.3776578	0.3116554	0.2357729	0.2499077	0.3673307	0.4561089	0.7540442	0.6566913	0.7775804	0.8471430	0.6117086	0.5930865	0.0401191	0.6742985	0.5870744	1.0364924	0.4721140	0.7576565	1.0076231	0.9395556	0.5595193	0.5421885	0.6630369	0.4004257	1.0076847	0.9270166	0.4291494	0.4226717	0.0990217	0.1956418	0.0731660	0.0273472	0.6517913	0.1388102	0.0812527	0.9411913	0.5592609	1.0089705	1.0450623	0.5080232	0.0762305	0.5740207	0.7682158	1.0889656	0.0742618	0.3445068	0.3685607	0.8586226	0.7169435	1.0178905	0.3480644	0.0401898	1.0764417	0.8298184	0.7937203	0.5407980	0.2538707	0.0920687	0.3947112	0.9008835	0.1318009	1.0601736	0.6607898	1.0516203	1.0291928	1.0672457	0.9566234	0.0710170	0.2553315	1.0706447	0.9568551	0.2911664	0.9362184	1.0106000	0.0307299	0.9452437	0.2336794	1.0536454	0.0057555	0.7644809	0.9505759	0.0249990	0.3196893	0.6957784	0.6711848	0.5698452	0.0344451	1.0311984	0.9783017	0.0466281	0.0354868	0.0171492	1.0466079	1.1544825	0.2738278	0.8305678	0.4627645
150.0	0.6478868	0.0425526	0.9736377	0.4236395	0.2772055	0.0934843	0.2532274	0.3641548	0.5055004	0.8366811	0.7235049	0.7727211	0.8849062	0.6158156	0.5350583	0.0687552	0.7864404	0.5649184	0.9443404	0.3575539	0.9119754	1.0346821	1.0735946	0.5903037	0.4906080	0.7022262	0.4704521	1.0118484	0.7498771	0.2796485	0.4610593	0.0744752	0.2330126	0.0597986	0.0765847	0.6387928	0.1536644	0.0786640	0.9881792	0.6590756	0.9676746	1.0856644	0.4420947	0.0756522	0.5871040	0.8271628	0.9738543	0.0648769	0.3583783	0.3861048	0.7966335	0.5615527	1.0838383	0.1401821	0.0444223	0.9481533	0.9591273	0.8125473	0.5100764	0.2295972	0.0767066	0.4325113	0.9596803	0.1314471	1.0253152	0.6495389	1.0432070	1.0145364	1.0743808	1.1184347	0.0874789	0.2661178	1.1361189	1.0093475	0.1937056	0.9915173	0.9373821	0.1026897	0.9642453	0.2800707	0.9588546	0.0058449	0.9076948	1.0285423	0.0309033	0.4249208	0.7135037	0.8006363	0.2663276	0.0745727	0.9044391	0.9589228	0.0418340	0.0473232	0.0283023	1.1024432	1.1672209	0.2615492	0.5875722	0.6828745
200.0	0.5922380	0.0238210	1.0138936	0.4878916	0.2585435	0.0387115	0.2145688	0.2854548	0.5935441	0.8930931	0.8361955	0.7817344	0.7321711	0.6200742	0.4780226	0.0728233	0.8339696	0.5641972	0.9412580	0.3121057	0.8496170	0.9491182	1.0174557	0.4966466	0.5269911	0.6782801	0.4722125	0.9759508	0.8793063	0.1957524	0.3872096	0.0482857	0.3121198	0.0388481	0.3294649	0.5120766	0.1678798	0.0750122	0.9009146	0.7532509	0.9856386	1.0692205	0.3887510	0.0836564	0.5225137	0.9341339	0.9797506	0.0500956	0.3804074	0.2964854	0.7148053	0.3723158	0.9453726	0.0405917	0.0322371	1.0363087	1.0192621	0.7992588	0.4176725	0.2374118	0.0925741	0.4096580	0.9853591	0.1466125	1.0549316	0.6914816	1.2219347	1.0414315	0.9593665	1.0704774	0.0929139	0.2459106	1.0300132	1.0098422	0.1898615	0.9903636	0.9552896	0.3205230	0.9809673	0.2655960	0.5190709	0.0113799	0.8991057	1.0797520	0.0223213	0.5043207	0.7043573	0.8812553	0.1577494	0.0300004	0.9576378	1.0376538	0.0950410	0.0528535	0.0257687	0.9912522	1.1484663	0.1537869	0.2707203	0.9011134
250.0	0.5703785	0.0221892	0.9298459	0.3908289	0.2558928	0.0269762	0.2422863	0.3191247	0.5083308	0.8503463	0.8051880	0.8165250	0.6744772	0.5703683	0.5697265	0.0824440	0.7701040	0.5226485	1.0301088	0.3581932	0.8432714	1.0107001	0.9601191	0.5569625	0.5024415	0.6755258	0.2438132	0.9304264	1.0404857	0.1832778	0.4482776	0.0619785	0.3792374	0.0451259	0.6467368	0.4699377	0.2200551	0.0504688	0.9037567	0.9298154	0.9448393	1.0139594	0.3665984	0.1053153	0.5330359	0.8552386	0.9648326	0.0552887	0.3491570	0.2519138	0.8007571	0.2455034	1.0132545	0.0169123	0.0388961	1.0278816	1.0455171	0.7608327	0.4353080	0.2045393	0.0858901	0.2734020	0.9653358	0.1478344	1.0378048	0.7357670	1.1132088	0.9637125	0.9641273	1.1464470	0.1159980	0.3070192	1.0397490	0.9751943	0.1967613	0.9668637	0.8528707	0.5373941	0.9664585	0.3127513	0.2336487	0.0023783	0.9446919	0.9331189	0.0208188	0.5850113	0.5713927	0.8808601	0.0957995	0.0401059	1.0226571	0.9786993	0.2412413	0.2019674	0.0686330	0.8700737	1.0332459	0.1671337	0.1255875	0.9995945
300.0	0.6182485	0.0283889	1.0076800	0.4641306	0.2284377	0.0122977	0.2646836	0.3421562	0.5162690	0.8511616	0.7162904	0.7129351	0.6258548	0.5302158	0.5241892	0.0795510	0.7522173	0.4244594	1.0145271	0.2847423	0.9048468	1.0397105	0.9706840	0.5940452	0.4957000	0.7736458	0.2517884	0.9474408	0.9631239	0.1722910	0.4154576	0.0537937	0.4313697	0.0401801	0.7044996	0.3762123	0.2331368	0.0567709	0.8806419	0.9678171	1.0392821	0.9556639	0.3657733	0.0645138	0.5300482	0.8686350	0.9617513	0.0415438	0.4447116	0.2159865	0.7230501	0.2057784	1.0633925	0.0043249	0.0232707	0.9644118	0.9385343	0.7556304	0.4555544	0.2316859	0.0656820	0.1851973	1.0095585	0.1217478	1.0472751	0.7599425	0.9678852	1.0007035	0.8824124	1.1166999	0.0833826	0.2121343	0.9414000	0.9763191	0.3080221	0.9853147	1.0530364	0.6772514	1.0279042	0.2889073	0.1462749	0.0041677	0.9307258	0.9219705	0.0388158	0.4692204	0.4895616	0.9940112	0.0541959	0.0523961	1.0280442	1.0441654	0.4317258	0.4676810	0.2737823	0.9424597	0.9488187	0.1619546	0.0753301	1.1178367
350.0	0.6686017	0.0294502	0.9614124	0.5678062	0.2532293	0.0025067	0.2664717	0.3189742	0.5028087	0.8461549	0.6971963	0.6636819	0.6242585	0.5532799	0.5778342	0.0609797	0.8345253	0.3190930	1.0216968	0.2687156	0.9547484	1.0463761	1.0392749	0.5116259	0.4926580	0.7435577	0.2574287	1.0237271	1.0511521	0.2230829	0.3684749	0.0400855	0.3958854	0.0459371	0.8348569	0.2516356	0.3377670	0.0520582	0.8694358	0.9581912	0.9992912	0.9831282	0.4813934	0.0752143	0.5319016	0.8199647	0.9841664	0.0511016	0.5369962	0.1881521	0.6187515	0.2079352	1.0470270	0.0047935	0.0375644	1.0106468	0.9736280	0.7499014	0.5067527	0.2297904	0.0702945	0.1376887	0.9609973	0.1191241	1.0516282	0.6876451	0.9190428	0.9660137	1.0894297	1.0992310	0.0580273	0.2240151	1.0143668	1.0113303	0.2538331	0.9946047	0.9640427	0.7632231	0.9890505	0.2770639	0.0974019	0.0033791	0.9571547	0.8516849	0.0266642	0.4883940	0.4500979	1.0046098	0.0700459	0.0247155	0.9370699	1.0450420	0.6447002	0.5950669	0.4361999	1.0584746	0.8931243	0.2250625	0.0365793	1.0868316
400.0	0.7074562	0.0176716	0.8915998	0.5477753	0.1957343	0.0009700	0.2336815	0.2669347	0.4821252	0.8384151	0.7752659	0.6228572	0.7021744	0.5552778	0.5905704	0.0550284	0.8416305	0.2626619	1.0520262	0.2401272	0.8855353	0.9991275	1.0962347	0.4666280	0.4683694	0.5740887	0.2687208	1.0813592	0.9551643	0.3654008	0.3314322	0.0695441	0.3994670	0.0680918	0.8971212	0.2229363	0.3431531	0.0659377	0.8326998	1.0178458	0.8203393	1.0288171	0.4430782	0.1004356	0.5827409	0.8845581	1.0639365	0.0730298	0.4125819	0.1693341	0.6786364	0.3023864	1.0318835	0.0018478	0.0273233	1.0448132	0.9797531	0.7490447	0.4987726	0.2414182	0.0779295	0.1280697	0.9977901	0.1194481	1.0571980	0.6564926	0.9084200	0.9130069	1.0692839	1.0595910	0.0640605	0.2250983	0.9803679	1.1024824	0.2264576	1.0795206	0.9304615	0.8521910	0.9269072	0.3298363	0.0938667	0.0011061	0.9051699	0.9485773	0.0188125	0.5335259	0.4234020	0.9803377	0.0933829	0.0470057	1.0363624	1.0789543	0.7336456	0.6527036	0.5513375	1.1053249	0.9499109	0.1674369	0.0314831	1.1305944
450.0	0.8061548	0.0157485	0.9922779	0.5457148	0.2138884	0.0000000	0.1835496	0.2075384	0.5313552	0.8052829	0.8378092	0.5843909	0.6297376	0.5241053	0.5969039	0.0585577	0.8247403	0.2027080	1.1036843	0.1652619	0.9146699	1.0022669	0.9660956	0.6143568	0.4340555	0.5560308	0.3708001	1.0321649	0.9890849	0.3850844	0.3567680	0.0272273	0.4066811	0.0751661	0.7958102	0.2113641	0.3456128	0.0793540	0.9324920	1.0388748	0.6295345	1.0483600	0.4123549	0.1318907	0.5782290	0.7799977	0.9839045	0.0858748	0.3634685	0.1944002	0.7291735	0.2573644	1.0919377	0.0002146	0.0213202	1.0828091	0.9176189	0.8628572	0.4467257	0.2638979	0.0617664	0.1367955	1.0628754	0.1359186	1.0153296	0.6124177	1.0335315	0.8960750	1.0511823	1.0094855	0.0394376	0.1953355	1.0801023	1.0161324	0.1926932	1.0363719	0.9581840	0.8452807	0.8781899	0.3049771	0.0879818	0.0001480	0.9723619	1.0227806	0.0211475	0.4959787	0.4122403	0.9421096	0.0736016	0.0568055	0.9622917	1.0360808	0.7238633	0.7590872	0.7123190	1.0941679	0.8806662	0.1227156	0.0269063	1.0530674
