"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.3157806	0.0048508	0.9708753	0.3045171	0.3970017	0.8958999	0.0003899	0.6549575	0.3814982	0.4309413	0.4954515	0.6428651	0.7680763	0.3895506	0.8072645	0.0042277	0.5202425	0.9679488	1.0628620	0.6463417	0.8225229	0.8965055	0.7333955	0.3928864	0.2640840	1.0596739	0.0812330	1.0864504	0.9487671	0.1850032	0.7068570	0.0096050	0.3885264	0.0017977	0.0013752	0.1822781	0.4255151	0.7905378	0.8579460	0.3811295	0.9905352	0.5794836	0.4623534	0.0237839	0.7128019	0.8466416	0.9278915	0.4734628	0.7270847	0.4124829	0.8859535	1.0434821	0.8891304	0.9273385	0.0005101	1.0972481	0.6216748	0.8040609	0.6269540	0.0297050	0.1802374	0.4662363	1.0153466	0.0557563	0.9159101	1.0036819	0.9834427	0.8880518	0.4553823	1.1264686	0.0431350	0.1579811	1.0379444	0.9672949	0.0993587	1.0486542	0.9459714	0.0277838	0.3764821	0.2288917	0.9102981	0.0246623	0.4877889	1.0706944	0.0038830	0.3832169	0.1635053	0.4102623	1.0714185	0.6992926	0.0844061	1.0005338	0.0022911	0.5845904	0.3929262	0.8765197	0.8347565	0.3235366	0.9107993	0.3166676
0.3626914	0.3284972	0.9431397	0.2909785	0.2419443	0.9412635	0.2147304	0.4425487	0.3375753	0.7336790	0.8426791	0.8492662	0.8511871	0.6972520	0.8926988	0.3672852	0.5907682	0.7075509	0.9150439	0.3501446	0.8044546	0.5376767	1.0277718	0.4294975	0.3988021	0.7194598	0.7128728	1.0230173	1.0462940	0.1854650	0.1963578	0.0484810	0.2043548	0.3251844	0.0094790	0.4533386	0.3409627	0.0072960	0.9906960	0.4740146	0.9453252	0.3602263	0.3154355	0.0300753	0.6502057	0.9250498	1.0066179	0.0403415	0.8411204	0.7749344	1.0905857	0.8599055	0.5830210	1.0223385	0.0698859	0.8565933	0.8344807	0.8969643	0.3400144	0.0617144	0.1409759	0.3374983	1.0043542	0.0935479	1.0951071	0.7583436	0.9933639	0.7486111	0.9934476	0.9078823	0.0519735	0.5229171	0.7569591	0.9258225	0.1420028	0.9060494	0.9601849	0.0177373	0.7791525	0.1157264	0.9949149	0.0023508	0.8193075	0.9174475	0.0818085	0.4567434	0.1434119	0.4900242	0.8260126	0.0105745	1.0169722	0.7902187	0.0035471	0.0005355	0.4841619	1.0949184	0.9563428	0.0291571	0.9066976	0.1038658
0.4440138	0.0053968	0.8992972	0.5273202	0.5596004	0.1133700	0.0063242	0.3151796	0.5833609	0.5585829	0.8604996	0.5260960	0.5849943	0.5747578	0.5985925	0.1471852	0.5968084	0.5461982	0.2142933	0.5551265	0.8790446	0.6506188	0.8608816	0.9762413	0.8264947	0.3184605	0.6119336	0.8221836	0.2498858	1.0171991	0.2041919	0.8087457	0.9639718	0.0001674	0.0765657	0.1118053	0.6629401	0.0171288	0.9638102	0.5929070	0.9211753	1.0048977	0.4031645	0.0956262	0.8094818	0.8447419	0.7443664	0.0936891	0.2468416	0.9249317	0.8714670	0.5798068	0.2067827	0.6404822	0.0015014	0.4515994	0.6066804	0.9370684	0.6536177	0.2580184	0.0058074	0.0466231	0.9373166	0.1466348	0.7334603	0.9804552	1.0229486	0.4977550	0.5621701	0.9420865	0.0266987	0.1031062	0.7989449	0.9387300	0.0383157	1.0378212	0.9223079	0.2102745	1.0152895	0.1299210	1.0543050	0.1429575	0.7830979	0.9771412	0.1804886	0.2926229	0.4864176	0.6107345	0.3789986	0.0603132	1.0913420	0.4679407	0.3105281	0.0917941	0.0273174	0.7554540	0.9744409	0.0045332	0.8497010	0.3104223
0.7778528	0.0610486	1.1086634	0.7675242	0.2059231	0.3934397	0.1920400	0.1034316	0.1385194	0.6596691	0.1602124	0.6582156	0.9309870	0.5137538	0.7193443	0.5875896	0.7699314	0.1627609	1.1272940	0.3140545	1.0383689	1.0566316	0.9858193	0.6811272	0.5703845	0.5061924	0.1546813	0.9629659	0.9687846	0.1924189	0.0568426	0.0591790	0.4448077	0.1530492	0.0008317	0.2907184	0.2731209	1.0027576	1.0927414	0.9682629	0.9700616	0.8838619	0.0680239	0.0455312	0.3755790	0.8448902	0.8682584	0.9191156	0.5456821	0.7085224	0.9960370	0.9556624	1.1190585	1.1013437	0.1614750	0.8028318	0.9212745	0.8490342	0.1585970	0.0019909	0.0636854	0.1967960	1.0451242	0.1356420	0.8884238	1.0217111	1.0494802	0.9626007	0.3015650	1.0481384	0.0263722	0.2485255	1.0388643	0.7595732	0.0227931	0.9997314	1.0272067	0.0620813	1.0147013	0.0940504	0.9125491	0.4679160	0.5651604	0.9117980	0.1672310	0.0227652	0.8800495	0.2929952	0.1673135	1.0207779	0.2744020	0.9972519	0.0048301	0.4001710	0.0016244	0.9525922	1.0912623	0.0019320	0.8925794	0.2041562
0.7603686	0.0068695	0.8781743	0.6843132	0.2079821	0.4097604	0.2834073	0.3676721	0.3657856	0.8528823	0.8416710	0.7382812	0.6013692	0.5936756	0.4056227	0.2157393	0.9803765	0.0960377	0.9317441	0.0316262	0.8300401	1.0894017	0.5948953	0.2675893	0.3031170	0.9720386	0.6541282	0.9682529	0.8092913	0.0668600	0.6874626	0.0574357	0.4621054	0.6330559	0.0011795	0.2313977	0.3555975	0.3589865	0.5289003	1.0292802	1.1232210	0.6435422	0.4575446	0.0317796	0.8916519	0.2403206	0.6811556	0.0003287	0.8806024	0.8747574	0.9160128	0.8361492	1.0424743	0.9845702	0.6739994	0.4059232	0.9922355	0.8104080	0.7629690	0.0010374	0.0397002	0.1637255	1.0018317	0.1079161	1.1101021	0.7617819	1.0688924	1.0724247	1.0049461	1.0207298	0.0822795	0.1968305	1.0759397	0.5323227	0.0766211	0.9136579	1.0764206	0.0033256	0.3197196	0.5799958	0.8656093	0.2316711	0.6887892	1.0064754	0.0034884	0.2054524	0.2764430	0.6810263	0.9694885	0.0012580	0.9327001	0.6068027	0.0019662	0.0965767	0.4379037	0.9511394	0.8900097	0.4124274	1.0276265	0.3380146
0.7482647	0.0026472	0.9769852	0.7518275	0.1948089	0.3387306	0.2012468	0.1605411	0.3665185	0.7990089	0.1656261	0.8128943	0.8355760	0.4890647	0.4081616	0.0051792	0.8371568	0.1430262	0.5308340	0.0557724	1.0798641	0.9773992	0.6543903	0.3574469	0.2919802	0.4172821	0.1243017	0.9391022	0.3487927	0.9462511	0.0906913	0.3137429	0.1333064	0.0057867	0.0044328	0.7581986	0.0406909	0.9830024	0.6332448	0.7465885	0.9371336	1.0702505	0.0985994	0.1370093	0.6958388	0.5718702	0.4206325	0.4740423	0.7212865	0.7459810	1.0428632	0.6193819	0.2285494	0.9140283	0.0026763	0.9720110	0.7887386	0.8945248	0.1276829	0.5152640	0.0280018	0.2928539	0.9636470	0.0405143	1.0722169	0.9233864	0.8697794	0.1243913	0.8657524	1.0266263	0.0137773	0.6512850	0.9712265	0.9490284	0.2591277	0.9514718	0.9921838	0.0249031	1.0057127	0.1697841	1.0352833	0.2989488	0.3917342	1.0411270	0.2460173	0.1767058	0.7260374	0.8207918	0.1512734	0.7958047	0.1644757	0.9609357	0.1597600	0.0002018	0.0002656	0.8918436	0.8059515	0.0059132	0.9092686	0.4952303
0.9213818	0.0010106	0.9857714	0.6514246	0.3245576	0.3966505	0.1947102	0.2079562	0.3611684	1.0834486	0.9875854	0.6971939	0.8824412	0.6740538	0.5445214	0.0004917	0.8750035	0.1611890	0.8725958	0.0540025	0.8737240	0.7904829	0.6928907	0.6286893	0.6264092	0.7273307	0.1438000	1.0624551	0.9926479	0.4133010	0.5251796	0.0010236	0.0868047	0.0228738	0.0017107	0.6002168	0.0187307	0.3002886	0.8510824	0.9684085	1.0497329	0.9056984	0.4742816	0.0573016	0.6605392	0.8812988	1.0911942	0.0233263	0.7924000	0.5229652	0.9665964	0.9951636	0.9024429	0.9679294	0.3037207	0.3749245	0.2775133	0.8277479	0.1524477	0.2013959	0.0704174	0.0978795	1.1139858	0.0192014	1.0062196	0.7413145	0.9667287	0.9939041	0.9153319	1.0257170	0.0408771	0.9007837	0.9110989	0.9620482	0.1825639	1.0198623	0.9776565	0.0235725	0.9164427	0.2642793	0.9011198	0.0026451	0.4469275	0.9564107	0.0020566	0.0660591	0.5736104	0.6695311	0.1287819	0.0003565	0.7741878	1.0936231	0.0077868	0.2335145	0.0000913	1.0887652	1.0189107	0.0185796	0.9491681	0.3744199
0.8703113	0.0066269	0.9481363	0.6057202	0.2219066	0.4608498	0.2314189	0.3162786	0.6491129	0.8483508	0.9269022	0.7412672	0.3763764	0.5901858	0.2415374	0.7843938	0.9960636	0.2052769	0.9948470	0.0898370	0.9995964	0.9698332	0.8398258	0.3528407	0.4608466	0.8454744	0.5892127	1.1360975	1.0481187	0.9807054	0.1758359	0.0506591	0.5539512	0.4137814	0.0013406	0.1146965	0.5160505	0.2213245	0.5109358	0.7019539	0.8856171	0.9240593	0.1516670	0.1290124	0.8966444	0.3734911	0.9917255	0.0265603	0.3652599	0.5117503	0.9793377	0.5472372	0.9504749	0.9337833	0.8314378	0.1673974	0.6458930	0.8705457	0.3971349	0.1308146	0.0569937	0.3387033	0.9984168	0.0169509	1.0234588	0.6389580	1.0614151	0.9193698	0.9550378	0.9886063	0.0363104	0.0241448	1.0909406	1.0364583	0.4124835	0.9736351	1.0507561	0.0422100	0.6157617	0.4399405	0.8334354	0.5060690	0.5903951	0.9737749	0.5510822	0.4558895	0.1874000	0.4176484	1.0007508	0.0135042	0.9870725	0.5090246	0.0457734	0.0044743	0.0007153	0.7465208	0.5784042	0.0516303	0.9219711	0.2910330
0.8637545	0.0052086	0.9006801	0.7643254	0.2348300	0.4183025	0.2050179	0.2670377	0.3558032	0.6278503	0.5484824	0.7584704	0.8459582	0.7106928	0.8914423	0.1745008	0.5145939	0.0717129	0.7629696	0.0232570	0.9081902	1.0272250	0.9831397	0.6841581	0.4569658	0.3740889	0.4885151	0.7641691	0.8905491	0.2932942	0.6878030	0.0503717	0.7389319	0.4753860	0.0039580	0.0042408	0.6771318	0.8079829	0.6736040	0.9895030	0.6607789	1.0132307	0.4359477	0.0434402	0.9627705	0.6110084	0.9790860	0.2566807	0.6942020	0.4473455	0.9646238	0.6540268	0.4325954	1.0496073	0.7994097	0.1118229	0.0438896	0.8796795	0.4461247	0.1131447	0.0605286	0.1636985	0.9908932	0.0186208	0.4768429	0.7985621	0.9899882	0.5738982	0.5246309	0.9992857	0.0442998	0.1654318	1.0111237	0.9929710	0.1303789	0.8841872	0.8489480	0.0112825	0.8612771	0.3051688	1.0861056	0.0029847	0.5931140	1.0001237	0.0002629	0.2008103	0.8927382	0.4963588	0.3026298	0.5042330	0.1683538	0.9385904	0.0707162	0.1451520	0.0012069	1.0331346	1.0562992	0.0411603	0.9974787	0.1466023
0.7629925	0.0689134	1.1659388	0.6772571	0.3516804	0.4630498	0.2712641	0.5220548	0.7961694	0.8822584	0.5605888	0.7870822	0.4642800	0.4746477	0.3848880	0.7832299	0.8617788	0.1270778	0.9382735	0.3761568	0.8753863	0.6403321	1.0082380	0.9113681	0.5672437	0.3504244	0.5328023	0.7993068	0.9302680	0.4481512	0.4876108	0.0549745	0.4442532	0.4589490	0.0240149	0.0963261	0.3220035	1.0226061	0.2860743	0.9033920	0.6491055	0.3687477	0.0181890	0.1097707	0.4517195	0.0150300	0.4353550	0.5955420	0.1983788	0.7406937	0.8058572	0.6031897	1.0871241	0.8468275	0.4314591	0.5503176	0.8645713	0.7314103	0.7723991	0.0015823	0.1114810	0.1597098	1.0454837	0.1352267	0.8001507	1.0037999	0.8569277	0.9431645	0.9727391	0.9713152	0.0488247	0.3416906	0.6951587	0.8452130	0.1560933	0.9922346	0.9961080	0.0158636	0.7986424	0.3326455	0.8742869	0.2410227	0.6323908	1.0169964	0.0009732	0.5683304	0.4875468	0.5223215	0.4605883	0.5815402	0.1604773	1.0349696	0.0015338	0.4155054	0.4688738	1.0074269	1.0121763	0.0793497	0.9111484	0.2219775
