"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.5532005	0.0219682	0.9590905	0.4506178	0.2765307	0.6315372	0.2624805	0.3493089	0.4435686	0.7406681	0.8032377	0.7071017	0.6073737	0.5022337	0.4921030	0.0592967	0.6529247	0.7806355	0.9969499	0.4285644	0.8023564	0.9990139	0.9644613	0.6532278	0.4745067	0.6725670	0.5155674	1.0496763	0.9910774	0.5751155	0.4513724	0.0614560	0.1491397	0.0452753	0.0110682	0.6811661	0.1217613	0.0534352	0.9061376	0.5206605	1.0527148	1.0173760	0.3814332	0.1212226	0.5070217	0.8711019	1.0947469	0.0481700	0.4689241	0.5320456	0.8093280	0.7014215	0.9613643	0.9437579	0.0178526	0.9720386	0.8107579	0.8449763	0.5303388	0.1482569	0.1877673	0.5114349	0.9735291	0.1897094	1.0244942	0.7508539	1.0150011	0.9495690	1.0000849	1.0307809	0.0608440	0.2216544	0.9400855	0.9989107	0.1691635	0.9303722	0.9793111	0.0335873	0.8752946	0.3183970	1.0097435	0.0014959	0.6171967	1.0109352	0.0230078	0.2996291	0.4965075	0.5266545	0.7760767	0.0375845	1.0381968	0.9705217	0.0559557	0.0236441	0.0343797	0.9950977	0.9564372	0.1536381	0.8814757	0.4019032
50.0	0.5401798	0.2780782	0.9534626	0.6044604	0.2382413	0.4786656	0.2563974	0.4227862	0.4641290	0.7406355	0.7970285	0.7355138	0.6597884	0.4577302	0.5837246	0.0465522	0.8444115	0.8875870	1.0702861	0.4042226	0.8286212	1.0184156	1.0119774	0.5849381	0.4738909	0.6764051	0.5038034	1.0071743	1.0005632	0.4866474	0.4202331	0.0182689	0.1436445	0.0922817	0.0144124	0.6820009	0.0979588	0.0394210	0.8895905	0.5149605	0.9653750	1.0110798	0.2835554	0.0619495	0.5401522	0.7514369	1.0595493	0.0669175	0.5965046	0.6266209	0.7935808	0.7281342	0.9916118	1.1448712	0.0367433	0.9777643	0.5403830	0.8748170	0.5250039	0.0885711	0.1342212	0.4742647	1.0230862	0.1783335	1.0576330	0.7869675	1.0842751	1.0224132	0.8201742	0.9904189	0.0602480	0.2562057	0.8688432	1.0034876	0.1560575	0.9802233	0.9805753	0.0313551	1.0018095	0.3701083	1.0756155	0.0029540	0.6856945	0.9857240	0.3591947	0.2649293	0.4424670	0.3392252	0.7144730	0.3175201	0.8524838	0.9725101	0.1457976	0.0252633	0.1452544	0.9599222	1.0507244	0.3647425	0.9137515	0.3922525
100.0	0.5122359	0.6286794	0.9649737	0.9601430	0.2336224	0.1719691	0.1994187	0.5485466	0.4065176	0.6944581	0.7254531	0.8420869	0.7344901	0.4262318	0.6539210	0.0494955	0.8027668	0.7704026	1.1247174	0.5158838	1.0412777	1.0284752	1.0588444	0.5927440	0.4479294	0.6507528	0.4837213	0.9694167	0.8611550	0.5378138	0.4878928	0.0109050	0.1983279	0.0488140	0.0122575	0.6602009	0.0978833	0.0517206	0.8183947	0.5346194	0.9406762	1.0762224	0.0925738	0.0620035	0.5937692	0.7484236	0.9614047	0.1025954	0.5725509	0.4962606	0.9146366	0.7166386	0.8582378	1.0373819	0.0212251	0.8255279	0.2062249	0.9285233	0.6063703	0.0426288	0.0995642	0.4584096	0.9303726	0.1480804	0.9922846	0.7198232	1.0649321	0.8761452	0.8745199	0.9732778	0.0529683	0.2574369	1.0173610	0.9674995	0.1851487	1.0802865	0.9409076	0.0410577	1.0192269	0.3386948	1.0451643	0.0018140	0.6690308	1.1072517	0.5874090	0.2016143	0.3915838	0.1989509	0.5079851	0.4913893	0.5175285	0.9335844	0.2073495	0.0297792	0.2707375	1.0182789	0.9869439	0.5789673	0.9666467	0.3557215
150.0	0.5387014	0.7875158	1.0046674	1.0531116	0.3080310	0.0910242	0.2592166	0.5419500	0.3758551	0.6988222	0.7564955	0.9959313	0.7078906	0.3949629	0.6664807	0.0520564	0.8710889	0.5869530	1.0780513	0.4888775	1.0476704	1.0348030	0.9970051	0.5864968	0.4630020	0.7076768	0.2876269	1.0188641	0.3248103	0.5656284	0.4585764	0.0234530	0.2986149	0.0461510	0.0493356	0.5671064	0.1592717	0.0448271	0.8609503	0.5694543	0.9130022	1.0851659	0.0361773	0.0639269	0.4917936	0.7236138	0.9721038	0.0775811	0.6328268	0.4192626	0.8574016	0.7105608	1.0001922	1.1340992	0.0321154	0.8904364	0.0700902	0.8583348	0.5822886	0.0209442	0.1094820	0.4611559	1.1078784	0.1161053	1.0435022	0.6599953	1.0696335	1.0071468	1.0508811	0.9745758	0.0345417	0.2175052	0.9039137	1.0006807	0.1283580	1.0567442	0.8976148	0.0768447	1.0974785	0.3538325	1.0194907	0.0042595	0.7638816	1.1085579	0.7397149	0.1546292	0.3301406	0.1366181	0.3306112	0.7470959	0.2960891	0.9551480	0.2970182	0.0389717	0.2952700	1.0071873	1.0416630	0.7506946	0.9876661	0.3353894
200.0	0.6185805	0.7758397	0.9952472	0.9360063	0.2833734	0.0721379	0.2508145	0.5868941	0.4131382	0.6882840	0.7474890	0.9347796	0.8148088	0.3679218	0.6240808	0.0578479	0.9783163	0.5270290	1.0766667	0.4983138	1.0224421	1.0186666	0.9481840	0.5893122	0.4869897	0.7209337	0.2498514	0.9059806	0.1383187	0.7010285	0.4664063	0.2880953	0.3552181	0.0603890	0.0837310	0.4252558	0.2180727	0.0664688	0.7211345	0.7082953	0.9738402	0.9783940	0.0187080	0.0498771	0.5258070	0.7227505	1.0413784	0.0770237	0.6084651	0.4254299	0.8397039	0.7533117	0.9067700	1.1908252	0.0146061	0.9490153	0.0573445	0.9068907	0.5900417	0.0131794	0.1018662	0.4207861	1.0521134	0.1051233	1.0748983	0.7093561	1.0931845	0.9103497	1.0561968	1.0126952	0.0412670	0.1916202	0.9781288	1.0848051	0.1093441	1.0243168	0.9604598	0.1225111	1.0647881	0.3892868	0.9414135	0.0000000	0.8865206	1.0262772	0.7216472	0.1188419	0.1995590	0.1664201	0.1426392	0.8329484	0.3218033	0.8310387	0.3474744	0.0400731	0.3389968	1.1204603	1.0001860	0.8747425	1.0293568	0.2677824
250.0	0.5777751	0.7751459	0.9916546	0.9604202	0.2947930	0.0619931	0.2162393	0.6594969	0.3591740	0.6668002	0.7918191	0.9997507	0.7429553	0.3947975	0.6204735	0.0600788	1.0045880	0.3990131	0.8614568	0.4520529	1.0176036	0.9512956	0.8708207	0.5275276	0.4493162	0.8025170	0.2904532	0.9978991	0.1065609	0.7666566	0.4060784	0.5116620	0.3805096	0.0614144	0.1408654	0.3222157	0.2708058	0.0585353	0.6925038	0.8880399	0.8943948	1.0116695	0.0227563	0.0476045	0.6170475	0.6215582	0.9102593	0.0626552	0.6683519	0.4516545	0.8513520	0.7553862	0.6024465	1.1401212	0.0167379	1.0185199	0.0247962	0.8932054	0.4737445	0.0027106	0.0703850	0.3039688	1.0348223	0.1039318	0.9839770	0.7132503	1.1072594	0.9966412	1.0562440	0.9765719	0.0454314	0.2295203	0.9975313	1.0110416	0.1135019	0.8741569	1.0133482	0.2123094	1.0300913	0.4400961	1.0575918	0.0088320	0.9313344	0.9542498	0.7082145	0.0767151	0.1929362	0.2250333	0.1173590	0.7099832	0.3102661	0.9601469	0.3672624	0.0831798	0.3410904	1.1695537	0.9572834	0.8184216	0.9964226	0.3190122
300.0	0.6683846	0.7785646	1.0693590	1.0843407	0.2488895	0.0631647	0.1923952	0.4804569	0.4554739	0.7645482	0.7426128	0.9617167	0.7652035	0.4113210	0.5554948	0.0614053	0.9760223	0.3350548	0.5587187	0.3898272	0.9698216	0.9552155	0.9210676	0.4838566	0.3599986	0.8422505	0.2803305	0.9910597	0.0810976	0.8089960	0.5008265	0.5999280	0.4654292	0.0835780	0.1591504	0.2937140	0.2906415	0.0487103	0.7622698	0.8903247	0.9262977	1.0203801	0.0053659	0.0195556	0.5879760	0.6560769	0.9207902	0.0609141	0.7097514	0.5747764	0.8653900	0.6456195	0.3624173	0.8922793	0.0235223	0.9484704	0.0436514	0.8724242	0.4832620	0.0063534	0.0581565	0.1900255	0.9996637	0.0955348	0.9655304	0.7734917	0.9906918	0.8510701	1.0749247	0.9621471	0.0263390	0.2647808	0.8785993	1.0129106	0.1112046	1.0009475	0.9618042	0.2191112	0.9655188	0.3509504	1.1010871	0.0055844	0.9821423	1.0233711	0.7549417	0.0801236	0.2162345	0.2238342	0.0978342	0.6998091	0.4142016	1.0238799	0.3891430	0.0969276	0.3059604	1.1751837	0.8836900	0.7280782	1.0081566	0.2552514
350.0	0.7669627	0.8131186	1.0207780	1.0367150	0.2484393	0.0442293	0.1709133	0.4806258	0.3681790	0.7482920	0.8497021	0.7965930	0.8168222	0.3507625	0.4964001	0.0709626	0.9566549	0.2841642	0.3864920	0.3398986	1.0225049	1.0012425	1.0263708	0.4869964	0.3718905	0.8858307	0.3384864	1.0676517	0.1021304	0.9547969	0.4676242	0.6300483	0.6067667	0.0551584	0.1281127	0.2211327	0.4017157	0.0591827	0.8522607	0.9081931	1.0231859	0.9727120	0.0025925	0.0442530	0.5055861	0.6666284	1.0294664	0.0443620	0.6716776	0.6750171	0.7823827	0.6644625	0.2803484	0.8441090	0.0320567	0.8488133	0.0311401	0.8456411	0.4649411	0.0047556	0.0896406	0.1752311	0.9557206	0.1134592	0.9705997	0.7257729	0.8741604	0.6268404	0.9269927	0.9521220	0.0536531	0.1999597	0.9967633	0.9859596	0.1223550	0.9426019	0.8790045	0.2583730	0.9855067	0.3816234	1.0941313	0.0013451	0.9951000	0.9342465	0.8551462	0.1255194	0.1922303	0.2026919	0.0840063	0.6912983	0.4668939	1.0516612	0.4065968	0.1297997	0.3302525	1.1207508	0.9813513	0.7183669	0.9485201	0.3016612
400.0	0.8627632	0.7733005	0.9862784	0.9467018	0.2595265	0.0211814	0.2377986	0.5141942	0.3872659	0.7810176	0.7737683	1.0000249	0.7847941	0.3855615	0.5438933	0.0911239	0.8957870	0.1759401	0.2972678	0.2868573	0.9860371	0.9923022	0.9614096	0.4373106	0.3745772	0.8303149	0.2369852	1.0973159	0.1274535	0.8914741	0.4329092	0.6669424	0.7088415	0.0335053	0.1488642	0.1669177	0.5277455	0.0651976	0.8154761	0.9044498	1.0336148	0.9640201	0.0029293	0.0422280	0.4666651	0.8530113	1.1576677	0.0587691	0.6288749	0.7132001	0.7963692	0.6967489	0.2371777	0.8191999	0.0291181	1.0073898	0.0302538	0.9071436	0.4958733	0.0040331	0.0822891	0.1237703	1.0103499	0.0984445	1.1094359	0.7414228	0.8480679	0.3308928	0.9594909	0.9607831	0.0480367	0.2258879	0.9132451	0.9958922	0.1288760	1.0313055	0.8665188	0.2336088	1.0386848	0.3733498	0.9998453	0.0009561	0.9803920	0.9337965	0.7711659	0.1365712	0.2134103	0.2100069	0.0563769	0.7414224	0.4591604	0.9937465	0.4557780	0.1437061	0.3477063	0.9822971	0.9405088	0.7553004	0.9357257	0.3931616
