"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.8704161	0.8924447	0.9643349	1.0440720	0.1737331	0.0403988	0.2768059	0.5645778	0.4547472	0.7532803	0.7490172	0.9098067	0.7759442	0.3343780	0.4740979	0.0713810	0.9961576	0.1374675	0.2919415	0.2556860	0.9989952	1.0427397	0.9502578	0.5747957	0.4203938	0.8016356	0.2536933	1.0520517	0.2118321	0.9827324	0.4187042	0.6094208	0.8595220	0.0918044	0.1228525	0.0916819	0.8114172	0.0715002	0.8581355	0.9254434	1.0285618	1.1365143	0.0036791	0.0365007	0.6651574	0.6978305	1.0131935	0.0550804	0.6323544	0.7419133	0.7571001	0.5687360	0.2318642	0.7382649	0.0369927	1.0006462	0.0256235	0.8287056	0.4805766	0.0013531	0.0823912	0.1612353	0.9959709	0.1168398	0.9393756	0.7404616	1.0933316	0.0931627	0.9986804	0.9858091	0.0454189	0.1945968	0.9924798	0.9635202	0.1085195	0.9216994	0.9189623	0.2725057	0.9374662	0.3624798	1.0426306	0.0004916	0.9860445	0.9751052	0.7396359	0.2319077	0.2218862	0.2145343	0.0732387	0.7278452	0.5388683	1.0301163	0.5607201	0.2309367	0.3644211	1.1385329	0.9982148	0.7569791	0.9794388	0.5608218
0.7712810	0.7923208	1.1578480	0.6379068	0.2434376	0.4757676	0.2092674	0.9115164	0.0767401	0.2088514	0.1378947	0.0324950	0.9296365	0.9226102	0.5110522	0.3839236	0.9636378	0.1718826	0.0765633	0.5756040	0.9790153	1.0228072	1.0660714	1.0142854	0.7022475	0.0331783	0.5051430	0.0789006	0.1221733	0.4311431	0.4459023	0.9881657	0.7772292	0.7244556	0.3694063	0.0534405	0.7426834	0.8137797	0.8416638	0.8797916	1.0432587	1.1092356	0.0988324	0.0519709	0.5499835	0.7397871	0.8968914	0.5333251	0.2927197	0.3902718	0.6496231	0.7838950	0.0008176	0.2225679	0.9387547	0.3854624	0.9223288	0.7991832	0.4109179	0.3198924	0.0760439	0.0097140	0.8334945	0.4206282	0.9632581	0.6158610	0.0769458	0.0125303	0.7235901	1.0592799	0.0245411	0.5609323	1.0298593	0.8930111	0.7374039	0.9371736	0.8176927	0.0044164	1.0501407	0.3139951	0.7118866	0.0044548	0.6085052	1.0543358	0.0790420	0.8668482	1.0764082	0.9681184	0.1698441	0.6519775	0.0835888	1.0695321	0.0298519	0.0454478	0.0140309	1.0211184	1.0191478	0.0439269	0.3904932	0.9680823
0.9952648	0.0023001	1.0743062	1.0223143	0.1626382	0.0922078	0.2626152	0.1335549	0.2317666	0.3623185	0.5095584	0.1295738	0.9051012	0.7451313	0.5005078	0.0666862	0.8257525	0.0293283	0.1879285	0.2708397	0.9424746	1.0076378	0.8650523	0.1953208	0.2388564	0.0338043	0.2539876	0.4865537	0.2558849	0.7731116	0.5015830	0.8978055	0.7425316	0.0688806	0.1437063	0.0024306	0.6228061	0.8057860	0.3952514	1.0829207	0.0562726	0.9078151	0.4455119	0.0157881	0.6224175	0.0563682	0.9700357	0.0767205	0.3387953	0.7597473	0.8354335	0.5343907	0.0085087	0.7056385	0.0622168	0.9888299	1.0275425	0.8227463	0.7694721	0.7804983	0.0877199	0.0908608	0.9745217	0.7679924	1.0083309	0.0174154	0.0789857	0.0044782	1.0372134	1.0505863	0.0117606	0.2518485	1.0489034	0.7136440	0.0239641	1.0222302	0.1524377	0.0309825	1.0535482	0.3464278	1.0024676	0.0029902	0.2929410	0.9577191	0.0981659	0.2298311	0.3719760	0.9296710	0.0934726	0.6249566	0.0659193	0.9639898	0.0638237	0.0265691	0.0283338	1.0144610	1.0162251	0.8821759	0.7925910	0.2650212
0.6761920	0.0024787	0.9596911	0.5230903	0.3516248	0.5210627	0.2235232	0.2454006	0.2036266	0.9293555	0.6624509	0.0632093	0.9737099	0.9113154	0.6095295	0.2188019	0.8428571	0.4175949	0.1175931	0.3612226	1.1531428	0.8162585	1.0266812	0.4752041	0.4166105	0.0648497	0.1692874	0.8297569	0.1645212	1.1292367	0.6674408	1.0608886	0.8647810	0.0689888	0.0167849	0.0502352	0.7469478	0.1448693	0.8921262	0.7694895	1.0085113	1.0811747	0.0827966	0.1752226	0.5826276	0.7807133	1.0282418	0.1381118	0.4452331	0.7256900	0.6843122	0.9900168	0.0014600	0.5522355	0.0439278	1.0831145	0.9145904	0.9026625	0.9112463	0.2544624	0.0831603	0.3497992	0.6606695	0.9555383	0.8805356	0.9979058	0.0779917	0.0137679	1.1179089	0.9095629	0.0751596	0.1657123	0.9925166	1.0182362	0.9600318	0.8947880	0.9866910	0.0033181	0.7407742	0.0542702	0.9769257	0.0100391	0.2393611	0.9681463	0.0143814	0.4305129	0.6766698	0.6573399	0.9514488	0.1237957	0.9718799	1.0376292	0.3121645	0.0411141	0.7689222	1.0349176	0.5698331	0.2992978	0.7817092	0.6782577
0.8067085	0.0233213	0.9606757	0.6159842	0.0217771	0.3406962	0.2150249	0.2194718	0.9832867	0.8737415	0.5439242	0.9226454	0.0181733	0.3443773	0.1632680	0.0463431	1.0355454	0.2927701	0.1878398	0.2259485	0.9022860	1.0628710	0.9711551	0.4272769	0.4812537	0.7983415	0.3820068	0.9828265	0.2967645	0.8775382	0.4390654	0.6192770	0.6558296	0.0693388	0.0019638	0.0271518	0.7362802	0.1609650	0.5235144	0.8919050	0.9593850	1.0075486	0.1279276	0.0841039	0.5157227	0.2514562	1.0701721	0.1262654	0.0287965	0.7432484	0.0879934	0.5592420	0.2424258	0.6878951	0.0189687	1.0553836	0.9956188	1.0011832	0.2715572	0.2467398	0.0567754	0.1906494	0.9053837	0.1237798	1.1342353	0.7396316	0.8681193	0.7874656	0.9585231	1.0649509	0.0636251	0.1786127	1.0519855	0.7506756	0.1740424	1.0467863	0.9751891	0.0079059	1.0117095	0.2908766	1.0245496	0.0056784	0.6938723	1.0431736	0.0256560	0.2839511	0.6479789	0.7027353	0.4168945	0.1738619	0.4000101	0.3306599	0.0586861	0.0347884	0.6235884	0.0082815	0.9902534	0.8554909	0.8370840	0.4775707
0.4309496	0.5649240	1.0934710	0.3860661	0.3111841	0.1648272	0.2026969	0.3849448	0.5481754	0.8104967	0.8033914	0.2742709	0.6113939	0.4858233	0.5864661	0.5285142	0.9281702	0.1752900	0.2607837	0.8775422	0.9210500	1.0285437	1.0162842	0.0328595	0.1258352	0.0124198	0.6326547	0.1215359	0.2637546	1.0490628	0.1873175	0.6572415	0.5235109	0.7818945	0.0002743	0.0531798	0.4008846	0.0589910	0.9880816	0.6810934	1.0079929	1.0169458	0.0244313	0.0214849	0.5216625	0.9547344	1.1594344	0.0698195	0.4768010	0.9443093	1.0194203	0.5417400	0.0032030	0.6912222	0.7854773	0.3991017	0.8735399	0.8798137	0.8499873	0.0030999	0.0929003	0.2943447	0.8359455	0.4565865	0.9043774	0.0250925	0.0496738	0.8697807	0.7630550	0.9639271	0.0771125	0.2232036	0.9996554	1.0536662	0.3602589	0.9122114	0.8995652	0.1742683	0.7753810	0.3107186	1.0275896	0.0054245	0.6906368	0.9212124	0.1025230	0.1844090	0.1913185	0.7832474	0.0595514	0.0351700	0.9755172	1.0570968	0.1755733	0.0548089	0.0269929	1.0814407	0.8629695	0.1126077	0.8702750	0.4741753
0.8226302	0.0118351	1.0426494	0.8837268	0.0025750	0.1360001	0.2110897	0.0726195	0.5735231	0.8422027	0.5524306	0.4803327	0.5193695	0.4389417	0.4780907	0.4154214	0.4188888	0.1248260	0.0816998	0.4051404	0.9525093	0.9155942	0.1920542	0.9531823	0.6564188	0.2090624	0.2497601	0.7346040	0.2676934	0.9281373	0.2234606	0.7972893	0.8746110	0.6681422	0.0388783	0.0122131	0.9661150	0.9611349	0.7542843	0.8837004	0.2098634	0.9504327	0.4383264	0.1076337	0.4701687	0.6551046	0.8380914	0.4719270	0.3378938	0.8105441	0.5940669	0.8236166	0.2811787	0.5825174	0.6940623	0.4695845	0.0019717	0.9077181	0.7452594	0.2960464	0.3666755	0.0109110	0.9182121	0.1857204	0.0701136	1.0096550	1.0336440	0.1796667	0.9913184	1.0739485	0.0048622	0.1856652	0.4708811	0.9350752	0.9606220	1.0109603	0.6079341	0.2753376	0.9857576	0.9315597	0.5109572	0.0861694	0.8618503	0.9803541	0.8273965	0.2895598	0.5356517	0.9242940	0.0742153	0.5585616	0.4727097	1.0553329	0.2903150	0.1650365	0.0395173	0.7798107	0.9050119	0.1668671	0.7106851	0.6108848
0.7811987	0.0055843	0.9645408	0.7878860	0.5625819	0.1216487	0.0876475	0.2270063	0.5879743	0.9919978	0.8100382	0.4675336	0.1922177	0.4023844	0.2952910	0.4977093	1.0711373	0.1545477	0.1515689	0.3668974	1.0412144	0.2378204	0.4373700	0.0905977	0.0863664	0.0426324	0.5383218	0.0955793	0.2581525	1.0566500	0.2163518	0.7404521	0.9088518	0.6455332	0.0465238	0.0747398	0.7436987	0.0655017	0.8316202	0.6808542	0.9395290	0.9522905	0.1570709	0.1273485	0.5016513	0.9508960	1.0386647	0.0407084	0.4169124	0.7652329	0.7188571	0.8911281	0.2075381	0.7271073	0.8461173	0.2108408	0.9959572	0.9116231	0.5106262	0.2608891	0.0939922	0.3719391	0.9153871	0.2408290	1.0912109	1.0621111	0.8907367	0.1016162	0.9209651	1.0213327	0.0279734	0.1615423	1.0793497	1.1389644	0.4263914	1.0193450	0.9717252	0.0384677	0.6596888	0.7538075	0.9685122	0.0032460	0.8313414	0.9786497	0.0144989	0.3215996	0.8047050	0.4532757	0.0651720	0.5827435	0.0978975	1.0536354	0.0700306	0.0489218	0.0080953	0.4346497	0.9923007	0.0385857	1.0773427	0.5477944
0.7362848	0.0150862	0.9428020	0.6401875	0.2478961	0.4996156	0.0005825	0.2259113	0.1514016	0.4486216	0.1514710	0.0508588	0.9365908	0.6109791	0.5528807	0.7304438	1.0198961	0.2959180	0.0454682	0.2122690	0.7513382	0.9708254	1.1966328	1.0431468	0.5554821	0.0304231	0.3039834	0.0935995	0.2073051	0.6844040	0.1877535	0.9414932	0.8364200	0.5595230	0.4395749	0.0475008	0.7609391	0.8306598	0.4480032	0.9790477	0.0892802	0.0367269	0.4182478	0.1298482	0.4477723	0.5034144	0.7753112	0.5093101	0.5520888	0.5967777	0.7701497	0.2868507	0.0076371	0.1027674	0.4835593	0.7031824	1.0135949	0.8665973	0.7489519	0.4852162	0.0375644	0.0054775	1.0733573	0.9518960	1.1687937	0.5746412	0.0443674	0.4850434	1.0462761	1.0686586	0.0751435	0.2417830	0.9368593	0.9720155	0.4362156	0.9715133	0.3314430	0.4494636	1.0071700	0.0227376	0.1499660	0.0018987	0.1701027	0.9751043	0.6942561	0.9465323	1.0043465	0.9493958	0.2227381	0.5178928	0.8235760	0.1393614	0.5396206	0.4753816	0.1879944	0.9097525	1.0139670	0.1299479	0.0212810	1.0231904
0.7201528	0.0044985	1.0687077	0.6226793	0.2348217	0.1524554	0.1780133	1.0269499	0.4987930	0.1728556	0.7901347	0.4671670	0.7426774	0.0010950	0.4171644	0.0633303	0.8267120	0.3520963	0.0933514	0.5782557	0.8867288	0.9007998	1.1041291	0.6045551	0.5252379	0.1423798	0.3729582	0.5081708	0.1363727	1.0639982	0.2626684	0.8498017	0.8596251	0.0459130	0.0230850	0.0721605	0.7815040	0.0382847	1.0107678	0.5707020	1.0235837	1.0025170	0.4980585	0.1021582	0.4848931	1.0072015	1.1253011	0.0416174	0.5003468	0.8657660	0.6947460	0.4952603	0.0049149	0.6702266	0.0312999	0.9432077	0.8276687	0.8904586	0.4965371	0.0046546	0.1019805	0.0828342	0.9176605	0.0107652	1.0944207	0.6833398	0.0544076	0.0090574	0.4917579	1.0008442	0.0574489	0.1991489	1.0463636	0.9747748	0.8489432	0.9648742	1.0172724	0.1532824	1.0254904	0.3539045	0.9663654	0.2243544	0.2973635	0.9845118	0.0147054	0.2573127	0.5224522	0.8965254	0.0871010	0.0558568	0.8891505	1.1200797	0.1313792	0.0802698	0.0314344	0.9985888	1.0203740	0.0839205	0.8300625	0.6336454
