"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.6788406	0.1672666	0.1031592	0.0108497	0.3325223	0.7765202	0.4452826	0.0471881	0.5402552	0.2853796	0.6570192	0.9534903	0.4481028	0.1725618	0.7564028	0.9998763	0.1454622	0.9466675	0.5213950	0.9734613	0.0930259	0.5601552	0.2545049	0.5829307	0.4600290	0.2142184	0.4420326	0.4057898	0.4716175	0.7183062	0.4040736	0.9766495	0.6462610	0.8664404	1.0000000	0.3414570	0.6781149	0.9999993	0.5668176	0.6301593	0.3271611	0.7895513	0.6596601	0.8775308	0.7732404	0.1842177	0.5195670	0.0586100	1.0000000	0.4994882	0.9930665	0.4149783	0.1388803	0.4810749	0.4631826	0.3668149	0.4468017	0.0108393	0.3126755	0.1491352	0.4849080	0.7864337	0.9308974	0.7870117	0.2760838	0.9249766	0.5433410	0.7733432	0.5027800	0.4508280	0.4052903	0.3413645	0.7569592	0.1055609	0.2567770	0.8388696	0.1048528	0.4971871	0.3985420	0.9998933	0.2797097	0.5180538	0.0198774	0.2608107	0.9601428	1.0000000	0.3708499	0.3900717	0.6315060	0.0971020	0.9872392	1.0000000	0.8822321	1.0000000	0.4359265	1.0000000	1.0000000	0.1425159	1.0000000	1.0000000
50.0	0.3709138	0.1842102	0.0786750	0.0120468	0.3715650	0.7767006	0.4142274	0.0530588	0.5631832	0.2853796	0.6570194	0.9534903	0.4481026	0.1725617	0.7564983	0.9998763	0.1454622	0.9466675	0.5213949	0.9734613	0.0930258	0.5601552	0.2545054	0.5829307	0.4600293	0.2142185	0.4420332	0.4057900	0.4754451	0.7183062	0.4040735	0.9766494	0.6462613	0.8664407	1.0000000	0.3414580	0.6781149	0.9999993	0.5668176	0.6301592	0.3271612	0.7895556	0.6596601	0.8775308	0.7732403	0.1842178	0.5195666	0.0586100	1.0000000	0.4994882	0.9930664	0.4149780	0.1388803	0.4810746	0.4631828	0.3668153	0.4468020	0.0108393	0.3126753	0.1491351	0.4849081	0.7864335	0.9308973	0.7870117	0.2760838	0.9249766	0.5433400	0.7733425	0.5027799	0.4508281	0.4052902	0.3413644	0.7569592	0.1055606	0.2567770	0.8388700	0.1048525	0.4971870	0.3985412	0.9998933	0.2797095	0.5180537	0.0198721	0.2511835	0.9610469	1.0000000	0.3708509	0.3900706	0.6315058	0.0971022	0.9872392	1.0000000	0.8822335	1.0000000	0.4359262	1.0000000	1.0000000	0.1425159	1.0000000	1.0000000
100.0	0.3978336	0.2207596	0.0432896	0.0161019	0.4308747	0.7773939	0.3418096	0.0657488	0.6285388	0.2853796	0.6570196	0.9534903	0.4481024	0.1725616	0.7575262	0.9998763	0.1454622	0.9466676	0.5213947	0.9734613	0.0930257	0.5601552	0.2545057	0.5829307	0.4600290	0.2142186	0.4420334	0.4057923	0.5237733	0.7183062	0.4040736	0.9766495	0.6462611	0.8664405	1.0000000	0.3414587	0.6781149	0.9999993	0.5668176	0.6301591	0.3271640	0.7896658	0.6596601	0.8775308	0.7732402	0.1842179	0.5195662	0.0586100	1.0000000	0.4994882	0.9930664	0.4149778	0.1388804	0.4810745	0.4631830	0.3668156	0.4468021	0.0108394	0.3126752	0.1491350	0.4849082	0.7864333	0.9308972	0.7870116	0.2760839	0.9249766	0.5433394	0.7733421	0.5027798	0.4508283	0.4052901	0.3413643	0.7569593	0.1055603	0.2567770	0.8388703	0.1048523	0.4971870	0.3985406	0.9998933	0.2797095	0.5180537	0.0198453	0.1800592	0.9690451	1.0000000	0.3708516	0.3900699	0.6315057	0.0971023	0.9872391	1.0000000	0.8822675	1.0000000	0.4359259	1.0000000	1.0000000	0.1425159	1.0000000	1.0000000
150.0	0.4516460	0.2365651	0.0267414	0.0172944	0.4482289	0.7777381	0.2685048	0.0685701	0.6677473	0.2853796	0.6570195	0.9534903	0.4481022	0.1725614	0.7604269	0.9998763	0.1454623	0.9466676	0.5213943	0.9734613	0.0930256	0.5601552	0.2545056	0.5829307	0.4600229	0.2142186	0.4420335	0.4057940	0.6607156	0.7183062	0.4040739	0.9766496	0.6462598	0.8664396	1.0000000	0.3414592	0.6781149	0.9999993	0.5668176	0.6301589	0.3271903	0.7900987	0.6596601	0.8775308	0.7732401	0.1842179	0.5195660	0.0586100	1.0000000	0.4994882	0.9930664	0.4149776	0.1388804	0.4810743	0.4631831	0.3668158	0.4468023	0.0108393	0.3126751	0.1491350	0.4849083	0.7864332	0.9308971	0.7870117	0.2760839	0.9249766	0.5433390	0.7733418	0.5027799	0.4508285	0.4052901	0.3413644	0.7569593	0.1055602	0.2567770	0.8388705	0.1048521	0.4971869	0.3985402	0.9998933	0.2797094	0.5180536	0.0198259	0.0990604	0.9809692	1.0000000	0.3708520	0.3900693	0.6315056	0.0971024	0.9872391	1.0000000	0.8824182	1.0000000	0.4359258	1.0000000	1.0000000	0.1425159	1.0000000	1.0000000
200.0	0.4790984	0.2332169	0.0230012	0.0144887	0.4411905	0.7775638	0.2137333	0.0631607	0.6829800	0.2853796	0.6570191	0.9534903	0.4481020	0.1725613	0.7651100	0.9998763	0.1454623	0.9466677	0.5213938	0.9734613	0.0930256	0.5601552	0.2545050	0.5829307	0.4599864	0.2142187	0.4420336	0.4057947	0.8110413	0.7183062	0.4040742	0.9766498	0.6462582	0.8664388	1.0000000	0.3414595	0.6781149	0.9999993	0.5668176	0.6301587	0.3272728	0.7907392	0.6596601	0.8775308	0.7732401	0.1842180	0.5195659	0.0586100	1.0000000	0.4994882	0.9930664	0.4149775	0.1388804	0.4810742	0.4631833	0.3668159	0.4468025	0.0108393	0.3126750	0.1491350	0.4849084	0.7864331	0.9308971	0.7870118	0.2760839	0.9249766	0.5433387	0.7733416	0.5027801	0.4508286	0.4052904	0.3413646	0.7569593	0.1055601	0.2567770	0.8388707	0.1048520	0.4971869	0.3985398	0.9998933	0.2797093	0.5180536	0.0198175	0.0548403	0.9893741	1.0000000	0.3708524	0.3900689	0.6315057	0.0971025	0.9872391	1.0000000	0.8826737	1.0000000	0.4359257	1.0000000	1.0000000	0.1425159	1.0000000	1.0000000
250.0	0.4875745	0.2258245	0.0245375	0.0116966	0.4308627	0.7773451	0.1838810	0.0573793	0.6880522	0.2853796	0.6570186	0.9534903	0.4481018	0.1725612	0.7691333	0.9998763	0.1454624	0.9466678	0.5213933	0.9734613	0.0930256	0.5601552	0.2545040	0.5829307	0.4598843	0.2142188	0.4420336	0.4057949	0.8976740	0.7183062	0.4040745	0.9766499	0.6462570	0.8664383	1.0000000	0.3414598	0.6781149	0.9999993	0.5668177	0.6301586	0.3274092	0.7913116	0.6596601	0.8775308	0.7732401	0.1842180	0.5195657	0.0586100	1.0000000	0.4994882	0.9930664	0.4149775	0.1388805	0.4810741	0.4631834	0.3668160	0.4468027	0.0108393	0.3126748	0.1491349	0.4849085	0.7864331	0.9308971	0.7870120	0.2760839	0.9249766	0.5433385	0.7733415	0.5027804	0.4508287	0.4052908	0.3413648	0.7569593	0.1055600	0.2567770	0.8388708	0.1048519	0.4971869	0.3985396	0.9998933	0.2797093	0.5180535	0.0198141	0.0360678	0.9938363	1.0000000	0.3708526	0.3900686	0.6315059	0.0971025	0.9872391	1.0000000	0.8829363	1.0000000	0.4359256	1.0000000	1.0000000	0.1425159	1.0000000	1.0000000
300.0	0.4887086	0.2207400	0.0268326	0.0100805	0.4245084	0.7772203	0.1727541	0.0538845	0.6894591	0.2853796	0.6570181	0.9534903	0.4481018	0.1725612	0.7705289	0.9998763	0.1454624	0.9466679	0.5213929	0.9734613	0.0930256	0.5601552	0.2545030	0.5829306	0.4597066	0.2142188	0.4420336	0.4057950	0.9321893	0.7183062	0.4040747	0.9766500	0.6462563	0.8664380	1.0000000	0.3414599	0.6781149	0.9999993	0.5668177	0.6301585	0.3275628	0.7917036	0.6596601	0.8775308	0.7732401	0.1842180	0.5195657	0.0586099	1.0000000	0.4994882	0.9930664	0.4149775	0.1388805	0.4810740	0.4631836	0.3668161	0.4468028	0.0108392	0.3126747	0.1491349	0.4849086	0.7864330	0.9308970	0.7870121	0.2760839	0.9249766	0.5433383	0.7733414	0.5027807	0.4508288	0.4052911	0.3413650	0.7569594	0.1055599	0.2567770	0.8388708	0.1048518	0.4971869	0.3985395	0.9998933	0.2797093	0.5180535	0.0198128	0.0288445	0.9959562	1.0000000	0.3708528	0.3900685	0.6315064	0.0971026	0.9872391	1.0000000	0.8831412	1.0000000	0.4359255	1.0000000	1.0000000	0.1425159	1.0000000	1.0000000
350.0	0.4876506	0.2183462	0.0283375	0.0093623	0.4218802	0.7771680	0.1712741	0.0523451	0.6896307	0.2853796	0.6570178	0.9534903	0.4481017	0.1725611	0.7701800	0.9998763	0.1454624	0.9466680	0.5213926	0.9734613	0.0930256	0.5601552	0.2545023	0.5829306	0.4594811	0.2142189	0.4420336	0.4057950	0.9401254	0.7183062	0.4040748	0.9766500	0.6462559	0.8664379	1.0000000	0.3414601	0.6781149	0.9999994	0.5668178	0.6301584	0.3276986	0.7919337	0.6596601	0.8775308	0.7732400	0.1842180	0.5195656	0.0586099	1.0000000	0.4994882	0.9930664	0.4149775	0.1388806	0.4810740	0.4631837	0.3668161	0.4468029	0.0108392	0.3126746	0.1491349	0.4849087	0.7864330	0.9308970	0.7870122	0.2760839	0.9249766	0.5433382	0.7733414	0.5027809	0.4508288	0.4052913	0.3413651	0.7569594	0.1055599	0.2567770	0.8388709	0.1048518	0.4971869	0.3985394	0.9998933	0.2797092	0.5180535	0.0198123	0.0263671	0.9968733	1.0000000	0.3708529	0.3900683	0.6315068	0.0971026	0.9872391	1.0000000	0.8832768	1.0000000	0.4359255	1.0000000	1.0000000	0.1425159	1.0000000	1.0000000
400.0	0.4864063	0.2175858	0.0289986	0.0091278	0.4212726	0.7771531	0.1730289	0.0518950	0.6894629	0.2853796	0.6570176	0.9534903	0.4481017	0.1725611	0.7694521	0.9998763	0.1454625	0.9466680	0.5213925	0.9734613	0.0930256	0.5601552	0.2545019	0.5829306	0.4592510	0.2142189	0.4420336	0.4057950	0.9379407	0.7183062	0.4040748	0.9766500	0.6462557	0.8664379	1.0000000	0.3414601	0.6781149	0.9999994	0.5668178	0.6301584	0.3278007	0.7920553	0.6596601	0.8775309	0.7732400	0.1842180	0.5195656	0.0586099	1.0000000	0.4994882	0.9930664	0.4149775	0.1388806	0.4810740	0.4631838	0.3668161	0.4468030	0.0108392	0.3126745	0.1491349	0.4849088	0.7864330	0.9308970	0.7870123	0.2760839	0.9249766	0.5433381	0.7733413	0.5027810	0.4508288	0.4052914	0.3413652	0.7569594	0.1055599	0.2567769	0.8388709	0.1048518	0.4971869	0.3985393	0.9998933	0.2797092	0.5180535	0.0198121	0.0257143	0.9972218	1.0000000	0.3708530	0.3900682	0.6315072	0.0971026	0.9872391	1.0000000	0.8833568	1.0000000	0.4359254	1.0000000	1.0000000	0.1425159	1.0000000	1.0000000
