"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.6742859	0.0151527	0.0957412	0.0440003	0.2444104	0.6725365	0.5076370	0.0216595	0.6122121	0.2858304	0.8265466	0.6826976	0.6673100	0.1163461	0.4972838	0.9223719	0.0070599	0.3594591	0.8262376	0.9778583	0.5308968	0.5029659	0.2265907	0.5829303	0.5629712	0.1979285	0.3922489	0.3801892	0.4052725	0.9999625	0.8840631	0.9888650	0.6762672	0.9002285	0.9973225	0.7003658	0.9775373	0.9999997	0.5769726	0.6746843	0.3127649	0.8203917	0.6115380	0.8728996	0.7530895	0.0839239	0.5014058	0.0586099	0.7516952	0.7372031	0.9962940	0.3695510	0.0678447	0.7147940	0.3357257	0.3771011	0.3637073	0.4998427	0.5463613	0.3077392	0.4554111	0.6868762	0.9825405	0.8725758	0.2767387	0.6551814	0.8661657	0.7112634	0.2114720	0.1578728	0.7643450	0.5803164	0.8007190	0.0013674	0.5573136	0.8076653	0.1175455	0.0800035	0.5745586	0.9999172	0.4890082	0.5781481	0.0000414	0.6133654	0.9945005	0.9220494	0.4060177	0.4638564	0.9891892	0.0542099	0.9856537	0.7474960	0.8565834	0.9200952	0.5151058	1.0000000	1.0000000	0.1425159	1.0000000	0.4552364
0.1555202	0.2681461	0.0002173	0.2937993	0.4064927	0.7317599	0.0014313	0.4432653	0.8108759	0.2841372	0.7449519	0.5188025	0.2687752	0.3517444	0.8579555	0.9994870	0.1111281	0.6989461	0.0783974	0.9749875	0.0371924	0.6504204	0.1577505	0.6099845	0.3703233	0.1422534	0.6866958	0.3324370	0.7671943	0.9999299	0.6515140	0.9686343	0.5889704	0.8983578	1.0000000	0.4132653	0.7949844	0.9666074	0.5336482	0.8908953	0.9051680	0.6972309	0.5930373	0.8582756	0.7557803	0.2010097	0.7829561	0.0264716	0.9417538	0.1945186	0.8873747	0.2822298	0.0142820	0.8267276	0.2789193	0.3607858	0.1563589	0.5931019	0.5031957	0.1061201	0.2689848	0.2910285	0.9191765	0.7328535	0.2923618	0.9435911	0.7656115	0.8234379	0.6680603	0.3693476	0.8407468	0.5345981	0.7985689	0.0882598	0.5829355	0.9427487	0.0611454	0.4383722	0.5403164	0.9999372	0.6461441	0.4165762	0.0000000	0.0000002	0.9993751	0.8289210	0.3757980	0.5278547	0.9879701	0.1048248	0.9921114	0.8488368	0.9506678	1.0000000	0.2293959	1.0000000	1.0000000	0.1267165	0.4717576	0.9412143
0.1986591	0.3587831	0.2292692	0.9440160	0.5838490	0.8621915	0.5940956	0.6102628	0.3916115	0.2851826	0.6744049	0.9658581	0.5193906	0.1456206	0.6320237	0.9223317	0.1321487	0.9040765	0.8140115	0.8062862	0.4836976	0.5029659	0.7490315	0.5429828	0.6226765	0.1653008	0.7429234	0.4048091	0.0061301	0.7027107	0.6424396	0.9766227	0.6476205	0.8612398	0.9094860	0.2022021	0.6175010	0.8763648	0.5688941	0.7859040	0.3309871	0.8840830	0.5376920	0.8212888	0.7790926	0.0997251	0.7022183	0.0786961	0.8170436	0.3337136	0.9985507	0.4213985	0.0675986	0.5564353	0.2540122	0.2585721	0.3052717	0.2754318	0.4265509	0.1986596	0.3916663	0.8982379	0.9762389	0.9561011	0.2676577	0.9022640	0.3027036	0.7748902	0.8023284	0.4516584	0.3095218	0.4960601	0.7582025	0.2347473	0.2693160	0.7045489	0.1759792	0.5045265	0.5849084	0.4673303	0.1737557	0.6947991	0.2690190	0.9558943	0.6907700	1.0000000	0.1502454	0.4056803	0.3401995	0.0180493	0.9897216	0.8564031	0.8175709	0.5525107	0.6805001	0.7560037	1.0000000	0.1425159	0.2467683	1.0000000
0.0774930	0.4565057	0.5270972	0.7072522	0.6311904	0.8971983	0.5193264	0.5322294	0.8241838	0.0008748	0.4396272	0.5627719	0.6252187	0.1624050	0.4881094	0.9999909	0.1129993	0.4510600	0.8325952	0.9416898	0.0137796	0.3922346	0.0811702	0.3792585	0.5879536	0.2346394	0.4923877	0.3477815	0.4987711	0.9999261	0.6790269	0.9710517	0.4687236	0.9108380	0.5590212	0.6433693	0.3327061	0.8831100	0.5270375	0.5819187	0.3100119	0.8059138	0.6112742	0.7710251	0.5912313	0.1652074	0.4574477	0.0385515	0.9132410	0.5800587	0.8761004	0.4416356	0.1286747	0.5397402	0.2758876	0.5144576	0.5031592	0.0164547	0.7296490	0.1110083	0.3389259	0.8053787	0.9426222	0.7919836	0.2721601	0.8817952	0.5179346	0.6142624	0.7355389	0.4312149	0.3220924	0.7951030	0.4931287	0.0871556	0.3264926	0.8308442	0.1079274	0.4736596	0.4065967	0.9999553	0.1559432	0.4838505	0.9132405	0.9577998	0.9676490	0.7610383	0.3486532	0.1819766	0.6747455	0.2801180	0.9709688	0.9327342	0.9428187	0.6334108	0.6906592	1.0000000	0.8352616	0.1960572	0.7827581	1.0000000
0.7367696	0.0716609	0.0905258	0.0087053	0.3258325	0.1631067	0.5963614	0.2745246	0.7266409	0.2163274	0.7811700	0.8582250	0.2743618	0.0596177	0.9076375	0.9990251	0.2414091	0.8640217	0.4707329	0.9999995	0.7156659	0.4287788	0.7292309	0.6166184	0.0710986	0.2397356	0.3870323	0.1425828	0.3479833	0.9513470	0.8691175	0.9162788	0.9438192	0.6358743	0.9080457	0.7344577	0.9693034	0.9586014	0.4142810	0.5709615	0.8152349	0.8556934	0.6909485	0.8436701	0.6552104	0.0954361	0.1712804	0.0328670	0.9172770	0.5761833	0.9911707	0.2865811	0.1456417	0.8241349	0.5220263	0.4820126	0.3827254	0.0001022	0.2527298	0.2729251	0.2583419	0.5875201	0.9779636	0.3792085	0.3476667	0.9199698	0.7327416	0.6711683	0.6318372	0.4670279	0.6542945	0.5748597	0.7657909	0.2417914	0.2836003	0.8219730	0.1115275	0.4289430	0.3431128	0.9998955	0.1267038	0.6100782	0.0000288	0.1661064	0.8385090	0.6381950	0.4094705	0.2130315	0.9841727	0.1300780	0.9784935	0.9125979	0.8505191	0.8746435	0.5661084	1.0000000	0.8869231	0.0392042	1.0000000	0.8159593
0.7074620	0.3066332	0.0817634	0.2653396	0.5673397	0.2790696	0.3961838	0.3341007	0.1844443	0.2928033	0.5137646	0.5807674	0.5065148	0.2498310	0.6978693	0.9223235	0.1340867	0.7682205	0.6089734	0.6552528	0.0642504	0.0968117	0.0391854	0.2661333	0.0756904	0.2223422	0.3835996	0.3830500	0.5662317	0.7424099	0.7748880	0.9838626	0.3613538	0.8726631	0.6367288	0.0874078	0.4290978	0.8610759	0.5768884	0.6101229	0.4209616	0.7178536	0.5355222	0.7442169	0.5313233	0.6199518	0.8689139	0.0821305	1.0000000	0.2071714	0.8793717	0.4953675	0.1594350	0.8137123	0.4824059	0.2412677	0.3643774	0.0012927	0.2849066	0.4557358	0.4969923	0.4425827	0.6497095	0.4314891	0.2104842	0.9894778	0.9455675	0.9115482	0.5648859	0.2220195	0.7516395	0.5787693	0.8173367	0.0052974	0.6954603	0.6872844	0.1891552	0.1665100	0.5726347	0.9999482	0.1437686	0.1109171	0.3679669	0.4707397	0.9983904	1.0000000	0.2290668	0.6369336	0.9539389	0.4205472	0.9604500	1.0000000	0.9198595	0.7975659	0.0016202	0.4998186	0.4165960	0.5387034	1.0000000	1.0000000
0.5956938	0.1858043	0.0682513	0.0005594	0.5797492	0.0055396	0.5558494	0.2856631	0.1385041	0.0796086	0.7027938	0.6994676	0.4419545	0.4789900	0.6944026	0.9232599	0.1285571	0.8317722	0.4595554	0.8805172	0.0642365	0.7617844	0.0486731	0.9995296	0.4859838	0.2462484	0.3898848	0.2848494	0.4603832	0.9167355	0.6401169	0.9322812	0.0000000	0.8629430	1.0000000	0.4835646	0.6564584	0.1570971	0.6546660	0.5575004	0.6268821	0.3826404	0.0175824	0.0001362	0.7037873	0.9972922	0.1388372	0.3974508	0.8328843	0.6585176	0.8720864	0.4292851	0.5779076	0.7450643	0.5363054	0.4406261	0.5338252	0.0004284	0.2417492	0.7502412	0.5385209	0.5241056	0.4809800	0.3659551	0.1293759	0.9980626	0.2187832	0.5704511	0.3066404	0.6163869	0.8473178	0.5746451	0.7708515	0.0023677	0.5598621	0.8834278	0.0082927	0.3144494	0.3563786	0.9999958	0.3892159	0.5293271	0.0000049	0.2281027	0.8162060	0.8745460	0.3506711	0.4358961	0.6352076	0.0659786	0.9839149	1.0000000	0.8758088	0.9973714	0.4306124	0.7532984	1.0000000	0.1425159	1.0000000	0.8031941
0.7212755	0.1984116	0.0787319	0.1587794	0.5055112	0.2103927	0.4602994	0.1944435	0.6942638	0.2001896	0.1057527	0.9930974	0.3355670	0.0758935	0.5628125	0.9993462	0.0513438	0.9840091	0.1936345	0.5304075	0.1068078	0.4839563	0.6556202	0.7080859	0.1176769	0.1073921	0.6282585	0.0377384	0.0485237	0.6455529	0.2611544	0.2645948	0.9786170	0.9991763	0.9990056	0.5417271	0.8812708	0.8268720	0.3537644	0.9644133	0.4861787	0.9576122	0.6522459	0.6969945	0.7472234	0.1481293	0.5241283	0.0908538	1.0000000	0.4528338	0.9998523	0.3142497	0.1022265	0.6161118	0.2053043	0.3662143	0.1443923	0.4121047	0.6402096	0.2311612	0.2555444	0.8295630	0.7527352	0.2541653	0.6200767	0.9414227	0.3710083	0.7802034	0.1219966	0.3918384	0.4099025	0.7372106	0.8442082	0.1523759	0.2674026	0.8096971	0.1167033	0.4973854	0.5293229	0.9991542	0.1294965	0.7069859	0.0000120	0.1069063	0.6966572	0.9237484	0.3701909	0.3674460	0.9145472	0.0465296	0.9853267	1.0000000	0.9334173	0.7104823	0.6943934	1.0000000	0.7286492	0.2475046	0.7629304	1.0000000
0.7241589	0.1458770	0.0931743	0.3439210	0.4806438	0.2894576	0.6499654	0.0379363	0.2436290	0.2935422	0.7937991	0.8269535	0.4137615	0.1293805	0.5715095	0.9998688	0.0269800	0.9355867	0.7494766	0.5970754	0.0000094	0.6872454	0.2842540	0.8789837	0.8710170	0.1921028	0.5434383	0.3829286	0.3543525	0.8021047	0.3998555	0.9521242	0.6729999	0.8818406	1.0000000	0.3903721	0.9747387	0.6192467	0.3524610	0.6920048	0.2524897	0.5337842	0.3385101	0.8181585	0.6818041	0.7325808	0.3046508	0.0754136	1.0000000	0.4994882	0.9984723	0.4028985	0.0503097	0.7184469	0.2237475	0.4407873	0.2600584	0.0094876	0.5870147	0.0306451	0.4445400	0.3620188	0.5721322	0.4634164	0.3442188	0.6197936	0.2927498	0.6304294	0.1623993	0.4175825	0.3923991	0.4955180	0.8175404	0.0036229	0.3653630	0.8088858	0.1170616	0.2669835	0.2604477	0.9997899	0.0894366	0.2271430	0.0500773	0.2928110	0.8102962	1.0000000	0.4483792	0.5709948	0.7451710	0.1549895	0.9823479	1.0000000	0.9999906	1.0000000	0.6572291	1.0000000	1.0000000	0.1425159	0.5878853	1.0000000
0.7348893	0.0276597	0.0909262	0.3223760	0.6445731	0.3815903	0.7438261	0.0071754	0.5158491	0.0811370	0.2939768	0.8338149	0.4273513	0.6110428	0.8085683	0.9999635	0.1508755	0.8151403	0.7280430	0.9804767	0.0555634	0.1697351	0.2103446	0.5829308	0.3179853	0.1115416	0.2254204	0.4065367	0.6234964	0.6584461	0.5230277	0.9724441	0.5455956	0.7425394	1.0000000	0.5458523	0.6977492	0.9999991	0.3721741	0.5959705	0.2944637	0.7579663	0.6115377	0.9438158	0.7986649	0.1676634	0.2240565	0.0586100	0.8767304	0.6154845	0.8778776	0.4154541	0.0038367	0.6987868	0.4041284	0.3012115	0.4862126	0.4021557	0.3998673	0.0975242	0.4799961	0.8071339	0.9410491	0.3450180	0.1382898	0.6613459	0.5350639	0.8562112	0.4851017	0.2828516	0.7197290	0.6408082	0.7073598	0.0386829	0.2806424	0.8207681	0.1010637	0.5017609	0.5149817	0.9482481	0.1546360	0.4752266	0.0000296	0.1700503	0.8937034	0.7655383	0.2334633	0.3708586	0.5750204	0.0876961	0.9890298	0.8325843	0.8764149	0.7940638	0.3693525	0.7298446	0.5337859	0.3982816	1.0000000	1.0000000
