"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.6788006	0.1672839	0.1031013	0.0108610	0.3325939	0.7765204	0.4452579	0.0472020	0.5401694	0.2853796	0.6570189	0.9534903	0.4481027	0.1725618	0.7564014	0.9998763	0.1454621	0.9466675	0.5213954	0.9734613	0.0930262	0.5601552	0.2545041	0.5829307	0.4600290	0.2142182	0.4420321	0.4057900	0.4715401	0.7183062	0.4040736	0.9766495	0.6462604	0.8664402	1.0000000	0.3414560	0.6781150	0.9999993	0.5668176	0.6301594	0.3271612	0.7895506	0.6596601	0.8775308	0.7732409	0.1842175	0.5195676	0.0586100	1.0000000	0.4994882	0.9930665	0.4149784	0.1388799	0.4810751	0.4631820	0.3668142	0.4468012	0.0108393	0.3126761	0.1491353	0.4849079	0.7864339	0.9308976	0.7870118	0.2760838	0.9249767	0.5433441	0.7733447	0.5027800	0.4508281	0.4052905	0.3413646	0.7569590	0.1055614	0.2567769	0.8388689	0.1048534	0.4971872	0.3985427	0.9998933	0.2797098	0.5180539	0.0198776	0.2609889	0.9601242	1.0000000	0.3708492	0.3900728	0.6315059	0.0971016	0.9872392	1.0000000	0.8822320	1.0000000	0.4359268	1.0000000	1.0000000	0.1425159	1.0000000	1.0000000
50.0	0.5996709	0.1688110	0.2209013	0.0135263	0.3348683	0.7765282	0.4559639	0.0525371	0.5844682	0.2853879	0.6573534	0.9534902	0.4481027	0.2667838	0.7562508	0.9998763	0.1454622	0.9466675	0.5213951	0.9734661	0.0697126	0.5601552	0.2549392	0.4620967	0.4428383	0.2142184	0.5750932	0.2844676	0.4315976	0.7918096	0.3984484	0.9780159	0.6579517	0.5085670	1.0000000	0.3390440	0.6781149	0.9999993	0.6518550	0.6301593	0.4478799	0.7895111	0.6596601	0.9006818	0.7732406	0.1721025	0.5195670	0.0586100	1.0000000	0.3872560	0.9930665	0.4149782	0.1848852	0.6371251	0.4631826	0.3668148	0.4468017	0.1674841	0.3126756	0.1598707	0.4849081	0.7877746	0.9303080	0.7868226	0.1928567	0.9269283	0.5433421	0.7729959	0.5025147	0.4310732	0.5456284	0.5816247	0.7569591	0.1060021	0.2567770	0.8388695	0.0818727	0.4971871	0.3995871	0.9999062	0.2790446	0.7183332	0.2130819	0.3145852	0.9535426	1.0000000	0.3708503	0.3900714	0.5809311	0.0971019	0.9872392	1.0000000	0.9165827	1.0000000	0.4843232	0.8052963	1.0000000	0.1189140	1.0000000	1.0000000
100.0	0.3661633	0.1944980	0.3414884	0.0493619	0.3715889	0.7767238	0.4855625	0.0927135	0.6276516	0.2855729	0.6642543	0.9534771	0.4481026	0.3816823	0.7564243	0.9998763	0.1454622	0.9466676	0.5213949	0.9735130	0.0523317	0.5601552	0.2654224	0.3050385	0.3556193	0.2142185	0.6746585	0.1553922	0.3636413	0.8834038	0.3606756	0.9622024	0.7276160	0.3000269	1.0000000	0.3218351	0.6781149	0.9999993	0.6886753	0.6301592	0.5734174	0.7887482	0.6596601	0.9307661	0.7732404	0.1364096	0.5195665	0.0586100	1.0000000	0.2831207	0.9930664	0.4149780	0.2281308	0.7544441	0.4631828	0.3668152	0.4468020	0.3037324	0.3126754	0.1947578	0.4849082	0.8052834	0.9367720	0.7821939	0.0992497	0.9392870	0.5433408	0.7668202	0.4955598	0.4448449	0.6815099	0.8086201	0.7569592	0.1139482	0.2567770	0.8388699	0.0553424	0.4971870	0.4137571	0.9999478	0.2770036	0.8168022	0.4791174	0.5294718	0.9215995	1.0000000	0.3708512	0.3900704	0.5802896	0.0971021	0.9872392	1.0000000	0.9500416	1.0000000	0.6323193	0.5788407	1.0000000	0.0969286	1.0000000	1.0000000
150.0	0.2131537	0.2600666	0.3935237	0.1571308	0.4483221	0.7801570	0.5034715	0.1735053	0.7238701	0.2861259	0.6849915	0.9533813	0.4481024	0.4521471	0.7606075	0.9998763	0.1454622	0.9466676	0.5213946	0.9735721	0.0803258	0.5601552	0.3036618	0.2009970	0.2458336	0.2142186	0.7113151	0.0873995	0.3031607	0.9393251	0.2885020	0.9022160	0.8255391	0.2488643	1.0000000	0.2888304	0.6781149	0.9999993	0.6861299	0.6301590	0.6408119	0.7866093	0.6596601	0.9505445	0.7732403	0.1083441	0.5195662	0.0586100	1.0000000	0.2363709	0.9930664	0.4149778	0.2481966	0.8222396	0.4631830	0.3668155	0.4468022	0.3695729	0.3126752	0.2215485	0.4849082	0.8413522	0.9507832	0.7609755	0.0468557	0.9578156	0.5433399	0.7504875	0.4603212	0.5239140	0.7318741	0.9139837	0.7569592	0.1377798	0.2567770	0.8388703	0.0400902	0.4971870	0.4421658	0.9999782	0.2754247	0.8387084	0.6694195	0.7307328	0.8827796	1.0000000	0.3708518	0.3900697	0.6075207	0.0971023	0.9872391	1.0000000	0.9643568	1.0000000	0.7443924	0.4476189	1.0000000	0.0866707	1.0000000	1.0000000
200.0	0.1471891	0.3299715	0.4121061	0.3345056	0.5148858	0.8023352	0.5132673	0.2713967	0.8160243	0.2868407	0.7117550	0.9531434	0.4481022	0.4880928	0.7739793	0.9998763	0.1454623	0.9466677	0.5213942	0.9736068	0.1628204	0.5601552	0.3641472	0.1432916	0.1592881	0.2142187	0.7229517	0.0575507	0.2283617	0.9528624	0.2087032	0.7901238	0.9032489	0.2396605	1.0000000	0.2528460	0.6781149	0.9999994	0.6824010	0.6301589	0.6720054	0.7837642	0.6596601	0.9613456	0.7732404	0.0936141	0.5195660	0.0586099	1.0000000	0.2190354	0.9930664	0.4149776	0.2560385	0.8540857	0.4631832	0.3668157	0.4468023	0.4154792	0.3126751	0.2340185	0.4849084	0.8761312	0.9638302	0.7090663	0.0227172	0.9739319	0.5433394	0.7309609	0.3700445	0.6356956	0.7272910	0.9543070	0.7569593	0.1711559	0.2567770	0.8388705	0.0328252	0.4971869	0.4704223	0.9999921	0.2746299	0.8427984	0.7853732	0.8559501	0.8522305	1.0000000	0.3708522	0.3900692	0.6278616	0.0971024	0.9872391	1.0000000	0.9680360	1.0000000	0.7999727	0.3846459	1.0000000	0.0825774	1.0000000	1.0000000
250.0	0.1222187	0.3755172	0.4185450	0.4880215	0.5535162	0.8411601	0.5192458	0.3528702	0.8727730	0.2875218	0.7334307	0.9528057	0.4481020	0.5049211	0.7940821	0.9998763	0.1454623	0.9466678	0.5213937	0.9736218	0.2585146	0.5601552	0.4249440	0.1137516	0.1038556	0.2142187	0.7264601	0.0454867	0.1479401	0.9107344	0.1469770	0.6705441	0.9503166	0.2384729	1.0000000	0.2247499	0.6781149	0.9999994	0.6807526	0.6301587	0.6854675	0.7811306	0.6596602	0.9667479	0.7732406	0.0871632	0.5195659	0.0586099	1.0000000	0.2131598	0.9930664	0.4149775	0.2588908	0.8625265	0.4631833	0.3668157	0.4468025	0.4719718	0.3126749	0.2386033	0.4849085	0.8989101	0.9722226	0.6306024	0.0132028	0.9849783	0.5433390	0.7149669	0.2439393	0.7364247	0.7052657	0.9677816	0.7569593	0.2024956	0.2567770	0.8388706	0.0296600	0.4971869	0.4964196	0.9999973	0.2743263	0.8435109	0.8506680	0.9222005	0.8323562	1.0000000	0.3708524	0.3900689	0.6368806	0.0971024	0.9872391	1.0000000	0.9678726	1.0000000	0.8231466	0.3570175	1.0000000	0.0810377	1.0000000	1.0000000
300.0	0.1131896	0.3983369	0.4207792	0.5855379	0.5720171	0.8677992	0.5227812	0.4043929	0.9023222	0.2881945	0.7455905	0.9524360	0.4481019	0.5124230	0.8139986	0.9998763	0.1454624	0.9466679	0.5213933	0.9736277	0.3320828	0.5601552	0.4718536	0.0992773	0.0721477	0.2142188	0.7274963	0.0408314	0.0873250	0.8306512	0.1091588	0.5855548	0.9750271	0.2384502	1.0000000	0.2070272	0.6781149	0.9999994	0.6801639	0.6301586	0.6909274	0.7791576	0.6596602	0.9693154	0.7732408	0.0846102	0.5195658	0.0586099	1.0000000	0.2112696	0.9930664	0.4149775	0.2598919	0.8601863	0.4631835	0.3668157	0.4468027	0.5236897	0.3126748	0.2400759	0.4849086	0.9108538	0.9766485	0.5637619	0.0109815	0.9917079	0.5433387	0.7042738	0.1417175	0.8059625	0.6872191	0.9714693	0.7569593	0.2259547	0.2567770	0.8388707	0.0283509	0.4971869	0.5241876	0.9999991	0.2742597	0.8436310	0.8855466	0.9543936	0.8207361	1.0000000	0.3708526	0.3900687	0.6384121	0.0971024	0.9872391	1.0000000	0.9669175	1.0000000	0.8320149	0.3455171	1.0000000	0.0804735	1.0000000	1.0000000
350.0	0.1099807	0.4083100	0.4215605	0.6394965	0.5800265	0.8753876	0.5247251	0.4317899	0.9165809	0.2889426	0.7494063	0.9520519	0.4481018	0.5156650	0.8302034	0.9998763	0.1454624	0.9466680	0.5213929	0.9736298	0.3779040	0.5601552	0.5026576	0.0923692	0.0552307	0.2142188	0.7277998	0.0390864	0.0496009	0.7517754	0.0891561	0.5385073	0.9869595	0.2385116	1.0000000	0.1973159	0.6781149	0.9999994	0.6799706	0.6301585	0.6929597	0.7778702	0.6596602	0.9704958	0.7732410	0.0836622	0.5195659	0.0586099	1.0000000	0.2106819	0.9930664	0.4149775	0.2602366	0.8554081	0.4631836	0.3668156	0.4468028	0.5547456	0.3126747	0.2405096	0.4849087	0.9163071	0.9787176	0.5087711	0.0124118	0.9955475	0.5433386	0.6979513	0.0833640	0.8451719	0.6770741	0.9720450	0.7569593	0.2412528	0.2567770	0.8388707	0.0278276	0.4971869	0.5504678	0.9999997	0.2742817	0.8436509	0.9034696	0.9692417	0.8144001	1.0000000	0.3708526	0.3900687	0.6367171	0.0971024	0.9872391	1.0000000	0.9661255	1.0000000	0.8352570	0.3408928	1.0000000	0.0802691	1.0000000	1.0000000
400.0	0.1088475	0.4123561	0.4218358	0.6672582	0.5832980	0.8688516	0.5257273	0.4448644	0.9231964	0.2899489	0.7460235	0.9516268	0.4481017	0.5170369	0.8430106	0.9998763	0.1454624	0.9466680	0.5213927	0.9736305	0.4032760	0.5601552	0.5210002	0.0891269	0.0466200	0.2142189	0.7278884	0.0384448	0.0283787	0.6939633	0.0795316	0.5160584	0.9924219	0.2385450	1.0000000	0.1924835	0.6781149	0.9999994	0.6799096	0.6301584	0.6936088	0.7771076	0.6596602	0.9710260	0.7732411	0.0833250	0.5195659	0.0586099	1.0000000	0.2105034	0.9930664	0.4149775	0.2603540	0.8515772	0.4631837	0.3668155	0.4468030	0.5696036	0.3126746	0.2406300	0.4849087	0.9185779	0.9796098	0.4472690	0.0161748	0.9976515	0.5433385	0.6945056	0.0558007	0.8621131	0.6722981	0.9718521	0.7569594	0.2503677	0.2567770	0.8388707	0.0276234	0.4971869	0.5700173	0.9999999	0.2743204	0.8436542	0.9124113	0.9758523	0.8111152	1.0000000	0.3708526	0.3900687	0.6344632	0.0971023	0.9872391	1.0000000	0.9656373	1.0000000	0.8364130	0.3390782	1.0000000	0.0801956	1.0000000	1.0000000
