"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.6788406	0.1672666	0.1031592	0.0108497	0.3325223	0.7765202	0.4452826	0.0471881	0.5402552	0.2853796	0.6570192	0.9534903	0.4481028	0.1725618	0.7564028	0.9998763	0.1454622	0.9466675	0.5213950	0.9734613	0.0930259	0.5601552	0.2545049	0.5829307	0.4600290	0.2142184	0.4420326	0.4057898	0.4716175	0.7183062	0.4040736	0.9766495	0.6462610	0.8664404	1.0000000	0.3414570	0.6781149	0.9999993	0.5668176	0.6301593	0.3271611	0.7895513	0.6596601	0.8775308	0.7732404	0.1842177	0.5195670	0.0586100	1.0000000	0.4994882	0.9930665	0.4149783	0.1388803	0.4810749	0.4631826	0.3668149	0.4468017	0.0108393	0.3126755	0.1491352	0.4849080	0.7864337	0.9308974	0.7870117	0.2760838	0.9249766	0.5433410	0.7733432	0.5027800	0.4508280	0.4052903	0.3413645	0.7569592	0.1055609	0.2567770	0.8388696	0.1048528	0.4971871	0.3985420	0.9998933	0.2797097	0.5180538	0.0198774	0.2608107	0.9601428	1.0000000	0.3708499	0.3900717	0.6315060	0.0971020	0.9872392	1.0000000	0.8822321	1.0000000	0.4359265	1.0000000	1.0000000	0.1425159	1.0000000	1.0000000
50.0	0.4354884	0.1716726	0.3475321	0.0279550	0.3441750	0.7765516	0.4767394	0.0640708	0.6306947	0.2854238	0.6588726	0.9534895	0.4481026	0.4073645	0.7558787	0.9998763	0.1454622	0.9466675	0.5213949	0.9734764	0.0345964	0.5601552	0.2573123	0.3112911	0.3944550	0.2142185	0.6447432	0.1637775	0.3473718	0.9131478	0.3883606	0.9757240	0.6929861	0.3237314	1.0000000	0.3333984	0.6781149	0.9999993	0.7003603	0.6301592	0.5369298	0.7893855	0.6596601	0.9328442	0.7732403	0.1486625	0.5195666	0.0586100	1.0000000	0.2901795	0.9930664	0.4149780	0.2361092	0.6775484	0.4631828	0.3668153	0.4468020	0.3477670	0.3126753	0.1778606	0.4849081	0.7914314	0.9312393	0.7862735	0.1046307	0.9359933	0.5433400	0.7711882	0.5017045	0.4133309	0.6958936	0.8506107	0.7569592	0.1080703	0.2567770	0.8388700	0.0523216	0.4971870	0.4023486	0.9999283	0.2775219	0.8145821	0.5405673	0.4643206	0.9346973	1.0000000	0.3708509	0.3900706	0.5416661	0.0971022	0.9872392	1.0000000	0.9469781	1.0000000	0.5518275	0.5673367	1.0000000	0.0911520	1.0000000	1.0000000
100.0	0.1971979	0.2135913	0.4080674	0.1291679	0.4265322	0.7771009	0.5043165	0.1327288	0.7130269	0.2858948	0.6770878	0.9534530	0.4481024	0.4825694	0.7579113	0.9998763	0.1454622	0.9466676	0.5213947	0.9735449	0.0523095	0.5601552	0.2898775	0.1882421	0.2534716	0.2142186	0.7037228	0.0813698	0.2820132	0.9725619	0.3282700	0.9367316	0.8168355	0.2461672	1.0000000	0.3028233	0.6781149	0.9999993	0.6913930	0.6301591	0.6279664	0.7878078	0.6596601	0.9555772	0.7732402	0.1089752	0.5195662	0.0586100	1.0000000	0.2324314	0.9930664	0.4149778	0.2555532	0.7780583	0.4631830	0.3668156	0.4468021	0.3959152	0.3126752	0.2169314	0.4849082	0.8236002	0.9455355	0.7761065	0.0415617	0.9639803	0.5433394	0.7539718	0.4857190	0.4981043	0.7589983	0.9532282	0.7569593	0.1295795	0.2567770	0.8388703	0.0354640	0.4971870	0.4278562	0.9999738	0.2752115	0.8410590	0.7509629	0.7529457	0.8842416	1.0000000	0.3708516	0.3900699	0.6053964	0.0971023	0.9872391	1.0000000	0.9661876	1.0000000	0.7107466	0.4174299	1.0000000	0.0820939	1.0000000	1.0000000
150.0	0.1320822	0.2900449	0.4181505	0.3499473	0.5154019	0.7861192	0.5130782	0.2343218	0.8518851	0.2867139	0.7089942	0.9532766	0.4481022	0.5066567	0.7704516	0.9998763	0.1454623	0.9466676	0.5213943	0.9735960	0.1513735	0.5601552	0.3605914	0.1325025	0.1512250	0.2142186	0.7208831	0.0530934	0.2222921	0.9827929	0.2427352	0.8336617	0.9128931	0.2381667	1.0000000	0.2624240	0.6781149	0.9999994	0.6833725	0.6301589	0.6671632	0.7849038	0.6596601	0.9649201	0.7732403	0.0920132	0.5195660	0.0586099	1.0000000	0.2164987	0.9930664	0.4149776	0.2594417	0.8349431	0.4631831	0.3668157	0.4468023	0.4170390	0.3126751	0.2336319	0.4849083	0.8652713	0.9618851	0.7408467	0.0185236	0.9839735	0.5433390	0.7291582	0.4241205	0.6386535	0.7457442	0.9728329	0.7569593	0.1684385	0.2567770	0.8388705	0.0300543	0.4971869	0.4599834	0.9999918	0.2743892	0.8434231	0.8437588	0.8880713	0.8487253	1.0000000	0.3708520	0.3900693	0.6358573	0.0971024	0.9872391	1.0000000	0.9696629	1.0000000	0.7885031	0.3654910	1.0000000	0.0804965	1.0000000	1.0000000
200.0	0.1154346	0.3535469	0.4206711	0.5541021	0.5595551	0.8247927	0.5189975	0.3316899	0.9063421	0.2874505	0.7354358	0.9529533	0.4481020	0.5143715	0.7953779	0.9998763	0.1454623	0.9466677	0.5213938	0.9736182	0.2808897	0.5601552	0.4334884	0.1072532	0.0939804	0.2142187	0.7258760	0.0433044	0.1216847	0.9373649	0.1674927	0.6935766	0.9615065	0.2380584	1.0000000	0.2291691	0.6781149	0.9999994	0.6809296	0.6301587	0.6836779	0.7819350	0.6596601	0.9687599	0.7732406	0.0860147	0.5195659	0.0586099	1.0000000	0.2121029	0.9930664	0.4149775	0.2602193	0.8588154	0.4631833	0.3668158	0.4468025	0.4651478	0.3126750	0.2388184	0.4849084	0.8942792	0.9720004	0.6686654	0.0106257	0.9934369	0.5433387	0.7107566	0.2986547	0.7597090	0.7112805	0.9751559	0.7569593	0.2050757	0.2567770	0.8388707	0.0283183	0.4971869	0.4860302	0.9999975	0.2741817	0.8436342	0.8865220	0.9438582	0.8284895	1.0000000	0.3708524	0.3900689	0.6434201	0.0971025	0.9872391	1.0000000	0.9687327	1.0000000	0.8193988	0.3474955	1.0000000	0.0802147	1.0000000	1.0000000
250.0	0.1105935	0.3884483	0.4215100	0.6425487	0.5763357	0.8643159	0.5227340	0.3954314	0.9223616	0.2880901	0.7492142	0.9525773	0.4481018	0.5168425	0.8190739	0.9998763	0.1454624	0.9466678	0.5213933	0.9736264	0.3644798	0.5601552	0.4844681	0.0958157	0.0648952	0.2142188	0.7273286	0.0399010	0.0550872	0.8302264	0.1193137	0.5894101	0.9825094	0.2383474	1.0000000	0.2084911	0.6781149	0.9999994	0.6801966	0.6301586	0.6903376	0.7796372	0.6596602	0.9703380	0.7732408	0.0840480	0.5195658	0.0586099	1.0000000	0.2108901	0.9930664	0.4149775	0.2603749	0.8628451	0.4631834	0.3668157	0.4468026	0.5304141	0.3126748	0.2402166	0.4849085	0.9092453	0.9768551	0.5847749	0.0091657	0.9973765	0.5433386	0.7003659	0.1698900	0.8319269	0.6865961	0.9740997	0.7569593	0.2302718	0.2567770	0.8388707	0.0277612	0.4971869	0.5122510	0.9999992	0.2741890	0.8436530	0.9058389	0.9662341	0.8178988	1.0000000	0.3708525	0.3900687	0.6417616	0.0971024	0.9872391	1.0000000	0.9672808	1.0000000	0.8307893	0.3412605	1.0000000	0.0801651	1.0000000	1.0000000
300.0	0.1090386	0.4042532	0.4218124	0.6751848	0.5822424	0.8782588	0.5247637	0.4285429	0.9268620	0.2887937	0.7526081	0.9521987	0.4481018	0.5176339	0.8358095	0.9998763	0.1454624	0.9466679	0.5213929	0.9736293	0.4033703	0.5601552	0.5134862	0.0906346	0.0508029	0.2142188	0.7277513	0.0387160	0.0254627	0.7297640	0.0936921	0.5362494	0.9910542	0.2384850	1.0000000	0.1976151	0.6781149	0.9999994	0.6799768	0.6301585	0.6928192	0.7781269	0.6596602	0.9709866	0.7732410	0.0834270	0.5195658	0.0586099	1.0000000	0.2105555	0.9930664	0.4149775	0.2604061	0.8589986	0.4631836	0.3668156	0.4468028	0.5651176	0.3126747	0.2405653	0.4849086	0.9158203	0.9789130	0.5310771	0.0109971	0.9989557	0.5433385	0.6952193	0.0935907	0.8649039	0.6753388	0.9728547	0.7569594	0.2450812	0.2567770	0.8388708	0.0275824	0.4971869	0.5408648	0.9999998	0.2742552	0.8436547	0.9143401	0.9750983	0.8126336	1.0000000	0.3708526	0.3900687	0.6376693	0.0971024	0.9872391	1.0000000	0.9662561	1.0000000	0.8348507	0.3391002	1.0000000	0.0801563	1.0000000	1.0000000
350.0	0.1085124	0.4107716	0.4219236	0.6868355	0.5842886	0.8752591	0.5257744	0.4437851	0.9281199	0.2896504	0.7496743	0.9518015	0.4481017	0.5178874	0.8471420	0.9998763	0.1454624	0.9466680	0.5213927	0.9736304	0.4191306	0.5601552	0.5283681	0.0882876	0.0441649	0.2142189	0.7278743	0.0383032	0.0135003	0.6691299	0.0814448	0.5136817	0.9944437	0.2385373	1.0000000	0.1924541	0.6781149	0.9999994	0.6799109	0.6301584	0.6936149	0.7772352	0.6596602	0.9712531	0.7732411	0.0832348	0.5195659	0.0586099	1.0000000	0.2104632	0.9930664	0.4149775	0.2604123	0.8542038	0.4631837	0.3668155	0.4468029	0.5760840	0.3126746	0.2406482	0.4849087	0.9184471	0.9797242	0.4751797	0.0145066	0.9995807	0.5433385	0.6928563	0.0591214	0.8747002	0.6711347	0.9720376	0.7569594	0.2530644	0.2567770	0.8388707	0.0275250	0.4971869	0.5643813	0.9999999	0.2743154	0.8436548	0.9180064	0.9785838	0.8101136	1.0000000	0.3708526	0.3900687	0.6342510	0.0971023	0.9872391	1.0000000	0.9656771	1.0000000	0.8362764	0.3383517	1.0000000	0.0801548	1.0000000	1.0000000
400.0	0.1083297	0.4133266	0.4219642	0.6909563	0.5849989	0.8610090	0.5262525	0.4503407	0.9284742	0.2910459	0.7391876	0.9513307	0.4481017	0.5179686	0.8570862	0.9998763	0.1454625	0.9466680	0.5213925	0.9736307	0.4251003	0.5601552	0.5358010	0.0872245	0.0411035	0.2142189	0.7279101	0.0381593	0.0088132	0.6391948	0.0759663	0.5048840	0.9957708	0.2385563	1.0000000	0.1901638	0.6781149	0.9999994	0.6798911	0.6301584	0.6937865	0.7767468	0.6596602	0.9713627	0.7732411	0.0831759	0.5195660	0.0586099	1.0000000	0.2104377	0.9930664	0.4149775	0.2604136	0.8507684	0.4631838	0.3668154	0.4468030	0.5791047	0.3126745	0.2406674	0.4849087	0.9194336	0.9800285	0.4106050	0.0201961	0.9998253	0.5433385	0.6918241	0.0450794	0.8713889	0.6696717	0.9715977	0.7569594	0.2571448	0.2567769	0.8388707	0.0275066	0.4971869	0.5792428	1.0000000	0.2743531	0.8436548	0.9195641	0.9799468	0.8089436	1.0000000	0.3708525	0.3900688	0.6321997	0.0971022	0.9872391	1.0000000	0.9653839	1.0000000	0.8367731	0.3380924	1.0000000	0.0801545	1.0000000	1.0000000
