"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.0000000	0.2922609	0.0000000	0.3210845	0.3752535	0.5827731	0.0254918	0.1575518	0.3862556	0.2018500	0.4018965	0.5259718	0.2705540	0.0940663	0.5446544	0.5779750	0.0857052	0.5564990	0.2899407	0.5815957	0.0666797	0.3728138	0.1916512	0.5420783	0.2649777	0.1208583	0.3170012	0.2844141	0.7021943	0.4886181	0.1970335	0.6055748	0.3817709	0.5259831	0.6437815	0.2107662	0.5152092	0.6218592	0.3527272	0.4615911	0.3296677	0.5320741	0.4094018	0.6957657	0.5648277	0.1128050	0.3171880	0.0552264	0.5777080	0.2865670	0.7416695	0.2836170	0.0940243	0.3559146	0.2047566	0.3075002	0.2425794	0.0066295	0.2488060	0.0884622	0.2451431	0.4807505	0.6024615	0.6362512	0.1400530	0.6355976	0.3154791	0.5141913	0.4531015	0.2743498	0.3948670	0.2037814	0.4139728	0.0324589	0.1531822	0.6471534	0.0463399	0.2828176	0.3594248	0.6952087	0.2072591	0.4043004	0.0266062	0.0171330	0.6136826	0.6401397	0.2734136	0.2494482	0.4077764	0.0554157	0.5595534	0.7193793	0.6049298	0.5782004	0.3061742	0.6205718	0.6543082	0.1094372	0.5263832	0.7204520
0.4600970	0.0900959	0.0660037	0.0047857	0.3031747	0.3854289	0.2185458	0.0402037	0.3564626	0.1833436	0.4303016	0.8042961	0.0223786	0.0375101	0.6768303	0.0437065	0.6045509	0.6186072	0.0294555	0.5236111	0.1514430	0.5234006	0.2160414	0.3811448	0.2341428	0.6512115	0.4366434	0.2564627	0.3013211	0.4653510	0.2444841	0.7104573	0.4525691	0.5580321	0.6660049	0.5739550	0.4419862	0.6748993	0.2353903	0.0458363	0.2073753	0.4261617	0.4714347	0.5853934	0.4229474	0.4208621	0.3961042	0.0190716	0.6243665	0.2842047	0.0874633	0.0000000	0.4042829	0.0108020	0.5535664	0.6159219	0.5893126	0.0014949	0.0072753	0.0207290	0.6423878	0.4211096	0.3743225	0.5601069	0.0000000	0.6724905	0.0523510	0.7036197	0.6114217	0.5936366	0.2524673	0.2240663	0.4516698	0.0006322	0.1850413	0.5421536	0.0315377	0.1635757	0.1642323	0.6495977	0.1492047	0.2166971	0.0071027	0.0938484	0.6188109	0.5646299	0.5164828	0.0539705	0.4362343	0.0471535	0.6270479	0.7447018	0.6256632	0.6926223	0.0499133	0.7396423	0.6971251	0.0978229	0.6714402	0.6461876
0.4774701	0.1157987	0.0558247	0.0094293	0.1842365	0.5403968	0.2757255	0.0970209	0.3210308	0.1589882	0.4695653	0.5437559	0.0267268	0.0259353	0.4617406	0.0839872	0.6593110	0.6923615	0.0476180	0.5943495	0.6733392	0.3531182	0.1744720	0.4066660	0.4004183	0.5425498	0.5423464	0.2142656	0.3771633	0.5186953	0.2992436	0.5730125	0.4144963	0.6002016	0.6950931	0.3669781	0.4708576	0.6429168	0.4137743	0.0133220	0.2252177	0.4448082	0.4376236	0.6245599	0.4557592	0.0497994	0.3472732	0.0188444	0.7617877	0.4261330	0.0672685	0.0000000	0.3671987	0.0328061	0.6930352	0.0000000	0.6429213	0.0001507	0.0183811	0.0147600	0.7876676	0.6666025	0.7381504	0.5132953	0.1591326	0.5152128	0.3993169	0.4752709	0.5601109	0.7036423	0.2264032	0.1912342	0.4108523	0.1622922	0.1824469	0.0393137	0.6074797	0.6346872	0.6558069	0.4971110	0.4190017	0.5165255	0.0192704	0.1750142	0.6463488	0.6989493	0.0301167	0.3963148	0.4112385	0.0834743	0.6152543	0.6320079	0.5280240	0.6212596	0.4374827	0.7301681	0.4986126	0.0753112	0.6064558	0.6102904
0.5396379	0.1060982	0.0413065	0.0107493	0.3044000	0.5290207	0.1899577	0.0339126	0.4559438	0.6625447	0.5709135	0.5126328	0.1952034	0.1046737	0.4629562	0.7295083	0.1192193	0.6385488	0.2253690	0.5208292	0.0493736	0.4360827	0.1999204	0.4267169	0.3519668	0.1472502	0.3040944	0.2846065	0.4297920	0.5141307	0.3794794	0.6074388	0.3615065	0.5006518	0.7287357	0.4278859	0.4452041	0.5711519	0.2517788	0.3274160	0.1796735	0.4837778	0.3477317	0.5607579	0.0000000	0.3442794	0.2673607	0.0706452	0.6680298	0.2747272	0.6419174	0.1849265	0.0790196	0.4156548	0.2964095	0.6568639	0.2581461	0.0022549	0.2123930	0.0712740	0.3631361	0.2926452	0.4126891	0.0000000	0.6132190	0.5861493	0.0855062	0.4169649	0.2801842	0.2068546	0.2402588	0.2912626	0.4939718	0.0132883	0.1618327	0.7054906	0.0544008	0.1806004	0.1562396	0.6889475	0.1773609	0.1820029	0.0268407	0.1651491	0.6814975	0.7186295	0.5841994	0.0449700	0.5074866	0.6217632	0.0003331	0.7967080	0.4961987	0.6882827	0.0388102	0.6376940	0.7433621	0.0640306	0.5955302	0.6254972
0.5234955	0.1096588	0.1158869	0.3228487	0.1803325	0.4954464	0.3553648	0.0228855	0.3264940	0.2350536	0.4196804	0.5537944	0.5118529	0.4096397	0.2267951	0.6489196	0.0545797	0.4675006	0.5444720	0.6306486	0.6332611	0.3557241	0.0979689	0.6701469	0.5431700	0.5858277	0.5595224	0.3256800	0.3774088	0.4715427	0.3224535	0.6414972	0.3234078	0.4741239	0.6589907	0.4270163	0.3737053	0.0000000	0.0240313	0.0317866	0.1041568	0.2485501	0.0329632	0.0018531	0.6212675	0.0000000	0.1008079	0.5476371	0.7350849	0.3365893	0.0470889	0.6078871	0.5322802	0.0477103	0.6323979	0.6101536	0.6534309	0.0213545	0.0141234	0.0215365	0.6435389	0.6455530	0.6962073	0.2891285	0.1494160	0.6486961	0.0555003	0.3664167	0.4200498	0.1652382	0.2516075	0.2314041	0.4645445	0.1662850	0.1790202	0.6610821	0.0328904	0.1940773	0.1541379	0.6605745	0.1572179	0.1015725	0.0124829	0.1898234	0.5269432	0.6169294	0.5509532	0.0317433	0.4061871	0.0535446	0.6803436	0.6846027	0.6196653	0.7858274	0.0542640	0.6966853	0.6959764	0.1180084	0.5933573	0.7009685
0.4966552	0.1035316	0.0705773	0.0059824	0.2482716	0.2395229	0.2629613	0.0324081	0.3327710	0.3162572	0.0554019	0.5236486	0.2560450	0.0961262	0.6140065	0.5797988	0.0964442	0.6642626	0.2593268	0.5284209	0.1108465	0.3706205	0.4966931	0.3838276	0.2285392	0.1351728	0.2331050	0.3980038	0.2529357	0.5037731	0.3162818	0.6857230	0.0000000	0.5478965	0.6059121	0.2328089	0.4822613	0.5854382	0.2999274	0.4616482	0.1994280	0.4960635	0.4745246	0.5643356	0.5334403	0.0816471	0.4087057	0.0387646	0.6773807	0.2782413	0.6550093	0.2568723	0.0985260	0.3652998	0.1993053	0.1839764	0.2322316	0.0023406	0.2588734	0.1236476	0.3081076	0.5883993	0.5820212	0.0000000	0.6723647	0.7452111	0.3929569	0.4790886	0.3455304	0.2092820	0.2403211	0.2473169	0.6396018	0.1120567	0.1105141	0.5232053	0.0507825	0.3054872	0.2808791	0.6167144	0.1400050	0.4143235	0.0042388	0.1909829	0.5206411	0.5747502	0.2192632	0.2471349	0.4174656	0.0597148	0.6583698	0.8125574	0.6040561	0.7350823	0.4185750	0.6613411	0.5046256	0.1324541	0.6516848	0.7288311
0.3998553	0.1126013	0.0797605	0.3663568	0.2495996	0.5743216	0.2631448	0.0431872	0.3192600	0.1711593	0.3711666	0.6455891	0.0000000	0.0192073	0.6845977	0.0700521	0.6707765	0.5849661	0.0426559	0.6561841	0.6279449	0.3719595	0.1420248	0.3726658	0.2666467	0.1055845	0.3218760	0.2739462	0.2516695	0.4598723	0.2357843	0.6057972	0.4491282	0.6182613	0.6078964	0.2297467	0.4090720	0.7209094	0.3341410	0.4567264	0.1921625	0.5529550	0.3606847	0.4815661	0.4836622	0.0000000	0.3361142	0.0379583	0.6045917	0.2792391	0.6998588	0.2751968	0.1044411	0.3517518	0.2110205	0.2017011	0.2037751	0.0061765	0.2109827	0.0774306	0.2591356	0.7924805	0.6280613	0.3909907	0.1927431	0.5925341	0.3000535	0.5147032	0.3238409	0.3093855	0.2610011	0.2476097	0.4938683	0.1912683	0.1725380	0.4947811	0.0490499	0.3242999	0.2297667	0.6302205	0.2145566	0.3151119	0.0119075	0.2278565	0.6921920	0.7270304	0.2330971	0.3069516	0.3756872	0.0679906	0.6340890	0.6797246	0.5517021	0.5071818	0.2653783	0.6375534	0.6773799	0.0861393	0.6862221	0.7092609
0.5251429	0.0801336	0.0663469	0.0114799	0.2555096	0.2093276	0.2273309	0.0164404	0.3225343	0.7136135	0.3061368	0.5783941	0.2703754	0.1075992	0.6296066	0.6279351	0.0727494	0.5604076	0.3766587	0.5936433	0.0348339	0.4293287	0.1431020	0.3676094	0.2133389	0.1057974	0.2721298	0.2728224	0.2887040	0.4703323	0.3309464	0.6467195	0.4190392	0.5883887	0.6451486	0.2514261	0.4252671	0.6811975	0.3103886	0.5093002	0.2473183	0.6199043	0.3904120	0.6414741	0.4688884	0.1351355	0.3253822	0.0561656	0.5755504	0.2456513	0.6343795	0.2225589	0.0690987	0.3509616	0.2459005	0.2329982	0.2274046	0.0056583	0.2244972	0.1324048	0.3435825	0.5527227	0.5452628	0.0000000	0.0000000	0.7009616	0.3205652	0.4870849	0.3010031	0.5575583	0.1532844	0.1820699	0.4869806	0.0869300	0.1188095	0.5141708	0.1191139	0.2524580	0.2720842	0.5792786	0.1419303	0.2234334	0.0108358	0.1185808	0.6044232	0.6446895	0.2635491	0.2835631	0.3473770	0.1021020	0.6446070	0.6521099	0.5267061	0.6088609	0.4069911	0.6638283	0.6912896	0.0802277	0.5900959	0.6340817
0.4807085	0.1529208	0.0443254	0.0097252	0.2910976	0.4230717	0.3134137	0.0320185	0.4019988	0.1556536	0.2770809	0.6095449	0.4764355	0.4647506	0.4892591	0.6219725	0.0730787	0.4695375	0.7094884	0.5519858	0.0989522	0.4441226	0.1399656	0.2553597	0.3476365	0.1108496	0.3549840	0.3954513	0.3258934	0.5076952	0.1905926	0.5800349	0.4146099	0.4964518	0.6702534	0.2670300	0.5585987	0.6596827	0.2423312	0.5496655	0.2406199	0.5448120	0.5294768	0.5176632	0.5750238	0.0721041	0.3111568	0.0564415	0.5970079	0.3497796	0.6504344	0.6792154	0.2625212	0.3196539	0.2470352	0.0000000	0.1482241	0.0000673	0.2843202	0.1562472	0.2769474	0.5333237	0.5595814	0.2797016	0.1352340	0.7177603	0.5683942	0.3023810	0.2877936	0.1561800	0.2387895	0.2010931	0.3622511	0.1465114	0.1309534	0.0408612	0.6658643	0.6546241	0.6027782	0.5633304	0.3250691	0.4892128	0.0468124	0.1323056	0.5198663	0.6036424	0.0331912	0.3980454	0.3280253	0.0199780	0.6118769	0.6526003	0.5902446	0.6323875	0.5286564	0.6231357	0.6937912	0.1141975	0.5778859	0.0000000
0.4832776	0.1319272	0.0845226	0.0130831	0.2408501	0.3155183	0.2742611	0.0186150	0.4096624	0.2284183	0.3462732	0.5308109	0.5127524	0.3689860	0.4755056	0.6714289	0.0535987	0.4007542	0.6750257	0.6557239	0.1423064	0.3437391	0.1599670	0.4741036	0.3619464	0.1242425	0.3856804	0.3341489	0.4041788	0.5453408	0.2042864	0.5756260	0.4122892	0.5674398	0.5662538	0.1439773	0.3917771	0.6395363	0.2819028	0.5567491	0.2163347	0.4817172	0.4743160	0.5620434	0.5607397	0.0501448	0.5411848	0.0530960	0.6774323	0.3178480	0.6572881	0.6508133	0.1700644	0.4167401	0.2297447	0.0000000	0.1943283	0.0000609	0.3042254	0.2241950	0.2484869	0.6636391	0.6657479	0.3202465	0.1301853	0.6111872	0.5038695	0.4543244	0.3350646	0.1537639	0.2107884	0.1334960	0.3433347	0.1467808	0.2412103	0.0202190	0.5705569	0.7172192	0.6228860	0.6266848	0.3377555	0.4786481	0.0117487	0.1175924	0.5267086	0.6158314	0.5698524	0.0131283	0.4218205	0.0318645	0.5452849	0.0000000	0.2563578	0.5615541	0.4990405	0.6259723	0.6905804	0.0846893	0.7277492	0.6877427
