"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.5180570	0.0591215	0.0487058	0.0039068	0.1598729	0.5389576	0.2765134	0.0482803	0.3993814	0.1370433	0.4257510	0.5874409	0.2261090	0.1316252	0.4065245	0.6944561	0.0838153	0.6347544	0.3170107	0.7289000	0.0475490	0.3440471	0.1481407	0.2963448	0.3117199	0.1289173	0.2068341	0.2215647	0.3745046	0.4754661	0.2251885	0.6171713	0.3777520	0.6055536	0.5728012	0.2534428	0.3769634	0.6412080	0.4112364	0.4109435	0.2371185	0.5016092	0.4188020	0.5353595	0.5692400	0.0939237	0.2908987	0.0424066	0.5913748	0.3877874	0.6211809	0.3158825	0.1039167	0.3424609	0.3108974	0.2653139	0.2225572	0.0360413	0.2380270	0.0855619	0.2816727	0.5568124	0.4538596	0.4602930	0.1497903	0.5149202	0.3061872	0.4008938	0.3115771	0.3342223	0.2606907	0.2577501	0.5351955	0.0310245	0.1352570	0.5852118	0.1028211	0.3689025	0.3059023	0.5161401	0.1768406	0.3612728	0.0072376	0.1269804	0.6118148	0.6617073	0.2427575	0.1833555	0.4499898	0.0585836	0.6602672	0.6299221	0.5502242	0.6427713	0.2635516	0.5949145	0.7006854	0.0619439	0.5420587	0.6902297
50.0	0.2609772	0.1131095	0.0409325	0.0043700	0.1773790	0.5250145	0.2331469	0.0235031	0.3554922	0.2049119	0.3841334	0.4717298	0.2905632	0.1240943	0.5238662	0.6090643	0.1077029	0.6845763	0.2949436	0.7390368	0.0299579	0.3974082	0.2128963	0.3310809	0.2249290	0.0971695	0.2072546	0.2203311	0.3332698	0.4972976	0.2633339	0.6549558	0.4352205	0.6700905	0.6900803	0.2659144	0.5139554	0.6854748	0.2852483	0.3950037	0.1915741	0.6164382	0.4390729	0.5925278	0.5816838	0.1334510	0.2857210	0.0222800	0.6765513	0.3720094	0.6577932	0.2170809	0.0739035	0.2738945	0.3201221	0.3965917	0.2388425	0.0037294	0.2394626	0.1070050	0.3027584	0.5595921	0.6136200	0.5550754	0.1283312	0.5835834	0.2937996	0.4596683	0.3051855	0.3090033	0.2323643	0.1810392	0.4908616	0.0416535	0.2446624	0.6689108	0.0774893	0.4091164	0.2651629	0.6037833	0.1452058	0.3745907	0.0118025	0.1541284	0.7250206	0.6543698	0.2232671	0.2349878	0.5232725	0.0553918	0.6733751	0.5447838	0.4854189	0.6038338	0.2473666	0.6764960	0.7234083	0.0558560	0.5908258	0.6533922
100.0	0.2431601	0.1244310	0.0523310	0.0064381	0.2272971	0.5308363	0.2296795	0.0508745	0.4548798	0.1770761	0.5016975	0.5124855	0.2591779	0.1188066	0.6000622	0.6923528	0.1007514	0.5853919	0.3430192	0.6161030	0.0618648	0.3856443	0.1662559	0.3273938	0.3069454	0.0788935	0.2346793	0.2752827	0.3470270	0.5223880	0.2426780	0.5807458	0.3932168	0.6095823	0.7011149	0.1957953	0.4114808	0.6591669	0.3717177	0.4428408	0.2008454	0.5291426	0.3530014	0.5900086	0.4817191	0.1124584	0.3152173	0.0504080	0.5389735	0.3686082	0.5288433	0.2015756	0.0541383	0.2718438	0.3339560	0.2627998	0.3349515	0.0111005	0.2480336	0.0850775	0.3466248	0.4766021	0.6105940	0.6050415	0.1916306	0.7478388	0.3056684	0.4350578	0.2363549	0.2566217	0.2811900	0.2605747	0.5279153	0.0347557	0.1164485	0.6914777	0.0468295	0.3827326	0.2868721	0.5792834	0.1316577	0.4553778	0.0251107	0.0440749	0.7046860	0.6575027	0.2671439	0.2625831	0.4278207	0.0907647	0.6634706	0.5463594	0.5690007	0.7853393	0.3320524	0.6833017	0.6268010	0.0807466	0.6316354	0.6494199
150.0	0.2475889	0.1321551	0.0209823	0.0244212	0.2276308	0.5346959	0.1307901	0.0711260	0.4329402	0.2603508	0.3275886	0.6187087	0.2444235	0.1100975	0.5480618	0.6106627	0.0716303	0.6911284	0.3780774	0.6630281	0.0883067	0.3982503	0.1647109	0.3581170	0.2723484	0.1200140	0.3377042	0.1967014	0.4701300	0.4028744	0.2548558	0.6794532	0.4160785	0.5148484	0.7238470	0.2384581	0.5396043	0.5894863	0.3263450	0.3754264	0.1928919	0.5261807	0.5298142	0.5923512	0.4823631	0.0520747	0.3532467	0.0249162	0.6820272	0.3868249	0.7336325	0.2049608	0.0596629	0.3145126	0.2874523	0.2576240	0.2396599	0.0154291	0.2230988	0.1359125	0.2876888	0.4392792	0.7383723	0.5302647	0.1391649	0.5854652	0.3389682	0.4125258	0.2274526	0.2359429	0.1787236	0.1399392	0.5282399	0.0563949	0.1608202	0.5072287	0.0657973	0.3511830	0.2024593	0.5600368	0.2557860	0.3696313	0.0058302	0.0529154	0.6177283	0.6703566	0.2454888	0.2235938	0.3898156	0.0558601	0.5684642	0.6692004	0.4884138	0.7633898	0.3251508	0.5622726	0.5602574	0.0783274	0.5823832	0.6344567
200.0	0.3529015	0.1575986	0.0235856	0.0052933	0.2621630	0.4712348	0.1100784	0.0493309	0.4406232	0.1405043	0.4281210	0.5187832	0.2411599	0.0822408	0.4881701	0.5648338	0.0876238	0.5359565	0.2726382	0.6526509	0.2149260	0.3754512	0.1928837	0.3371566	0.3111264	0.1238263	0.2379045	0.2337225	0.4812286	0.4636639	0.2003752	0.6046426	0.3718636	0.6172925	0.7729391	0.2256559	0.5348102	0.7111675	0.4505866	0.4547404	0.2172645	0.5177607	0.5542290	0.6792158	0.4959952	0.0656051	0.3380903	0.0267004	0.7260729	0.2933637	0.6662305	0.2735442	0.0596290	0.3240156	0.2640023	0.1547033	0.2264856	0.0120053	0.1970650	0.0786623	0.3223498	0.5246710	0.6587263	0.4588005	0.1583606	0.5125442	0.3202008	0.5146409	0.3127739	0.2456987	0.2046123	0.1681999	0.4849789	0.0743034	0.1441144	0.5450024	0.0546854	0.3846277	0.1981231	0.6276496	0.1738889	0.3748605	0.0294050	0.0280366	0.6327766	0.6554802	0.2264788	0.1952916	0.3539917	0.0206645	0.5749030	0.7644893	0.5701640	0.9195885	0.4036306	0.6108323	0.7069716	0.1043435	0.5901971	0.7295577
250.0	0.2111625	0.1646389	0.0199420	0.0396257	0.3009072	0.4641318	0.1168794	0.0694729	0.4609790	0.1530407	0.4085081	0.6233690	0.2313818	0.0939734	0.6050245	0.6274755	0.1565391	0.7058120	0.3125687	0.6776009	0.3512602	0.3484016	0.1608655	0.3553045	0.2694355	0.1319211	0.4496599	0.2027909	0.4595085	0.4452761	0.2830137	0.5954153	0.4314564	0.6788388	0.7076458	0.1798290	0.3407524	0.6755428	0.3399174	0.3975015	0.2745658	0.4719231	0.4689613	0.6476590	0.3495728	0.1118134	0.4898372	0.0699134	0.6366106	0.3157089	0.6105103	0.2993827	0.0510122	0.2398923	0.2620907	0.1538987	0.3365440	0.0068381	0.2347617	0.0823564	0.3036600	0.5338923	0.6813670	0.4916344	0.1610385	0.7904839	0.3698441	0.4511250	0.3498010	0.2177174	0.2921372	0.1542645	0.3974448	0.1021471	0.1747774	0.5648758	0.0533165	0.3126864	0.1978621	0.6888192	0.2279075	0.2760539	0.0092021	0.0945675	0.6034749	0.5623000	0.2314812	0.3107189	0.2819186	0.0486619	0.7354838	0.6697231	0.5036885	0.6689876	0.3543395	0.5877749	0.5803352	0.0888880	0.6172351	0.6346158
300.0	0.3762322	0.1261140	0.0292737	0.0307030	0.2852272	0.5190687	0.1036382	0.0753087	0.4186166	0.1902332	0.5118136	0.5664545	0.2401262	0.1062498	0.4526816	0.5659083	0.1238163	0.6579262	0.3712237	0.6592704	0.1388055	0.3002443	0.1697869	0.3517780	0.3242339	0.1466368	0.3290035	0.2699144	0.4732823	0.4420844	0.2846376	0.6361177	0.4093436	0.5844801	0.6612049	0.2006206	0.4634514	0.6503019	0.4503108	0.3601937	0.2142721	0.5312245	0.4404718	0.6542494	0.5088256	0.1292930	0.3997853	0.0302910	0.5156537	0.3182975	0.6211671	0.2212286	0.0873078	0.3044061	0.2927172	0.2862039	0.2599690	0.0056863	0.2095047	0.0960539	0.2605313	0.4612993	0.6890768	0.4883346	0.1676717	0.6818371	0.3838433	0.4848932	0.2937626	0.2947004	0.2415365	0.2708496	0.4603302	0.1333405	0.2394734	0.5992987	0.0720451	0.3099979	0.1506672	0.6608690	0.1742653	0.3538328	0.0210149	0.0250849	0.7067379	0.5617576	0.2015950	0.2415652	0.4113338	0.0586116	0.7543139	0.6133372	0.5431157	0.6086122	0.2894748	0.5249943	0.6017486	0.0775684	0.5396840	0.6981372
350.0	0.3739336	0.1351914	0.0312052	0.0037047	0.1993973	0.4924080	0.1054895	0.0394326	0.5002388	0.2263827	0.4760241	0.6110203	0.2651070	0.0792946	0.5241334	0.7477426	0.0810164	0.6855639	0.2993123	0.6799393	0.0465725	0.3288094	0.2265600	0.3788671	0.2457033	0.0939649	0.1793462	0.2741431	0.5027825	0.3622446	0.2751650	0.5756955	0.4488901	0.5884767	0.5644203	0.2581985	0.3576157	0.6698802	0.4053816	0.3518807	0.2841704	0.5354182	0.4336509	0.5722967	0.5570281	0.1157509	0.2857047	0.0251793	0.6348145	0.3814798	0.7835688	0.2638727	0.0792063	0.2953571	0.3323925	0.2726626	0.3515151	0.0080973	0.2219208	0.1061096	0.3061159	0.4981679	0.5992192	0.5965808	0.1796208	0.5873780	0.4030389	0.3992664	0.3506538	0.2886409	0.2945940	0.2204597	0.4798326	0.0865456	0.1908365	0.5804657	0.0999701	0.2996290	0.2540140	0.6695744	0.1641441	0.4006406	0.0167946	0.0169240	0.5874333	0.5643148	0.2315276	0.2024166	0.4395631	0.0829767	0.6552552	0.5795079	0.5422427	0.7561751	0.3162220	0.6102286	0.7485139	0.0629837	0.6618611	0.6226365
400.0	0.2792228	0.1800335	0.0212387	0.0031393	0.2916081	0.5515917	0.1546584	0.0415986	0.3877544	0.1649276	0.3245404	0.5663688	0.3043483	0.0694891	0.5233806	0.7081903	0.0868360	0.6519512	0.2839293	0.6421481	0.0403759	0.3605154	0.1978686	0.3900952	0.3045934	0.1189919	0.2757055	0.2317678	0.5425038	0.4493994	0.3103503	0.5785607	0.3630094	0.5793577	0.6294163	0.3332873	0.4372119	0.6716022	0.2660486	0.3378757	0.2160968	0.4367079	0.4278999	0.5808639	0.4475008	0.0729860	0.3505055	0.0688398	0.4815600	0.2799699	0.6391395	0.2139024	0.1361721	0.2165878	0.3312403	0.3455930	0.3225444	0.0191620	0.1736719	0.0730275	0.3127863	0.5009392	0.5272848	0.5210860	0.2018202	0.6676105	0.2286437	0.4905829	0.2693990	0.4453613	0.2436908	0.1560177	0.4912228	0.0830120	0.1586066	0.5018914	0.0831409	0.2685871	0.2500239	0.6728357	0.1983268	0.3831130	0.0077694	0.0223779	0.7908895	0.5614152	0.2165604	0.1209409	0.4526724	0.0446392	0.6068236	0.7378465	0.5507417	0.7413248	0.3806285	0.5984394	0.6627716	0.0797890	0.5687873	0.7175058
