"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.4627976	0.1230806	0.0794020	0.0063170	0.2282409	0.5111883	0.3447906	0.0340696	0.3755682	0.1388711	0.3510909	0.5949836	0.3430686	0.1385794	0.4880051	0.6268337	0.0768774	0.5622528	0.2743398	0.5520086	0.0663227	0.3464322	0.1061853	0.2971648	0.2840541	0.1396239	0.2459835	0.2898688	0.3029484	0.3788202	0.2641805	0.7366505	0.4403100	0.5095705	0.5517393	0.2657674	0.4212491	0.7041579	0.3798032	0.4315800	0.2675300	0.5079026	0.3992863	0.5535792	0.5001642	0.0854690	0.3566716	0.0119358	0.6507513	0.3564038	0.6029685	0.2374816	0.0759703	0.4156784	0.2423536	0.1675190	0.2443369	0.0030157	0.2032055	0.1151351	0.3549226	0.4928623	0.5996088	0.6457259	0.2560781	0.5508008	0.3415293	0.5556157	0.2895068	0.2832580	0.2882999	0.2570149	0.4517014	0.0395646	0.1450478	0.5291756	0.0481750	0.3056673	0.2619434	0.5520827	0.1524144	0.3945627	0.0256325	0.1864565	0.6337222	0.6093899	0.2802494	0.2033664	0.4083899	0.0367140	0.5931648	0.7587955	0.6319469	0.6380033	0.2596246	0.6065559	0.6465798	0.1130050	0.6020169	0.7678556
50.0	0.0309714	0.1314566	0.0571123	0.0203238	0.2850094	0.4482098	0.1899013	0.0579358	0.3547074	0.1396966	0.4121660	0.5933515	0.2733626	0.0807427	0.5262255	0.5571492	0.0810413	0.5151025	0.2810078	0.6171404	0.0670431	0.3266471	0.1418928	0.4639236	0.3347397	0.1630579	0.2963306	0.2607543	0.3049577	0.4832343	0.2634639	0.7229511	0.4066949	0.4982292	0.5227275	0.2273485	0.4166568	0.7045685	0.4020610	0.4818813	0.2133541	0.4515648	0.4822104	0.6991965	0.4903442	0.0917595	0.3978244	0.0408165	0.5778306	0.3134893	0.6895230	0.2317259	0.0680797	0.3692227	0.1977989	0.2125159	0.2531486	0.0050992	0.2028019	0.1233869	0.2221869	0.4742269	0.6633639	0.5640970	0.1934227	0.5874598	0.3879406	0.4934697	0.2524108	0.2934576	0.2981886	0.2567545	0.5446113	0.0481233	0.1904570	0.5144976	0.0573855	0.3261697	0.2666149	0.6295067	0.1784943	0.4128355	0.0274135	0.1805780	0.6481403	0.7060250	0.2396327	0.2688741	0.3967970	0.0506367	0.6142780	0.6663638	0.5608090	0.6845728	0.2944841	0.6636865	0.7131627	0.0829986	0.6166228	0.6489097
100.0	0.0000000	0.2586040	0.0195545	0.1942587	0.3162922	0.4634205	0.2513135	0.1459545	0.3909408	0.1306833	0.4532945	0.5844952	0.2635755	0.1011911	0.5558734	0.5842169	0.0970260	0.5198026	0.2738573	0.5487541	0.1714772	0.4109396	0.1105192	0.3558388	0.3503386	0.1012556	0.2320858	0.1720930	0.3203975	0.4244784	0.3603440	0.6450193	0.4274386	0.5076478	0.7694470	0.1838075	0.3807850	0.7042927	0.3854475	0.4570187	0.2329897	0.4231925	0.4184941	0.5918400	0.3980168	0.1011977	0.2596875	0.0391776	0.6155690	0.3193699	0.6696197	0.3414608	0.0703761	0.2551966	0.2538538	0.1957454	0.2794584	0.0038654	0.2589391	0.1058658	0.3784189	0.4945422	0.6649091	0.5323579	0.1468574	0.6247947	0.3711171	0.6171313	0.2422341	0.2856035	0.2484357	0.2442199	0.5086761	0.0894289	0.1908918	0.5463712	0.0433530	0.3015359	0.2377686	0.6477882	0.1529907	0.3089001	0.0082223	0.0874958	0.6373506	0.7232452	0.1598020	0.3013285	0.5670794	0.0424086	0.7059478	0.7683360	0.5074209	0.5851582	0.3881956	0.6979878	0.7374907	0.1114596	0.6380299	0.6615983
150.0	0.0000000	0.2837221	0.0078983	0.3120606	0.3635950	0.6118283	0.0861162	0.1583166	0.5053775	0.2114299	0.4306101	0.6550049	0.3314200	0.1211406	0.3963557	0.5956602	0.0775306	0.6620353	0.3046776	0.5647207	0.1560457	0.3409982	0.1876024	0.4161511	0.2490727	0.1292196	0.3276057	0.2283049	0.4277837	0.4381016	0.2472575	0.5862665	0.3596731	0.7736430	0.5610387	0.2196681	0.3978233	0.6790174	0.2898114	0.4190097	0.2654573	0.5310358	0.4100808	0.6377246	0.4609128	0.1412127	0.2727774	0.0651195	0.6904091	0.3325469	0.5919434	0.2297512	0.1094543	0.2764916	0.2930313	0.1831547	0.2391740	0.0004156	0.1690401	0.1104237	0.3718929	0.5405972	0.6271673	0.6098372	0.1673492	0.6047730	0.3857491	0.6018647	0.3445743	0.2636147	0.3205631	0.2123756	0.4417726	0.0965467	0.0979204	0.5395772	0.0562939	0.2745841	0.2049577	0.5973125	0.1712488	0.4151053	0.0306336	0.0371201	0.6145603	0.5612303	0.2285996	0.2353701	0.3269820	0.0528290	0.5646101	0.6372520	0.4985887	0.5939596	0.2520527	0.6248799	0.6997386	0.0971142	0.7369549	0.7958900
200.0	0.0000000	0.2961072	0.0088669	0.3813571	0.2889227	0.6718385	0.0613183	0.2086068	0.4099555	0.1570321	0.3817141	0.6260110	0.2970098	0.0954959	0.5509785	0.6978331	0.1351858	0.6765220	0.3579611	0.5628126	0.0652750	0.3057892	0.1374111	0.3957761	0.2841108	0.1254568	0.2682254	0.2741033	0.5657812	0.5085527	0.2695342	0.6361644	0.3955119	0.5596868	0.7149501	0.1670951	0.4085035	0.7091169	0.3308189	0.3632587	0.1723933	0.5173011	0.4656496	0.4884439	0.5306129	0.1462872	0.3138014	0.0455891	0.7219984	0.3568380	0.5345711	0.3341037	0.1277719	0.3213212	0.3249657	0.2242624	0.2720396	0.0176803	0.1504326	0.1172543	0.3022168	0.5416849	0.5888920	0.5077194	0.2236888	0.5465040	0.3828354	0.4918892	0.2626540	0.2903672	0.2456296	0.2951662	0.4992921	0.0747324	0.1069117	0.4334087	0.1223743	0.2729410	0.2208382	0.7171028	0.2089077	0.3009316	0.0113045	0.0234462	0.6285770	0.7825224	0.2258364	0.3426999	0.3525675	0.0791777	0.7847553	0.5996137	0.6134850	0.6767815	0.2770274	0.5979029	0.5637786	0.1005976	0.6475725	0.7344393
250.0	0.0000000	0.2987813	0.0012172	0.2591371	0.4397817	0.6798877	0.0535132	0.2724291	0.3752166	0.1322275	0.4338354	0.6172291	0.2832210	0.0874156	0.4292316	0.6875722	0.1221552	0.5680781	0.4173175	0.5412021	0.0779640	0.3894259	0.1891474	0.3594173	0.3164755	0.1447183	0.2678521	0.2207456	0.7303637	0.4640031	0.2577961	0.6279554	0.3085708	0.5578928	0.6685201	0.1887322	0.4525609	0.5490463	0.2443188	0.4593969	0.1683635	0.5131726	0.4321657	0.5171324	0.5155998	0.1182312	0.3062363	0.0345007	0.6573484	0.3633991	0.6073859	0.3492634	0.1432386	0.2943236	0.3657047	0.3066533	0.3097880	0.0064426	0.1547238	0.1441157	0.3387515	0.4945681	0.5730991	0.5981202	0.2144025	0.7791794	0.2587922	0.4662840	0.3762925	0.3010358	0.2869452	0.2646212	0.3571721	0.0590420	0.1938209	0.6470404	0.0965007	0.3116277	0.2688002	0.6954806	0.2194540	0.2732896	0.0194802	0.0053581	0.6119188	0.6364103	0.2205830	0.2254337	0.3778273	0.0439889	0.7653285	0.5808447	0.5527911	0.6383207	0.2340676	0.6084248	0.6031032	0.0980064	0.5335021	0.6431650
300.0	0.0000000	0.2740660	0.0004624	0.3267344	0.3391949	0.7292142	0.0834214	0.1883963	0.4688320	0.1818873	0.4584284	0.5923585	0.3084242	0.1408531	0.5518904	0.7549111	0.0969772	0.5798115	0.4410437	0.4918424	0.0374208	0.2467117	0.1892801	0.3634667	0.4212866	0.1541813	0.2596103	0.3432154	0.6060712	0.4267730	0.2354574	0.6322912	0.4058850	0.5056947	0.7634432	0.1485773	0.3288630	0.6865110	0.3724525	0.4920882	0.2497123	0.4967815	0.4689102	0.5984895	0.4744652	0.1003319	0.2473600	0.0307069	0.6499463	0.3309892	0.5817213	0.3282080	0.0653957	0.2580283	0.2375089	0.2575077	0.2838651	0.0027092	0.2168412	0.0903053	0.2739485	0.4801347	0.6179776	0.5192082	0.1753697	0.5876207	0.3251864	0.5286253	0.2970956	0.2678333	0.2043372	0.1964523	0.4612369	0.0491897	0.1505686	0.6337713	0.0867347	0.2520239	0.2596209	0.5397302	0.1688967	0.3773699	0.0210088	0.0068891	0.6779531	0.8634684	0.2362322	0.2521642	0.4225545	0.0809743	0.6139960	0.6193438	0.6450471	0.5638211	0.2416451	0.6863458	0.6237912	0.1277097	0.5106193	0.7241796
350.0	0.0000000	0.3252319	0.0018112	0.3201170	0.3627426	0.5728953	0.0572701	0.1876556	0.3824708	0.1676992	0.4612764	0.5183883	0.3436917	0.1565301	0.4927761	0.6991198	0.1106642	0.6070085	0.2475627	0.5403290	0.0483912	0.3772924	0.1444734	0.3560719	0.2895028	0.1442439	0.3786095	0.2460294	0.5836850	0.4068913	0.3017223	0.6056403	0.4232900	0.5916874	0.6067047	0.2265620	0.4046419	0.5557471	0.4018229	0.4331695	0.3530751	0.4316755	0.5048264	0.5126144	0.4518329	0.0926516	0.3099365	0.0292965	0.5953333	0.4109292	0.6308355	0.3403664	0.0475558	0.3217157	0.2322665	0.2340754	0.1982088	0.0008589	0.2455969	0.1300863	0.2734869	0.5210828	0.5779893	0.5550761	0.2126804	0.5558816	0.3827318	0.5924835	0.3086454	0.2469161	0.1998962	0.2123286	0.4306999	0.0714524	0.1157339	0.4658371	0.0731818	0.3194280	0.2597591	0.7501789	0.1819815	0.3257545	0.0239586	0.0221366	0.6506150	0.6181906	0.2091577	0.2984916	0.2838848	0.0508201	0.6590404	0.5981708	0.5731820	0.5500798	0.3264005	0.6139331	0.5469506	0.0554974	0.5569140	0.6262339
400.0	0.0000000	0.2804239	0.0007737	0.3019639	0.3893740	0.5912450	0.0502648	0.2122327	0.4306636	0.1573886	0.3792705	0.6333087	0.3496713	0.1232836	0.5063193	0.6363337	0.1168875	0.6896395	0.3481222	0.6932417	0.0803229	0.4092483	0.1110349	0.3081160	0.1970745	0.1688210	0.3173569	0.2393216	0.6070925	0.4858638	0.3257479	0.7132706	0.3561615	0.5325105	0.6279486	0.1917347	0.3828203	0.7621833	0.4322608	0.4143039	0.2115518	0.5253940	0.4337788	0.5649325	0.4864614	0.1412143	0.3232359	0.0479677	0.7118744	0.2881585	0.5929148	0.2046510	0.0504171	0.2642880	0.3697367	0.1780374	0.1758769	0.0022876	0.2051168	0.1008731	0.2662867	0.4917101	0.5953462	0.4765836	0.1525046	0.6067784	0.3787841	0.6410491	0.3299119	0.2606279	0.3018214	0.2406500	0.5028164	0.0857407	0.1531295	0.5640035	0.1229467	0.3166204	0.2864461	0.5592534	0.1623566	0.2982774	0.0259145	0.0200789	0.5916221	0.6205417	0.1340261	0.2701287	0.3219517	0.0507652	0.5659245	0.5638391	0.6586770	0.5280989	0.3370133	0.6132900	0.7679464	0.0994846	0.5858543	0.7025297
