"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.3739118	0.1277168	0.0998388	0.0126614	0.2115974	0.5246732	0.2614470	0.0310576	0.3992335	0.1090391	0.3972718	0.6914771	0.3040371	0.1116174	0.4580668	0.6915119	0.1265856	0.5717574	0.3892943	0.5932221	0.0595431	0.4598139	0.2374882	0.3201815	0.2925847	0.1180532	0.2647473	0.3112123	0.3187595	0.5012537	0.2255863	0.5854346	0.3686271	0.5925567	0.5929664	0.2376440	0.4013613	0.6577161	0.3683145	0.3400370	0.2167840	0.5938439	0.4407968	0.6253106	0.5555052	0.0952875	0.3686260	0.0283681	0.6376612	0.3390666	0.7023518	0.2771335	0.1018833	0.2637465	0.2621201	0.2601804	0.2724442	0.0071641	0.2236172	0.0881224	0.3615606	0.4654466	0.6076974	0.5460554	0.1706859	0.5257312	0.3205354	0.4611172	0.3290730	0.2804054	0.2487427	0.1628461	0.5540433	0.0580375	0.1666375	0.4777620	0.0482174	0.3403911	0.2756702	0.5203661	0.1808768	0.3168951	0.0118196	0.1440721	0.5605537	0.5703639	0.2851176	0.1873434	0.3852649	0.0690554	0.5557086	0.7118047	0.5294725	0.6525640	0.2981513	0.6361608	0.6292427	0.0703185	0.6907577	0.5476586
50.0	0.3364813	0.0614517	0.0430351	0.0093391	0.1563015	0.5431055	0.2626459	0.0349876	0.3828963	0.1665053	0.4833185	0.5445571	0.2826696	0.0916124	0.3787952	0.5488926	0.1321228	0.5149311	0.3031985	0.6648175	0.0536297	0.3835872	0.2010679	0.3596549	0.2974847	0.0990992	0.2108307	0.2300081	0.3796929	0.3759818	0.2572760	0.6403945	0.3572231	0.6232428	0.6557178	0.2764240	0.4558569	0.5976242	0.3662362	0.4048004	0.1400291	0.5720208	0.4175386	0.5503132	0.4177463	0.0766695	0.3358764	0.0458485	0.7041980	0.3016548	0.5990881	0.2837472	0.0821937	0.2982244	0.3394070	0.2529611	0.3462188	0.0194832	0.1845286	0.0999310	0.2675110	0.6150527	0.5912338	0.5993883	0.1867195	0.5242207	0.3618499	0.4828743	0.2925583	0.2508122	0.2502342	0.1749006	0.6329299	0.0858096	0.2053385	0.6342033	0.0684421	0.3330289	0.2647454	0.5542291	0.1901820	0.2918552	0.0176215	0.1176653	0.5341599	0.6685167	0.2273267	0.1686920	0.3797861	0.1031786	0.5963104	0.7556036	0.5057447	0.6561058	0.3182850	0.6721627	0.7212127	0.0515173	0.6149055	0.7502151
100.0	0.2129576	0.1256489	0.0261666	0.0104616	0.1801991	0.5153884	0.1634470	0.0297264	0.3551839	0.2289427	0.3844079	0.5870800	0.2812373	0.0737456	0.4505430	0.6925029	0.0947243	0.6340483	0.2296897	0.6515905	0.0961268	0.3899732	0.1246890	0.4281859	0.2528814	0.1312718	0.2653176	0.3203959	0.2929786	0.4274590	0.2732226	0.6051725	0.3718838	0.5591761	0.6763628	0.2566764	0.3478979	0.6771706	0.4216498	0.5795432	0.2198736	0.5175374	0.4187937	0.5910866	0.5106777	0.1180768	0.3048839	0.0473527	0.6537137	0.3431409	0.4753673	0.3205696	0.1110180	0.3283422	0.2276159	0.2448173	0.2334795	0.0085444	0.2267885	0.1166109	0.3598326	0.5029651	0.6567377	0.6227008	0.1743961	0.7623977	0.3596693	0.3511964	0.2869225	0.3274924	0.2321042	0.1813902	0.4897276	0.0541822	0.1514768	0.4372220	0.0674475	0.4053229	0.2688018	0.5333659	0.1409004	0.3866821	0.0113649	0.0945734	0.6412000	0.7499148	0.2727048	0.2146868	0.4201298	0.0684039	0.6240119	0.7036293	0.5687884	0.6770285	0.3324118	0.6058456	0.7090427	0.1274939	0.6417445	0.6569367
150.0	0.2388864	0.1718930	0.0320859	0.0013228	0.2068985	0.5429628	0.1889486	0.0504181	0.3427763	0.1940306	0.4170093	0.6052789	0.3175093	0.0527634	0.5144629	0.7671110	0.0712018	0.6355599	0.2588825	0.6550982	0.0753220	0.4225373	0.1639951	0.3924941	0.3848129	0.1278835	0.2789402	0.2750867	0.4192248	0.4517672	0.2532601	0.6744373	0.4265248	0.6078338	0.7029807	0.2839955	0.4041001	0.7273876	0.3057006	0.4801643	0.2167589	0.5993959	0.2979158	0.6420471	0.5503115	0.0574199	0.2604835	0.0471523	0.6248487	0.3805957	0.5665996	0.2472270	0.0620468	0.3302584	0.2135481	0.2383831	0.2319503	0.0160683	0.2407061	0.1367190	0.2561451	0.5507902	0.5832924	0.3669473	0.1372440	0.5605449	0.4106985	0.4065525	0.2817132	0.2410158	0.1717537	0.2240453	0.5027108	0.0602278	0.2204861	0.5773191	0.0478349	0.4395798	0.1793918	0.5330016	0.1319797	0.4543554	0.0036793	0.1114688	0.5194370	0.6854314	0.2267688	0.2373265	0.4058874	0.0794238	0.6424761	0.6785799	0.5524909	0.6576133	0.3259215	0.5644978	0.7635543	0.1564662	0.6553348	0.6836267
200.0	0.2789751	0.1613060	0.0477397	0.0050252	0.3132792	0.4156113	0.1542219	0.0762534	0.4789796	0.1262525	0.4987840	0.5075169	0.3100708	0.0808400	0.4596208	0.6565236	0.1123856	0.5172168	0.2631298	0.6680749	0.1019600	0.3755579	0.2095937	0.3599092	0.2558020	0.2108835	0.3205255	0.1910768	0.4751284	0.4152652	0.2670552	0.6998677	0.4128974	0.5423777	0.6174805	0.3289031	0.4616425	0.6860868	0.4705140	0.4211863	0.2460533	0.5348328	0.3724279	0.5809744	0.5713405	0.0546582	0.2781896	0.0561610	0.6739820	0.2616688	0.6476368	0.1884031	0.0849256	0.2753122	0.1739502	0.2854933	0.2055669	0.0169019	0.2774298	0.1212967	0.3934626	0.6502000	0.7106712	0.5227567	0.2038416	0.5595738	0.3473946	0.4488461	0.3078367	0.2640936	0.1889442	0.2054626	0.4476886	0.1193062	0.1383672	0.6919506	0.0608365	0.2795649	0.2637101	0.6509314	0.1403468	0.3473979	0.0051814	0.0620563	0.6330267	0.7252416	0.2296057	0.2307137	0.3706321	0.0801683	0.7095102	0.7535223	0.5190540	0.6102158	0.4542650	0.6303874	0.5824125	0.0973223	0.6014925	0.5936384
250.0	0.2871771	0.1221416	0.0309913	0.0168138	0.2779880	0.5477991	0.1516009	0.0425773	0.4337432	0.1639695	0.4222929	0.7005760	0.2711058	0.0835074	0.5228250	0.6677398	0.2025543	0.6118401	0.2790273	0.6044496	0.1569434	0.3005180	0.2529224	0.4668155	0.2925254	0.1081226	0.2985801	0.2639674	0.5524063	0.4260092	0.2610184	0.6726146	0.3651937	0.5244941	0.5783604	0.2366037	0.5555399	0.5491951	0.4028533	0.4170266	0.2025809	0.5733737	0.3978148	0.5504784	0.4449423	0.1191245	0.3213586	0.0334238	0.6585850	0.2965196	0.5903935	0.2447261	0.0572131	0.2645354	0.2839618	0.1863934	0.3129173	0.0153222	0.2401037	0.1115394	0.2768453	0.5711184	0.6363966	0.5412304	0.1714571	0.6969343	0.3285974	0.4755148	0.2996945	0.3008611	0.2192449	0.1770916	0.4795310	0.1223579	0.2735673	0.5336647	0.0396303	0.3548602	0.2461656	0.6509906	0.2417281	0.2496801	0.0053180	0.0425892	0.4739304	0.5444456	0.3097534	0.2933667	0.3187148	0.0552645	0.7744928	0.5620596	0.4438087	0.7095311	0.4975216	0.6255176	0.5459854	0.0891136	0.5438756	0.6278562
300.0	0.3142997	0.1317312	0.0133136	0.0189581	0.3040496	0.5902668	0.1168459	0.0564119	0.3432159	0.1969505	0.3574224	0.6760342	0.2941185	0.0747143	0.4653212	0.6806915	0.1339443	0.5694839	0.2857784	0.6695403	0.1822742	0.3381559	0.2052815	0.4208998	0.2960132	0.0767684	0.3477366	0.2584951	0.5761399	0.4767269	0.3290129	0.5119271	0.4055160	0.5838295	0.5429590	0.2369678	0.4651646	0.6872255	0.2684596	0.4135037	0.2882261	0.4540993	0.4804048	0.6767848	0.5065903	0.1021316	0.3606173	0.0351785	0.6903713	0.3631559	0.5904001	0.2694999	0.0670622	0.2522629	0.2714377	0.2420691	0.2584004	0.0156971	0.2082654	0.0777830	0.3390398	0.5005283	0.8222728	0.5752065	0.1642095	0.5922343	0.3717261	0.5909343	0.3335671	0.3567152	0.3201039	0.1881376	0.4430591	0.1343577	0.1880370	0.5358341	0.1136360	0.4571032	0.1748810	0.7255107	0.1834772	0.3058340	0.0470948	0.0326486	0.6996100	0.6359264	0.2734081	0.2907437	0.2933965	0.0726184	0.6441569	0.6139236	0.5648121	0.7721866	0.2915448	0.7330814	0.6105875	0.0743502	0.6436643	0.5410302
350.0	0.3079772	0.1242486	0.0279994	0.0623892	0.2601595	0.5354101	0.1405379	0.0273762	0.4336082	0.1544800	0.4314117	0.6479943	0.2977250	0.0946565	0.4390698	0.6433221	0.1009395	0.4996921	0.3073482	0.5849473	0.1389221	0.3142157	0.1568013	0.3908720	0.2521636	0.0957025	0.2931379	0.2606886	0.6055166	0.5067608	0.2444608	0.5508539	0.4058889	0.5596399	0.6004412	0.1942048	0.3770218	0.5416407	0.4308590	0.3810214	0.2709762	0.4363139	0.4957856	0.5626632	0.5425388	0.0938202	0.3786773	0.0612297	0.6359724	0.3680138	0.6295745	0.1798334	0.1049521	0.2899068	0.2819711	0.2418549	0.3252789	0.0085324	0.2122931	0.0889955	0.3298652	0.4195618	0.5637246	0.4844550	0.2643939	0.5653215	0.3845617	0.4150161	0.3649059	0.2700524	0.2364081	0.1612655	0.4989857	0.0828171	0.1831789	0.5096821	0.1017694	0.3387465	0.2391887	0.6074583	0.2504352	0.4610514	0.0226178	0.0245680	0.5911255	0.6801176	0.2540334	0.2908034	0.3984786	0.0934153	0.6430236	0.5595252	0.6280575	0.5872597	0.2271509	0.6927158	0.5974476	0.0960436	0.6983718	0.6179286
400.0	0.3304450	0.1229172	0.0181310	0.0092901	0.2590351	0.4841869	0.1589661	0.0519312	0.4192948	0.1414693	0.3813696	0.6958511	0.2408845	0.0912133	0.4712863	0.5317820	0.1099653	0.7663284	0.3063354	0.6822780	0.0995502	0.3793424	0.1976067	0.4002159	0.2530969	0.1072557	0.1909796	0.1947805	0.5423556	0.4879469	0.2616266	0.6054910	0.5210118	0.6730322	0.5958451	0.2768525	0.4202656	0.5984492	0.3767098	0.2882863	0.1988714	0.5191225	0.4274423	0.5717137	0.5494450	0.0731699	0.3343647	0.0437496	0.6263331	0.3667651	0.6916926	0.2510275	0.1476878	0.2083782	0.3053923	0.2376998	0.4001021	0.0127455	0.1880764	0.1154765	0.3144577	0.5440308	0.4960717	0.5176325	0.1987635	0.5164222	0.3273887	0.4085063	0.3367067	0.2740398	0.2306841	0.1673744	0.4920174	0.1224297	0.1665739	0.6311311	0.0497524	0.2537055	0.2004337	0.6044280	0.2011891	0.3403758	0.0194726	0.0244560	0.6249217	0.6513930	0.1817415	0.2059964	0.4627453	0.0579787	0.6310999	0.7143318	0.5979773	0.6707786	0.2916777	0.6727240	0.5856812	0.1201062	0.6389760	0.7748962
