"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.3042082	0.1314530	0.0562794	0.0240477	0.2835383	0.5469215	0.2723406	0.0500793	0.3086151	0.1741616	0.4407231	0.5309626	0.2976032	0.1291792	0.4671598	0.5679446	0.0715392	0.6265326	0.3255770	0.5623119	0.0390611	0.4313516	0.1032588	0.2729763	0.2796641	0.1162587	0.3148279	0.2554568	0.2585140	0.6143771	0.2442003	0.5568741	0.4177355	0.4448931	0.6828386	0.2594125	0.4417954	0.6288211	0.3551698	0.4382067	0.1975678	0.6263489	0.4283362	0.6798558	0.4225064	0.1215229	0.4562704	0.0403350	0.7078077	0.3216122	0.5985905	0.3253784	0.1299668	0.2466795	0.2235799	0.2945273	0.4055025	0.0029293	0.1643578	0.0568708	0.2866336	0.3421360	0.6192864	0.5173951	0.1803272	0.5599865	0.4338782	0.4210747	0.2770751	0.2688932	0.1995661	0.2643245	0.5162795	0.0591481	0.1498953	0.5447871	0.0644090	0.3578783	0.2823190	0.6072410	0.1665970	0.3387424	0.0200816	0.3071723	0.7191212	0.6329825	0.2665046	0.2628586	0.4264924	0.0448700	0.6633202	0.7459833	0.5455636	0.6962066	0.2604311	0.5848902	0.6360113	0.0526314	0.6899490	0.6644840
50.0	0.4340046	0.0726328	0.0396013	0.0177055	0.1831627	0.4834825	0.2944740	0.0394938	0.3405386	0.1638050	0.3952622	0.6506107	0.3417483	0.1605508	0.3999083	0.6535609	0.0486446	0.4065920	0.4963334	0.6681435	0.0546233	0.3595171	0.1746419	0.3949683	0.2928584	0.1256431	0.3184355	0.2944422	0.2728324	0.5148031	0.3633887	0.5992573	0.4680483	0.5768989	0.5316240	0.2862229	0.7002791	0.6455426	0.3990751	0.3633185	0.1726791	0.4390252	0.3854610	0.5105224	0.4283155	0.0838929	0.2872317	0.0566853	0.5387027	0.3083972	0.6559172	0.3074580	0.1195505	0.2576259	0.2364194	0.2712478	0.2590641	0.1749568	0.1643390	0.0957008	0.3256496	0.4408551	0.5923351	0.5036383	0.1367747	0.5514234	0.4274715	0.4990526	0.1806763	0.2398501	0.2907859	0.2719807	0.5424961	0.0507593	0.1767790	0.5163029	0.0388095	0.2761784	0.3042556	0.6977033	0.2219660	0.4183284	0.0253245	0.2766674	0.5866288	0.5751719	0.2827785	0.2594130	0.4909284	0.0295144	0.5513754	0.6551170	0.6334698	0.5945533	0.2827678	0.6979825	0.5517159	0.0657386	0.6717380	0.4138138
100.0	0.6121306	0.0290557	0.0731247	0.0418779	0.1460130	0.4184892	0.3682781	0.0164506	0.4383458	0.1759863	0.5077157	0.4841722	0.4418648	0.0905247	0.3764886	0.6253560	0.0104671	0.3197610	0.5333912	0.4818869	0.0707038	0.3066830	0.1449437	0.4691719	0.3033303	0.1113068	0.1883623	0.1958838	0.4741649	0.6126685	0.6341696	0.5905759	0.3608517	0.6051463	0.6917612	0.3949684	0.5453145	0.6092251	0.4800510	0.5142811	0.2558741	0.3773980	0.4284699	0.4772784	0.5474197	0.0530212	0.2128837	0.0455921	0.5284210	0.2753451	0.7961234	0.2873463	0.0631426	0.3573858	0.2713439	0.2153693	0.2950932	0.1619912	0.2827735	0.1416888	0.2667618	0.3256719	0.4671080	0.4196109	0.1726376	0.6448367	0.4385469	0.4157616	0.1536934	0.1113303	0.3505362	0.3615349	0.5425735	0.0141024	0.2651041	0.5206864	0.0357471	0.1772627	0.2769013	0.7237200	0.3867398	0.4053978	0.0201566	0.3676349	0.5248875	0.6578721	0.2491381	0.2385008	0.4918531	0.0316583	0.5927166	0.5190666	0.5208473	0.6762552	0.3257020	0.5987700	0.7428752	0.1257512	0.6373868	0.4113160
150.0	0.4755929	0.0358541	0.0867367	0.0276697	0.1910615	0.4533113	0.2645362	0.0087982	0.4086111	0.1524502	0.5126460	0.4397515	0.4908505	0.0884762	0.3830015	0.6148030	0.0035627	0.2154692	0.5106530	0.5889851	0.1285513	0.3072789	0.1414224	0.4982151	0.3294132	0.1446295	0.2796978	0.2201249	0.4156333	0.5618502	0.5897273	0.5872399	0.4114440	0.5936204	0.7718429	0.4794547	0.5808685	0.6822969	0.2957857	0.4745508	0.1766004	0.4408064	0.4190752	0.5003663	0.4141431	0.0656394	0.3138326	0.0513964	0.5577870	0.3974994	0.5725233	0.1725494	0.0725715	0.4100762	0.2310503	0.2030041	0.2096347	0.2451727	0.3360322	0.1555289	0.3275373	0.3373427	0.5713453	0.5404154	0.1686252	0.5492525	0.5121392	0.5013462	0.1159715	0.1363056	0.4078694	0.3621967	0.5557089	0.0011329	0.3509714	0.5291839	0.0384200	0.1018288	0.3024774	0.6853834	0.2769931	0.3941035	0.0012284	0.2656769	0.4960095	0.6002741	0.2263258	0.2959056	0.7090087	0.0220868	0.6018726	0.4455616	0.6399216	0.5453775	0.3315640	0.7364017	0.7229079	0.0935839	0.4872108	0.3415916
200.0	0.3772846	0.0231680	0.0461527	0.0078905	0.1923148	0.4883274	0.2895810	0.0083130	0.3628592	0.1861880	0.5615742	0.3266190	0.4533561	0.0837526	0.3984054	0.5729945	0.0101466	0.1766295	0.5540228	0.6658966	0.0915453	0.2762393	0.1328738	0.4222789	0.2821157	0.1436986	0.1900553	0.2575598	0.2506188	0.6060652	0.5693911	0.5455967	0.4334777	0.5175025	0.5972860	0.4532171	0.6251517	0.6442808	0.3808854	0.4496664	0.1815968	0.5364037	0.3382707	0.5319857	0.3718114	0.0713411	0.2285139	0.0838967	0.5772949	0.4727516	0.5546518	0.1812380	0.0284236	0.5033441	0.1648365	0.3146872	0.2131093	0.2820005	0.3668063	0.1770368	0.3458831	0.4638745	0.7547259	0.6871853	0.1496421	0.4980924	0.5679808	0.4026881	0.1120519	0.1391125	0.4573097	0.3023423	0.5218349	0.0029659	0.4847497	0.5442334	0.0792611	0.0572258	0.4198924	0.6003090	0.2832192	0.4625441	0.0016105	0.3081409	0.6694274	0.5287124	0.3299414	0.3253835	0.5682203	0.0311569	0.7479161	0.5851618	0.5222320	0.6995270	0.4734019	0.7320073	0.6750583	0.0635391	0.6994377	0.2827142
250.0	0.4556220	0.0131959	0.0510015	0.0219213	0.1626154	0.3446452	0.2615136	0.0153348	0.3777765	0.2213099	0.4658093	0.4688009	0.4218205	0.0662259	0.3423912	0.5326179	0.0058975	0.1730945	0.5187936	0.6807355	0.1877250	0.2698838	0.0859857	0.4089375	0.3579984	0.1212238	0.2198089	0.2034453	0.2762334	0.7214809	0.5304389	0.6743965	0.4043698	0.5766988	0.5395152	0.4842763	0.7083349	0.7311872	0.3251893	0.5282683	0.1525027	0.4775761	0.3465600	0.5084681	0.4355168	0.0436614	0.3080805	0.0536594	0.3944749	0.4738587	0.7165908	0.2448862	0.0419332	0.4142865	0.2174937	0.2959976	0.2383887	0.2773373	0.3001552	0.1864469	0.3368464	0.4220783	0.6363604	0.5502438	0.1659793	0.4077706	0.4884879	0.3843238	0.1683550	0.1568634	0.5991133	0.2992224	0.4665708	0.0008864	0.3013881	0.5520840	0.0641073	0.0715373	0.3244692	0.6099603	0.3241667	0.3213036	0.0008407	0.4201301	0.5920401	0.6656041	0.2092717	0.2959751	0.5155857	0.0442030	0.7052241	0.4691649	0.5510296	0.6466581	0.3804251	0.6330037	0.6634871	0.0562407	0.5690459	0.2362593
300.0	0.4887841	0.0243468	0.0416338	0.0322547	0.1277544	0.4754738	0.2725676	0.0054786	0.3016679	0.1620709	0.4992286	0.6069658	0.3639391	0.0490298	0.2726589	0.7151484	0.0060064	0.1611921	0.5510283	0.5718626	0.2662256	0.2767670	0.1457951	0.3703061	0.3878945	0.1374236	0.2195707	0.2602266	0.2109906	0.5906690	0.5777899	0.5588205	0.4379527	0.6158083	0.6730283	0.4631273	0.5081733	0.6459066	0.2916935	0.4764464	0.1944457	0.5218106	0.4163185	0.5424039	0.4512335	0.0398414	0.3968137	0.0619520	0.4684373	0.4959755	0.6349238	0.2315359	0.0192485	0.3627612	0.1905357	0.2225192	0.2301965	0.3889028	0.3882655	0.2223557	0.2501484	0.4342451	0.5544295	0.5037387	0.1463547	0.4606194	0.6017898	0.3799795	0.1366610	0.1194852	0.4708524	0.3200541	0.5232659	0.0015564	0.2852100	0.3868499	0.0771230	0.0780351	0.3611575	0.7270618	0.2292642	0.4089221	0.0003987	0.4432164	0.6185338	0.6863251	0.2559431	0.2873914	0.6252378	0.0602055	0.7457818	0.3574813	0.5693079	0.6139529	0.2578993	0.7696615	0.7087559	0.0739382	0.5484776	0.3480730
350.0	0.4246129	0.0229247	0.0570074	0.0370143	0.1273687	0.4645062	0.3275860	0.0048452	0.2940143	0.2354904	0.5325050	0.4469181	0.3910916	0.0636438	0.3086089	0.5944139	0.0088518	0.2898664	0.4873894	0.6212073	0.3070896	0.2509948	0.1349836	0.3742702	0.4109431	0.1049678	0.2929890	0.2719772	0.2932058	0.5869585	0.5917479	0.6505281	0.4272204	0.6742087	0.5887392	0.4576236	0.5932310	0.5527382	0.3969950	0.4083862	0.1726579	0.5105891	0.3649470	0.4595126	0.3944871	0.0360903	0.3540362	0.0262415	0.4114094	0.6086099	0.6209990	0.2827135	0.0375931	0.4469662	0.1546043	0.2215906	0.1844647	0.3247322	0.3652719	0.1965691	0.2443163	0.3870039	0.6977571	0.5780637	0.2001670	0.4322263	0.4436762	0.4886544	0.1418634	0.0988349	0.4848910	0.2812755	0.5171554	0.0036775	0.3674752	0.4145673	0.0666541	0.0631801	0.3770981	0.5918617	0.2511405	0.3049910	0.0002394	0.4306559	0.6646118	0.6990203	0.2946825	0.2610608	0.5783496	0.1057694	0.5981263	0.4712881	0.4678491	0.5745121	0.2788613	0.7406945	0.6062150	0.0808350	0.5560905	0.2726499
400.0	0.3057482	0.0181151	0.0716692	0.0478503	0.1834699	0.3453419	0.2655512	0.0277216	0.4061538	0.2195089	0.5222272	0.4695858	0.3550090	0.0457698	0.3104925	0.6654630	0.0083279	0.2595295	0.6351862	0.6253088	0.3577335	0.2772158	0.1641250	0.4515644	0.4324675	0.1096878	0.3124623	0.2142837	0.2893578	0.6088873	0.4930730	0.5609901	0.3554320	0.5390098	0.5629155	0.4967459	0.5975708	0.5641639	0.2860761	0.4575780	0.1919491	0.3920844	0.4469371	0.5824641	0.4224785	0.0379810	0.2726911	0.0579517	0.4585580	0.4531781	0.6226740	0.2103336	0.0363222	0.4493201	0.2105272	0.2978851	0.2406624	0.2752530	0.3580628	0.2194213	0.2580717	0.4532626	0.6890089	0.4801432	0.1427329	0.5157407	0.5931620	0.4587999	0.1111188	0.0911857	0.4565368	0.3433776	0.3419812	0.0016135	0.3940938	0.5308402	0.1008631	0.0462969	0.4346944	0.6815135	0.3139534	0.4113390	0.0006649	0.4889444	0.6276758	0.5486525	0.3311181	0.2412058	0.6009056	0.0210360	0.6389973	0.5036811	0.5175734	0.6606138	0.2901969	0.6493543	0.6708955	0.0618275	0.7040739	0.2689716
