"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.0514739	0.3534601	0.3012010	0.4269798	0.4350904	0.4798526	0.3884628	0.2288272	0.4992870	0.1960368	0.2556477	0.5700254	0.2838715	0.3031167	0.5095058	0.6809365	0.1069043	0.6445539	0.3625348	0.6530297	0.1904156	0.2897693	0.3442908	0.0617355	0.0258030	0.0843452	0.5014383	0.0259200	0.0009332	0.3221053	0.0472968	0.2399617	0.6572939	0.1473826	0.6068522	0.1370274	0.3923016	0.6030941	0.4905093	0.4546437	0.4755564	0.5420821	0.4263782	0.6556280	0.4120799	0.0601604	0.3418809	0.0547976	0.6163570	0.1633156	0.6865917	0.2414907	0.1290947	0.5020910	0.3148997	0.2691435	0.2402930	0.3995243	0.2196066	0.1475772	0.2830401	0.5483121	0.6396855	0.1741406	0.0666102	0.7364415	0.2836587	0.4211783	0.0328633	0.4298196	0.4080823	0.6015389	0.4308165	0.1292606	0.1134490	0.5849848	0.0310323	0.2758292	0.4048689	0.6141822	0.1433894	0.4627421	0.5464539	0.6176580	0.4638171	0.6925786	0.2711525	0.2535002	0.4664898	0.0928169	0.6804796	0.5823715	0.5734212	0.6435410	0.5720419	0.2099383	0.5264018	0.0565411	0.6254430	0.6108549
0.3688986	0.1192765	0.0990414	0.0151265	0.2477744	0.2853881	0.5955999	0.1025510	0.3973495	0.0006411	0.5466720	0.3954567	0.4303778	0.3899881	0.0347761	0.6718989	0.0748918	0.0825006	0.4195571	0.6426941	0.1498886	0.6387924	0.5933101	0.0986748	0.1253826	0.0467592	0.2957935	0.2432454	0.2739270	0.6218050	0.2198511	0.4762999	0.4803742	0.4259867	0.6699549	0.2107133	0.4440212	0.1492839	0.2467767	0.5093971	0.3010278	0.2055226	0.4568021	0.0030660	0.5984949	0.0753914	0.5104451	0.4961977	0.6414112	0.3155702	0.5690982	0.3111850	0.0392264	0.3719094	0.2380622	0.1062327	0.1425847	0.1255756	0.2342160	0.1494469	0.0580433	0.5535236	0.4816824	0.4608498	0.2463531	0.5980327	0.5091227	0.5103428	0.3528999	0.2506982	0.3410912	0.4266215	0.0371480	0.1659916	0.3046399	0.4634533	0.0082041	0.4610916	0.0968366	0.7477546	0.1977931	0.4835105	0.0155499	0.1698796	0.5147256	0.4084949	0.1581708	0.1955045	0.5184698	0.0355429	0.6421425	0.3437271	0.6240546	0.6419731	0.5686967	0.5425542	0.8231372	0.0972454	0.1912461	0.3976753
0.1985629	0.0744605	0.0519231	0.0480322	0.3154984	0.4299267	0.6374072	0.0890495	0.4580557	0.0505232	0.2181785	0.8000728	0.5732233	0.5756199	0.1884833	0.6012745	0.0684587	0.0335048	0.5544302	0.3118461	0.0280130	0.3846166	0.2555897	0.2631427	0.6159310	0.2306524	0.3237506	0.5720756	0.4201490	0.7552663	0.3223015	0.7857813	0.0723024	0.3158708	0.6527886	0.6133444	0.5371880	0.2548071	0.6311288	0.0790908	0.1250732	0.1053921	0.1553035	0.0125442	0.2414491	0.6713335	0.0539818	0.4617502	0.5917244	0.3249157	0.1036907	0.5703023	0.5017395	0.3538309	0.5898106	0.6714145	0.6416659	0.0096876	0.0247288	0.4648782	0.4796587	0.1900593	0.4984412	0.4194014	0.1204023	0.2877976	0.0945150	0.0886034	0.3908996	0.2306238	0.3157372	0.5678342	0.0284633	0.2413894	0.0034508	0.5652046	0.0964426	0.1201364	0.1739476	0.6413794	0.3617893	0.5962483	0.0170303	0.1992440	0.6392776	0.5594512	0.3672063	0.0131490	0.5138785	0.6765107	0.4776854	0.6648316	0.5285854	0.4137760	0.6603481	0.7221805	0.6532403	0.0364110	0.0590836	0.7600035
0.0338981	0.3876320	0.4378852	0.5563621	0.4952641	0.5622304	0.3862797	0.4011491	0.3717879	0.0010354	0.3913686	0.3734960	0.3661150	0.1289542	0.5757127	0.5934195	0.0624659	0.3119212	0.3289900	0.4547415	0.3841428	0.3960927	0.3423043	0.4632184	0.0827791	0.0421400	0.2265991	0.0812571	0.0014536	0.3844478	0.1470161	0.5214041	0.6836208	0.2273527	0.2054249	0.3254516	0.2789583	0.7263347	0.3597399	0.4486419	0.5099073	0.5783083	0.3885643	0.6462880	0.5881474	0.0631617	0.3588403	0.0466355	0.5834040	0.2027350	0.6757013	0.2668948	0.1182459	0.4116981	0.1275779	0.1394829	0.1819116	0.0432590	0.5371688	0.3606715	0.2706447	0.0461255	0.6071720	0.4173061	0.2155952	0.2675332	0.4885197	0.4138233	0.1867261	0.2756319	0.3673395	0.1277778	0.4158526	0.0022355	0.2019737	0.5337183	0.0754958	0.4197545	0.2337481	0.7074785	0.3288522	0.4275011	0.4868343	0.7572477	0.5861010	0.0530735	0.1474693	0.2087899	0.5233460	0.0060534	0.6329007	0.5620034	0.7711764	0.6550743	0.6070041	0.6528595	0.6814542	0.0207310	0.7308997	0.1249801
0.1060619	0.2848882	0.3237743	0.4356431	0.4821287	0.6131537	0.7174621	0.3573278	0.2738423	0.0021817	0.4234991	0.4649136	0.0481851	0.0232216	0.3362679	0.3047224	0.1405874	0.5373052	0.0280616	0.5371722	0.2915873	0.3272474	0.5219508	0.3839916	0.0499033	0.1001215	0.2947719	0.1951953	0.1936549	0.6149651	0.3084203	0.5840121	0.4721046	0.5725032	0.2052263	0.3939924	0.1664878	0.6024293	0.4805562	0.4098075	0.4535622	0.4486893	0.4619427	0.5034545	0.2681113	0.1814280	0.3248348	0.0689725	0.5857452	0.0885183	0.6055649	0.0862465	0.0941813	0.5090614	0.3681545	0.3046135	0.1483372	0.2694680	0.2317032	0.1186007	0.2643428	0.6603003	0.4188394	0.4808339	0.1677331	0.6054623	0.2400405	0.3060305	0.5432987	0.6250563	0.2352167	0.3912734	0.5145565	0.0760426	0.3551673	0.5691669	0.0591031	0.2838488	0.3225008	0.7742513	0.1297795	0.2337880	0.3901392	0.6418235	0.4452289	0.5828896	0.2324058	0.1200823	0.4951602	0.4295861	0.5257031	0.6336414	0.6020106	0.3658237	0.2693157	0.5459952	0.6934813	0.0999340	0.3982897	0.2579178
0.0533019	0.3356814	0.3096521	0.3287311	0.7549894	0.4751011	0.3135164	0.3315371	0.3841582	0.0040046	0.2991404	0.6595260	0.4779468	0.4613000	0.0155069	0.7625645	0.0884863	0.4213096	0.4641920	0.2885962	0.0542746	0.3157950	0.0410999	0.3602397	0.4735742	0.1746066	0.4637414	0.2101242	0.2562031	0.6272298	0.3365406	0.6511114	0.1407443	0.5731366	0.6895704	0.0271499	0.4334675	0.6965214	0.2112461	0.4615024	0.1877060	0.4168058	0.2980508	0.6327004	0.5084763	0.5793658	0.4924528	0.0544992	0.2379898	0.6466750	0.6381145	0.2136728	0.1258601	0.5601307	0.2973906	0.1153367	0.3093293	0.0123643	0.1652116	0.0149622	0.3112423	0.3661782	0.0136321	0.5593032	0.0103123	0.6917510	0.2855952	0.4827422	0.2982029	0.5773544	0.3345363	0.2694587	0.5258319	0.0078705	0.3154314	0.4029479	0.0001831	0.0001214	0.2182064	0.6261213	0.2426487	0.0216881	0.3918072	0.2101229	0.2693014	0.6269845	0.5436048	0.0507406	0.5072676	0.0739031	0.6262892	0.2343460	0.7088022	0.0265817	0.0140185	0.0083108	0.6709216	0.0410314	0.2110234	0.7282601
0.0899341	0.3079882	0.3844599	0.5881887	0.4848989	0.6004494	0.6841362	0.4135664	0.5510217	0.0008369	0.3615062	0.6762097	0.5639104	0.0561139	0.0898185	0.8029431	0.0087312	0.5459769	0.6711638	0.6566745	0.5500363	0.3958693	0.1486741	0.4012510	0.0417016	0.0060350	0.3455335	0.2119028	0.2143509	0.3736139	0.5577942	0.6588570	0.4679309	0.6965286	0.6259918	0.0273777	0.4343767	0.6641645	0.2769842	0.6913894	0.2114936	0.6301632	0.4458745	0.6314964	0.5667899	0.0603364	0.5742728	0.0473744	0.6525054	0.2317531	0.6907225	0.2050383	0.0277639	0.4207953	0.1236377	0.1560119	0.1783143	0.0007010	0.2400017	0.1775488	0.0303924	0.5474948	0.6259021	0.6347831	0.0022767	0.7637005	0.4084918	0.6009249	0.4408168	0.7366035	0.3625029	0.3319754	0.4550807	0.1532437	0.6486858	0.6103752	0.0737028	0.3066434	0.3334634	0.6438339	0.2342282	0.3813355	0.5335698	0.5142295	0.4379624	0.6232382	0.5095610	0.0199367	0.4070332	0.0402823	0.7219609	0.0637313	0.4581588	0.6867158	0.5888407	0.1855747	0.6136553	0.0923273	0.4863215	0.6436246
0.0590466	0.0186310	0.2688812	0.3882688	0.3593045	0.6724697	0.2435418	0.1727794	0.5113268	0.0013043	0.3747536	0.2815919	0.2272928	0.4128177	0.4996356	0.5987642	0.1524157	0.6424916	0.4031894	0.6084293	0.0300261	0.3189021	0.0900797	0.2548310	0.0935073	0.1239420	0.3104430	0.2624694	0.2698525	0.5865810	0.6788291	0.6385360	0.3351536	0.5813519	0.5650337	0.3229868	0.4672287	0.6283050	0.3392524	0.4278710	0.4033093	0.6256482	0.5287026	0.5753348	0.4196918	0.3450547	0.2653050	0.0491223	0.6371140	0.2702186	0.6948850	0.3000475	0.1725659	0.5964975	0.3083732	0.2574015	0.3050954	0.0067039	0.2475974	0.0777105	0.0939864	0.1909863	0.4033236	0.5790254	0.1499704	0.1135593	0.3062421	0.4770918	0.4436347	0.3416035	0.6103719	0.4414954	0.6430317	0.0067795	0.1714626	0.7104123	0.0761281	0.1585793	0.2939053	0.0699417	0.1674713	0.2925738	0.3368515	0.5429696	0.7366983	0.3120635	0.2555949	0.3112881	0.3245480	0.1151711	0.6389389	0.6098262	0.6432331	0.5977675	0.0590664	0.5896563	0.7824447	0.0594202	0.0308718	0.7006278
0.2975579	0.1964805	0.0040290	0.0077377	0.3451969	0.2310722	0.0422171	0.0641835	0.3703164	0.1924332	0.4165702	0.4517453	0.1131919	0.0779155	0.0911958	0.5985930	0.2041866	0.5937062	0.3059085	0.3004080	0.0003320	0.6347840	0.6739191	0.6472091	0.0088739	0.1185051	0.5008593	0.3544094	0.6410320	0.6154477	0.2510603	0.4931465	0.4452261	0.5321490	0.6594877	0.2140974	0.4457081	0.1179981	0.0951022	0.5679011	0.5554326	0.2463016	0.0387372	0.4322445	0.2651332	0.6976265	0.1728288	0.5727133	0.6173436	0.0855264	0.6511829	0.1403500	0.1138623	0.4863166	0.1839175	0.2362526	0.1682514	0.0037295	0.4002663	0.3356654	0.1917801	0.3454520	0.2014602	0.3746868	0.0108507	0.7331869	0.3457522	0.4888929	0.5682191	0.1429385	0.1627051	0.2108852	0.4535238	0.0152179	0.1214670	0.5297155	0.0227470	0.0001382	0.1132694	0.7389171	0.1763497	0.0161703	0.0144944	0.0100135	0.6251415	0.6535235	0.0217919	0.5588003	0.3090631	0.5650918	0.5494116	0.6123110	0.6579369	0.2824889	0.0136123	0.7000874	0.3344517	0.1034543	0.4573554	0.5868756
0.0926363	0.2923105	0.2114715	0.6316951	0.3442650	0.4633494	0.2928518	0.2457407	0.6397714	0.1975332	0.3940595	0.6306176	0.1308528	0.3662235	0.6298517	0.6564449	0.1185193	0.3339872	0.0595397	0.6091587	0.5860751	0.2133019	0.6834151	0.2828478	0.3326483	0.0317262	0.0964304	0.0245730	0.0218061	0.4980522	0.0699318	0.2315899	0.6224187	0.6474549	0.7259881	0.4077948	0.5261207	0.6456527	0.2849836	0.2097802	0.1923536	0.4436437	0.7737902	0.6062701	0.4778280	0.0173271	0.3359725	0.0136784	0.4047890	0.5928725	0.5696128	0.1274065	0.1998966	0.5908672	0.4400232	0.3186750	0.0464386	0.1110319	0.1028371	0.1504844	0.1403342	0.6520863	0.6184263	0.3496879	0.1643665	0.6939105	0.3369950	0.4023849	0.1252638	0.5035885	0.1955250	0.4200624	0.5412397	0.0037219	0.2890162	0.6102689	0.0197625	0.2949567	0.1581369	0.7281284	0.1572081	0.4626941	0.0858799	0.6450033	0.1019758	0.5854477	0.4679854	0.3980874	0.2318787	0.0665224	0.5157938	0.5244122	0.4572152	0.0682651	0.4945029	0.8298566	0.4481645	0.1812730	0.5990487	0.6486889
