"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.5392206	0.1806248	0.1059446	0.0266370	0.3750156	0.7396930	0.4302964	0.0634940	0.5474778	0.2756068	0.7262304	0.9220053	0.4682463	0.2190812	0.7066921	1.0266631	0.1722041	0.9174988	0.4782576	0.9776419	0.1140057	0.6333289	0.2804442	0.6099085	0.3771931	0.2156168	0.5439240	0.3267212	0.4300786	0.8594688	0.3903130	0.9675337	0.7548607	0.8627808	1.1082077	0.3914337	0.6506035	0.9404739	0.6061833	0.6313477	0.3025835	0.8671649	0.6414832	0.8970693	0.8220526	0.1559475	0.4301542	0.0465430	1.0432823	0.4778089	0.9199505	0.4901815	0.1398486	0.5208192	0.4993387	0.4223410	0.5009026	0.0207225	0.3229861	0.1905883	0.4300210	0.8173459	0.9328662	0.8015408	0.2700287	0.8777708	0.4987989	0.7316374	0.4297157	0.3942501	0.4221982	0.3607082	0.7684624	0.0779889	0.2414280	0.8897358	0.1055117	0.5138291	0.4235084	1.0812414	0.2831785	0.6108366	0.0275057	0.4169301	0.9817049	0.9402313	0.4200909	0.3183343	0.5432880	0.0926515	1.0093845	1.0367310	0.9187290	0.9693549	0.5561694	1.0060686	1.0652967	0.1441777	0.9933453	0.9007807
50.0	0.0285900	0.2167087	0.0389471	0.0598473	0.4290352	0.7136263	0.3703414	0.0999881	0.5837987	0.2736419	0.6440169	0.9509480	0.4506537	0.1903047	0.7498491	0.9932358	0.1602930	0.9293716	0.5264046	0.9289100	0.1283978	0.5008036	0.2481687	0.6455874	0.4514158	0.2562456	0.4799748	0.3405221	0.3982356	0.7206716	0.4136845	1.0035357	0.7145357	0.8929549	1.0890138	0.3764551	0.6934820	1.0423550	0.5580754	0.6092054	0.3547829	0.7441299	0.6492985	0.8764030	0.8074283	0.1608601	0.4334883	0.0589305	0.9805782	0.3985315	0.9755824	0.4445667	0.1931745	0.4299893	0.4523510	0.3484135	0.5175376	0.0047247	0.2568410	0.1695075	0.5653392	0.8248883	0.9299907	0.7876963	0.2526755	0.8810720	0.5862605	0.6913322	0.5096470	0.3375343	0.4171419	0.2829790	0.7524720	0.1111126	0.2386828	0.8501192	0.0837249	0.4832090	0.3658007	1.0626917	0.2627645	0.5710885	0.0219992	0.3597014	0.9274370	0.9449196	0.4159805	0.3238614	0.6328933	0.0696813	1.0542713	1.1240325	0.9376215	0.9940947	0.5493263	0.9268235	1.0310008	0.1296466	1.0538338	1.0289132
100.0	0.0039239	0.3522790	0.0099151	0.2999230	0.5051341	0.9137170	0.2918151	0.1586187	0.6095046	0.2927704	0.7504068	1.0414152	0.3947065	0.1577089	0.7897323	1.0549652	0.1454548	0.9562298	0.6774990	0.9473278	0.0788057	0.6083391	0.2509915	0.5710452	0.5032780	0.2548075	0.4946814	0.3885952	0.5496040	0.7003616	0.3869581	0.9470106	0.8094579	0.9574209	0.9400861	0.3340230	0.7357456	0.9993548	0.6245930	0.6117220	0.3397406	0.7755659	0.6531764	0.8199815	0.7704440	0.1568202	0.4759560	0.0571643	1.0402189	0.5286946	0.9942651	0.3999042	0.2062975	0.4806513	0.5089046	0.3289322	0.4841021	0.0060783	0.2759266	0.1872369	0.5666153	0.7683370	0.9407998	0.7644049	0.2429088	0.9107889	0.5132911	0.7357391	0.5210973	0.4239790	0.4985522	0.3801467	0.7890483	0.0814905	0.2498694	0.8040991	0.0945868	0.4985535	0.3259488	1.0341411	0.2899334	0.5159728	0.0112042	0.2026850	1.0336135	1.0888594	0.3663727	0.3343140	0.5911863	0.0508090	1.0290374	1.0097245	0.9100288	0.9917465	0.5303809	0.9141838	1.0825672	0.1195601	1.0886884	1.0492300
150.0	0.0016253	0.3436581	0.0018996	0.4649347	0.5376026	0.8814588	0.1870966	0.2549107	0.7567494	0.2804096	0.7490253	0.9271766	0.4635825	0.1634357	0.8188282	1.0807629	0.1434125	0.9423522	0.6886421	0.9857708	0.0648761	0.6107570	0.2900081	0.5552951	0.4522222	0.2597804	0.4879935	0.3969530	0.7762292	0.7947123	0.4048317	0.9736954	0.6705594	0.8641202	0.9461190	0.2889480	0.6098354	1.0216741	0.5682718	0.6340198	0.3409791	0.7644124	0.6532917	0.8507201	0.7492417	0.1620048	0.5326354	0.0497131	0.9740502	0.5709992	1.0601527	0.4177862	0.1685694	0.4395642	0.5266225	0.3476940	0.4798617	0.0161321	0.2738440	0.1543829	0.4871157	0.7989759	0.9889362	0.7943093	0.2659110	0.9018689	0.5671659	0.7994371	0.5572987	0.4693899	0.3705254	0.3965647	0.8043659	0.1025947	0.2958513	0.8020594	0.0950563	0.4558735	0.3540044	1.0061531	0.2572540	0.5772612	0.0103241	0.0910839	0.9961634	1.0034252	0.3209857	0.4371969	0.7182955	0.0810616	1.0314010	0.9878149	0.9482849	1.0377525	0.5382396	0.9840314	1.0501379	0.1348930	1.0876041	1.0356793
200.0	0.0049784	0.4599873	0.0007192	0.4739847	0.5410599	0.9855756	0.0923505	0.2970101	0.6986680	0.3436902	0.6997237	0.9694236	0.4316004	0.1685747	0.8629244	0.9518689	0.1269027	0.8340131	0.5600268	0.9255841	0.1188351	0.6266740	0.3018181	0.5449962	0.3988610	0.1896804	0.4723882	0.3552332	0.8905779	0.7505282	0.3870618	1.0163396	0.7555134	0.9052568	0.9685923	0.2384387	0.6544318	0.9246293	0.5870731	0.5779867	0.3513827	0.8464918	0.6456162	0.8231208	0.7775896	0.1577556	0.5000214	0.0614544	1.0097546	0.5371117	1.0008780	0.4310733	0.1712540	0.4545196	0.4805550	0.3515841	0.4863679	0.0177415	0.2124218	0.1719050	0.4693060	0.8451105	0.9503727	0.8654379	0.2735194	0.9208630	0.5221876	0.8163394	0.5266160	0.4367325	0.4400432	0.3531815	0.7771724	0.1086812	0.3274800	0.7408611	0.1483887	0.4900353	0.4600103	1.0510566	0.3005826	0.4586487	0.0227026	0.0591885	1.0017016	0.9821481	0.3227731	0.5149839	0.6623304	0.0929194	1.0340675	1.0873109	0.9749601	1.0757104	0.4901285	0.9650746	1.1190399	0.1383717	1.0528803	1.0831813
250.0	0.0000137	0.4728832	0.0000000	0.4626076	0.6459860	0.9356940	0.0641377	0.2690905	0.7368077	0.2966214	0.6744117	0.9885998	0.4421335	0.1688430	0.7937481	1.0969661	0.1079467	0.8398893	0.5210583	0.9229845	0.1213485	0.5444871	0.3073361	0.5530355	0.3644307	0.1974237	0.4565139	0.3336472	0.9580589	0.6721223	0.4124271	1.0070022	0.6665396	0.9014565	1.0050951	0.2907411	0.6342948	0.9239180	0.5872008	0.6992606	0.3487891	0.7777560	0.5832163	0.8557293	0.7396436	0.2120455	0.4310527	0.0512667	1.0217990	0.5241601	1.0207411	0.4381750	0.2091528	0.4825171	0.5037382	0.3520746	0.4655311	0.0136407	0.2828662	0.1619984	0.5293687	0.9024699	1.0394670	0.7998307	0.2854477	0.9555696	0.5205793	0.7591443	0.5061138	0.4288729	0.4298826	0.3300589	0.7220955	0.1399918	0.2625600	0.7735052	0.1709580	0.5232236	0.4358641	1.0445736	0.2958645	0.4976639	0.0228685	0.0349598	1.0090647	1.0144406	0.2726937	0.4727848	0.6924454	0.1030696	1.0219921	1.0310395	0.9232571	1.0424499	0.4549835	0.9318804	1.0321206	0.1160258	1.0203315	1.0186184
300.0	0.0000000	0.4984752	0.0000000	0.4914503	0.5395709	0.9408441	0.0521212	0.3254403	0.6929391	0.2741487	0.6692954	0.9685573	0.4245280	0.1591554	0.7927525	1.0055904	0.1329252	0.8775567	0.4534518	0.9491549	0.1102965	0.5907480	0.2991621	0.5382831	0.3861533	0.2126574	0.4744906	0.3477162	1.0061875	0.6907182	0.3844566	1.0128066	0.6447269	0.9526318	1.0165202	0.2871627	0.6180807	1.0431325	0.5848625	0.7103309	0.3057027	0.7542359	0.6512893	0.8957362	0.7789578	0.2106441	0.3924098	0.0671888	1.1340651	0.5439119	0.9663887	0.4513257	0.1277177	0.5120481	0.4444534	0.3619715	0.4113637	0.0030362	0.3556301	0.1460242	0.4626454	0.8398952	0.9926494	0.8741242	0.3477303	0.9643226	0.5768448	0.7314002	0.4543947	0.4230835	0.3551862	0.3562147	0.7306829	0.1265522	0.2851467	0.8380662	0.1355975	0.4952600	0.4869393	0.9161109	0.3163685	0.5071450	0.0271115	0.0271337	1.1270319	1.0047507	0.2783426	0.4022832	0.6413175	0.0667981	1.0359873	0.9988160	0.8342133	1.1065481	0.4618738	0.8981492	1.0670884	0.1210368	1.0693038	0.8729587
350.0	0.0000000	0.4649056	0.0000000	0.5134340	0.6207580	1.0402358	0.0448400	0.3255305	0.7691676	0.2828780	0.7075447	1.0392640	0.4249930	0.1715780	0.7751607	0.9769560	0.1541336	0.8480670	0.4907423	0.9679861	0.0952150	0.5893467	0.2379187	0.6079922	0.4775433	0.2153489	0.5009908	0.3623653	0.9686114	0.7042337	0.3508812	0.9857226	0.6908341	0.8942001	1.0156613	0.2811862	0.6126193	0.9832924	0.6024577	0.6605520	0.2616426	0.7999031	0.6443067	0.9091694	0.7157862	0.2441258	0.4994748	0.0479423	1.0209837	0.4167132	1.0102584	0.4119007	0.0821686	0.5216205	0.3887968	0.3266647	0.4083994	0.0129040	0.3611423	0.1483746	0.4370609	0.7834716	0.9681370	0.8340288	0.2621425	1.0089794	0.5141558	0.7136244	0.5168281	0.4948981	0.4134848	0.3416439	0.7143278	0.0911974	0.2919428	0.7931728	0.1129628	0.5194430	0.4989609	0.9750792	0.2612563	0.4570588	0.0166850	0.0222010	1.0849523	0.9923473	0.3674961	0.4231813	0.6080545	0.0994586	1.0467250	1.0305661	0.8672749	0.9718728	0.4770626	0.9430565	0.9404821	0.1113040	1.0615105	0.9503548
400.0	0.0000000	0.5052233	0.0000000	0.4824373	0.5358669	0.9331018	0.0211906	0.2965830	0.7280029	0.2754108	0.6698048	0.9847723	0.4300605	0.1688418	0.7424279	0.9040039	0.1539892	0.8900090	0.4430053	0.9605493	0.0922214	0.5192840	0.2563985	0.6160681	0.5173233	0.1836882	0.4533709	0.3451615	0.9275481	0.7559947	0.3974596	0.9254611	0.6933195	0.8584222	0.9930403	0.3248019	0.6713500	0.9903336	0.5901104	0.6056976	0.2921042	0.7662715	0.6238124	0.8434461	0.7471730	0.2544413	0.4929417	0.0705113	1.0298315	0.3864543	0.9889137	0.3914306	0.0817381	0.5145568	0.3772761	0.3977971	0.3174194	0.0067701	0.3615633	0.1178507	0.4137080	0.7377393	0.9484233	0.8359688	0.2392557	0.9224630	0.5169188	0.7586334	0.4957725	0.4728295	0.4635606	0.3718998	0.7721499	0.0882914	0.3143138	0.8822278	0.1334200	0.4294567	0.4464029	0.9167523	0.2972084	0.5398969	0.0163659	0.0216366	1.0101987	0.9844130	0.3529217	0.4374694	0.5727966	0.0810991	0.9518625	1.0948167	0.8637839	0.9701996	0.4509894	0.9505483	0.9909401	0.1626364	1.0134627	1.0263585
