"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.6845151	0.1523781	0.1051848	0.0017364	0.2743536	0.7518028	0.4046574	0.0529124	0.6456626	0.2810657	0.6711182	0.8842720	0.4086992	0.1823652	0.7160267	1.0442855	0.1941785	0.9305283	0.4832223	0.9929404	0.0712189	0.5584441	0.2682707	0.5585955	0.4617464	0.1682365	0.3987427	0.3861140	0.5196734	0.7154299	0.3255528	0.9219112	0.6884940	0.9862582	1.0348148	0.3751293	0.6836606	1.0320555	0.5563214	0.6727145	0.3325705	0.7903302	0.6962032	0.8523858	0.7975214	0.1541736	0.4867887	0.0751163	1.0162033	0.5613797	0.9507200	0.4249527	0.1631991	0.4637231	0.4587222	0.4374184	0.4291050	0.0210186	0.3225051	0.1588318	0.5188888	0.7711106	0.8775129	0.7507773	0.2609364	0.9002228	0.4661138	0.7184610	0.4774631	0.4946920	0.4505241	0.3194549	0.8049184	0.0809657	0.2187074	0.8803120	0.1321644	0.5283238	0.3950166	0.9137053	0.2557809	0.5085548	0.0146876	0.1646996	0.9534014	0.9740192	0.4408417	0.3163182	0.6282651	0.1315986	0.9518679	0.9879346	0.8457635	1.0416228	0.4214332	0.9413744	1.0259991	0.1123586	0.9695095	1.0311957
50.0	0.3437702	0.1456295	0.0614282	0.0065116	0.3178463	0.7297819	0.3373228	0.0530798	0.5899414	0.2764476	0.6294479	0.9247056	0.4960799	0.1609483	0.7500333	0.9990682	0.1451572	0.9440557	0.4441124	1.0327130	0.0938992	0.5891136	0.3342090	0.6003693	0.4348218	0.1997583	0.3616801	0.3200784	0.5952023	0.7825773	0.3959524	0.8857096	0.6102899	0.9226901	1.0201772	0.4214472	0.7026430	1.0613999	0.5319672	0.6892172	0.3596737	0.8979320	0.6828843	0.9160328	0.7814515	0.2437006	0.5052493	0.0437386	0.9578018	0.5412758	0.9233271	0.4060146	0.1723770	0.4777744	0.4454719	0.4316453	0.4315586	0.0004647	0.3541031	0.1736200	0.4922469	0.8673686	1.0009076	0.8060715	0.3100709	0.9227656	0.5443222	0.7767165	0.4654365	0.4048964	0.3767372	0.2970492	0.7788823	0.0930647	0.3444565	0.9521942	0.1147244	0.5426833	0.4397615	0.9457747	0.2794620	0.6156272	0.0260684	0.1676683	0.9756612	0.9616882	0.3763225	0.3216909	0.7329332	0.1038303	0.9526388	1.0095793	0.8521500	0.9424913	0.4175142	0.9762343	1.0240283	0.1404698	0.9913221	1.0305145
100.0	0.4257901	0.2193421	0.0447030	0.0129049	0.3762354	0.8238798	0.2872024	0.0733617	0.6221383	0.2818342	0.6878143	0.8666195	0.4629325	0.1817869	0.8289643	1.0249154	0.1485315	0.9408587	0.5183447	0.9492895	0.0895870	0.5369639	0.2608156	0.5827566	0.4368641	0.1696549	0.4205254	0.3519677	0.6549833	0.7107246	0.3799763	0.9737585	0.6195880	0.9441736	1.0077065	0.4054289	0.7382192	0.9632782	0.5439963	0.6997018	0.3457159	0.8552534	0.6426129	0.8971032	0.7478227	0.1666247	0.4917842	0.0646196	0.9998581	0.5061864	0.8742067	0.3734194	0.1063789	0.5064204	0.3790940	0.3975096	0.3684708	0.0141802	0.4396120	0.1969357	0.4490875	0.7647072	0.9428307	0.8315535	0.2955477	0.9518262	0.5491388	0.7383147	0.4983990	0.4029396	0.3882189	0.3643213	0.7961636	0.0684884	0.2457400	0.9174871	0.0957405	0.5377812	0.4287934	0.9374380	0.2374727	0.6348052	0.0224099	0.1052814	1.0434850	1.0279921	0.4321113	0.3607948	0.6364398	0.1345141	0.9803390	1.0606587	0.8475397	1.0819248	0.5316322	0.8938220	1.0382309	0.1221870	0.9961609	0.9976361
150.0	0.4319687	0.2257636	0.0316936	0.0191476	0.4560189	0.7974006	0.2151770	0.0749220	0.6612000	0.3160403	0.6331158	0.9528731	0.4156145	0.1664853	0.8409061	1.0401849	0.1350054	0.9213136	0.5196815	1.0563019	0.1423032	0.5677348	0.2590857	0.5985685	0.4259586	0.1816523	0.5074210	0.3572844	0.7025911	0.7386321	0.3710802	0.9841009	0.6870326	0.8064714	1.0841630	0.4258358	0.6817098	0.9311750	0.5331153	0.6657437	0.3464047	0.7780286	0.7088127	0.9337550	0.7687001	0.1053361	0.4813051	0.0328623	1.0509231	0.5052230	0.9670921	0.3568772	0.1023771	0.5099386	0.3615606	0.4084346	0.3412353	0.0284540	0.4011230	0.1995323	0.4318457	0.8189491	1.0430175	0.7346524	0.2579653	0.8947169	0.4941994	0.7557940	0.4129240	0.3806484	0.2823348	0.2847159	0.8365410	0.0905382	0.2651807	0.8497685	0.1082664	0.5583571	0.3856681	0.9835406	0.2995588	0.6526061	0.0128617	0.0698741	1.0459422	1.0585620	0.3399098	0.3435561	0.6314402	0.0796691	1.0230465	1.0912790	0.7899423	1.1075984	0.5537590	0.9548086	0.9846463	0.1354680	0.9526098	0.9320836
200.0	0.5046980	0.2097388	0.0383122	0.0124521	0.5154997	0.8047516	0.2054032	0.0983145	0.6536767	0.2768901	0.6830472	0.9934492	0.4014782	0.1543418	0.7900732	1.0036606	0.1414786	0.8933126	0.5000787	1.0480420	0.3698248	0.6267536	0.3238603	0.5704246	0.4134995	0.2074879	0.4824319	0.4132893	0.7878119	0.7217330	0.3856478	1.0211480	0.6722053	0.8965383	1.0632502	0.3591200	0.8000012	1.0868925	0.5791906	0.6308498	0.3418108	0.8525439	0.7528982	0.9519244	0.7809933	0.1072442	0.5217159	0.0435492	1.0237586	0.4202002	0.9924673	0.3928943	0.1269438	0.4650105	0.4215618	0.3356373	0.3666016	0.0270188	0.3486493	0.1938553	0.4594764	0.9046617	1.0294940	0.7028728	0.3069174	0.9621396	0.5593709	0.7507071	0.4539960	0.4164270	0.2920983	0.2865355	0.7849137	0.1513060	0.2554826	0.9144125	0.0691874	0.5081950	0.3732523	1.0006920	0.2738903	0.5859454	0.0233765	0.0533109	1.0036057	1.0134932	0.4139438	0.3505218	0.5632987	0.0771266	1.0466401	1.0542343	0.8063858	1.1253358	0.6109459	1.0204374	1.0178237	0.1224116	0.9692463	0.9706433
250.0	0.4832769	0.1962135	0.0206065	0.0395551	0.4788200	0.8547611	0.2109030	0.0586451	0.6479558	0.2716289	0.6493534	0.9824995	0.3889994	0.1542271	0.8012315	0.9286859	0.1791121	0.8886305	0.4824193	1.0111021	0.4454147	0.5577912	0.3068030	0.5699711	0.4582653	0.1804793	0.5118060	0.4012047	0.7706744	0.6353197	0.3904055	1.0051381	0.7058277	0.9480478	1.0421931	0.3179954	0.7131483	0.9595292	0.5806294	0.5834891	0.3790853	0.8033868	0.7576647	0.9141870	0.6816971	0.1552572	0.5974725	0.0543659	1.0726024	0.4463678	1.0272040	0.3696454	0.0970182	0.4140212	0.4234747	0.3130078	0.4077029	0.0166982	0.3495296	0.1322121	0.4763174	0.8484988	1.0538826	0.8013226	0.2799224	1.0106080	0.6215265	0.7212718	0.5030598	0.4239144	0.3935680	0.2744830	0.7339652	0.1879361	0.2926049	0.8236901	0.0624095	0.4929539	0.2900339	1.0459826	0.3174060	0.4859264	0.0207658	0.0794630	0.9880287	0.9235909	0.3716236	0.4209828	0.5005684	0.0791927	1.1198581	1.0157360	0.8272339	1.0424436	0.5518079	1.0896259	1.0149120	0.1388022	1.0155190	0.9404785
300.0	0.5497504	0.2046716	0.0286923	0.0143751	0.4844657	0.8192518	0.1775573	0.0612467	0.6383039	0.2908497	0.6472808	1.0134641	0.3946514	0.1530057	0.8382260	1.0262565	0.1796841	0.9628080	0.4853967	1.0040813	0.2266680	0.5615761	0.3144686	0.6081677	0.4969941	0.1880768	0.4624973	0.3495334	0.7879982	0.6908201	0.3898386	1.0129108	0.6773473	0.8981569	1.0203830	0.3536748	0.6844670	0.9862495	0.6448517	0.5021377	0.3634991	0.7886757	0.6393552	0.9674985	0.7429475	0.1698093	0.5797319	0.0496686	0.9995471	0.5050247	1.0212720	0.3926952	0.1081556	0.4781885	0.4463805	0.4058453	0.4722076	0.0099092	0.3287974	0.1567015	0.4604323	0.8193234	0.9230919	0.7900297	0.2897471	0.9814519	0.6367132	0.7191151	0.4672261	0.4330248	0.4268644	0.3573810	0.7242377	0.1647665	0.3175101	0.8636379	0.1115646	0.5409645	0.2992915	1.0152418	0.2619939	0.5396669	0.0299081	0.0520043	1.0442474	0.8856907	0.3451953	0.4560807	0.6138227	0.1150049	1.0474590	1.1090032	0.8590472	1.0160401	0.4608034	1.0436182	1.0406603	0.1313183	1.0050373	1.0533786
350.0	0.5352250	0.2077783	0.0320256	0.0062368	0.3560998	0.7055563	0.2021128	0.0581110	0.6888414	0.2744343	0.6466754	0.9204386	0.3879400	0.1285023	0.8248195	0.9612105	0.1434462	1.0022983	0.4537450	0.9832665	0.1344855	0.5382752	0.2998610	0.5897549	0.4190680	0.1844567	0.3330492	0.3780222	0.7920914	0.6870559	0.3585828	0.9123102	0.6661323	0.9409464	0.9089050	0.3774812	0.6526959	0.9491821	0.5958608	0.5328040	0.3563542	0.8190691	0.7249371	0.8619896	0.8157561	0.1958536	0.5494454	0.0471243	0.9950128	0.5609615	0.9530435	0.4396483	0.1639648	0.4082681	0.4999643	0.4424501	0.5423300	0.0093819	0.3108943	0.1384064	0.5528341	0.8193486	0.9091423	0.8621562	0.2957957	0.9774048	0.5277095	0.6991440	0.4794700	0.4612237	0.4636148	0.3237304	0.7340307	0.1026863	0.3082667	0.9201544	0.1213787	0.4653987	0.3611854	0.9597663	0.2412071	0.6105112	0.0242052	0.0393864	0.9446134	0.9650568	0.3154211	0.3167726	0.6718461	0.1192550	1.0311046	1.0005260	0.8975690	1.0682460	0.4800571	1.0234200	0.9509598	0.1269240	0.9997995	1.0507004
400.0	0.4584181	0.1829203	0.0368917	0.0039421	0.3963277	0.7401702	0.2270572	0.0584143	0.6380715	0.2616615	0.5700099	0.9984105	0.4195571	0.1402794	0.8072775	1.0392503	0.1721413	1.0011329	0.5184570	1.0069477	0.0987237	0.4465730	0.3113503	0.5745255	0.4369263	0.2176576	0.4004288	0.4022731	0.8423525	0.6857712	0.4731767	0.9513088	0.6677293	0.9136104	0.9757250	0.4410778	0.6746662	1.0300707	0.5228839	0.5614331	0.3471440	0.7828734	0.6274804	0.8078070	0.7578412	0.1547657	0.5019798	0.0514673	0.8475607	0.4897654	0.9846449	0.4329435	0.2101055	0.4027035	0.4337222	0.4595442	0.5284150	0.0143504	0.2668287	0.1463838	0.5040281	0.7929939	0.9325956	0.8121736	0.2952824	0.9757833	0.4092407	0.6865758	0.4981335	0.5266429	0.4248178	0.2980612	0.7929708	0.1150994	0.2405324	0.8596994	0.1051383	0.4250490	0.3444824	1.0763778	0.3184083	0.5438389	0.0181168	0.0506786	0.9421680	0.9593418	0.3755484	0.2621700	0.6431630	0.1069992	0.9664313	1.0809717	0.8842373	0.9948585	0.6015210	0.8915413	1.0097413	0.1545720	0.9953899	1.1587809
