"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.4509645	0.1736348	0.0735777	0.0361458	0.3727118	0.8273453	0.4248620	0.0792475	0.4770240	0.2801628	0.6900065	0.9538993	0.5016912	0.2231471	0.6934057	1.0192135	0.1343935	0.8780734	0.5558939	0.9469125	0.0719971	0.5740927	0.2141442	0.4980504	0.4520930	0.2162659	0.5243265	0.3819997	0.4330644	0.8552018	0.4643180	0.9802193	0.6676554	0.8351900	1.0239128	0.3546985	0.6663697	0.9742295	0.6265215	0.6122882	0.3311952	0.8484219	0.6731701	0.8856928	0.6966583	0.1821013	0.5854034	0.0634915	1.0045951	0.5147546	0.9049070	0.5090066	0.1348865	0.4266120	0.4324564	0.4497557	0.5191962	0.0036726	0.2615093	0.1192052	0.4529754	0.6584020	0.9840496	0.7488365	0.2512227	0.9178984	0.6179059	0.6882285	0.5006084	0.4414708	0.3795183	0.4171920	0.7799717	0.0879912	0.2686881	0.8215550	0.0953431	0.5466267	0.4566515	0.9971637	0.2407987	0.5247080	0.0355143	0.4267628	0.9712005	1.0742245	0.4307035	0.4186151	0.6561466	0.0875440	1.0222672	1.1021254	0.8345368	1.0609280	0.4711340	1.0132739	0.9770658	0.1058950	1.0177379	1.0287393
50.0	0.7123228	0.1219252	0.0547390	0.0377010	0.3677460	0.7234050	0.3632666	0.0569057	0.5668891	0.2922957	0.7076566	0.8325683	0.5669874	0.2310356	0.6277383	1.0219502	0.0809800	0.6215870	0.6271618	0.9913276	0.0860135	0.5257426	0.2425802	0.5595692	0.4160628	0.1839405	0.4391739	0.4200037	0.4858976	0.8818740	0.6513204	0.9783033	0.6999973	0.8979657	0.9565205	0.4814551	0.8439850	0.8992376	0.6567606	0.6168141	0.3357909	0.7620762	0.5908520	0.8934664	0.7422856	0.1469451	0.4722136	0.0867664	0.9195292	0.4811748	1.0575472	0.4435718	0.0995891	0.4793507	0.4029725	0.4593876	0.4738335	0.2310171	0.3197942	0.1886688	0.5369127	0.6072707	0.8990970	0.7914008	0.2535305	0.8071080	0.6950094	0.7654152	0.3350860	0.3445500	0.4743276	0.3950164	0.8073457	0.0525874	0.3339551	0.7982096	0.0816482	0.3968323	0.4759545	1.0762072	0.3643063	0.6258125	0.0300832	0.4294633	0.8197251	0.8654565	0.4486085	0.3605298	0.7395381	0.0610550	0.9676215	0.9358160	0.9549258	0.9347883	0.5108998	1.0598540	0.8961070	0.1453119	1.0699887	0.7794540
100.0	0.8327137	0.0500625	0.0833933	0.0391440	0.2804152	0.7188739	0.4752917	0.0381476	0.6705638	0.2507796	0.7845814	0.7399444	0.6679067	0.1799349	0.5778533	0.9836093	0.0273306	0.4487595	0.7973410	0.9304557	0.0864319	0.4710893	0.2532381	0.6579230	0.4166131	0.1499061	0.3522910	0.3563755	0.5993164	0.9986979	0.8345518	1.0261595	0.6050160	0.9264771	1.0834145	0.6357059	0.9642017	0.9391762	0.6037042	0.6962999	0.3230508	0.7199046	0.5278645	0.7635195	0.7547985	0.1034258	0.3847247	0.0877564	0.8299365	0.5275438	1.1084514	0.4241033	0.0930011	0.5334366	0.4061326	0.3990088	0.4517501	0.3327567	0.3826366	0.2670377	0.4660787	0.6363988	0.8802746	0.8246050	0.2575530	0.8562229	0.7036142	0.7477565	0.2749461	0.2235517	0.6634240	0.4702695	0.8687292	0.0235675	0.4582021	0.8494235	0.0853211	0.2287357	0.4718351	1.0737583	0.4183880	0.6907296	0.0157931	0.4973418	0.9259648	1.0103768	0.4569548	0.4258454	0.7190930	0.0594376	0.9888939	0.8456791	0.8592813	0.9879726	0.5619651	1.0881478	1.0048183	0.1477066	1.0229454	0.5874983
150.0	0.6912665	0.0398518	0.1060793	0.0304777	0.2846016	0.7371918	0.4574665	0.0202282	0.7049608	0.2653874	0.7561035	0.7283174	0.6924294	0.1599575	0.5191462	0.9462499	0.0131140	0.3202083	0.8095282	0.9280457	0.1638624	0.4560085	0.2009570	0.6632833	0.5163817	0.1751504	0.3642991	0.3777282	0.5182048	1.0106380	0.8995580	0.9840184	0.6398946	0.8979710	1.1016035	0.7222985	0.9183430	1.0374155	0.5443508	0.6871926	0.3190721	0.6988437	0.5955209	0.8260101	0.7601419	0.0867303	0.4375906	0.0865299	0.8111236	0.6454719	1.0601641	0.3154120	0.0886004	0.5753671	0.3517384	0.3519197	0.3495476	0.4322216	0.5247476	0.2932960	0.5044934	0.6273383	1.0125425	0.8459812	0.2874804	0.7921777	0.8108974	0.7625489	0.2141926	0.1950440	0.6757833	0.5445758	0.8420268	0.0061533	0.5187453	0.8190284	0.0653280	0.1453195	0.3798380	1.1237101	0.4838352	0.6503169	0.0078551	0.4921026	0.9395103	0.9442564	0.4120503	0.4621569	0.8677446	0.0421699	1.0616533	0.7355403	0.8028913	0.9145354	0.5504164	1.1493807	1.0469174	0.1478708	0.9909227	0.5202474
200.0	0.5937654	0.0192562	0.1150379	0.0226266	0.2535730	0.6669335	0.4552353	0.0322587	0.6139867	0.2764580	0.8162303	0.6106099	0.7582273	0.1338408	0.5176191	0.9184629	0.0260372	0.2755022	0.7790074	0.9671272	0.1676182	0.4408960	0.2069753	0.6660848	0.5833109	0.2083657	0.3179116	0.3809049	0.4556417	1.0510499	0.8137652	0.9569054	0.6085454	0.8745452	0.9673174	0.7672887	0.8961178	0.9612944	0.6055796	0.6872130	0.3028915	0.7822742	0.5955321	0.9424090	0.6630806	0.0812579	0.4441449	0.0940618	0.7883017	0.7670464	0.9403309	0.3753126	0.0730348	0.6416344	0.2922739	0.3500057	0.3612790	0.4135985	0.5046509	0.3393834	0.4457429	0.7009893	1.0384099	0.8907290	0.2899429	0.7152856	0.8580923	0.6860035	0.2215335	0.1951172	0.7806971	0.5664800	0.8113230	0.0051034	0.6467780	0.7859541	0.1108600	0.1050993	0.4761430	1.0774625	0.5282481	0.5899115	0.0015602	0.5551502	1.0017098	0.8597471	0.4901879	0.4864119	0.8262866	0.0462254	1.0683596	0.7382487	0.8379350	0.9793159	0.6445869	1.0873604	1.0717170	0.1408948	0.9169144	0.4143418
250.0	0.6925192	0.0162019	0.0841351	0.0403807	0.2738608	0.6323402	0.4748882	0.0266090	0.6412080	0.3250246	0.7914780	0.6564058	0.7026551	0.1387448	0.5230236	0.8771444	0.0108457	0.2711692	0.7955785	1.0940765	0.3063624	0.4837734	0.1802256	0.6289763	0.5886597	0.1833000	0.4288247	0.3303009	0.3652484	1.0830196	0.9194521	0.9303059	0.6622414	0.8640900	0.8505391	0.7698220	0.8916220	1.0596475	0.5271306	0.7580077	0.3275018	0.7455461	0.5748051	0.8690863	0.6896590	0.0810331	0.4214609	0.0735934	0.7176387	0.6852872	1.0398283	0.3845477	0.0473062	0.7641563	0.3260643	0.3736155	0.3936647	0.4849719	0.4940001	0.3658914	0.5308276	0.6372029	0.9603295	0.8750631	0.2443207	0.6833051	0.9262604	0.6158466	0.2297692	0.2327473	0.7723867	0.5400786	0.7978955	0.0017179	0.5781470	0.7861547	0.1198000	0.0986196	0.4764718	1.0374904	0.5094658	0.5091680	0.0015658	0.6273272	0.9592997	0.9588170	0.4050822	0.4295012	0.9068504	0.0765138	1.0724951	0.6853357	0.8469508	0.9976149	0.6029434	1.0459233	1.0987199	0.1337440	0.9095910	0.4154236
300.0	0.7339502	0.0326923	0.0773621	0.0366096	0.2465501	0.6632178	0.4843733	0.0114853	0.6162534	0.3024619	0.8647149	0.7716848	0.6003189	0.1240297	0.4948665	0.9063233	0.0093074	0.3100840	0.7975790	0.9721104	0.4013515	0.4798224	0.1928262	0.6151772	0.5216715	0.1847439	0.3957427	0.3530646	0.4307883	1.0218229	0.9260019	0.8545169	0.6753247	0.9152675	0.9796565	0.7453826	0.8955287	1.0036646	0.4987702	0.7424256	0.3482401	0.8050349	0.5903029	0.8069873	0.6632943	0.0958973	0.5550460	0.0625051	0.8055206	0.7498714	1.0794647	0.3837122	0.0507319	0.6646795	0.2957674	0.4018527	0.3338710	0.5561463	0.6137100	0.3530919	0.4421769	0.6348057	0.9359196	0.8616873	0.2497470	0.7102668	0.8840449	0.6101112	0.2830522	0.2186341	0.7460168	0.5150969	0.8443488	0.0020987	0.5564963	0.7311212	0.1545578	0.0982023	0.5448317	1.0251827	0.4166375	0.5991073	0.0007527	0.6303658	0.9324563	0.9224140	0.4703947	0.4842076	0.8809286	0.0915425	1.1002952	0.6440667	0.8785286	0.9129502	0.4799730	1.1005798	1.0703584	0.1479421	0.8930390	0.4418554
350.0	0.6933701	0.0251412	0.0882120	0.0433648	0.2349985	0.7583890	0.4656665	0.0179200	0.6149527	0.3550024	0.8574588	0.7029180	0.6377038	0.1376167	0.4855661	0.9716143	0.0110522	0.3832940	0.8237651	1.0624168	0.5047705	0.4523744	0.2279957	0.5762562	0.5297707	0.2225464	0.4113603	0.3776262	0.5093665	1.0793027	0.9459323	1.0490708	0.6975600	1.0204312	1.0164569	0.7459022	0.9542442	0.9421732	0.5155272	0.6673522	0.2725687	0.7944369	0.6188039	0.7689403	0.6763920	0.0678944	0.5374263	0.0526188	0.6826641	0.7591260	1.0734847	0.4066890	0.0664925	0.7632392	0.2953780	0.4182781	0.3686521	0.5363750	0.6206395	0.2790060	0.3632194	0.7051268	1.1103986	0.9350540	0.2795388	0.7216929	0.8570016	0.7599664	0.2183999	0.1263371	0.7501544	0.4705155	0.8193135	0.0036942	0.5787337	0.7443506	0.1470794	0.0778727	0.5795157	1.0092901	0.4513454	0.5459759	0.0007967	0.6675837	0.9576215	1.0035702	0.5095301	0.3974652	0.9894076	0.0875046	1.0423666	0.8063974	0.8147554	0.9099753	0.4394066	1.0883330	1.0483603	0.1129194	0.9988278	0.4540346
400.0	0.6021568	0.0116400	0.1060675	0.0415681	0.2416250	0.5607317	0.4941938	0.0346831	0.5927395	0.3302421	0.8370301	0.6945240	0.7148570	0.1290927	0.4645364	1.0549978	0.0070198	0.4071685	0.8631967	1.0850175	0.5262783	0.4695182	0.2277643	0.6595155	0.6230677	0.2252623	0.3862667	0.3806823	0.4624393	1.1192541	0.9342986	0.9874023	0.6106074	0.9337498	0.9659554	0.7993726	0.8897760	0.9318280	0.5311209	0.6611591	0.2364205	0.6794946	0.6524604	0.7606285	0.6560462	0.0602196	0.4685462	0.0884199	0.6582074	0.7597601	0.8911487	0.3615302	0.0873370	0.7094587	0.3091103	0.3990663	0.3218020	0.5090383	0.5656681	0.2919563	0.4167619	0.7563334	1.0736843	0.8349066	0.2652884	0.7585229	0.9008337	0.7364789	0.1907165	0.1248153	0.7586594	0.4671914	0.6739606	0.0032070	0.6033682	0.7965170	0.1550337	0.0683901	0.6676387	1.1032017	0.5158121	0.6104266	0.0018490	0.6588636	1.0026414	0.8618701	0.4684226	0.3993336	0.9952782	0.0623695	0.9569128	0.8052755	0.8093614	0.8935205	0.4708739	1.1058059	1.0011779	0.1231165	0.9726852	0.4276265
