"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.1078303	0.4633655	0.4107094	0.6894456	0.5558703	0.7833151	0.5293435	0.4189568	0.8813676	0.3472527	0.6142667	0.9432482	0.4007754	0.5460547	0.8329987	0.9726064	0.1504042	0.9522304	0.5182591	1.0497147	0.1855866	0.5209388	0.5841534	0.0842224	0.0672762	0.1892152	0.7874716	0.0411698	0.0017259	0.4913128	0.0585128	0.3732159	0.9884163	0.2619003	0.9503265	0.2188489	0.7581526	0.9643737	0.6939265	0.6835855	0.6812630	0.7273083	0.6597942	0.9531158	0.7367939	0.0676758	0.5430282	0.0559566	0.9935264	0.1797882	0.9776640	0.3810638	0.2809240	0.8670760	0.4062727	0.3822231	0.3833122	0.6750003	0.3883822	0.2386521	0.4363326	0.8232331	1.0117383	0.2901591	0.1024446	1.0314241	0.5011238	0.5921151	0.0471158	0.6970010	0.6098537	1.0183748	0.7504952	0.2219491	0.2206951	0.8757953	0.0279224	0.4959418	0.5639304	0.9904753	0.2227580	0.9350403	1.0158074	1.0113333	0.8387300	0.9848023	0.3877492	0.3743423	0.6579097	0.1597600	0.9419655	1.0181190	1.0131628	1.0752510	0.8923056	0.3769777	0.9929806	0.0918292	1.0069008	1.0059498
0.6163320	0.1757261	0.1292471	0.0327798	0.3683610	0.4789965	1.0241017	0.1661811	0.6426929	0.0005371	0.7184707	0.7367510	0.5757591	0.6114902	0.0534531	1.0520376	0.1443064	0.1386282	0.7368468	0.9878233	0.2667266	0.8439329	0.9661292	0.1908378	0.2023361	0.0358747	0.4345899	0.3796150	0.4660053	0.9823647	0.3730055	0.9309751	0.7734725	0.7530808	0.9846691	0.2953003	0.8096810	0.2377005	0.3694638	0.6628031	0.4378036	0.2902036	0.6831807	0.0033812	0.9783402	0.1013013	0.6422276	0.9338005	0.9916030	0.5573141	0.9967753	0.5063348	0.0846951	0.5954349	0.3146558	0.2303441	0.2862771	0.1420665	0.4639219	0.2289262	0.1211008	0.8745212	0.9644642	0.7723169	0.2687702	0.8690722	0.8325601	0.7924344	0.4677207	0.3842600	0.5082629	0.7885729	0.0893919	0.3059377	0.4725911	0.6560403	0.0116530	0.5330915	0.1502088	1.0255497	0.2891503	0.6779483	0.0248655	0.3210050	0.8790848	0.7939047	0.2660929	0.2903159	0.7097586	0.0682291	0.9637500	0.5217112	1.0387972	1.0708434	0.7944087	0.9596668	1.0087641	0.1409719	0.3072456	0.6704109
0.3667771	0.1549920	0.1167119	0.0225511	0.5006598	0.5773167	0.9126712	0.1643350	0.6807268	0.0944749	0.3310037	1.1019495	1.0017107	0.8556186	0.2602235	1.0068532	0.0877240	0.0506876	1.0120670	0.4320671	0.0689254	0.5526967	0.4823639	0.4489681	0.7324908	0.3576694	0.5303919	0.7824069	0.6631959	1.0914494	0.4760718	1.0541246	0.1266532	0.3577113	0.9607408	0.7641254	0.8720207	0.3585250	0.9940145	0.1119633	0.1949042	0.1127971	0.2627879	0.0211704	0.3111257	0.9732467	0.1209739	0.7707200	1.0058650	0.5561891	0.1208319	0.8610353	0.7559075	0.5517168	0.9911654	1.0152462	0.9924447	0.0042414	0.0182833	0.7792418	0.7105094	0.4115620	0.5778758	0.5601158	0.1868985	0.4301894	0.1469225	0.1107475	0.6100803	0.2874072	0.5534889	0.6456353	0.0277995	0.3837111	0.0041353	0.9802929	0.1053083	0.2239658	0.2555731	1.0190043	0.4962728	0.7815325	0.0063307	0.1919638	0.8090627	0.9762892	0.5408996	0.0287623	0.8265687	0.9564791	0.8317986	1.0718181	0.9872412	0.6903101	0.8999068	1.0259494	0.9711875	0.0414023	0.0921161	0.9999145
0.0542454	0.4458058	0.6677956	0.9169064	0.9072852	0.9317490	0.5538659	0.6354699	0.6088867	0.0007913	0.7530019	0.5002212	0.5173081	0.2062424	0.8400402	1.0233210	0.1347942	0.4710884	0.6639663	0.8752675	0.8720022	0.5234766	0.4747811	0.6224430	0.1431833	0.0459765	0.3622680	0.1198453	0.0014144	0.7079716	0.2762399	1.0470500	0.9479847	0.3979466	0.3434527	0.3933520	0.3969432	1.0972892	0.5005524	0.6719740	0.8228439	0.8320277	0.6246630	0.9407626	0.8735701	0.1098652	0.6865198	0.0360898	0.9918540	0.3169592	1.0292003	0.4023200	0.0864426	0.5984655	0.2002270	0.2562533	0.2639760	0.0387428	0.8913254	0.4943999	0.4508187	0.0502454	1.0287426	0.6697808	0.3487321	0.3277876	0.8513029	0.5340344	0.2889393	0.4463113	0.5095394	0.2358105	0.5466686	0.0020208	0.2861493	0.7798015	0.1039747	0.5703775	0.4476097	1.0609729	0.6237369	0.8945066	0.8858790	1.0673075	0.9803265	0.0527102	0.2016075	0.4279781	0.7335569	0.0112591	0.9723265	0.9610633	1.0291475	0.9643735	0.8652502	0.9805699	0.9500866	0.0614495	0.9946085	0.2379191
0.0500022	0.3605437	0.4696092	0.8740119	0.7747889	0.9525735	0.9969919	0.5177476	0.4810617	0.0070392	0.7012486	0.7415533	0.0983597	0.0239136	0.5751917	0.4936557	0.2423797	0.9943089	0.0450044	0.7752032	0.4129574	0.5843174	0.9321976	0.6240335	0.1213596	0.1944597	0.4510868	0.3996011	0.3107173	1.0213206	0.4344847	1.0263175	0.6912175	0.8930394	0.2852229	0.6165999	0.2268847	0.9167918	0.6691391	0.7164319	0.8036976	0.7686123	0.5673845	0.8886411	0.4287445	0.2956452	0.4940493	0.0702896	1.0639905	0.1448281	1.0316889	0.1141570	0.1211206	0.7845782	0.5130806	0.4274713	0.2265067	0.2981783	0.2977349	0.1216447	0.4528037	0.8009058	0.6795319	0.8184213	0.3025501	0.9968822	0.3750252	0.4195798	0.8456561	0.8805396	0.4442130	0.5092197	0.7796805	0.0712347	0.6255832	0.9118300	0.0823557	0.4679473	0.4032363	1.0521605	0.2721722	0.4410174	0.6851107	0.9872331	0.8238393	0.9253594	0.4267205	0.1869744	0.8246598	0.8183946	1.0225496	1.0630955	0.8741963	0.5597583	0.2931973	0.9928189	0.9884160	0.1483458	0.6479465	0.4418581
0.0829104	0.4337106	0.5379678	0.6293879	1.0043087	0.8917474	0.5565715	0.5119060	0.6984884	0.0001126	0.4456694	1.0307621	0.8286162	0.7965428	0.0410935	0.9878056	0.1357068	0.6613206	0.9017383	0.3743181	0.0770302	0.6045630	0.0656813	0.5260519	0.6152408	0.2154358	0.7656269	0.3651739	0.3768931	0.9857194	0.5081731	0.9334593	0.2861772	0.8960564	1.0067388	0.0214157	0.6455374	1.0485308	0.3137970	0.5836904	0.2964187	0.6919936	0.7334640	0.9797974	0.6692503	0.9567496	0.7834335	0.0466336	0.4059386	0.9009187	0.9855635	0.4604881	0.1510297	0.9070365	0.4743634	0.2955237	0.4795522	0.0028059	0.3126234	0.0382920	0.5183916	0.5104971	0.0362722	0.8408910	0.0161387	0.9443228	0.4140085	1.0048984	0.5037233	0.9779201	0.5531331	0.4468438	0.6882109	0.0029651	0.3633948	0.7574163	0.0003457	0.0003735	0.3960277	0.9510763	0.2667165	0.0412647	0.6671975	0.3013491	0.4556707	1.0128723	0.7737840	0.0900754	0.8561177	0.0974184	0.9880074	0.2345391	1.0096866	0.0586578	0.0315694	0.0125726	0.9944855	0.0667215	0.4377913	1.1048047
0.1084650	0.5034204	0.4883302	0.9142511	0.7136473	0.9915801	1.0337779	0.6646558	0.7173375	0.0006539	0.6237525	0.9396159	0.8318096	0.1253382	0.1703774	1.0907365	0.0138261	0.6720497	0.9410805	1.0666895	0.6698731	0.5853775	0.2231632	0.6205408	0.0806831	0.0062024	0.4616222	0.4180159	0.3633442	0.6889236	0.7271186	0.9726133	0.6931329	0.9433566	0.9715153	0.0302237	0.7601286	1.1207059	0.3987409	0.8806888	0.3790730	0.9891091	0.7362885	0.9380241	0.8100768	0.0865614	0.8260941	0.0626375	1.0617142	0.3935302	1.0420862	0.3072029	0.0492327	0.7273848	0.1524511	0.2927722	0.2627256	0.0007204	0.4782722	0.3232747	0.0538105	0.9130395	1.0729533	0.9389486	0.0005410	1.0682475	0.5990317	0.8478225	0.6504707	1.0069927	0.6149755	0.5450781	0.7525706	0.2403424	0.9139481	0.7821941	0.1007292	0.4933807	0.3711715	1.0360880	0.2520378	0.5222414	0.8075433	0.9686220	0.6290784	1.0310020	0.9590080	0.0291943	0.6807708	0.1038753	0.9609947	0.1152683	0.7567933	1.0036006	0.9957600	0.3631579	1.0181507	0.1607868	0.7698389	0.9602028
0.1065800	0.0357860	0.5145961	0.6076778	0.7178495	0.9343466	0.5178190	0.2957340	0.7313939	0.0022914	0.6132642	0.3532955	0.4395066	0.8103429	0.8318238	1.0764952	0.1849134	0.9225163	0.5640184	0.9382613	0.0877351	0.5819591	0.1746734	0.4867994	0.1085110	0.2235890	0.5097776	0.3487230	0.3820741	0.7459574	0.9227680	0.8958146	0.5772818	0.8511243	0.9757926	0.4245448	0.7187601	1.0210942	0.6514399	0.5526872	0.6851394	0.9325053	0.6989248	0.8866859	0.6782192	0.5138722	0.4630268	0.0779006	0.9571262	0.4936045	1.0353533	0.4266853	0.1190801	0.8264345	0.3786491	0.3276459	0.4845418	0.0007108	0.3040930	0.0657699	0.2108606	0.1898316	0.6009528	1.0250099	0.2496300	0.2290044	0.5243456	0.8683927	0.6932948	0.4552752	1.0125227	0.6254576	1.0014438	0.0116207	0.2967530	0.9319393	0.0594598	0.3244996	0.1971810	0.1115442	0.2561681	0.3064596	0.5988240	0.8144622	1.0155717	0.5450154	0.4018990	0.5138266	0.5393458	0.1604842	0.9203402	0.9417652	0.9574863	1.0222818	0.0861181	0.9433752	1.1089548	0.1399412	0.0389681	1.0769734
0.4838886	0.3290170	0.0221492	0.0008185	0.4869616	0.3383642	0.0858413	0.0554215	0.7341033	0.3477930	0.7866571	0.7702172	0.2346496	0.0451030	0.1249145	1.0082346	0.3530685	0.9126627	0.5300091	0.4602373	0.0000488	0.9502366	0.7793423	0.9768138	0.0207471	0.1337246	0.5611697	0.4583204	0.9771957	1.0225983	0.4168136	1.0036071	0.6009749	0.8091631	0.9986363	0.3425603	0.6877972	0.1976995	0.0791010	0.9254364	0.7807142	0.3862985	0.0716084	0.8221364	0.3238780	0.9836665	0.3416723	0.9471934	0.9852256	0.1057470	0.9566320	0.2626251	0.2145667	0.7079738	0.2540765	0.2796975	0.1671187	0.0132467	0.5773854	0.7371262	0.2582143	0.5074437	0.2232194	0.6534054	0.0348641	1.0225398	0.6827575	0.9558653	0.8418663	0.2955905	0.2095529	0.3275730	0.7562589	0.0139034	0.2062453	0.8270953	0.0955926	0.0043767	0.1792642	1.0996940	0.2236518	0.0481007	0.0287975	0.0308076	1.0133737	1.0021379	0.0594070	1.0311897	0.4764818	0.9028505	0.8432259	1.0260575	0.8686054	0.4191502	0.0258794	1.1611976	0.4437411	0.1034227	0.7507449	0.8780876
0.1421414	0.4450999	0.3051552	1.0452381	0.5441267	0.8953454	0.4861181	0.3553993	0.8434708	0.2963089	0.7234878	0.9855895	0.1968882	0.6507258	0.9394916	1.0048223	0.1912047	0.5554757	0.0890165	0.9326130	1.0198075	0.3584186	0.7978578	0.5400130	0.5441391	0.0549516	0.1280725	0.0384517	0.0271731	0.8479556	0.0980585	0.3784365	1.0912450	0.9972077	1.0168554	0.6404203	0.6452711	1.0183789	0.4453009	0.3277929	0.2845126	0.6542220	1.0519759	0.8585817	0.7186509	0.0403228	0.4931426	0.0123369	0.7065011	0.8136047	0.8673767	0.1486368	0.3044349	1.0297625	0.7056209	0.5239769	0.1031524	0.2497150	0.1712308	0.2272985	0.1787903	1.0372657	0.9467985	0.4723736	0.3529919	1.0739325	0.7442739	0.7826011	0.2548261	0.6955213	0.2057208	0.5588560	0.9359830	0.0000654	0.4470895	0.9410770	0.0276843	0.4274088	0.2738917	1.0720244	0.3236686	0.7423317	0.1359279	0.9929923	0.2201069	1.0371825	0.5650855	0.8244804	0.4265096	0.1113500	0.9219099	1.0470155	0.6780540	0.1332654	0.7833807	1.1240654	0.7184449	0.2499680	1.0439793	1.0682628
