"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.4886673	0.3645360	0.9391922	0.6364417	0.1532282	0.9456710	0.8022119	0.7116925	1.0000000	0.3250331	0.5193084	0.1891039	0.2607557	0.4305739	0.2169215	0.3493641	0.8217110	0.4277610	0.7588305	0.6638888	0.2592541	0.2148461	0.7802245	0.6376279	0.8400960	0.9527723	0.4175530	0.7541073	0.0876768	0.0061388	0.3000527	0.5809375	0.9990455	0.4096337	0.2742845	0.1661074	0.9443913	0.0405911	0.9878490	0.3831237	1.0000000	0.0665016	0.8331706	0.0689875	0.0779075	0.9999455	0.5563902	0.3782242	0.8511746	0.8629363	0.2025205	0.9796734	0.6830880	0.8142309	0.9970995	0.6275404	0.1249237	0.0390022	0.0776564	0.9999764	0.0180698	0.1837946	0.3950930	0.6621136	0.3170336	0.8455705	0.0578326	0.0899956	0.4116447	0.0526934	0.9949376	0.4899193	0.3290448	0.0575985	0.6246925	0.0728100	0.9261364	0.7425784	0.4341659	0.5009042	0.6215907	0.4174513	1.0000000	0.0693214	0.8415432	0.9831188	0.1049707	0.9997403	0.0754633	0.9999987	1.0000000	1.0000000	0.0951374	0.7053534	0.1240134	0.7779647	0.8161671	1.0000000	0.0411406	0.8755837
50.0	0.4887094	0.3643495	0.9391921	0.6364406	0.1532282	0.9456713	0.8037940	0.7264780	1.0000000	0.3250331	0.5193084	0.1885078	0.1686218	0.4251656	0.2266153	0.3550531	0.8212540	0.4269151	0.7596237	0.6787042	0.2428573	0.1520176	0.7866574	0.6644650	0.8374023	0.9498326	0.4175254	0.7541072	0.0876769	0.0061388	0.3000523	0.5809477	0.9990455	0.4096330	0.2742842	0.1633881	0.9443842	0.0406198	0.9878490	0.3831237	1.0000000	0.0665016	0.8331706	0.0689879	0.0779075	0.9999455	0.5563902	0.3782392	0.8511747	0.8629357	0.2021721	0.9796749	0.6830896	0.8129504	0.9971133	0.6275471	0.1249247	0.0390022	0.0776574	0.9999764	0.0180700	0.1837938	0.3950818	0.6620983	0.3099375	0.8457993	0.0578191	0.0900126	0.4113872	0.0526836	0.9949240	0.3419183	0.3243130	0.0575985	0.6247251	0.0728100	0.9262114	0.7424283	0.4341660	0.5007883	0.6215909	0.4174516	1.0000000	0.0693214	0.8475440	0.9837846	0.1167988	0.9997602	0.0754178	0.9999987	1.0000000	1.0000000	0.0951372	0.7053532	0.1240133	0.7779648	0.8161540	1.0000000	0.0411407	0.8755836
100.0	0.4893895	0.3592270	0.9392241	0.6363632	0.1532378	0.9456988	0.8087484	0.8025054	1.0000000	0.3250331	0.5193084	0.1847738	0.0829469	0.3831648	0.2921827	0.3798790	0.8188840	0.3950809	0.7626388	0.7496719	0.1819630	0.0455350	0.8072097	0.7800567	0.8251644	0.9169693	0.4170692	0.7541159	0.0876626	0.0061388	0.2999976	0.5810819	0.9990448	0.4095830	0.2742605	0.1354165	0.9442327	0.0427899	0.9878490	0.3831237	1.0000000	0.0665016	0.8331706	0.0689950	0.0779075	0.9999458	0.5563904	0.3788429	0.8511741	0.8629354	0.1932155	0.9798766	0.6833378	0.7303078	0.9974054	0.6275399	0.1249244	0.0390022	0.0777015	0.9999764	0.0180696	0.1837901	0.3951083	0.6618052	0.2641011	0.8514619	0.0575633	0.0904769	0.4059016	0.0524507	0.9945305	0.1760948	0.3059410	0.0576020	0.6261146	0.0728100	0.9278194	0.7371477	0.4341684	0.4981910	0.6215782	0.4174395	1.0000000	0.0693205	0.9005810	0.9885544	0.3457808	0.9998600	0.0754730	0.9999987	1.0000000	1.0000000	0.0951452	0.7053025	0.1240146	0.7779554	0.8155504	1.0000000	0.0411422	0.8755779
150.0	0.4908409	0.3354277	0.9394330	0.6359324	0.1533063	0.9458645	0.8113942	0.8936789	1.0000000	0.3250331	0.5193084	0.1820299	0.0388987	0.2958327	0.3941809	0.4024764	0.7979064	0.3193569	0.7674987	0.8381586	0.1144188	0.0125646	0.8175317	0.8890664	0.8118124	0.8616711	0.4143523	0.7541950	0.0875416	0.0061388	0.2995647	0.5817938	0.9990395	0.4092078	0.2740872	0.0958722	0.9433662	0.0619665	0.9878490	0.3831237	1.0000000	0.0665016	0.8331706	0.0690394	0.0779060	0.9999467	0.5563946	0.3816501	0.8511600	0.8629354	0.1600227	0.9815617	0.6855349	0.5213081	0.9982131	0.6273617	0.1249083	0.0390022	0.0779423	0.9999764	0.0180620	0.1837895	0.3958946	0.6600045	0.1895228	0.8727027	0.0570036	0.0929854	0.3906848	0.0517380	0.9921813	0.0817713	0.2903138	0.0576350	0.6326978	0.0728102	0.9327430	0.7150038	0.4341958	0.4903229	0.6214256	0.4172941	1.0000000	0.0693110	0.9580579	0.9936228	0.6481535	0.9999368	0.0772326	0.9999987	1.0000000	1.0000000	0.0952170	0.7048902	0.1240282	0.7778744	0.8125740	1.0000000	0.0411565	0.8755160
200.0	0.4921307	0.2830751	0.9398777	0.6351333	0.1536121	0.9462000	0.8016824	0.9534113	1.0000000	0.3250331	0.5193084	0.1810530	0.0180593	0.1977714	0.4761846	0.4138146	0.6781686	0.2614384	0.7774564	0.9088251	0.0666314	0.0065587	0.8285420	0.9510053	0.8026609	0.8113657	0.3908330	0.7548235	0.0866242	0.0061389	0.2962065	0.5882132	0.9989940	0.4061947	0.2727287	0.0676960	0.9358648	0.1368007	0.9878490	0.3831237	1.0000000	0.0665016	0.8331706	0.0694638	0.0778938	0.9999477	0.5564238	0.3863377	0.8511273	0.8629381	0.1100439	0.9858993	0.6919009	0.3952185	0.9990648	0.6259800	0.1247804	0.0390019	0.0784467	0.9999766	0.0180051	0.1836724	0.4191713	0.6436443	0.1194846	0.9072928	0.0565833	0.1015487	0.3770673	0.0508876	0.9826730	0.0362467	0.2826245	0.0577929	0.6440250	0.0728115	0.9393162	0.6821694	0.4343379	0.4770870	0.6206425	0.4166348	1.0000000	0.0692625	0.9857146	0.9968090	0.8337016	0.9999743	0.1001927	0.9999987	1.0000000	1.0000000	0.0957973	0.7015138	0.1241392	0.7772202	0.8074640	1.0000000	0.0412255	0.8751985
250.0	0.4929104	0.2119165	0.9404079	0.6343077	0.1553197	0.9465815	0.7500951	0.9821470	1.0000000	0.3250331	0.5193084	0.1807774	0.0083659	0.1221905	0.5248514	0.4182054	0.5017101	0.2341022	0.7928484	0.9540724	0.0403546	0.0056525	0.8599600	0.9798611	0.7966189	0.7490961	0.3130822	0.7591904	0.0816703	0.0061391	0.2778645	0.5994921	0.9985938	0.3883863	0.2659950	0.0519406	0.8961346	0.2596735	0.9878490	0.3831237	1.0000000	0.0665016	0.8331706	0.0717050	0.0778101	0.9999485	0.5565667	0.3920997	0.8512741	0.8629612	0.0652116	0.9912978	0.7012969	0.3448488	0.9995946	0.6159925	0.1238728	0.0390000	0.0793245	0.9999778	0.0176129	0.1842034	0.5629425	0.5741800	0.0699821	0.9422623	0.0564043	0.1274418	0.3837661	0.0502532	0.9469177	0.0156972	0.2797168	0.0584391	0.6580518	0.0728176	0.9450911	0.6450458	0.4349239	0.4437389	0.6175736	0.4144410	1.0000000	0.0690642	0.9955089	0.9984936	0.9262910	0.9999901	0.2202632	0.9999987	1.0000000	1.0000000	0.1002371	0.6777663	0.1250544	0.7726304	0.8026339	1.0000000	0.0415150	0.8738939
300.0	0.4933970	0.1455787	0.9408542	0.6336860	0.1620915	0.9468970	0.6373426	0.9937431	1.0000000	0.3250331	0.5193084	0.1807064	0.0038736	0.0763649	0.5497741	0.4197041	0.3552578	0.2232571	0.8094144	0.9788537	0.0278340	0.0055261	0.9047633	0.9920733	0.7899488	0.6712844	0.2095420	0.7744223	0.0709115	0.0061390	0.2397099	0.5874644	0.9954747	0.3417546	0.2538972	0.0440189	0.7991240	0.3750554	0.9878490	0.3831237	1.0000000	0.0665016	0.8331706	0.0783028	0.0775027	0.9999491	0.5571490	0.4001009	0.8523959	0.8630919	0.0356145	0.9955059	0.7101909	0.3404432	0.9998417	0.5747280	0.1202464	0.0389934	0.0815343	0.9999818	0.0162294	0.1881695	0.7357200	0.4448575	0.0403770	0.9682743	0.0563470	0.1967299	0.4251087	0.0498774	0.8351091	0.0067149	0.2791380	0.0611003	0.6762876	0.0728434	0.9490914	0.5977053	0.4371906	0.3730813	0.6059270	0.4066357	1.0000000	0.0683124	0.9985491	0.9993139	0.9685166	0.9999963	0.4108144	0.9999988	1.0000000	1.0000000	0.1213020	0.5903447	0.1305696	0.7554366	0.8027131	1.0000000	0.0428151	0.8688269
350.0	0.4941199	0.0987782	0.9411194	0.6332297	0.1806717	0.9471365	0.4804109	0.9979391	1.0000000	0.3250331	0.5193084	0.1806889	0.0017934	0.0540032	0.5615736	0.4201824	0.2378105	0.2185735	0.8221648	0.9909139	0.0219637	0.0055091	0.9447033	0.9969677	0.7802416	0.5900866	0.1263597	0.8006968	0.0593026	0.0061387	0.2027157	0.5694201	0.9671196	0.2760634	0.2437980	0.0402537	0.6854519	0.4739822	0.9878490	0.3831237	1.0000000	0.0665014	0.8331706	0.0938273	0.0769623	0.9999498	0.5594572	0.4113489	0.8559095	0.8634682	0.0192927	0.9979528	0.7164732	0.3640196	0.9999412	0.4885875	0.1128817	0.0389827	0.0881085	0.9999878	0.0139162	0.1928250	0.8570954	0.3010814	0.0244559	0.9840318	0.0563311	0.3358011	0.4799189	0.0496795	0.6185725	0.0028534	0.2806052	0.0719000	0.6986002	0.0729573	0.9514555	0.5423166	0.4448362	0.2865856	0.5662978	0.3770483	1.0000000	0.0659558	0.9994318	0.9996949	0.9868596	0.9999987	0.5776761	0.9999988	1.0000000	1.0000000	0.1941093	0.4133306	0.1611741	0.7149394	0.8150514	1.0000000	0.0497277	0.8515427
400.0	0.4968547	0.0713579	0.9408749	0.6325836	0.2211519	0.9474234	0.3184279	0.9993510	1.0000000	0.3250331	0.5193084	0.1806847	0.0008303	0.0520859	0.5669953	0.4203292	0.1520616	0.2145678	0.8273420	0.9962929	0.0182637	0.0055069	0.9714627	0.9988628	0.7690275	0.5039912	0.0755585	0.8096052	0.0509610	0.0061386	0.1764912	0.5640980	0.7898607	0.2152105	0.2383977	0.0385222	0.5831339	0.5706133	0.9878490	0.3831237	1.0000000	0.0665010	0.8331706	0.1297672	0.0764012	0.9999508	0.5703047	0.4261624	0.8619061	0.8635883	0.0112073	0.9991415	0.7201432	0.3951517	0.9999786	0.3851233	0.1037620	0.0389724	0.1066273	0.9999930	0.0116430	0.1869968	0.9283717	0.1847833	0.0164854	0.9923454	0.0563270	0.5188833	0.5169508	0.0495819	0.3821474	0.0012080	0.2862265	0.1140682	0.7118463	0.0735531	0.9525463	0.4854541	0.4649177	0.2097774	0.4754756	0.2907523	1.0000000	0.0609296	0.9996787	0.9998665	0.9945980	0.9999995	0.6929824	0.9999989	1.0000000	1.0000000	0.3711665	0.2182895	0.2866172	0.6437525	0.8419077	1.0000000	0.0970499	0.8052214
