"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.3449186	0.1760087	0.6448909	0.3461271	0.1077897	0.8303120	0.4133980	0.4508150	0.5843916	0.2306205	0.2913729	0.1615707	0.1356971	0.2546602	0.1733889	0.2466717	0.4924041	0.2717154	0.5425316	0.5489458	0.1157936	0.1265514	0.4737278	0.4619527	0.4798398	0.6364680	0.2225075	0.4785443	0.0321950	0.0055405	0.2266704	0.3030967	0.6027488	0.2234686	0.1546015	0.0773722	0.7349780	0.0554466	0.7109016	0.2091022	0.7142481	0.0293107	0.5839137	0.0490359	0.0638056	0.5083517	0.3521570	0.2801258	0.5865638	0.5998502	0.0776806	0.6154712	0.5667593	0.5255347	0.6536997	0.2286787	0.1035969	0.0190556	0.0669979	0.6607599	0.0066637	0.1506708	0.6040072	0.4900531	0.2305568	0.6315481	0.0588919	0.0378842	0.3643205	0.0413675	0.6605398	0.3086369	0.2999779	0.0345183	0.3076610	0.0302215	0.6161987	0.4404607	0.2620743	0.3221261	0.3854853	0.2991395	0.6468027	0.0299556	0.6473173	0.6418700	0.1721490	0.6230034	0.3477910	0.6481499	0.6340096	0.5456262	0.1095709	0.4468362	0.0716450	0.4551134	0.5631410	0.7145957	0.0205216	0.7165694
50.0	0.3313738	0.2225804	0.7039816	0.3669489	0.1142350	0.7133842	0.4968877	0.5208804	0.6487206	0.1725882	0.2724535	0.1425344	0.0570510	0.2575384	0.2004541	0.2602582	0.5151063	0.2481485	0.5212381	0.3961527	0.1877361	0.0361005	0.4944281	0.5010459	0.4179204	0.5887135	0.2250397	0.5175502	0.0351718	0.0044926	0.1764921	0.3334360	0.6781478	0.2363194	0.1212623	0.0592213	0.5539277	0.0416368	0.6739376	0.2187543	0.6353422	0.0476911	0.4638337	0.0578673	0.0441099	0.5880735	0.4455460	0.2103011	0.5596058	0.5829773	0.0877197	0.5352547	0.4698566	0.4807284	0.6927790	0.2289683	0.0954132	0.0256143	0.0392808	0.6775436	0.0048115	0.1272552	0.3989558	0.3349179	0.1801333	0.4902717	0.0722168	0.0397478	0.3309533	0.0353107	0.4941324	0.1373992	0.2066848	0.0301447	0.3526082	0.0439249	0.5808627	0.3874805	0.2538732	0.2945978	0.3112424	0.2732781	0.6548606	0.0596754	0.5806691	0.5701753	0.2475728	0.6642086	0.2023593	0.5675346	0.5523898	0.5812972	0.1005710	0.4514604	0.1043050	0.4790633	0.4946737	0.6540553	0.0281038	0.5891884
100.0	0.3577820	0.2590697	0.5691578	0.3902029	0.1116872	0.5737674	0.5046340	0.5488032	0.4748009	0.2311660	0.3219252	0.1033684	0.0380992	0.1763892	0.3741176	0.3004699	0.5005129	0.1991522	0.4373949	0.5832623	0.1029708	0.0225909	0.5469648	0.5822213	0.4448198	0.5644672	0.2248807	0.5389281	0.0277422	0.0009554	0.1704598	0.3689893	0.7481855	0.2101007	0.1484367	0.0297947	0.6323483	0.0617947	0.6445100	0.2774518	0.5951493	0.0496451	0.5852198	0.0277725	0.0502045	0.5826793	0.3329949	0.2762386	0.5886616	0.5128356	0.0594376	0.5991393	0.4363954	0.5114454	0.7512161	0.1947527	0.0874532	0.0207910	0.0672072	0.6583368	0.0064526	0.1205536	0.3245774	0.4044248	0.1120836	0.6512996	0.0310286	0.0475541	0.2292403	0.0262292	0.6791799	0.0739506	0.2328713	0.0179092	0.3868646	0.0669133	0.5212300	0.4353611	0.3126143	0.2772304	0.3713634	0.2633611	0.7969005	0.0398682	0.6285556	0.6436364	0.4930627	0.5884721	0.2276487	0.7478217	0.6507640	0.6139786	0.0976636	0.4142546	0.0884783	0.5165945	0.5144086	0.6313015	0.0211600	0.5550476
150.0	0.3358036	0.1882085	0.5196210	0.4190421	0.0812358	0.5956109	0.5230184	0.7259502	0.5802521	0.2160983	0.3200119	0.0947572	0.0188546	0.0694440	0.3834348	0.3285106	0.4516209	0.1591651	0.4716295	0.6724828	0.0529420	0.0017280	0.5239918	0.6856797	0.4224162	0.4292473	0.1667219	0.4787831	0.0840911	0.0086183	0.2447883	0.2818893	0.6564032	0.2877879	0.1930906	0.0180872	0.6008857	0.0656188	0.5843174	0.2506166	0.7319219	0.0248612	0.5385942	0.0206084	0.0819230	0.6340882	0.3479717	0.3036268	0.5084693	0.5804900	0.0539625	0.6683035	0.4862890	0.3516407	0.8581251	0.2742603	0.0543512	0.0438799	0.0621931	0.6844716	0.0163517	0.1196000	0.3469440	0.3871577	0.0729908	0.5570685	0.0519548	0.0684513	0.2648109	0.0472592	0.6299709	0.0404510	0.1560923	0.0244404	0.3488599	0.0475780	0.6241708	0.4287915	0.2438877	0.2630539	0.3147175	0.3145774	0.7162667	0.0514023	0.5752127	0.7309384	0.5314777	0.5629250	0.1820086	0.6732280	0.6454335	0.6531519	0.0534545	0.4645141	0.1004478	0.5033791	0.5484402	0.6634353	0.0284289	0.5906968
200.0	0.3321574	0.1292727	0.6278545	0.4191552	0.0825478	0.5920389	0.5090584	0.5329095	0.6555953	0.2469255	0.3579596	0.1648777	0.0099896	0.0697847	0.4288996	0.2243685	0.4611829	0.1608808	0.5983937	0.6260768	0.0379398	0.0021482	0.6242330	0.5769509	0.3144548	0.5256529	0.2246701	0.4728425	0.0495645	0.0094970	0.1637337	0.3132118	0.5963968	0.2396740	0.1359536	0.0363020	0.6530811	0.1428148	0.6481173	0.1790965	0.5918520	0.0474452	0.5462483	0.0573476	0.0452912	0.6919138	0.2800374	0.1986306	0.5677422	0.5829603	0.0253408	0.6348236	0.4982647	0.3109797	0.7118862	0.2490844	0.0564184	0.0210436	0.0830712	0.5884435	0.0034878	0.1890669	0.5020342	0.3385706	0.0406001	0.6793380	0.0216796	0.1095043	0.2431118	0.0127020	0.5309723	0.0057139	0.1507320	0.0290305	0.3806293	0.0332672	0.5259536	0.4896125	0.2444727	0.2563037	0.3399487	0.2574510	0.6455015	0.0744069	0.4826613	0.6113710	0.5415679	0.6069205	0.1760557	0.7443132	0.5454059	0.7234396	0.0424679	0.5177951	0.0738463	0.5371996	0.5806034	0.6611914	0.0230212	0.6551868
250.0	0.2399217	0.0604467	0.5910097	0.3953944	0.0762134	0.7247835	0.4318650	0.5874702	0.6410148	0.3038572	0.2987435	0.1156013	0.0082540	0.0282270	0.3140012	0.2913716	0.2841061	0.1737320	0.5360936	0.7112399	0.0064915	0.0072000	0.5814949	0.5737479	0.4690890	0.4250480	0.1715202	0.5294343	0.0234816	0.0044159	0.0966503	0.3590319	0.6597071	0.1915770	0.2010266	0.0151603	0.5745219	0.2552187	0.5395667	0.1923312	0.6201306	0.0452045	0.5239552	0.0551783	0.0734705	0.5511491	0.4217446	0.2098327	0.5375018	0.4185812	0.0179904	0.6442517	0.5367245	0.2733403	0.6092201	0.2128951	0.0631604	0.0166929	0.0788529	0.5546331	0.0242574	0.1484928	0.4909415	0.3390081	0.0221756	0.6952158	0.0346331	0.0757206	0.2845042	0.0424462	0.6294336	0.0041587	0.1477500	0.0447046	0.3311782	0.0624444	0.5967424	0.3745909	0.2920409	0.2787847	0.4622061	0.2130844	0.9322568	0.0422219	0.6306785	0.6308710	0.6695507	0.5654113	0.2965258	0.5725318	0.6159876	0.5830727	0.0631104	0.4144841	0.0624004	0.5466635	0.5383759	0.7139641	0.0199260	0.6072206
300.0	0.3717200	0.0646396	0.5673238	0.4635917	0.1410031	0.6132821	0.3211344	0.7267262	0.6258004	0.2158718	0.3156522	0.1463455	0.0043518	0.0573295	0.4274603	0.2816390	0.3085142	0.1021172	0.5795752	0.7251037	0.0090429	0.0048401	0.6057080	0.6401015	0.4488165	0.3451479	0.1302663	0.5857343	0.0313386	0.0023425	0.1615883	0.2891643	0.6430502	0.1978382	0.1476955	0.0114439	0.3872500	0.3660024	0.5973535	0.2785745	0.6476167	0.0436533	0.6000944	0.0713081	0.0532538	0.6625144	0.3153868	0.2173916	0.5302157	0.4871328	0.0074400	0.7247520	0.4278640	0.3774105	0.6562456	0.3250987	0.0815655	0.0152018	0.0753423	0.5751320	0.0154811	0.1182378	0.6216064	0.1934240	0.0043324	0.6071660	0.0402960	0.2484972	0.3289256	0.0485906	0.3166027	0.0013686	0.2969956	0.0525758	0.4729441	0.0511924	0.5838020	0.3231890	0.3763544	0.2188561	0.3620523	0.2246327	0.7425356	0.0350613	0.6058646	0.6960908	0.6032067	0.6810337	0.3824810	0.6219247	0.6002609	0.6779679	0.0777768	0.3597331	0.0725067	0.4226728	0.5501852	0.6907219	0.0409392	0.6082664
350.0	0.3775752	0.0588151	0.5757699	0.4504129	0.0925763	0.5348522	0.3193870	0.5933307	0.5781946	0.1944737	0.3538944	0.1121891	0.0003043	0.0525023	0.3462759	0.3247859	0.2661009	0.1690444	0.4671722	0.5953485	0.0118636	0.0030128	0.7900651	0.5017188	0.4296836	0.2922500	0.0666956	0.5029842	0.0229355	0.0054817	0.0860715	0.3295911	0.6645639	0.1339425	0.1527837	0.0184783	0.3163656	0.4230402	0.5963224	0.2976409	0.6256442	0.0575470	0.4451354	0.0715122	0.0487932	0.5405388	0.3906220	0.3110806	0.5063759	0.6174959	0.0066959	0.5866266	0.3255245	0.3717606	0.6507802	0.2047256	0.0451359	0.0268025	0.0690604	0.6659767	0.0043851	0.1379917	0.5555646	0.1642042	0.0086060	0.7011649	0.0485152	0.3755606	0.4147549	0.0321069	0.2377175	0.0011354	0.1678033	0.0872075	0.5494107	0.0458153	0.5923807	0.3068882	0.2432989	0.1319737	0.2665875	0.1771398	0.7255698	0.0293614	0.6067053	0.5578573	0.7093973	0.7075653	0.4382077	0.5724525	0.7096662	0.6206979	0.1722436	0.2258048	0.1669075	0.5001520	0.5720105	0.5894364	0.0567585	0.4797264
400.0	0.3187260	0.0582548	0.6227910	0.3018678	0.1414376	0.5869931	0.2109624	0.6769807	0.5980396	0.2580310	0.3135608	0.1466618	0.0011215	0.0940703	0.3579973	0.3391540	0.1229428	0.1273445	0.4987871	0.6427604	0.0430470	0.0105631	0.7188119	0.5549237	0.4505523	0.2540285	0.0964686	0.5970474	0.0431988	0.0011240	0.1014857	0.3292272	0.5897450	0.1555090	0.1723806	0.0453496	0.1930203	0.4095712	0.6887898	0.2700496	0.8012561	0.0331585	0.5719240	0.0587442	0.0382227	0.6606524	0.3536492	0.2850675	0.5678010	0.6364910	0.0042093	0.5263061	0.4526186	0.2929269	0.6864414	0.1640812	0.1066520	0.0242658	0.0634832	0.6503123	0.0100927	0.1637071	0.5692305	0.0854697	0.0037293	0.5256900	0.0526195	0.4128717	0.3691616	0.0264371	0.1727454	0.0003385	0.2063674	0.1604396	0.4084870	0.0598156	0.6798769	0.3214002	0.3756807	0.1428798	0.1610905	0.0654797	0.6465893	0.0410832	0.7473295	0.5715511	0.6267787	0.7313907	0.5999653	0.7183765	0.6190874	0.6466118	0.2778805	0.1178314	0.1912527	0.4122330	0.6950411	0.6429989	0.1533020	0.4896359
