"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.3883447	0.2011430	0.7521615	0.3336133	0.1088595	0.4975573	0.5508669	0.3910516	0.7367901	0.2478375	0.2762794	0.1319622	0.1656718	0.3169050	0.1254418	0.2238811	0.4153564	0.2671534	0.5509023	0.5244754	0.1138806	0.1220837	0.4057981	0.4017054	0.5548246	0.6386507	0.2097547	0.4502602	0.0204473	0.0080502	0.2293646	0.2927817	0.5922326	0.2051848	0.1626580	0.0916917	0.5822798	0.1150331	0.5558934	0.2958061	0.8237912	0.0783326	0.6052297	0.0331548	0.0666487	0.6954136	0.3337359	0.1977742	0.5382557	0.5887550	0.1358443	0.6035083	0.4191341	0.5060566	0.7026958	0.4161730	0.1117487	0.0151419	0.0585530	0.7253200	0.0365351	0.1806984	0.6364970	0.4585673	0.1675772	0.5138487	0.0334217	0.0546791	0.2264127	0.0511188	0.6696890	0.3472846	0.2419209	0.0510314	0.4071851	0.0325968	0.5959269	0.5338955	0.2661935	0.2962124	0.3974441	0.3206103	0.7168765	0.0396852	0.4587331	0.7445275	0.1353232	0.7460118	0.4583792	0.5462196	0.5804233	0.5575798	0.0451801	0.3976452	0.0967695	0.4932759	0.5390704	0.5501960	0.0255140	0.4978746
50.0	0.3244145	0.2352144	0.6357005	0.3329767	0.1106662	0.6664548	0.4428245	0.4341582	0.6211148	0.2633165	0.2951294	0.1567298	0.0617201	0.2283601	0.2837638	0.2913986	0.5158651	0.2558228	0.5205603	0.5754821	0.1147825	0.0588967	0.4274531	0.3943223	0.5558232	0.6127067	0.2674755	0.6011791	0.0444964	0.0175583	0.2239516	0.3225007	0.6101677	0.1780086	0.0734509	0.0809140	0.6133723	0.0566586	0.6674427	0.2275702	0.7359073	0.0474424	0.4923579	0.0478146	0.0428711	0.7031155	0.2960920	0.2127266	0.5483664	0.6422925	0.0985873	0.7588978	0.4788088	0.4912833	0.7789613	0.3230732	0.0591258	0.0212321	0.0399929	0.5962494	0.0081056	0.1600561	0.5772469	0.3307553	0.2119757	0.5336028	0.0127549	0.0627599	0.2787823	0.0482021	0.6934650	0.2097656	0.2671255	0.0530507	0.3771312	0.0927619	0.5907489	0.3525991	0.2679659	0.2863991	0.3370673	0.2458749	0.6251107	0.0236567	0.5337837	0.7547426	0.2526542	0.6005296	0.2912915	0.5535899	0.6342435	0.6176013	0.0652743	0.3321537	0.0961239	0.5857721	0.5326487	0.6674534	0.0492964	0.5359131
100.0	0.2862068	0.2266514	0.5510485	0.4139376	0.1619809	0.5702225	0.5000160	0.5160348	0.6017829	0.1402225	0.4953433	0.1180165	0.0328360	0.2019659	0.2146598	0.3450953	0.4861377	0.2746033	0.3296229	0.4502192	0.1043549	0.0278323	0.5411729	0.6145081	0.4523038	0.6225890	0.2264026	0.4949182	0.0307995	0.0056944	0.1586481	0.3614085	0.5324139	0.2593688	0.1625421	0.0426671	0.4976614	0.1113862	0.6647559	0.2999023	0.7267351	0.0686608	0.4745372	0.0305050	0.0616222	0.5586302	0.3208700	0.2103722	0.4416031	0.4805551	0.1203126	0.7274983	0.4563530	0.4049117	0.6542380	0.2628392	0.0748324	0.0180780	0.0551355	0.6288269	0.0080482	0.1516520	0.4223367	0.4577989	0.1561922	0.6004206	0.0231499	0.0314869	0.3359186	0.0373296	0.5568543	0.1541937	0.2213169	0.0555249	0.4521575	0.0509612	0.7051699	0.4890495	0.3965336	0.2573766	0.3226250	0.2683409	0.6304648	0.0715590	0.5064891	0.5894111	0.3364011	0.5572697	0.3331327	0.5554968	0.8656726	0.5309616	0.0635266	0.4083223	0.0666912	0.5708499	0.5617599	0.7413417	0.0170805	0.6172041
150.0	0.3009925	0.1971611	0.7071336	0.4215827	0.1108138	0.6330729	0.4585980	0.5445018	0.7963402	0.2380483	0.3992138	0.1007595	0.0660431	0.1462541	0.3586352	0.3225627	0.4936026	0.2087371	0.3973842	0.6133168	0.0807782	0.0083232	0.4420158	0.6306796	0.4462297	0.5976852	0.2485368	0.4184800	0.0619476	0.0020076	0.1729131	0.2723713	0.5875639	0.2143741	0.1840641	0.0522903	0.6558446	0.0826671	0.7135501	0.2053333	0.5978860	0.0664004	0.6276445	0.0502303	0.0722503	0.6629896	0.3006580	0.2443881	0.6329660	0.4750569	0.0602483	0.5711784	0.3978002	0.3188602	0.6112533	0.2139577	0.1090831	0.0274866	0.0426784	0.6909536	0.0062471	0.1351731	0.3688571	0.3444778	0.1364835	0.5390980	0.0402934	0.0375872	0.2654890	0.0217360	0.6850693	0.0272413	0.1993923	0.0382010	0.3820224	0.0502758	0.5704037	0.4681377	0.2445945	0.2880477	0.3303748	0.2198824	0.6550673	0.0646024	0.5939707	0.6926635	0.4688140	0.5953233	0.2531915	0.6606320	0.6201101	0.6853625	0.0674694	0.4772906	0.1019460	0.4157742	0.3832774	0.6402987	0.0178718	0.4950819
200.0	0.2415068	0.1532533	0.6800031	0.4384994	0.1196305	0.6097306	0.4806269	0.5670089	0.6372171	0.2754212	0.3884241	0.1481598	0.0118890	0.1084570	0.3210619	0.2847607	0.4442227	0.1330250	0.4732028	0.5641678	0.0659053	0.0087011	0.5181486	0.6960027	0.3747803	0.4758920	0.1994588	0.4135569	0.0559017	0.0058001	0.1836146	0.2388127	0.6379249	0.2159557	0.1530681	0.0472223	0.5811667	0.1256354	0.6554671	0.2078741	0.6464107	0.1048055	0.5557601	0.0592895	0.0416261	0.6836249	0.3805157	0.2376655	0.5120490	0.4180916	0.0442554	0.6392599	0.4333228	0.3427253	0.7518823	0.1901196	0.0467099	0.0375786	0.0529454	0.6025409	0.0187750	0.0905458	0.4199010	0.3607201	0.0881938	0.6937471	0.0286309	0.0732661	0.2614624	0.0191298	0.6019795	0.0402206	0.1762992	0.0355366	0.3937726	0.0867221	0.6205478	0.4713926	0.2488180	0.3030787	0.3502627	0.2580284	0.6403225	0.0470727	0.5758249	0.5443546	0.5203696	0.5191013	0.2671120	0.6871973	0.6150165	0.6439907	0.0570554	0.5054585	0.0504753	0.4477873	0.5199243	0.8534933	0.0153969	0.5276267
250.0	0.3687366	0.1390117	0.5712474	0.3763692	0.0772568	0.5927508	0.4083980	0.5722947	0.6246001	0.2485893	0.3192566	0.1903685	0.0036494	0.0763143	0.3888308	0.2920103	0.2955153	0.1283040	0.5953321	0.6053249	0.0156139	0.0069768	0.6727665	0.5752982	0.3797669	0.4418159	0.1215552	0.4467443	0.0293613	0.0026389	0.1374845	0.3068438	0.5815713	0.1700608	0.1777108	0.0280067	0.4621047	0.1341775	0.5573664	0.2033533	0.6802504	0.0427957	0.5775033	0.0685585	0.0824772	0.5870922	0.4349665	0.2361802	0.4361287	0.4758414	0.0239342	0.6382800	0.4993691	0.2898397	0.6155614	0.1763441	0.0323739	0.0104839	0.0471210	0.5823521	0.0158233	0.1356253	0.3456657	0.3440463	0.0547920	0.5211121	0.0154091	0.0656342	0.2641230	0.0374313	0.6460519	0.0129995	0.1501869	0.0680093	0.3859459	0.0406047	0.5790950	0.3870106	0.3561975	0.2456688	0.5144347	0.2574065	0.7485989	0.0536360	0.7595065	0.5720771	0.5754421	0.7043046	0.2110975	0.5956921	0.5840530	0.6673269	0.0756706	0.3149825	0.0805799	0.3921730	0.5431642	0.6845838	0.0207501	0.5819715
300.0	0.2698126	0.0872166	0.6104927	0.3767604	0.0803674	0.5867949	0.3733283	0.5521819	0.7485268	0.2669708	0.2787027	0.1112106	0.0042324	0.0338883	0.4316320	0.2819227	0.2627376	0.1418402	0.4723664	0.6929461	0.0330908	0.0097342	0.5582260	0.6352787	0.4928686	0.4304341	0.1346160	0.5535567	0.0333754	0.0037090	0.1205071	0.2831578	0.6235153	0.2548960	0.1593094	0.0358708	0.5985594	0.2164889	0.5851376	0.2547357	0.6526582	0.0610576	0.5766434	0.0385395	0.0980452	0.7279394	0.3562661	0.2225002	0.4824251	0.4339172	0.0275186	0.6428248	0.4215230	0.3212944	0.6597284	0.2384424	0.0440339	0.0294816	0.0928533	0.6074265	0.0176497	0.1156499	0.4717647	0.2756334	0.0194547	0.5841074	0.0542564	0.1025046	0.2139450	0.0580291	0.5659077	0.0048612	0.2467458	0.0745634	0.3983287	0.0575204	0.6803393	0.4139012	0.3246653	0.2203536	0.3483271	0.2595749	0.6844874	0.0149397	0.6783840	0.6895616	0.5705463	0.6299030	0.3577847	0.8675295	0.5338029	0.6689823	0.1180587	0.4587936	0.0765662	0.5362391	0.6017994	0.6458726	0.0581582	0.5114057
350.0	0.3668806	0.0835733	0.7043361	0.5722590	0.1112709	0.5714591	0.3417832	0.6719836	0.5120697	0.2935340	0.3787185	0.0904407	0.0016392	0.0734708	0.3513108	0.2705286	0.2838873	0.1281752	0.4550710	0.6381204	0.0053042	0.0092083	0.6303479	0.6686959	0.5255360	0.5101362	0.1188817	0.5606567	0.0268109	0.0022814	0.1582594	0.3430411	0.5907931	0.1573606	0.1487315	0.0200555	0.3817356	0.2591627	0.5582255	0.2224675	0.6999829	0.0336650	0.5249080	0.0488798	0.0635956	0.6172974	0.4080220	0.2646534	0.5545853	0.4265469	0.0255833	0.5834958	0.3890109	0.4763088	0.6495811	0.1828153	0.0345916	0.0164623	0.1100444	0.6130247	0.0198727	0.1901451	0.5751662	0.2292502	0.0116192	0.6369827	0.0252636	0.2663761	0.3857907	0.0455676	0.3532856	0.0005235	0.2202230	0.0650929	0.4084609	0.0426749	0.6351498	0.3231073	0.3328666	0.2565514	0.3138083	0.2989995	0.6551525	0.0300169	0.6974904	0.6447042	0.6182325	0.6137685	0.3946139	0.6771698	0.7258975	0.6317031	0.1641389	0.2747921	0.0982766	0.4856696	0.5447654	0.6932957	0.0124017	0.6037039
400.0	0.3240476	0.0558966	0.5659327	0.4631330	0.1382911	0.5887456	0.3061855	0.5824876	0.5780886	0.1981772	0.4239436	0.1127948	0.0011158	0.0310001	0.3020548	0.3406108	0.1712809	0.1229822	0.5842986	0.7062876	0.0206729	0.0064210	0.7156375	0.6605465	0.4419375	0.3050701	0.0921023	0.5386090	0.0408602	0.0050822	0.1565046	0.3265167	0.5223758	0.1855166	0.2378490	0.0300380	0.3791902	0.2949124	0.6337682	0.1867423	0.6156342	0.0479381	0.5941345	0.0687721	0.0417563	0.6749702	0.4118276	0.3149839	0.5710142	0.5314443	0.0078361	0.5763557	0.3230438	0.3198296	0.6470417	0.2019928	0.0400074	0.0356587	0.0732638	0.6443107	0.0178144	0.1850126	0.5958468	0.1442049	0.0066714	0.5705128	0.0318557	0.3692286	0.3264503	0.0453904	0.1422771	0.0007976	0.1905566	0.1874013	0.5068454	0.0610589	0.5900677	0.2514679	0.2560366	0.2826172	0.2632908	0.1684179	0.7059741	0.0601033	0.6649312	0.5689661	0.5904054	0.5338539	0.5003629	0.6480622	0.6508185	0.5819536	0.2482008	0.1462310	0.1545305	0.3598018	0.7094441	0.6187480	0.0993711	0.4571281
