"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.0000000	0.4834061	0.3968718	0.5936812	0.0526422	0.0495017	0.5385683	0.4581674	0.6812153	0.2339119	0.4181397	0.1789145	0.1275295	0.2407299	0.1657577	0.2290367	0.5371492	0.2628540	0.5507153	0.6505848	0.1221279	0.0842385	0.4975940	0.5379492	0.6112152	0.7063694	0.2801576	0.4054864	0.0455923	0.0030372	0.1837549	0.4155233	0.7184616	0.3048811	0.1885632	0.1187419	0.5038456	0.0133395	0.5808020	0.2441719	0.7033337	0.0458165	0.6219401	0.0464553	0.0451192	0.7282517	0.4060841	0.2600499	0.5917255	0.5699073	0.1189661	0.5258079	0.4437679	0.4899336	0.6995036	0.3314427	0.1192587	0.0179443	0.0251845	0.7433512	0.0242421	0.1124841	0.2193644	0.3696236	0.1723773	0.5876600	0.0471534	0.0516658	0.2841412	0.0310245	0.7113200	0.3578115	0.2062113	0.0420894	0.3928389	0.0596966	0.4843057	0.4882867	0.3009406	0.3538526	0.6319190	0.3754343	0.6280341	0.0691794	0.6688233	0.5870616	0.0537016	0.8536840	0.0405485	0.6708437	0.6230661	0.7830653	0.1196507	0.3559672	0.0891791	0.4572689	0.5868244	0.6636974	0.0207240	0.6325382
0.3214391	0.0000000	0.5587705	0.3751163	0.0658328	0.6911556	0.6032230	0.4395734	0.6889532	0.1689258	0.3720058	0.1033984	0.1185614	0.3299120	0.1020727	0.2063423	0.5764927	0.2708036	0.6314345	0.3485250	0.1488726	0.1218050	0.5348916	0.4095830	0.5550189	0.5727436	0.3375284	0.5651285	0.0408304	0.0056905	0.2700697	0.4297195	0.6342922	0.2781960	0.3292894	0.0912834	0.6287517	0.0176734	0.6706644	0.2913628	0.6209035	0.0551109	0.5828177	0.0366447	0.0762425	0.7200028	0.4731444	0.2712073	0.5303342	0.6016272	0.0686517	0.5843341	0.4056072	0.4732926	0.5023300	0.3464570	0.0988876	0.0303399	0.0379430	0.6673844	0.0058501	0.1603881	0.3283766	0.3532975	0.2325175	0.6266518	0.0429956	0.0541752	0.2085951	0.0310025	0.6707719	0.2183864	0.1677043	0.0615197	0.4289102	0.0727661	0.6851483	0.4355178	0.2150263	0.3474441	0.3990156	0.2802657	0.6268796	0.0618214	0.5004849	0.6867361	0.2787792	0.6050884	0.0732415	0.6394899	0.8469207	0.6332491	0.1113887	0.4530087	0.0926864	0.5461252	0.4714500	0.6222728	0.0207110	0.5267307
0.2899042	0.2062395	0.0000000	0.5072539	0.0926348	0.7422094	0.4642283	0.5064793	0.7021351	0.2267965	0.2419259	0.1770794	0.2394501	0.3718250	0.1188281	0.1779332	0.5362382	0.2843830	0.5337677	0.3514256	0.1811422	0.2465540	0.4600144	0.2604527	0.5124413	0.5050825	0.2859573	0.5134544	0.0826815	0.0218297	0.2114486	0.3929006	0.7554418	0.3013223	0.1683444	0.1021927	0.6423762	0.0330899	0.6594302	0.2660139	0.6224510	0.0674761	0.6329282	0.0695984	0.0693278	0.6311323	0.3474187	0.2495344	0.5949946	0.5076340	0.0807460	0.5651340	0.5096127	0.4914518	0.5301269	0.5355537	0.0843873	0.0168765	0.0615312	0.7309207	0.0238449	0.1084137	0.2159394	0.3173301	0.1838583	0.5028463	0.0370205	0.0736780	0.3308618	0.0419557	0.6175021	0.3466947	0.2267432	0.0561405	0.3680750	0.0606272	0.6149933	0.3881848	0.2130182	0.3349882	0.4852304	0.2871702	0.6585163	0.0524384	0.5302658	0.5638255	0.1425298	0.5916422	0.0759117	0.5525476	0.6978091	0.6716416	0.1238201	0.3842751	0.0725279	0.5355344	0.5470906	0.5851265	0.0154442	0.4917297
0.3191594	0.2100703	0.5416870	0.0000000	0.1404322	0.5742647	0.4494593	0.5026791	0.5542761	0.2304912	0.3170619	0.1578128	0.1722658	0.2938362	0.1703608	0.1803268	0.4942346	0.3914509	0.4846666	0.4162204	0.1748186	0.1314763	0.4466355	0.4849046	0.4826982	0.6701323	0.3056623	0.4713476	0.0672727	0.0008507	0.2703268	0.4318285	0.6207372	0.3259101	0.2167765	0.1427300	0.5918939	0.0388573	0.7599539	0.2100667	0.6755598	0.0420864	0.5234314	0.0415710	0.0896542	0.5562847	0.3542990	0.2118674	0.3422885	0.5268510	0.0801013	0.7065025	0.4263666	0.3890937	0.6379760	0.5293853	0.1072061	0.0348325	0.0528770	0.6048068	0.0349042	0.0639472	0.2935389	0.4275185	0.2412062	0.4627910	0.0549257	0.0573607	0.2415235	0.0734177	0.6165718	0.3665201	0.2063810	0.0510986	0.3980238	0.0762581	0.6157254	0.3609712	0.2350150	0.3857337	0.3648137	0.0092768	0.6984428	0.0657351	0.4261063	0.7178606	0.0457815	0.7444488	0.0614336	0.7372338	0.5804199	0.5994174	0.0765121	0.4539738	0.0962079	0.5127439	0.5571666	0.6902886	0.0176535	0.6569804
0.3441204	0.2597961	0.6844174	0.4273457	0.0000000	0.6355720	0.4632779	0.5307356	0.7047623	0.2004645	0.4128844	0.1076282	0.1212057	0.3291783	0.1217941	0.2423136	0.5757066	0.2699952	0.5213128	0.4370662	0.1797010	0.0837152	0.4650706	0.4893892	0.5866709	0.6579031	0.3538985	0.5612476	0.0472012	0.0029367	0.2587736	0.4021229	0.6663638	0.2235502	0.1574842	0.1237401	0.5579273	0.0125001	0.6219575	0.2915795	0.7075176	0.0297236	0.6022752	0.0370090	0.0517578	0.7301460	0.3485931	0.2635727	0.5541205	0.6067806	0.2130669	0.6140370	0.4095329	0.5429730	0.6165141	0.4687201	0.0860335	0.0180951	0.0512659	0.6408086	0.0128946	0.0840260	0.1752741	0.3132909	0.1694558	0.5646643	0.0421500	0.0557109	0.3409269	0.0511659	0.6356849	0.3830516	0.2781393	0.0439104	0.4480582	0.0409806	0.6754306	0.5563217	0.2885953	0.3191741	0.4473021	0.2261741	0.5917332	0.0377012	0.5675099	0.5042311	0.1904300	0.7014789	0.0869941	0.5866221	0.6320449	0.5738760	0.0624386	0.3756798	0.1141401	0.4152095	0.5379505	0.7431395	0.0550578	0.5572342
0.3166503	0.2197283	0.6611721	0.4871888	0.1033853	0.0003469	0.4288982	0.4522634	0.5635130	0.2811554	0.4162067	0.1468139	0.1404179	0.2598071	0.1064283	0.2483512	0.4811324	0.2575017	0.4602686	0.4146062	0.1756437	0.2396161	0.5026441	0.3696223	0.6818578	0.5297604	0.2395934	0.6171285	0.0741598	0.0027053	0.2472238	0.4019935	0.6828216	0.2945824	0.1803173	0.1816826	0.5580124	0.0254747	0.7161420	0.2153342	0.6670041	0.0277859	0.5126741	0.0372862	0.0888871	0.6715749	0.3373593	0.1865756	0.4649521	0.5834818	0.1089904	0.6289215	0.3753586	0.5582948	0.6237789	0.4149803	0.1001595	0.0538726	0.0559368	0.6302846	0.0117714	0.1115254	0.2704313	0.4366887	0.2139154	0.5948503	0.0504280	0.0463049	0.2822665	0.0410385	0.5992644	0.3348664	0.2835682	0.0175917	0.4415255	0.0308397	0.5819732	0.5149400	0.2244763	0.3887416	0.4255211	0.3069429	0.6672858	0.0236094	0.4683011	0.7180864	0.0904042	0.6342266	0.0923233	0.5709885	0.5779380	0.6876827	0.0407532	0.4410420	0.0588702	0.5016085	0.5888534	0.7288524	0.0165867	0.4981675
0.2935246	0.3002043	0.6076318	0.4161938	0.0962524	0.6519455	0.0000000	0.2863486	0.6332560	0.2577796	0.2940499	0.1559160	0.2202564	0.3340293	0.1319074	0.2646688	0.4673967	0.3343811	0.5141487	0.3503360	0.1515137	0.1856213	0.6209572	0.3596607	0.5854370	0.5008425	0.2355163	0.5777258	0.1260850	0.0019062	0.2510328	0.4562739	0.5920910	0.2608527	0.1396409	0.1327772	0.6778371	0.0432008	0.5269681	0.2024434	0.6175749	0.0309978	0.4701616	0.0484322	0.0470562	0.6584986	0.3835860	0.2114297	0.4955400	0.4660119	0.1417124	0.6821639	0.4237079	0.4652035	0.6831370	0.4572885	0.0803703	0.0358540	0.0592165	0.7262079	0.0193189	0.1948321	0.3234692	0.4249050	0.2503741	0.5478077	0.1200761	0.0404803	0.3237233	0.0435251	0.6362764	0.4284362	0.2831830	0.0373414	0.4183255	0.0460000	0.5489953	0.4722585	0.2334771	0.3900717	0.4390981	0.2378383	0.5982720	0.0327954	0.4292563	0.6012460	0.0406944	0.6634686	0.0532241	0.6163910	0.7386212	0.5879761	0.1046275	0.4917562	0.1284617	0.5200335	0.4732283	0.6343327	0.0307869	0.5625810
0.0041458	0.6175498	0.3824964	0.6608435	0.0588545	0.0514614	0.5014709	0.0000000	0.6613484	0.2399300	0.3795271	0.2008928	0.1574163	0.1989474	0.1295006	0.2140628	0.4692259	0.2469087	0.6010609	0.7206848	0.2074720	0.1744712	0.6225964	0.7563974	0.6721120	0.6142534	0.2415972	0.4246738	0.0481543	0.0006513	0.2121798	0.3889346	0.6965135	0.2919548	0.1815338	0.1353185	0.6568704	0.0257141	0.6797348	0.2549755	0.6032520	0.0212735	0.4641701	0.0965554	0.0314457	0.6869043	0.3623255	0.2043805	0.5658896	0.5854557	0.1386777	0.6676355	0.3538147	0.5626824	0.6550253	0.4006749	0.0907020	0.0280564	0.0606762	0.6038840	0.0111023	0.1346202	0.2926983	0.3608382	0.1951157	0.4738329	0.0750624	0.0426137	0.3276347	0.0244820	0.8471434	0.2623592	0.2797042	0.0371616	0.4978493	0.0600397	0.3192074	0.4139166	0.3151889	0.6592517	0.4185496	0.4232906	0.6879664	0.0361547	0.5819564	0.6184447	0.0199225	0.6831931	0.0687727	0.5916407	0.6463121	0.6180376	0.0516221	0.3983163	0.0810530	0.5527969	0.5907835	0.5380562	0.0299087	0.5630615
0.2570348	0.3216906	0.5516988	0.4702798	0.1488742	0.7127204	0.4007047	0.4613759	0.0000000	0.5385039	0.7081076	0.4006101	0.1870520	0.3129064	0.1567569	0.2259022	0.5169818	0.1859933	0.3662339	0.4969623	0.1744268	0.1387254	0.4928619	0.3361913	0.7165930	0.5878840	0.2157678	0.5316036	0.0654106	0.0047959	0.1731841	0.3012235	0.6028784	0.2322320	0.1917648	0.1319631	0.4974257	0.0134993	0.7137888	0.2446347	0.7286485	0.0531489	0.6300444	0.0481143	0.0343761	0.6361204	0.3839574	0.2407671	0.4593042	0.6523052	0.2151754	0.5432974	0.4075167	0.4031324	0.7091796	0.4018765	0.0916010	0.0171007	0.0602334	0.6990870	0.0110758	0.1317972	0.3492551	0.4408444	0.3021646	0.5621279	0.0445408	0.0497943	0.3181470	0.0492342	0.6562171	0.2587442	0.3100661	0.0353845	0.4515785	0.0483259	0.7354891	0.4619016	0.2932783	0.3346196	0.3740132	0.2806748	0.6083996	0.0420572	0.4311017	0.6509711	0.1170013	0.6958383	0.0561190	0.5998918	0.6834250	0.5876519	0.0977674	0.3711074	0.1305938	0.4956427	0.5348443	0.8169035	0.0163801	0.5290318
0.4083802	0.2136622	0.5661146	0.4583953	0.1056954	0.6699332	0.4327759	0.5294440	0.6978826	0.0000000	0.3962213	0.1882965	0.2089584	0.2907861	0.1704107	0.3024398	0.5506987	0.2760353	0.4143184	0.4266088	0.1869789	0.0983854	0.5540413	0.5106867	0.6514561	0.5050075	0.3569802	0.4898643	0.0274163	0.0005703	0.2425693	0.3932564	0.6504694	0.2351457	0.1451727	0.1379595	0.6023474	0.0378681	0.5195832	0.2828257	0.6467599	0.0520444	0.4849543	0.0252585	0.0401924	0.6068764	0.3686990	0.2755156	0.4999972	0.5517965	0.0611483	0.6211297	0.5256598	0.3898483	0.6116645	0.3378131	0.0830288	0.0493327	0.0420418	0.6399095	0.0277355	0.1210246	0.2384087	0.4484485	0.1555697	0.5721173	0.0361392	0.0770225	0.2890982	0.0261408	0.6512667	0.3546398	0.1793035	0.0347119	0.3779355	0.0485002	0.5765839	0.4159893	0.3272361	0.2928054	0.4439140	0.2544998	0.7403491	0.0590209	0.5967154	0.7078207	0.2303392	0.5966373	0.0377127	0.6806132	0.7557615	0.6093916	0.0495870	0.4600263	0.0892514	0.4950793	0.4700616	0.6571595	0.0184279	0.5540499
