"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.0000000	0.8103017	0.6164137	1.0158834	0.1163891	0.0558824	0.8058553	0.7853162	1.0139682	0.2893832	0.4955822	0.1986518	0.1903209	0.3902493	0.3321806	0.3202474	0.8763579	0.4276779	0.7782523	0.7842477	0.2451503	0.0810484	0.8487087	0.7411887	0.8601577	0.9539573	0.4082735	0.7276011	0.0984465	0.0064787	0.2758147	0.5302485	0.9880441	0.4226482	0.2730795	0.1378585	0.9274117	0.0369989	1.0386638	0.3951824	0.9395596	0.0795138	0.8982315	0.0808065	0.0911682	1.0808540	0.5716739	0.4385588	0.9836606	0.8813527	0.2104351	0.9994098	0.6316726	0.8794097	1.1478560	0.6101619	0.1275806	0.0291955	0.0959537	1.0248828	0.0263517	0.2270720	0.4261483	0.5907162	0.3166598	0.8299309	0.0550562	0.0949677	0.4577277	0.0402594	1.0315130	0.4221584	0.3519850	0.0758008	0.5751027	0.0980820	0.9622821	0.7550128	0.4178115	0.5199207	0.8364993	0.6291173	1.0504768	0.0809955	0.8766796	1.0057695	0.2314172	1.0174929	0.0655127	0.9359222	0.9976781	0.9608458	0.1317737	0.6673647	0.1318234	0.7175138	0.8417220	1.0666281	0.0405286	0.9355900
0.5021879	0.0000000	0.8663093	0.6855166	0.1586252	0.9492033	0.8278808	0.7958500	0.9596287	0.3513217	0.5150436	0.2141014	0.1610460	0.4101971	0.2221880	0.3429731	0.8336778	0.4493504	0.8644572	0.7135867	0.2351611	0.1240545	0.8079740	0.8533469	0.9382413	0.9645732	0.4880860	0.7552669	0.0788860	0.0054996	0.3709147	0.6802725	0.9272369	0.4839995	0.3348114	0.0770844	0.9206878	0.0578194	0.9010555	0.3811454	0.9595634	0.0805012	0.8151456	0.0726542	0.1084042	1.0520181	0.5683766	0.4077300	0.7871324	0.9086183	0.1372754	1.0085670	0.7191174	0.7520662	1.0700391	0.6469624	0.1582195	0.0353070	0.0865909	1.0236976	0.0221629	0.2044819	0.3768885	0.7157095	0.2679372	0.8641003	0.0612557	0.0963611	0.4058154	0.0359992	0.9342269	0.3561012	0.2715702	0.0638047	0.6255492	0.0895423	0.9910236	0.6849792	0.5090079	0.4767044	0.6250939	0.4023569	1.0312178	0.0856727	0.9116433	1.0264552	0.4388775	1.0759527	0.0824547	1.0669379	1.0474305	1.0577632	0.1202894	0.7045379	0.1232461	0.8278688	0.7401693	0.9374663	0.0600905	0.8895836
0.5342440	0.4263915	0.0000000	0.7219795	0.1775489	0.9590468	0.7687021	0.6435098	1.0056649	0.3179840	0.4715789	0.2105934	0.3556134	0.4309212	0.2530309	0.3460391	0.8063451	0.4580125	0.7268502	0.5142768	0.3145308	0.4745787	0.7903380	0.4572276	0.8736023	0.8754943	0.3848693	0.8014897	0.0798795	0.0119265	0.3174439	0.6768027	0.9961490	0.4255251	0.2668290	0.2757539	0.9837626	0.0793666	0.9933944	0.4262892	1.0144644	0.1025581	0.8571245	0.0482085	0.0818816	0.9971800	0.6010201	0.4058693	0.8052802	0.9496244	0.1982056	1.0247880	0.6708297	0.6048735	0.9410616	0.8035147	0.1388651	0.0460386	0.0840146	1.0285752	0.0247222	0.1948781	0.4165000	0.5756366	0.3669141	0.9114433	0.0610484	0.1097914	0.5257323	0.0590688	0.9951793	0.4874771	0.4063203	0.0395244	0.6863050	0.0731184	0.8998500	0.6703834	0.4419799	0.5230553	0.6840414	0.5032225	0.9420188	0.0863271	0.7229747	0.9558142	0.0950704	0.9904025	0.0791170	0.9050350	1.0388231	1.0455650	0.1510254	0.6406609	0.1164105	0.7056047	0.7761072	1.0381633	0.0323725	0.8963627
0.5393362	0.3811085	0.8472788	0.0000000	0.1530706	0.8657192	0.7703922	0.7777921	0.9096391	0.3389402	0.5306831	0.2167016	0.2870859	0.4193455	0.2521687	0.3455099	0.8692529	0.4794284	0.8024440	0.6530667	0.3139496	0.2450258	0.7654378	0.6059555	0.8446439	0.9070755	0.4858887	0.7854642	0.1286474	0.0059032	0.4261875	0.6449877	1.0729495	0.4955923	0.3154298	0.2297368	0.8946481	0.0319175	1.0510934	0.3762581	0.9354347	0.0703233	0.9211046	0.0548247	0.0919467	1.0217225	0.5763171	0.3311658	0.5684163	0.7601786	0.2325551	1.0588081	0.6723241	0.7159571	0.9414785	0.9010948	0.1661144	0.0551565	0.0981121	1.0443639	0.0399294	0.1482713	0.4120065	0.7047211	0.3904396	0.8313154	0.0857150	0.0606002	0.4848109	0.0654049	1.0034863	0.5902595	0.3866279	0.0888450	0.6602199	0.0776013	0.9160193	0.7259923	0.4028662	0.4824443	0.5439014	0.0071374	1.0628334	0.0941946	0.7906044	0.9731711	0.0830186	0.9981488	0.0780636	0.9819130	0.9765238	0.9565541	0.1199974	0.7521329	0.1418359	0.7612320	0.7896249	0.9710159	0.0415118	0.9279226
0.5202518	0.4208997	0.9162703	0.5797621	0.0000000	1.0255154	0.7776571	0.7446784	1.0758528	0.3556489	0.5552147	0.1739369	0.2668463	0.4400229	0.2257997	0.3710764	0.7986487	0.3632251	0.6507664	0.6072605	0.2879561	0.1496975	0.7632949	0.7326162	0.8904564	0.9818503	0.4545736	0.7588126	0.0772246	0.0080026	0.3650426	0.5756000	1.0085149	0.4302486	0.2938086	0.1380236	0.9292515	0.0137062	1.0890472	0.4438784	1.0329114	0.0583786	0.8627107	0.0754991	0.1006979	1.0597211	0.5842959	0.3960000	0.8787705	0.9397931	0.2253308	1.0194027	0.6904503	0.7813429	1.0780148	0.7178626	0.1465960	0.0347827	0.0745592	0.9808734	0.0243443	0.1636441	0.3672767	0.6715101	0.2839804	0.8125580	0.0747560	0.1073671	0.5246016	0.0861814	0.9980717	0.4268561	0.3462066	0.0543884	0.6549571	0.0696106	0.9316386	0.7659116	0.4417540	0.4873734	0.6569601	0.3573438	1.0465578	0.0615928	0.9219054	0.8646733	0.3466817	1.0165305	0.0740738	0.9711534	1.0184903	1.0481921	0.1336112	0.6974354	0.1437438	0.8195108	0.8122064	1.0639462	0.0592420	0.8858629
0.4373894	0.3970171	0.8507465	0.6989438	0.1459859	0.0000000	0.7064260	0.6885169	1.0579936	0.3282464	0.5984012	0.2167886	0.2970835	0.3898116	0.2211911	0.3877740	0.7735852	0.3658985	0.7092950	0.5399875	0.3207141	0.3592993	0.6732573	0.5784230	0.8589746	0.9813758	0.3429706	0.7928949	0.0830451	0.0086383	0.2766942	0.5875253	0.9388002	0.3828392	0.3123328	0.2858475	0.9724193	0.0369018	1.0720846	0.3819728	0.9822182	0.0639074	0.8973669	0.0735808	0.0775494	1.0466375	0.5448291	0.3052429	0.8461069	0.8353025	0.2113970	1.0127744	0.6603405	0.9259568	1.0519163	0.5700299	0.1362007	0.0447404	0.1008782	0.9898013	0.0147391	0.1632188	0.4385168	0.5667454	0.3649264	0.8665278	0.0710054	0.1255947	0.4420899	0.0599646	1.0197258	0.5600245	0.3246080	0.0616089	0.6478335	0.0693769	0.8670496	0.7228143	0.3991566	0.5351844	0.5973771	0.4691909	0.9955396	0.0839707	0.8019241	0.9665841	0.1041732	1.0083760	0.0791914	0.9159387	0.9948467	1.0523710	0.0992732	0.6820046	0.1231146	0.8112856	0.7631750	1.1494648	0.0477684	0.8291071
0.5627447	0.3610661	0.9439284	0.6907799	0.1604714	0.9526851	0.0000000	0.5446616	1.0104285	0.3094037	0.5188255	0.2124923	0.3373250	0.4621192	0.1943965	0.3230410	0.8131211	0.3940325	0.7545665	0.7685245	0.3466857	0.3766754	0.8321704	0.4846610	0.8551900	0.9218010	0.4327883	0.7366626	0.1327101	0.0038964	0.3995070	0.6365531	0.9413337	0.4601437	0.2371022	0.2644482	0.8830040	0.0516149	0.9818212	0.3689169	1.0390865	0.0700435	0.7820778	0.0737381	0.1059668	0.9623673	0.6079239	0.4025763	0.8797930	0.8235163	0.1797844	0.9557278	0.7277356	0.7736037	1.1357769	0.7852517	0.1673723	0.0405072	0.0756873	0.9780107	0.0339020	0.2543659	0.3874150	0.6928554	0.3826457	0.8164635	0.0578660	0.1108760	0.4859831	0.0637803	0.9868937	0.5818050	0.4641895	0.0787151	0.6518395	0.0728777	0.8427739	0.6889484	0.4477976	0.5685151	0.5567956	0.3910523	0.9800281	0.0507850	0.7321754	0.9097987	0.0346904	1.0161188	0.1144126	1.0446646	0.9623696	0.9358931	0.1026466	0.7142728	0.1633231	0.8024477	0.9493671	0.9629998	0.0507723	0.8621979
0.0214827	0.9007662	0.5890207	1.0219884	0.0939342	0.0435838	0.8526275	0.0000000	1.0993200	0.3168486	0.5107883	0.1738961	0.1930018	0.4555091	0.2241326	0.3450974	0.8223705	0.4520366	0.7595582	1.0614704	0.2441119	0.2340728	0.8964168	1.0252830	0.8754879	0.8947550	0.4261697	0.7819839	0.0980133	0.0109037	0.3081122	0.5621256	1.0662345	0.3757046	0.2595647	0.2247677	0.9426150	0.0467763	1.0818338	0.4069790	1.0086787	0.0630362	0.8374076	0.0739130	0.0787070	1.1353618	0.5642550	0.3824801	1.0236796	0.9349386	0.2410458	0.9983387	0.5841232	0.9074069	1.0242722	0.6532489	0.1377657	0.0459203	0.0750219	0.9729868	0.0134931	0.1892632	0.3726648	0.6779448	0.3152006	0.7660315	0.0614553	0.0898472	0.5293896	0.0582972	1.0366408	0.3708120	0.3855814	0.0590585	0.6170258	0.0525707	0.6227303	0.7147607	0.4919329	1.0415476	0.7390580	0.6884392	1.0461552	0.1067492	0.8563204	0.9365631	0.0307006	1.0923653	0.1057745	0.9498461	0.9714230	0.9888823	0.0993000	0.6956252	0.1135167	0.8366506	0.8963676	0.9899827	0.0464941	0.9461761
0.5044988	0.4257347	0.9474265	0.6558502	0.1593110	0.9429156	0.7349447	0.7276852	0.0000000	0.9553793	1.0172790	0.5327881	0.2601267	0.4295648	0.2251752	0.3706667	0.8265226	0.3697768	0.7596195	0.6482672	0.2354232	0.2720818	0.7847079	0.7405275	0.9430512	0.9211805	0.3221690	0.8009199	0.1003524	0.0060933	0.2239256	0.5037158	0.9833516	0.3658155	0.3000865	0.1790170	0.9152909	0.0409777	1.0244800	0.3690536	0.9594918	0.0655217	0.8263517	0.0691393	0.0663781	0.9464312	0.5926386	0.3908417	0.7679552	0.8823954	0.3229021	0.9667127	0.7160800	0.6439726	1.0341173	0.7826194	0.1725257	0.0399219	0.0696168	0.9998299	0.0382146	0.2148485	0.4292231	0.6546825	0.2984882	0.8366533	0.0456564	0.0956034	0.5284570	0.0708106	0.9857666	0.4774361	0.3833015	0.0667591	0.6777411	0.0863655	1.0101179	0.8357646	0.4430332	0.4929987	0.5433695	0.3452948	0.9803315	0.0712215	0.9068296	0.9402301	0.2757354	1.0102630	0.0480838	1.0459669	0.9912336	1.0018527	0.1621861	0.6370244	0.1233816	0.7542491	0.8274958	1.0256462	0.0485871	0.9077467
0.5436007	0.3387979	0.9967211	0.5996327	0.1636880	0.9516906	0.8349274	0.8130281	1.0233010	0.0000000	0.5157539	0.1902581	0.2335484	0.4188567	0.2456100	0.3777531	0.8246519	0.4578234	0.8289844	0.6247961	0.2435742	0.1621789	0.7214549	0.7262223	0.8412810	0.8303819	0.4829577	0.7531272	0.1203567	0.0039155	0.3363735	0.6735579	1.0125974	0.4093129	0.3045514	0.1101351	0.9074235	0.0454918	0.9542276	0.4309931	1.0929181	0.0798718	0.8722298	0.0640970	0.0755649	1.0292710	0.5402878	0.3905634	0.8620829	0.7872909	0.1242268	1.0154047	0.6882644	0.8183549	0.9954316	0.4665406	0.1074431	0.0338839	0.0928707	1.0448528	0.0178025	0.2275710	0.3988398	0.6922008	0.2928864	0.9045904	0.0367623	0.1135028	0.4104946	0.0515076	0.9993232	0.5068772	0.3309816	0.0771443	0.6972504	0.0605977	0.8494681	0.6936855	0.4403558	0.4229842	0.6932860	0.4570105	1.0327108	0.0647040	0.9872810	1.0743845	0.4901431	1.0524121	0.0772681	1.0417629	1.0858242	1.0260535	0.1043876	0.7316022	0.1097842	0.7684400	0.7310384	0.8949144	0.0380953	0.8754537
