"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.0000000	0.8378880	0.5947963	1.0330314	0.1015276	0.0775829	0.8694444	0.6466551	0.9786986	0.3180612	0.4479611	0.2015370	0.1706446	0.4082361	0.2823935	0.3506942	0.8451731	0.4336772	0.7697017	0.8938224	0.2528806	0.1389238	0.7730555	0.6808098	0.8719778	0.9471108	0.3901056	0.7895604	0.0945736	0.0041953	0.2684183	0.5729939	1.0368685	0.5067561	0.2661147	0.1847017	0.8716121	0.0217212	0.9498390	0.3582503	0.9973332	0.0638105	1.0538164	0.0953245	0.0741336	1.0495659	0.5348119	0.4168608	0.9975418	0.8395381	0.2400433	0.9679309	0.6038559	0.8599839	1.0534666	0.5653239	0.1177451	0.0354711	0.0570760	1.0858720	0.0301864	0.2209771	0.3988234	0.6419324	0.3396336	0.9011360	0.0504110	0.1100177	0.4714428	0.0537221	1.0716932	0.4388487	0.3105057	0.0774273	0.5618184	0.0985978	0.8735835	0.7217140	0.4551716	0.5140457	0.8342274	0.5927333	0.9680477	0.0682936	0.8399393	0.9462594	0.1305539	1.0831073	0.0486421	0.9284782	0.9788793	0.9740563	0.1488957	0.6540282	0.1134611	0.6878251	0.8978532	1.0022337	0.0483864	0.8488216
0.4502565	0.0000000	0.9095678	0.6363527	0.1127260	0.9699235	0.8143608	0.7214821	0.8999588	0.3313473	0.5574394	0.1720106	0.2163839	0.4454728	0.1818921	0.3717517	0.8891930	0.4376889	0.8251349	0.6844667	0.2236138	0.1394450	0.8285708	0.7689125	0.8335612	0.9903488	0.5204478	0.7851126	0.0884063	0.0065673	0.3345038	0.6176793	0.9944439	0.4656350	0.3881739	0.1417396	0.9634237	0.0429467	0.9808116	0.3798367	0.9917522	0.0811683	0.8604604	0.0746739	0.1016692	1.0888178	0.6246032	0.3835675	0.7829872	0.8084366	0.1293127	0.9548781	0.6656974	0.8178889	0.9883954	0.5604127	0.1253112	0.0439766	0.0659443	0.9442964	0.0181574	0.2114888	0.4327596	0.6710170	0.2909715	0.8480807	0.0568595	0.1046528	0.4283773	0.0578724	1.0309728	0.3647057	0.2706376	0.0813247	0.5705484	0.0873714	0.9248267	0.6752942	0.4031103	0.4855156	0.5573609	0.4184253	1.0920403	0.0858048	0.8216931	0.9565667	0.2717339	0.9789885	0.0886355	1.0246002	1.1688782	1.0107099	0.1150442	0.6833375	0.1349260	0.8555977	0.7417085	0.9062276	0.0438997	0.8683434
0.5010923	0.3837065	0.0000000	0.7620914	0.1748057	1.0232998	0.7606714	0.6806211	1.0170208	0.3547712	0.4669554	0.2443820	0.3856357	0.4869484	0.2266672	0.3313946	0.8451234	0.4024865	0.8011754	0.5498453	0.2856960	0.4383734	0.7870737	0.5164696	0.8686962	0.8243333	0.4441346	0.7769995	0.1101636	0.0120220	0.2375936	0.6406883	1.0855016	0.4906964	0.2652206	0.1770743	1.0542256	0.0667589	0.9516382	0.4302592	1.0166458	0.0844382	0.7921256	0.0690656	0.0731480	0.9804919	0.5660729	0.4257318	0.8715350	0.8403461	0.1849743	1.0179658	0.7072587	0.6163190	0.9054929	0.7760312	0.1552969	0.0362112	0.0908097	0.9763227	0.0340829	0.1858118	0.3987575	0.5582605	0.3342784	0.8593731	0.0548847	0.1287806	0.4308237	0.0423220	0.9946381	0.5277053	0.3979941	0.0636991	0.6971429	0.0901669	1.0048376	0.7440097	0.4148456	0.4971268	0.7352389	0.4324373	1.0328641	0.0907726	0.7937936	0.9181085	0.2179303	1.0317306	0.0932513	0.9732732	1.1244158	1.0327157	0.1457464	0.6626784	0.1221839	0.7743284	0.8001743	0.9915088	0.0221187	0.8296492
0.5081379	0.3787170	0.8712980	0.0000000	0.1587122	0.9176892	0.7892345	0.7424145	0.9627022	0.3189680	0.4934396	0.1888347	0.2822979	0.4485895	0.2442325	0.3528660	0.8766511	0.5410090	0.7730357	0.6616486	0.3212600	0.2323014	0.7476509	0.6816678	0.7694319	0.9343682	0.4868107	0.8053404	0.1205567	0.0027654	0.4254775	0.7271903	1.0060668	0.4840518	0.2884782	0.2187829	0.8959338	0.0484283	1.0013180	0.3920257	1.1084915	0.0709914	0.9176251	0.0701510	0.1104998	1.0028359	0.5647421	0.3095211	0.6054019	0.7363913	0.1410938	1.0030125	0.6466457	0.7354814	1.0038590	0.8278505	0.1951128	0.0690602	0.0896955	0.9818097	0.0346152	0.1249602	0.4009938	0.6996409	0.3980406	0.9153080	0.0853324	0.0976208	0.3891211	0.0821566	1.0613218	0.5645592	0.2986852	0.0788866	0.6073857	0.1057377	1.0047757	0.6679778	0.4465980	0.4876594	0.6193945	0.0092180	1.0000821	0.1003605	0.8397315	1.0735070	0.0692908	1.1745651	0.0822805	1.0008672	0.9665286	0.9571623	0.1082741	0.7822646	0.1400995	0.8483825	0.8881262	0.9628945	0.0339211	0.9262128
0.5449021	0.3646618	1.0270411	0.6035351	0.0000000	1.0241744	0.7308507	0.8093774	1.0192823	0.3752734	0.5929636	0.2242027	0.2189060	0.3836941	0.1934111	0.3705716	0.9449857	0.4264102	0.7946706	0.6338151	0.2307634	0.1487911	0.6922170	0.7064263	0.7827995	0.9263283	0.4599245	0.8575213	0.0894501	0.0114310	0.3382565	0.6254080	0.9960478	0.3995758	0.2862941	0.1677261	0.8806313	0.0294694	0.9718571	0.4393136	1.0560726	0.0605201	0.8476993	0.0846051	0.0613978	1.0953642	0.6380188	0.3508993	0.8608162	0.8843660	0.3012115	0.9959653	0.6897083	0.7814327	1.0100749	0.6999738	0.1093349	0.0304823	0.0585787	0.9651613	0.0268349	0.1498858	0.3300839	0.6031612	0.3028713	0.8656130	0.0635575	0.1070532	0.4582681	0.0896266	0.8905209	0.4711670	0.3495535	0.0915334	0.6778903	0.0560476	0.9269243	0.7674500	0.4441846	0.5106137	0.7099865	0.3540855	1.0797878	0.0471619	0.9873011	0.8182528	0.2365396	0.9604854	0.0938674	0.9437764	1.0088577	0.9389792	0.1162815	0.6300910	0.1639307	0.6715932	0.8761931	1.1712015	0.0658881	0.8649624
0.4715360	0.4222038	0.8984332	0.7123174	0.1783015	0.0017347	0.7714025	0.7446635	0.9635002	0.3156533	0.5770751	0.2451196	0.3157468	0.3756575	0.1782810	0.3525764	0.6621744	0.3654691	0.7224105	0.5656411	0.3149383	0.3928910	0.7778017	0.5748246	0.9085324	0.9367581	0.3347516	0.7844795	0.0732150	0.0016655	0.3299504	0.5979378	1.0435409	0.4296282	0.2879882	0.1991634	0.9937219	0.0425258	1.0405864	0.4006987	0.9459861	0.0600517	0.8449404	0.0649302	0.0807760	1.0192831	0.4953624	0.3072945	0.8379948	0.8227889	0.2083831	1.0169386	0.6414059	0.7896196	0.9861057	0.6029054	0.1449251	0.0611665	0.0911685	1.0654300	0.0196121	0.1957324	0.3575351	0.6312758	0.3382911	0.8918193	0.0779934	0.0968417	0.4262574	0.0606498	0.9717855	0.5435787	0.3717952	0.0577161	0.6264818	0.0718052	0.9679406	0.7553765	0.3839008	0.5289354	0.6204677	0.4477280	1.0234753	0.0670166	0.7989146	1.1045490	0.1362590	1.0878316	0.1130438	0.9317858	1.0287916	1.0139168	0.0825125	0.7129695	0.1417703	0.7734438	0.8116907	1.1169685	0.0476553	0.8980163
0.5567983	0.3387679	0.9411266	0.6660274	0.1348422	0.8805990	0.0000000	0.5051523	1.0365035	0.3014460	0.5600827	0.1907429	0.3273296	0.4323104	0.2289158	0.3677768	0.8212225	0.3907453	0.7773098	0.6972959	0.2768136	0.3554090	0.8126732	0.5654758	0.8502032	0.8623880	0.4698959	0.7310660	0.1354717	0.0041297	0.3689722	0.6612412	0.9455920	0.4229298	0.2691894	0.2283649	0.9833912	0.0762876	0.9527386	0.3949226	0.9938760	0.0588347	0.8043905	0.0732747	0.0966100	1.0578873	0.6003253	0.3959883	0.8902802	0.8414961	0.1978707	1.0700791	0.6110277	0.7396492	0.9715414	0.7396427	0.1727400	0.0437172	0.1023599	1.0882997	0.0322012	0.2643912	0.4182885	0.6372610	0.3124811	0.8707921	0.0626802	0.0979433	0.4327528	0.0858580	0.9992837	0.6018932	0.4240541	0.0486163	0.6573226	0.0792929	0.8103423	0.6553747	0.4840719	0.5363872	0.5730533	0.3511916	0.9714670	0.0453071	0.7371079	1.0240456	0.0639013	0.9666240	0.1096569	0.9599868	0.9623217	0.8956105	0.1239559	0.7035742	0.1935834	0.8229820	0.8261689	1.0410281	0.0435404	0.8875174
0.0083322	0.9494855	0.6049735	1.0597035	0.0833862	0.0777222	0.8075152	0.0000000	1.0768530	0.3716974	0.5767480	0.1981536	0.2731875	0.3984227	0.2011574	0.3179195	0.8172455	0.4631344	0.7425263	1.0816775	0.2779309	0.2432464	0.8971638	1.0414157	0.8849055	0.9097255	0.4122278	0.6652489	0.0851407	0.0016574	0.3160265	0.5130599	1.0585663	0.4284876	0.2873453	0.2710883	0.9480316	0.0590961	1.0478450	0.4167792	1.0399923	0.0425868	0.7896831	0.0994680	0.0656499	1.1126154	0.5549739	0.3275170	0.9025283	0.9369969	0.2540870	0.9920096	0.6360198	0.8993370	1.0090430	0.6181722	0.1454496	0.0616885	0.0850196	1.0343600	0.0153707	0.2124001	0.4462139	0.6799652	0.3139588	0.7641731	0.0784043	0.0679442	0.5008026	0.0426656	1.1404151	0.4196304	0.3902340	0.0765869	0.6902426	0.0940842	0.5973442	0.6661901	0.5217768	1.0872202	0.6963039	0.6794170	1.0137259	0.0872107	0.8404476	0.9189707	0.0464758	1.0436889	0.1073701	0.9487291	0.9987027	0.9394005	0.0799099	0.5970126	0.1164901	0.7778395	0.9111506	0.9055332	0.0576479	0.9356463
0.4881858	0.4091739	0.8788787	0.5771640	0.1320350	1.0791687	0.7190350	0.7358630	0.0000000	0.8701489	0.9956414	0.5985059	0.3118573	0.4739844	0.2811105	0.3945655	0.8188170	0.3043535	0.6926035	0.7039336	0.2656669	0.2080187	0.7688990	0.6074268	0.9802008	0.9986289	0.3533482	0.8701515	0.1120424	0.0141201	0.2464778	0.4531137	0.9544704	0.3302535	0.3125937	0.2093415	0.8296982	0.0378059	1.0359798	0.3500273	0.9655401	0.0913491	0.8608648	0.0633531	0.0668605	0.9763782	0.5762089	0.3735691	0.8124579	0.9475917	0.2884439	0.9154878	0.7112904	0.6781660	1.0165306	0.7669594	0.1572696	0.0431528	0.0675066	1.0813803	0.0311680	0.2117235	0.4109320	0.6164833	0.3895736	0.8636335	0.0588016	0.0875650	0.5488706	0.0782158	1.0333191	0.4133622	0.3516083	0.0665824	0.6903431	0.1035987	0.9482813	0.8083551	0.4285974	0.5558827	0.5667340	0.3911052	1.0341000	0.0801067	0.7553991	0.8916787	0.1583665	1.0671442	0.0807366	1.1388472	1.0727093	0.9986471	0.1149033	0.6415638	0.1665913	0.7388490	0.8412371	1.1484561	0.0381928	0.9196289
0.5141841	0.3610335	0.9460145	0.6231216	0.1679426	0.9974769	0.8174180	0.8650503	1.0491812	0.0000000	0.5260636	0.2502656	0.2260372	0.4274656	0.2274343	0.4312507	0.8757881	0.4666940	0.7784041	0.6186674	0.2960213	0.1208956	0.7767099	0.7293041	0.8018185	0.8616682	0.4907676	0.7306385	0.0549477	0.0019950	0.3222677	0.6210111	0.9988374	0.4090560	0.3088658	0.1726648	0.9425058	0.0321303	1.0063833	0.4469694	1.0132782	0.0635781	0.8274849	0.0546973	0.0631078	1.0474321	0.5356371	0.4424824	0.7598130	0.8185590	0.1305033	0.9938822	0.7264417	0.7773962	1.0270984	0.5820258	0.1008759	0.0638791	0.0734558	0.9906923	0.0217612	0.1696942	0.4376621	0.6701867	0.2712932	0.9044967	0.0357580	0.1189853	0.4162028	0.0415637	1.0517268	0.4994658	0.3258775	0.0548250	0.7268063	0.0782354	0.8302930	0.6361429	0.4656903	0.4885772	0.5944662	0.3996478	0.9841316	0.0704881	0.9044367	1.1340338	0.2407165	0.9460900	0.0756637	1.0645503	1.1283781	1.0839105	0.1117622	0.6326242	0.1312724	0.8176858	0.7145543	0.9814793	0.0285104	0.8399808
